SOS_CODE_2021,M_0_299_DS_DS_Sept_house,M_0_299_DS_DS_sd_row_tce_hs_t,M_0_299_DS_DS_Flat_apart,M_0_299_DS_DS_Other_dwg,M_0_299_DS_ns,M_0_299_Tot,M_300_449_DS_Separate_hse,M_300_449_DS_sd_row_tc_hse_th,M_300_449_DS_Flat_apart,M_300_449_DS_Other_dwg,M_300_449_DS_ns,M_300_449_Tot,M_450_599_DS_Separate_hse,M_450_599_DS_sd_row_tce_hs_th,M_450_599_DS_Flat_apart,M_450_599_DS_Other_dwg,M_450_599_DS_ns,M_450_599_Tot,M_600_799_DS_Separate_hse,M_600_799_DS_sd_row_tc_hs_th,M_600_799_DS_Flat_apart,M_600_799_DS_Other_dwg,M_600_799_DS_ns,M_600_799_Tot,M_800_999_DS_Separate_hse,M_800_999_DS_sd_row_tc_hs_th,M_800_999_DS_Flat_apart,M_800_999_DS_Other_dwg,M_800_999_DS_ns,M_800_999_Tot,M_1000_1399_DS_Separate_hse,M_1000_1399_DS_sd_rw_tc_h_th,M_1000_1399_DS_Flat_apart,M_1000_1399_DS_Other_dwg,M_1000_1399_DS_ns,M_1000_1399_Tot,M_1400_1799_DS_Separate_hse,M_1400_1799_DS_sd_rw_tc_h_th,M_1400_1799_DS_Flat_apart,M_1400_1799_DS_Other_dwg,M_1400_1799_DS_ns,M_1400_1799_Tot,M_1800_2399_DS_Separate_hse,M_1800_2399_DS_sd_rw_tc_h_th,M_1800_2399_DS_Flat_apart,M_1800_2399_DS_Other_dwg,M_1800_2399_DS_ns,M_1800_2399_Tot,M_2400_2999_DS_Separate_hse,M_2400_2999_DS_sd_rw_tc_h_th,M_2400_2999_DS_Flat_apart,M_2400_2999_DS_Other_dwg,M_2400_2999_DS_ns,M_2400_2999_Tot,M_3000_3999_DS_Separate_hse,M_3000_3999_DS_sd_rw_tc_h_th,M_3000_3999_DS_Flt_apart,M_3000_3999_DS_Other_dwg,M_3000_3999_DS_ns,M_3000_3999_Tot,M_4000_over_DS_Separate_hse,M_4000_ov_DS_sd_rw_tce_hs_th,M_4000_over_DS_Flat_apart,M_4000_over_DS_Other_dwg,M_4000_DS_over_ns,M_4000_over_Tot,Mort_Rpmnt_ns_DS_Separat_hs,Mrt_Rpmt_ns_DS_sd_rw_tc_hs_th,Mrt_Rpmt_ns_DS_Flat_apart,Mort_Rpmnt_ns_DS_Other_dwg,Mort_Rpmnt_ns_DS_ns,Mort_Rpmnt_ns_Total,Tot_DS_Separate_hse,Tot_DS_sd_row_tce_hse_thse,Tot_DS_Flat_apartment,Tot_DS_Other_dwg,Tot_DS_ns,Tot_Tot
SOS40,7121,1011,310,13,15,8467,3198,521,164,8,0,3888,3039,502,184,4,0,3729,5838,976,416,7,6,7249,8569,1464,759,3,6,10805,27568,4017,1796,19,59,33455,30576,4004,1199,9,52,35846,28658,3590,729,9,52,33041,11114,1301,213,4,23,12663,9195,935,158,6,13,10308,6555,598,137,8,16,7310,7312,936,297,5,12,8557,148746,19847,6355,95,258,175308
SOS41,1834,122,15,6,6,1985,1439,190,17,0,0,1645,1515,190,11,3,4,1729,3151,330,44,5,3,3536,4470,320,27,6,5,4829,10236,392,32,15,20,10691,8546,138,9,0,14,8707,6423,67,4,9,20,6524,1976,23,4,5,9,2013,1281,10,0,4,0,1299,885,15,7,0,0,903,1941,105,18,6,10,2070,43695,1894,193,62,90,45932
SOS42,370,5,0,4,0,383,435,6,0,0,0,442,392,5,0,6,5,400,723,4,3,3,0,737,803,14,0,0,0,817,1496,9,5,3,0,1512,1038,4,0,5,4,1055,721,0,0,5,0,726,210,0,0,0,0,216,168,6,0,0,0,176,99,0,0,4,0,99,325,6,0,4,0,336,6777,62,13,29,17,6895
SOS43,1307,9,0,6,3,1327,665,4,0,0,0,680,627,5,0,0,0,639,1153,6,0,6,0,1168,1406,4,0,6,0,1426,3254,19,3,8,4,3293,2718,12,0,10,3,2746,2789,12,0,12,4,2809,1254,4,0,7,3,1266,1050,4,0,4,0,1058,777,0,0,3,0,789,991,7,0,4,3,1006,17997,90,8,72,36,18203
SOS47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS50,11436,1337,466,9,5,13250,3808,457,171,4,0,4433,3405,450,217,0,0,4070,6054,920,403,12,3,7391,8834,1347,658,15,3,10857,32470,4911,2215,12,18,39620,48575,5843,2279,15,27,56745,69039,5854,1940,15,45,76892,31751,2326,772,4,14,34873,25243,1969,695,5,8,27923,19960,1264,490,10,11,21735,15361,1411,507,6,14,17307,275929,28092,10814,104,157,315082
SOS51,1737,75,9,4,7,1835,905,52,5,0,0,967,852,60,9,3,4,923,1837,113,18,12,6,1979,2652,155,16,13,0,2839,8271,392,36,13,6,8717,9598,259,25,9,13,9899,9893,246,14,17,6,10178,3509,70,3,7,7,3597,2479,59,4,5,3,2551,1439,51,10,7,9,1506,2404,90,10,13,8,2517,45576,1616,158,106,57,47509
SOS52,299,3,0,5,3,309,257,0,0,3,0,265,272,0,0,0,0,276,454,3,0,3,0,465,488,8,0,0,0,495,1084,7,4,9,0,1106,891,3,0,3,0,902,813,0,5,8,0,830,325,3,0,0,0,328,216,0,0,0,0,219,156,0,0,7,4,155,342,0,6,4,0,351,5600,35,17,41,8,5705
SOS53,1242,6,4,7,11,1270,374,0,0,4,0,381,319,5,0,6,3,327,520,8,0,9,3,536,629,3,0,7,3,642,1977,16,5,20,8,2028,2116,12,4,19,10,2156,3290,22,5,19,8,3347,1919,10,0,11,5,1947,1997,17,0,13,6,2031,1445,7,3,13,21,1495,1143,5,0,18,5,1169,16966,105,25,139,99,17338
SOS57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS60,1182,51,44,0,3,1282,590,28,25,0,0,641,519,21,36,0,0,576,1011,48,60,0,0,1117,1477,61,87,0,0,1630,4488,194,240,4,0,4922,4748,144,150,3,0,5046,4334,104,83,4,5,4536,1635,49,15,5,0,1706,1207,30,22,4,0,1268,879,24,17,4,4,919,977,29,44,0,4,1052,23045,790,834,20,13,24709
SOS61,1275,55,24,0,7,1354,930,35,15,0,0,982,920,35,13,3,0,975,1953,87,51,3,0,2086,3017,83,51,4,3,3155,7594,170,93,11,4,7876,5331,101,38,10,0,5482,3210,75,18,0,5,3309,817,15,8,0,3,841,581,13,0,0,0,588,355,11,3,0,0,381,1237,32,16,0,0,1291,27225,700,333,39,21,28318
SOS62,209,3,0,0,4,214,184,3,0,0,0,190,182,0,0,0,0,186,347,3,0,0,0,351,442,0,0,0,0,449,956,10,0,0,3,965,715,3,0,0,0,721,470,0,0,3,0,476,157,0,0,0,0,160,138,0,0,0,0,141,67,0,0,0,0,70,236,0,0,0,0,234,4101,31,10,18,12,4161
SOS63,869,0,0,4,3,881,554,0,0,6,0,557,526,0,0,7,0,538,950,3,0,4,3,967,1197,10,0,5,4,1214,3111,8,10,11,0,3138,2648,4,0,0,0,2661,2400,4,0,5,0,2410,826,0,0,0,0,829,624,5,0,0,0,628,383,0,0,4,0,394,756,0,0,3,3,760,14850,44,12,42,24,14967
SOS67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS70,334,25,73,0,0,436,102,10,29,0,0,144,84,15,34,0,0,133,218,42,77,0,0,336,260,47,131,4,0,446,989,196,380,4,0,1562,1529,220,436,3,0,2186,2961,217,394,0,3,3573,1721,93,166,0,0,1975,1321,51,122,0,0,1495,826,35,70,0,0,930,562,51,86,0,0,696,10910,1007,1988,15,0,13918
SOS71,89,14,0,0,0,109,45,12,0,0,0,58,34,6,0,0,0,43,60,28,5,0,3,104,131,50,9,0,0,192,376,157,7,0,0,544,666,157,8,0,0,830,797,86,4,0,4,899,335,23,0,0,0,357,206,23,0,0,0,226,111,9,0,0,4,119,142,21,4,0,0,170,2991,592,44,4,16,3646
SOS72,14,0,0,6,0,19,6,0,0,0,0,6,7,0,0,0,0,7,10,0,0,0,0,12,21,0,0,6,0,20,52,8,0,0,3,61,50,0,0,0,0,47,72,5,0,0,0,77,57,0,0,0,0,53,47,0,0,0,0,47,39,0,0,0,0,39,30,0,0,0,0,30,397,11,0,14,3,428
SOS73,111,0,0,4,0,118,31,0,0,0,0,32,49,0,0,3,0,50,63,0,0,3,0,66,96,0,0,3,0,97,341,0,0,9,0,350,374,0,0,0,6,378,729,0,0,3,0,736,526,0,0,6,0,529,495,0,0,4,6,505,283,0,0,6,0,289,208,0,0,6,4,215,3303,5,0,42,27,3374
SOS77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS80,2144,350,235,0,0,2729,612,96,71,0,0,775,527,115,96,0,0,733,886,215,226,0,0,1334,1190,313,385,0,0,1889,3746,1229,1936,0,3,6912,5669,2352,2383,0,6,10405,11764,2757,1985,0,0,16507,7960,956,602,0,5,9519,7220,693,512,0,6,8432,4967,404,302,0,4,5676,2084,355,283,0,0,2713,48749,9831,9001,4,32,67622
SOS82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,6,0,0,0,0,6,13,0,0,0,0,13,21,0,0,0,0,21,18,0,0,0,0,18,23,0,0,0,0,23,14,0,0,0,0,14,0,0,0,0,0,0,102,0,0,0,0,102
SOS83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,4,0,0,0,0,4,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,7,5,0,0,0,0,5,32,0,0,0,0,32
SOS87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS91,0,0,3,0,0,5,0,0,0,0,0,0,6,0,0,0,0,5,0,4,0,0,0,5,0,0,0,0,0,3,10,8,6,0,0,20,11,0,0,0,0,11,10,4,0,0,0,12,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,40,12,6,0,0,63
SOS92,7,0,0,0,0,11,6,0,0,0,0,6,6,0,0,0,0,6,17,0,0,0,0,13,15,0,0,0,0,15,35,0,0,0,0,35,32,0,0,0,0,32,25,0,0,0,0,29,4,0,0,0,0,4,5,0,0,0,0,5,3,0,0,0,0,4,18,0,0,0,0,18,173,5,0,0,3,179
SOS93,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,4,0,0,0,0,4,10,0,0,0,0,10,3,0,0,0,0,3,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,35
SOS97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
