SUA_CODE_2021,OPDs_Separate_house_Dwellings,OPDs_Separate_house_Persons,OPDs_SD_r_t_h_th_1_sty_Dwgs,OPDs_SD_r_t_h_th_1_sty_Psns,OPDs_SD_r_t_h_th_2_m_sty_Dwgs,OPDs_SD_r_t_h_th_2_m_sty_Psns,OPDs_SD_r_t_h_th_Tot_Dwgs,OPDs_SD_r_t_h_th_Tot_Psns,OPDs_F_ap_I_1or2_sty_blk_Ds,OPDs_F_ap_I_1or2_sty_blk_Ps,OPDs_F_ap_I_3_sty_blk_Dwgs,OPDs_F_ap_I_3_sty_blk_Psns,OPDs_F_ap_I_4to8_sty_blk_Ds,OPDs_F_ap_I_4to8_sty_blk_Ps,OPDs_F_ap_I_9_m_sty_blk_Ds,OPDs_F_ap_I_9_m_sty_blk_Ps,OPDs_Flt_apt_Att_house_Ds,OPDs_Flt_apt_Att_house_Ps,OPDs_Flt_apart_Tot_Dwgs,OPDs_Flt_apart_Tot_Psns,OPDs_Oth_dwg_Cvn_Ds,OPDs_Oth_dw_Cvn_Ps,OPDs_Oth_dwg_cab_hboat_Ds,OPDs_Oth_dwg_cab_hboat_Ps,OPDs_Ot_dwg_Im_hm_tnt_SO_Ds,OPDs_Ot_dwg_Im_hm_tnt_SO_Ps,OPDs_Ot_dwg_Hs_f_att_sh_of_Ds,OPDs_Ot_dwg_Hs_f_att_sh_of_Ps,OPDs_Other_dwelling_Tot_Dwgs,OPDs_Other_dwelling_Tot_Psns,OPDs_Dwlling_structur_NS_Dwgs,OPDs_Dwlling_structur_NS_Psns,OPDs_Tot_OPDs_Dwellings,OPDs_Tot_OPDs_Persons,Unoccupied_PDs_Dwgs,Unoccupied_PDs_Psns,Total_PDs_Dwellings,Total_PDs_Persons
1000,343770,859280,13052,20918,3473,6561,16526,27481,6763,10334,622,1026,93,141,22,39,567,1166,8066,12716,1287,2118,2064,3221,402,708,1190,2669,4944,8706,2009,4020,375313,912205,67106,..,442424,912205
1001,31941,80734,4804,7372,519,827,5318,8198,499,702,69,116,32,45,0,0,11,20,611,882,64,82,33,45,0,4,33,72,135,205,69,153,38073,90177,3007,..,41081,90177
1002,7185,17719,919,1561,163,281,1082,1832,398,639,52,94,0,0,0,3,9,16,455,747,3,4,19,26,0,3,12,29,36,61,27,52,8785,20413,1033,..,9828,20413
1003,13086,33651,2245,4178,1530,2972,3776,7146,629,1094,156,270,67,120,19,33,47,79,921,1598,68,89,295,424,8,11,24,44,393,571,64,103,18244,43061,1422,..,19664,43061
1004,5568,13303,392,617,355,640,743,1264,668,1040,26,28,30,39,0,0,14,19,726,1129,36,61,50,71,0,0,7,18,99,155,24,37,7162,15879,2883,..,10047,15879
1005,11429,29765,1261,2131,367,630,1626,2766,677,1018,9,8,0,0,0,0,19,29,704,1056,7,11,6,11,3,3,17,52,34,78,25,45,13812,33700,1172,..,14987,33700
1006,14135,36030,923,1419,336,589,1266,2012,374,636,13,35,0,0,0,0,47,105,442,770,20,35,72,91,3,8,26,62,123,196,36,67,15997,39071,1429,..,17421,39071
1007,6910,15174,158,231,17,26,177,265,184,230,0,0,0,0,0,0,0,0,186,235,5,16,3,4,0,0,4,6,8,27,25,48,7308,15741,1528,..,8836,15741
1008,2435,6377,342,695,658,1452,997,2141,249,441,33,50,0,0,0,0,34,78,318,572,67,88,54,89,10,13,25,36,160,233,42,87,3952,9400,1241,..,5193,9400
1009,6591,15536,585,874,105,197,689,1065,261,406,12,18,0,0,0,0,11,22,287,448,29,55,162,229,0,0,21,47,213,333,31,57,7808,17441,865,..,8677,17441
1010,102204,272667,9624,15978,6113,12175,15739,28158,6473,10951,1519,2669,2473,4411,600,1076,420,880,11484,19977,345,501,487,756,8,16,144,287,980,1561,279,533,130681,322896,14408,..,145085,322896
1011,21024,55805,2033,3642,1468,3105,3499,6745,2225,3899,387,712,265,417,115,181,77,149,3074,5357,158,334,298,432,0,3,24,51,477,811,129,242,28198,68964,2580,..,30770,68964
1012,11998,32314,1321,2276,60,116,1385,2390,1078,1742,8,20,0,0,0,0,18,37,1106,1798,21,41,3,11,0,0,26,56,54,105,41,69,14582,36683,1018,..,15596,36683
1013,5870,13653,1420,2368,230,412,1648,2776,887,1301,393,596,371,606,75,128,3,7,1728,2648,62,97,77,96,0,0,47,83,184,277,39,61,9463,19419,2278,..,11741,19419
1014,8002,19746,862,1395,171,314,1027,1707,279,401,61,76,0,0,0,0,13,31,359,507,11,22,14,23,0,0,38,71,71,110,23,33,9486,22102,877,..,10356,22102
1015,6265,15486,322,462,246,443,568,912,594,886,14,15,8,19,0,0,5,5,630,931,34,40,30,37,3,5,72,161,136,245,27,42,7616,17606,584,..,8202,17606
1016,5771,16048,344,689,64,86,408,773,860,1886,25,64,0,0,0,0,10,29,894,1972,22,31,15,22,0,3,41,93,82,151,29,74,7182,19019,592,..,7773,19019
1017,4842,12597,60,115,48,90,106,207,296,429,9,15,0,0,0,3,3,4,314,452,29,46,24,36,4,7,10,22,66,105,16,37,5347,13399,423,..,5767,13399
1018,8939,22383,1163,1755,503,873,1668,2631,651,1063,78,117,0,0,0,6,9,16,737,1198,37,56,149,175,5,4,13,28,207,256,28,43,11573,26509,802,..,12381,26509
1019,4399,10023,508,745,84,131,595,882,106,149,8,13,0,0,0,0,8,16,121,175,0,0,7,14,0,0,17,42,23,49,10,23,5149,11149,631,..,5778,11149
1020,4949,13829,73,137,26,65,103,194,5,13,0,0,0,0,0,0,13,20,24,37,27,39,47,95,0,4,0,0,83,132,3,3,5155,14207,346,..,5499,14207
1021,9134,23866,669,1028,170,415,842,1434,146,260,6,12,23,43,0,0,33,68,210,385,12,24,117,170,0,0,0,4,136,206,36,68,10362,25968,1034,..,11394,25968
1022,4047,10547,537,895,22,43,556,935,37,58,10,12,0,0,0,0,0,0,49,63,22,31,39,66,0,0,12,17,73,119,12,26,4727,11689,655,..,5382,11689
1023,3958,10310,373,571,150,218,518,788,18,28,16,29,0,0,0,0,0,0,27,60,15,27,0,8,0,0,3,5,17,32,15,24,4545,11212,609,..,5158,11212
1024,7857,19232,1239,2099,1451,3084,2692,5184,261,407,220,347,428,736,0,0,22,54,936,1536,38,60,89,165,0,5,13,25,141,255,78,131,11695,26337,4065,..,15766,26337
1025,153857,409782,13477,22982,9778,19565,23254,42548,6431,9653,2614,4221,2621,4378,1640,2684,584,1188,13876,22129,349,461,248,371,18,40,381,727,995,1598,305,555,192297,476612,13219,..,205516,476612
1026,12142,31403,1192,1991,256,425,1445,2413,325,519,22,34,0,0,0,0,40,67,384,619,3,3,66,98,7,6,9,17,87,131,45,60,14108,34623,963,..,15067,34623
1027,13404,35118,1355,2123,204,338,1556,2459,507,749,34,60,0,0,0,0,18,33,559,834,21,25,0,7,0,0,31,70,53,93,49,112,15616,38618,1443,..,17058,38618
1028,13782,35548,2636,4462,969,1964,3606,6424,1300,2024,575,945,972,1531,134,231,22,58,3011,4786,18,26,58,78,0,0,21,39,96,146,52,94,20544,46998,2039,..,22579,46998
1029,5087,13995,399,736,209,373,611,1108,231,345,0,0,0,0,0,0,4,0,231,347,37,55,37,59,0,0,3,7,82,127,9,16,6020,15590,434,..,6450,15590
1030,7186,16884,640,1058,79,126,725,1189,199,308,6,9,9,23,0,0,27,48,234,382,21,25,31,51,0,0,3,8,55,82,25,46,8225,18583,3154,..,11380,18583
1031,900007,2832229,69203,162434,148406,401203,217612,563637,87220,172664,153218,309647,183922,383854,118012,246428,7932,20527,550302,1133123,326,511,430,618,58,130,6291,13670,7112,14933,3688,7832,1678712,4551749,148098,..,1826814,4551749
1032,13946,35938,1727,2713,347,586,2076,3300,317,521,22,33,18,40,0,0,10,27,368,620,30,36,37,45,0,0,8,17,70,97,93,153,16555,40114,1442,..,17996,40114
1033,8690,21606,849,1208,65,114,912,1321,680,979,35,37,0,0,0,0,12,17,725,1040,41,55,22,34,0,0,13,31,81,122,22,27,10424,24113,701,..,11127,24113
1034,6021,14258,281,433,278,495,557,924,138,212,8,8,0,0,0,0,16,29,157,248,32,46,160,224,0,3,16,31,208,301,25,54,6970,15796,2068,..,9044,15796
1035,17960,47116,927,1442,219,381,1149,1822,2025,3147,113,145,40,54,0,9,21,42,2204,3388,5,11,3,13,0,3,63,150,74,176,35,71,21419,52576,1705,..,23129,52576
1036,81177,227157,6025,10928,8669,18580,14694,29509,6904,12030,3266,5593,4236,7583,2075,3959,407,950,16888,30111,306,430,227,340,3,4,374,762,908,1529,203,415,113867,288713,7690,..,121556,288713
2000,256181,613818,9224,13548,1006,2045,10236,15589,1772,2555,65,124,38,77,24,53,83,160,1980,2963,1008,1517,1065,1738,101,176,543,1130,2723,4567,617,1246,271738,638183,68724,..,340459,638183
2001,8012,22033,634,999,116,239,754,1243,40,46,0,0,21,26,0,0,15,25,74,96,9,22,21,32,0,3,6,9,38,68,8,19,8888,23458,562,..,9457,23458
2002,5448,13103,696,1011,29,61,723,1067,70,111,0,0,0,0,0,0,0,0,75,115,3,4,13,19,0,0,10,23,28,46,11,23,6280,14355,619,..,6900,14355
2003,37386,93073,4802,7964,540,1012,5345,8975,1021,1462,88,129,3,5,0,0,14,29,1121,1616,12,22,9,5,0,6,47,103,70,139,73,151,43993,103952,3496,..,47484,103952
2004,36178,89387,2801,4350,454,849,3252,5201,399,626,17,44,0,0,0,0,15,19,429,688,27,37,22,41,0,3,32,74,84,158,77,178,40027,95612,3028,..,43048,95612
2005,4471,9557,218,291,15,22,234,314,4,3,0,0,0,0,0,0,3,4,11,11,7,4,0,0,0,0,14,34,21,39,7,10,4737,9938,478,..,5216,9938
2006,4516,10933,534,707,11,14,549,721,0,0,0,0,0,0,0,0,4,8,0,12,11,12,23,25,12,19,11,28,56,82,8,14,5127,11764,463,..,5593,11764
2007,7564,18709,1015,1560,32,50,1044,1611,22,35,0,0,0,0,0,0,0,5,21,44,13,26,96,135,0,0,6,13,122,182,26,53,8772,20606,987,..,9760,20606
2008,94723,243626,8960,14365,2306,4672,11267,19045,1959,3027,202,305,309,460,134,229,22,37,2616,4062,73,94,349,480,4,11,143,327,566,912,137,268,109315,267905,12753,..,122068,267905
2009,6949,19982,446,776,26,58,473,830,16,30,13,30,0,0,0,0,9,19,41,74,6,11,14,18,0,0,0,0,24,28,4,14,7487,20929,539,..,8018,20929
2010,6220,14797,341,455,6,11,348,468,366,490,0,0,0,0,0,0,0,0,366,490,5,9,6,8,0,0,3,11,11,25,6,14,6953,15793,640,..,7588,15793
2011,1175219,3408960,159534,329153,127297,314372,286829,643522,86516,156315,52787,86618,62717,103006,74315,128371,985,2133,277316,476442,400,509,1359,1718,21,44,3660,7190,5445,9459,1793,3638,1746604,4542016,194681,..,1941283,4542016
2012,16888,43772,1541,2501,71,134,1616,2634,1104,1674,19,23,0,0,0,0,7,12,1125,1708,105,151,99,192,14,21,21,43,230,409,59,113,19921,48631,1989,..,21911,48631
2013,7776,18484,885,1163,31,43,916,1205,253,320,0,0,0,0,0,0,0,4,254,320,29,37,3,19,0,0,0,0,37,57,10,9,8993,20084,933,..,9923,20084
2014,4105,9455,361,513,35,53,398,568,45,68,6,7,0,0,0,0,0,12,55,78,16,19,5,17,0,0,13,15,34,47,7,9,4596,10164,587,..,5182,10164
