SUA_CODE_2021,M_0_4_yrs_Need_for_assistance,M_0_4_No_need_for_assistance,M_0_4_Need_for_assistance_ns,M_0_4_yrs_Tot,M_5_14_Need_for_assistance,M_5_14_No_need_for_assistance,M_5_14_Need_for_assistance_ns,M_5_14_yrs_Tot,M_15_19_Need_for_assistance,M_15_19_No_need_for_assistnce,M_15_19_Need_for_assistnce_ns,M_15_19_yrs_Tot,M_20_24_Need_for_assistance,M_20_24_No_need_for_assistnce,M_20_24_Need_for_assistnce_ns,M_20_24_yrs_Tot,M_25_34_Need_for_assistance,M_25_34_No_need_for_assistnce,M_25_34_Need_for_assistnce_ns,M_25_34_yrs_Tot,M_35_44_Need_for_assistance,M_35_44_No_need_for_assistnce,M_35_44_Need_for_assistnce_ns,M_35_44_yrs_Tot,M_45_54_Need_for_assistance,M_45_54_No_need_for_assistnce,M_45_54_Need_for_assistnce_ns,M_45_54_yrs_Tot,M_55_64_Need_for_assistance,M_55_64_No_need_for_assistnce,M_55_64_Need_for_assistnce_ns,M_55_64_yrs_Tot,M_65_74_Need_for_assistance,M_65_74_No_need_for_assistnce,M_65_74_Need_for_assistnce_ns,M_65_74_yrs_Tot,M_75_84_Need_for_assistance,M_75_84_No_need_for_assistnce,M_75_84_Need_for_assistnce_ns,M_75_84_yrs_Tot,M_85_over_Need_for_assistance,M_85_ov_No_need_for_assistnce,M_85_ov_Need_for_assistnce_ns,M_85_yrs_over_Tot,M_Tot_Need_for_assistance,M_Tot_No_need_for_assistance,M_Tot_Need_for_assistance_ns,M_Tot_Tot,F_0_4_yrs_Need_for_assistance,F_0_4_No_need_for_assistance,F_0_4_Need_for_assistance_ns,F_0_4_yrs_Tot,F_5_14_Need_for_assistance,F_5_14_No_need_for_assistance,F_5_14_Need_for_assistance_ns,F_5_14_yrs_Tot,F_15_19_Need_for_assistance,F_15_19_No_need_for_assistnce,F_15_19_Need_for_assistnce_ns,F_15_19_yrs_Tot,F_20_24_Need_for_assistance,F_20_24_No_need_for_assistnce,F_20_24_Need_for_assistnce_ns,F_20_24_yrs_Tot,F_25_34_Need_for_assistance,F_25_34_No_need_for_assistnce,F_25_34_Need_for_assistnce_ns,F_25_34_yrs_Tot,F_35_44_Need_for_assistance,F_35_44_No_need_for_assistnce,F_35_44_Need_for_assistnce_ns,F_35_44_yrs_Tot,F_45_54_Need_for_assistance,F_45_54_No_need_for_assistnce,F_45_54_Need_for_assistnce_ns,F_45_54_yrs_Tot,F_55_64_Need_for_assistance,F_55_64_No_need_for_assistnce,F_55_64_Need_for_assistnce_ns,F_55_64_yrs_Tot,F_65_74_Need_for_assistance,F_65_74_No_need_for_assistnce,F_65_74_Need_for_assistnce_ns,F_65_74_yrs_Tot,F_75_84_Need_for_assistance,F_75_84_No_need_for_assistnce,F_75_84_Need_for_assistnce_ns,F_75_84_yrs_Tot,F_85_over_Need_for_assistance,F_85_ov_No_need_for_assistnce,F_85_ov_Need_for_assistnce_ns,F_85_yrs_over_Tot,F_Tot_Need_for_assistance,F_Tot_No_need_for_assistance,F_Tot_Need_for_assistance_ns,F_Tot_Tot,P_0_4_yrs_Need_for_assistance,P_0_4_No_need_for_assistance,P_0_4_Need_for_assistance_ns,P_0_4_yrs_Tot,P_5_14_Need_for_assistance,P_5_14_No_need_for_assistance,P_5_14_Need_for_assistance_ns,P_5_14_yrs_Tot,P_15_19_Need_for_assistance,P_15_19_No_need_for_assistnce,P_15_19_Need_for_assistnce_ns,P_15_19_yrs_Tot,P_20_24_Need_for_assistance,P_20_24_No_need_for_assistnce,P_20_24_Need_for_assistnce_ns,P_20_24_yrs_Tot,P_25_34_Need_for_assistance,P_25_34_No_need_for_assistnce,P_25_34_Need_for_assistnce_ns,P_25_34_yrs_Tot,P_35_44_Need_for_assistance,P_35_44_No_need_for_assistnce,P_35_44_Need_for_assistnce_ns,P_35_44_yrs_Tot,P_45_54_Need_for_assistance,P_45_54_No_need_for_assistnce,P_45_54_Need_for_assistnce_ns,P_45_54_yrs_Tot,P_55_64_Need_for_assistance,P_55_64_No_need_for_assistnce,P_55_64_Need_for_assistnce_ns,P_55_64_yrs_Tot,P_65_74_Need_for_assistance,P_65_74_No_need_for_assistnce,P_65_74_Need_for_assistnce_ns,P_65_74_yrs_Tot,P_75_84_Need_for_assistance,P_75_84_No_need_for_assistnce,P_75_84_Need_for_assistnce_ns,P_75_84_yrs_Tot,P_85_over_Need_for_assistance,P_85_ov_No_need_for_assistnce,P_85_ov_Need_for_assistnce_ns,P_85_yrs_over_Tot,P_Tot_Need_for_assistance,P_Tot_No_need_for_assistance,P_Tot_Need_for_assistance_ns,P_Tot_Tot
1000,454,24611,2339,27405,3817,55856,6067,65731,1293,25719,2598,29618,869,19985,2597,23450,1351,42802,5900,50050,1454,45844,6009,53303,2418,55456,6323,64200,4329,66787,6652,77761,6190,61623,5555,73355,5803,28548,3008,37359,3826,5402,1047,10281,31801,432629,48099,512521,241,23491,2287,26018,1787,54142,5711,61635,794,24599,2376,27767,576,18885,1964,21421,1107,45604,4675,51383,1351,49629,5056,56041,2527,58761,5240,66528,4129,68815,5569,78512,5346,58762,4640,68746,6679,27494,2909,37089,7174,5957,1593,14721,31712,436133,42022,509868,700,48106,4623,53421,5602,109994,11777,127373,2091,50322,4976,57384,1444,38866,4557,44872,2457,88410,10570,101435,2814,95468,11064,109347,4940,114218,11569,130732,8456,135599,12217,156274,11531,120384,10190,142106,12480,56046,5922,74446,10992,11361,2641,25000,63510,868763,90118,1022386
1001,76,2838,194,3104,579,5478,398,6456,198,2699,188,3086,125,2726,178,3029,224,5829,385,6437,186,5270,357,5815,269,5022,318,5607,376,4846,291,5510,514,4193,242,4950,491,1938,134,2565,343,428,59,831,3379,41263,2740,47384,47,2847,191,3077,293,5588,372,6249,100,2658,162,2921,95,2669,176,2941,187,6103,361,6650,216,5765,324,6309,300,5487,257,6047,395,5432,269,6097,552,4661,240,5449,701,2371,186,3258,751,554,96,1401,3635,44135,2639,50407,122,5687,379,6185,872,11066,772,12706,301,5359,353,6009,225,5391,358,5973,411,11929,749,13092,402,11033,679,12123,566,10512,577,11653,766,10278,560,11600,1066,8862,477,10394,1189,4312,326,5823,1096,984,152,2228,7017,85402,5378,97793
1002,20,599,59,685,83,1217,136,1440,33,738,136,907,33,821,165,1025,36,1375,161,1567,37,1154,82,1278,43,1055,74,1163,64,1171,90,1324,88,917,56,1069,106,511,72,683,63,123,32,226,602,9682,1073,11358,9,574,51,636,42,1334,149,1520,24,892,202,1118,23,877,187,1092,38,1489,157,1687,38,1210,101,1350,50,1227,78,1356,75,1284,80,1432,91,1024,75,1188,157,614,83,859,148,157,71,378,692,10679,1232,12607,29,1179,110,1315,122,2552,289,2954,53,1629,340,2028,55,1701,358,2111,73,2866,314,3251,79,2366,182,2626,88,2279,151,2521,139,2452,169,2760,179,1941,134,2253,263,1129,153,1542,211,279,107,599,1299,20369,2307,23967
1003,18,1067,54,1146,177,2436,175,2786,67,1121,83,1269,53,858,65,977,56,1795,131,1989,68,2289,154,2509,78,2548,139,2768,166,2762,151,3078,223,2801,161,3185,257,1480,88,1824,258,365,66,691,1421,19537,1266,22225,8,984,66,1053,78,2318,136,2530,32,1058,51,1147,27,827,47,902,62,2053,150,2266,84,2488,155,2724,106,2864,154,3124,153,3104,161,3419,219,3132,158,3516,371,1651,118,2135,549,470,129,1146,1696,20953,1327,23969,29,2055,116,2196,253,4755,315,5318,104,2178,137,2416,74,1687,110,1877,119,3858,282,4253,148,4777,308,5234,182,5419,291,5897,317,5866,313,6499,443,5932,315,6697,625,3128,207,3961,801,834,195,1833,3112,40488,2592,46190
1004,8,345,37,396,55,758,88,905,27,387,37,447,11,291,28,329,27,613,59,699,33,647,58,739,53,884,95,1034,91,1086,81,1255,135,1345,84,1570,137,664,56,855,100,143,19,258,685,7162,646,8492,3,321,32,362,32,803,71,909,10,359,29,396,14,275,22,307,21,660,66,752,26,717,65,812,46,926,74,1041,93,1325,72,1492,136,1393,80,1615,169,710,62,942,199,155,43,404,762,7652,617,9027,16,669,68,756,86,1560,160,1811,35,742,62,837,17,561,55,641,53,1276,124,1452,66,1371,119,1552,95,1809,166,2069,186,2414,156,2748,278,2738,165,3186,308,1374,120,1797,306,294,64,664,1446,14813,1263,17524
1005,24,1046,54,1120,193,2201,134,2532,72,1165,86,1323,62,1144,179,1382,75,2171,405,2653,69,1874,332,2277,97,1871,203,2171,128,1803,127,2062,167,1488,92,1751,187,763,52,999,159,155,20,335,1229,15684,1693,18603,14,993,55,1057,91,2196,123,2409,48,1096,51,1199,25,1156,68,1248,59,2330,120,2510,69,2001,106,2175,102,2078,124,2301,118,1992,103,2210,167,1631,83,1879,266,845,49,1156,373,223,49,641,1324,16540,930,18791,39,2031,108,2180,279,4400,260,4943,121,2263,138,2520,89,2297,247,2631,140,4501,528,5163,139,3874,443,4447,195,3949,325,4470,246,3795,231,4268,330,3127,177,3631,449,1602,104,2162,527,380,67,977,2553,32223,2618,37396
1006,18,987,52,1060,133,2286,114,2534,47,1072,49,1169,27,813,54,897,57,1807,66,1929,51,1951,118,2117,77,2266,120,2465,102,2327,107,2536,154,2322,120,2593,215,1568,106,1893,200,342,100,634,1096,17735,1006,19838,19,1009,31,1063,83,2251,122,2458,34,1070,47,1151,15,798,53,865,42,1872,79,1993,56,2082,100,2237,101,2550,116,2769,125,2624,112,2857,189,2921,116,3228,327,1804,139,2271,372,355,157,881,1356,19336,1069,21763,33,2000,86,2125,221,4542,233,4989,84,2140,97,2322,42,1614,108,1763,98,3682,147,3919,110,4030,214,4355,174,4818,240,5232,227,4945,221,5395,345,5237,237,5825,545,3373,245,4162,572,698,249,1515,2452,37078,2070,41600
1007,8,427,51,486,75,829,107,1008,37,421,60,519,15,409,52,475,30,913,105,1050,40,784,97,921,66,846,106,1015,114,1053,83,1244,149,890,65,1101,107,390,45,542,81,93,27,205,727,7048,792,8565,9,441,32,483,36,868,121,1019,12,403,41,452,12,371,36,424,26,1011,95,1128,35,838,90,962,56,864,80,993,116,1132,74,1320,111,943,59,1112,161,491,78,735,163,140,80,388,739,7495,787,9020,19,864,83,972,109,1695,222,2030,46,824,102,971,29,783,87,896,58,1924,202,2182,77,1619,186,1883,127,1705,178,2010,228,2181,157,2570,263,1830,124,2214,273,884,122,1272,247,238,108,590,1462,14550,1579,17588
1008,0,212,24,245,13,451,43,504,3,192,19,208,7,186,26,221,6,874,100,983,11,745,86,843,12,599,73,688,38,585,51,675,45,543,39,620,39,181,19,237,19,28,7,50,193,4588,484,5267,3,208,19,235,6,450,47,507,10,176,16,199,5,284,45,329,10,1012,114,1134,8,788,77,870,28,617,59,695,28,620,55,705,43,524,33,604,42,183,16,241,59,45,21,121,238,4908,506,5648,4,424,43,477,18,902,90,1014,13,369,33,413,8,469,69,544,18,1887,215,2118,15,1534,164,1711,42,1218,126,1387,69,1200,106,1375,85,1067,76,1225,80,368,31,483,75,70,28,171,427,9497,987,10914
1009,10,288,9,307,78,792,32,897,30,432,26,488,11,283,16,316,23,465,28,513,22,585,39,649,48,923,42,1013,101,1203,56,1361,187,1613,77,1876,186,968,48,1201,126,198,24,348,828,7751,401,8977,0,261,8,277,38,819,47,909,17,388,20,418,16,230,10,254,22,494,28,539,21,738,32,793,43,1019,26,1088,90,1479,64,1630,151,1685,69,1910,222,959,53,1229,225,210,30,462,849,8282,383,9512,8,554,22,590,119,1612,79,1810,43,820,44,905,27,514,27,574,44,961,56,1058,47,1325,72,1443,97,1941,66,2098,194,2677,122,2996,340,3295,144,3785,405,1926,100,2429,354,406,48,811,1673,16032,779,18484
