SUA_CODE_2021,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85_over,P_Tot_Tot
1000,180797,102254,101435,109347,130732,156274,142106,74446,25000,1022386
1001,18893,11981,13092,12123,11653,11600,10394,5823,2228,97793
1002,4272,4134,3251,2626,2521,2760,2253,1542,599,23967
1003,7516,4293,4253,5234,5897,6499,6697,3961,1833,46190
1004,2568,1479,1452,1552,2069,2748,3186,1797,664,17524
1005,7123,5153,5163,4447,4470,4268,3631,2162,977,37396
1006,7111,4084,3919,4355,5232,5395,5825,4162,1515,41600
1007,2999,1874,2182,1883,2010,2570,2214,1272,590,17588
1008,1489,961,2118,1711,1387,1375,1225,483,171,10914
1009,2395,1479,1058,1443,2098,2996,3785,2429,811,18484
1010,61744,38285,37850,40975,43634,44328,40301,25537,10520,343180
1011,13140,7631,8340,8761,9115,9795,9620,5513,2277,74195
1012,8747,4726,6620,4981,4442,4373,3507,2274,909,40578
1013,2526,1600,1493,1717,2149,3089,4185,2963,1355,21087
1014,4491,2708,3394,2882,2907,3036,2721,1688,733,24565
1015,3631,2158,2156,2003,2176,2406,2342,1614,777,19255
1016,3974,2389,3312,2701,2467,2305,1694,1125,603,20569
1017,2856,1905,1841,1709,1783,2033,1933,1139,460,15654
1018,4952,3472,3541,3398,3609,3848,3261,1862,862,28816
1019,1992,1266,1468,1276,1486,1748,1664,1100,388,12385
1020,3147,1742,1573,1844,2020,1939,1724,863,166,15020
1021,4743,3110,3079,2902,3191,3547,3521,2595,1138,27828
1022,2680,1352,1786,1560,1469,1379,1167,822,353,12563
1023,2697,1463,1860,1603,1528,1404,1026,517,179,12272
1024,3817,2562,2069,2450,3381,4501,5085,3440,1104,28418
1025,93067,63590,69849,64445,62634,60368,52045,30001,12437,508437
1026,7342,4553,5201,4520,4469,4643,4314,2581,1054,38678
1027,9078,4924,5732,5281,4902,4500,4040,2424,1045,41920
1028,8060,5404,4842,5337,6021,6462,6934,4966,2162,50193
1029,3564,2436,2513,2061,2163,1905,1364,713,306,17018
1030,3047,1776,1891,2061,2291,2885,3453,2043,656,20105
1031,889695,592607,766928,729672,615554,527399,393027,220855,94315,4830047
1032,9045,5452,6226,5175,4827,4816,4250,2893,1193,43874
1033,4722,2788,2775,2593,2920,3624,3555,2458,1086,26519
1034,2608,1378,1426,1719,1869,2596,3039,1741,644,17026
1035,11409,8015,8118,6850,6335,6286,5282,3211,1488,57003
1036,54767,39592,39317,37753,38260,37926,31070,19040,7966,305691
2000,118011,68456,68929,76856,93509,112766,105370,53737,18413,716050
2001,5158,2767,3571,3442,3135,2664,2371,1187,431,24717
2002,2698,1638,1807,1580,1787,2010,2117,1477,567,15684
2003,21017,13946,15403,13881,13566,13020,11670,6629,2851,111973
2004,19389,12471,13979,12582,12136,12212,11096,6354,2812,103034
2005,1608,844,1057,1365,1533,1631,1779,1064,472,11352
2006,2176,1387,1657,1409,1489,1553,1536,1056,502,12756
2007,3814,2338,2351,2308,2763,3085,3166,1985,753,22568
2008,52506,34379,40178,37815,35719,33780,30849,17271,7134,289630
2009,4763,2519,1727,3066,3378,2951,2322,1172,319,22200
2010,3161,1932,2254,1913,1893,2136,1857,1245,589,16985
2011,872036,592184,778028,722456,615047,516353,393854,229530,98370,4817843
2012,10038,6113,7176,6274,6686,6775,5804,3359,1391,53620
2013,3680,2384,2703,2390,2689,3141,2886,1515,602,21997
2014,1764,1171,1080,1204,1474,1755,1622,816,346,11230
2015,2805,1687,1869,1785,1900,1899,1800,1098,465,15301
2016,10632,6420,7295,6540,6425,6290,5443,3386,1406,53841
2017,2146,1253,1643,1338,1133,1321,1116,813,417,11186
2018,7803,4876,5760,5089,5134,5586,4902,2879,1221,43252
2019,3429,2165,2282,2229,2388,2478,2399,1714,795,19882
2020,8318,4574,5681,4929,5047,5318,4958,2949,1045,42827
2021,6258,3982,4543,4287,4493,4622,4121,2376,1073,35743
3000,135694,77513,82708,85421,99933,114001,96555,46900,13151,751871
3001,2274,1802,2826,2190,1991,1778,1199,405,51,14523
3002,470864,323786,366059,351411,318363,261654,203018,110618,41514,2447280
3003,12559,7964,8114,7748,8631,9736,9930,6723,2337,73747
3004,29125,17966,20478,21147,22038,19190,14428,6799,2244,153425
3005,3554,1893,2239,2217,1763,1437,646,254,79,14089
3006,9888,5557,6074,6080,6301,5672,3516,1585,520,45185
3007,121069,82049,92682,92660,91977,82452,72033,42694,15985,693596
3008,4040,2671,2489,2434,2688,2806,2783,1759,754,22424
3009,8890,5166,4889,5498,6614,8222,10036,6389,2010,57722
3010,2108,1321,1412,1150,1135,1190,1204,702,315,10545
3011,16949,10276,11535,11493,11083,10470,7125,3843,1552,84333
3012,4291,3005,2716,2847,3279,3975,4181,2369,825,27489
3013,4331,2493,3284,2625,2222,1878,907,465,114,18317
3014,16246,10434,11158,10341,9457,9174,6774,4028,1683,79293
3015,65708,41150,40917,46836,52035,51398,47013,27618,10225,382903
3016,28123,18653,18880,17178,16826,15961,14126,8861,3564,142163
3017,34665,26738,26559,23596,22846,20069,14540,7493,2506,179011
3018,2894,1790,1729,1436,1765,2051,2027,1366,465,15525
3019,3737,2253,2190,2410,2646,2926,2302,1310,480,20244
4000,45453,26325,27167,29212,35468,42841,39144,19968,6809,272390
4001,234316,167100,192093,182556,172090,165080,138364,80593,36015,1368209
4002,5354,3472,3586,3341,3699,3837,3342,1988,824,29446
4003,3068,2068,2315,2040,2191,2389,2132,1475,570,18243
4004,2521,1520,2087,1628,1645,1772,1324,771,248,13515
4005,3023,1789,1967,1949,2095,2170,1851,1022,434,16307
4006,2373,1717,1616,1387,1778,1849,1627,1106,439,13896
4007,3242,1899,1744,2186,2743,4250,6451,4318,1540,28363
4008,3794,2440,2710,2350,2936,2957,2099,1423,449,21154
5000,50309,27970,34362,36962,39751,41796,32681,14942,4317,283092
5001,6091,3781,3773,3839,4425,4793,4515,2701,1133,35053
5002,3421,1552,2504,2413,2075,1573,819,237,63,14660
5003,15186,8636,9396,10065,10003,9605,7859,4162,1539,76452
5004,7596,3654,3811,5149,5485,5341,5494,2956,1045,40544
5005,2303,1311,1333,1398,1582,1627,1322,858,275,12003
5006,7736,4489,4610,4767,5253,4994,3839,2078,828,38595
5007,6476,3575,4745,4344,3889,3399,1770,669,202,29072
5008,4497,1816,3195,3353,2357,1328,384,75,11,17013
5009,398380,253674,301619,304430,271487,237421,188232,102330,40664,2098239
5010,3779,1619,3009,2783,1956,1568,455,103,25,15298
6000,26482,15767,16845,17797,21768,27767,24451,11346,3095,165335
6001,4925,3141,3264,3129,3415,3786,3328,2087,744,27826
6002,5355,3451,4142,3419,3950,4095,4001,2419,888,31721
6003,37944,26030,37415,29118,26977,26680,23599,13544,5344,226653
6004,15589,11140,13481,10956,11245,10748,9461,5911,2417,90953
6005,2336,1561,1508,1536,1843,2307,2154,1340,496,15086
7000,17843,11841,13513,11541,10393,8355,4509,1270,208,79475
7001,5398,2773,4872,4023,3313,3048,1701,604,176,25912
7002,25655,15355,24509,20253,16262,12824,8287,3287,779,127215
8000,265,271,230,243,241,215,145,50,9,1666
8001,89535,64674,83719,74476,61337,49833,38421,20774,7756,490517
9000,825,410,583,642,665,772,586,257,66,4788
