SUA_CODE_2021,R_1_74_LT_Real_estate_agent,R_1_74_LT_Ste_terr_hsg_auth,R_1_74_LT_com_hou_pro,R_1_74_LT_Psn_not_Sme_hhd,R_1_74_LT_Other_Lld_type,R_1_74_LT_Lld_type_ns,R_1_74_Tot,R_75_99_LT_Real_estate_agent,R_75_99_LT_Ste_terr_hsg_auth,R_75_99_LT_com_hou_pro,R_75_99_LT_Psn_not_Sme_hhd,R_75_99_LT_Other_Lld_type,R_75_99_LT_Lld_type_ns,R_75_99_Tot,R_100_149_LT_Real_eSte_agent,R_100_149_LT_St_ter_hsg_aut,R_100_149_LT_com_hou_pro,R_100_149_LT_Psn_not_Sme_hhd,R_100_149_LT_Other_Lld_type,R_100_149_LT_Lld_type_ns,R_100_149_Tot,R_150_199_LT_Real_eSte_agent,R_150_199_LT_Ste_ter_hsg_aut,R_150_199_LT_com_hou_pro,R_150_199_LT_Psn_not_Sme_hhd,R_150_199_LT_Other_Lld_type,R_150_199_LT_Lld_type_ns,R_150_199_Tot,R_200_224_LT_Real_eSte_agent,R_200_224_LT_Ste_ter_hsg_aut,R_200_224_LT_com_hou_pro,R_200_224_LT_Psn_not_Sme_hhd,R_200_224_LT_Other_Lld_type,R_200_224_LT_Lld_type_ns,R_200_224_Tot,R_225_274_LT_Real_eSte_agent,R_225_274_LT_Ste_ter_hsg_aut,R_225_274_LT_com_hou_pro,R_225_274_LT_Psn_not_Sme_hhd,R_225_274_LT_Other_Lld_type,R_225_274_LT_Lld_type_ns,R_225_274_Tot,R_275_349_LT_Real_eSte_agent,R_275_349_LT_Ste_ter_hsg_aut,R_275_349_LT_com_hou_pro,R_275_349_LT_Psn_not_Sme_hhd,R_275_349_LT_Other_Lld_type,R_275_349_LT_Lld_type_ns,R_275_349_Tot,R_350_449_LT_Real_eSte_agent,R_350_449_LT_Ste_ter_hsg_aut,R_350_449_LT_com_hou_pro,R_350_449_LT_Psn_not_Sme_hhd,R_350_449_LT_Other_Lld_type,R_350_449_LT_Lld_type_ns,R_350_449_Tot,R_450_549_LT_Real_eSte_agent,R_450_549_LT_Ste_ter_hsg_aut,R_450_549_LT_com_hou_pro,R_450_549_LT_Psn_not_Sme_hhd,R_450_549_LT_Other_Lld_type,R_450_549_LT_Lld_type_ns,R_450_549_Tot,R_550_649_LT_Real_eSte_agent,R_550_649_LT_Ste_ter_hsg_aut,R_550_649_LT_com_hou_pro,R_550_649_LT_Psn_not_Sme_hhd,R_550_649_LT_Other_Lld_type,R_550_649_LT_Lld_type_ns,R_550_649_Tot,R_650_749_LT_Real_eSte_agent,R_650_749_LT_Ste_ter_hsg_aut,R_650_749_LT_com_hou_pro,R_650_749_LT_Psn_not_Sme_hhd,R_650_749_LT_Other_Lld_type,R_650_749_LT_Lld_type_ns,R_650_749_Tot,R_750_849_LT_Real_eSte_agent,R_750_849_LT_Ste_ter_hsg_aut,R_750_849_LT_com_hou_pro,R_750_849_LT_Psn_not_Sme_hhd,R_750_849_LT_Other_Lld_type,R_750_849_LT_Lld_type_ns,R_750_849_Tot,R_850_949_LT_Real_estat_agent,R_850_949_LT_Ste_ter_hsg_aut,R_850_949_LT_com_hou_pro,R_850_949_LT_Psn_not_Sme_hhd,R_850_949_LT_Other_Lld_type,R_850_949_LT_Lld_type_ns,R_850_949_Tot,R_950_over_LT_Real_eSte_agent,R_950_over_LT_Ste_ter_hsg_aut,R_950_ovr_LT_com_hou_pro,R_950_over_LT_Psn_not_Sme_hhd,R_950_over_LT_Other_Lld_type,R_950_over_LT_Lld_type_ns,R_950_over_Tot,Rent_ns_LT_Real_eSte_agent,Rent_ns_LT_Ste_ter_hsg_auth,Rent_ns_LT_com_hou_pro,Rent_ns_LT_Psn_not_Sme_hhd,Rent_ns_LT_Other_Lld_type,Rent_ns_LT_Lld_type_ns,Rent_ns_Tot,Tot_LT_Real_eSte_agent,Tot_LT_Ste_ter_hsg_auth,Tot_LT_com_hou_pro,Tot_LT_Psn_not_Sme_hhd,Tot_LT_Other_Lld_type,Tot_LT_Lld_type_ns,Tot_Tot
1000,106,239,117,460,601,13,1541,100,225,128,262,187,16,921,853,1147,580,1847,643,85,5157,2853,1413,1019,2863,750,104,8994,2591,602,345,2775,492,58,6859,5854,684,383,3439,660,65,11081,9285,294,183,4039,543,51,14396,9739,141,115,3224,456,38,13712,4051,30,22,1223,120,5,5449,1433,9,7,502,46,4,1995,660,3,6,234,20,3,922,310,4,0,147,17,0,479,115,0,0,56,0,0,176,198,0,6,158,66,3,436,652,297,173,1583,1348,259,4318,38796,5101,3078,22803,5948,715,76441
1001,16,66,0,5,3,0,88,10,117,10,6,4,0,155,125,569,41,97,15,8,854,903,291,96,185,20,17,1513,668,113,20,232,19,10,1061,1554,193,33,348,204,15,2348,2458,68,20,408,68,14,3030,2291,18,13,234,22,4,2586,489,0,3,46,7,0,553,89,3,0,12,7,0,110,24,0,0,0,0,0,29,13,0,0,0,0,0,9,0,0,0,4,0,0,3,9,0,0,3,0,0,11,165,114,18,91,45,22,462,8815,1554,258,1685,423,82,12814
1002,3,3,5,3,0,0,15,3,12,0,0,5,0,29,25,35,19,15,13,0,100,126,84,60,46,11,8,328,182,30,39,56,5,0,311,429,66,34,77,7,0,618,613,49,23,102,10,0,805,678,13,8,106,9,0,819,148,0,0,14,0,0,166,29,0,0,9,0,0,33,5,0,5,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,21,10,11,22,9,6,80,2264,310,197,448,78,15,3312
1003,5,9,3,0,5,0,24,0,12,3,3,3,0,22,9,248,26,28,21,6,333,14,72,37,32,28,3,182,11,36,12,43,27,3,130,60,43,20,84,37,3,246,292,35,15,193,46,0,577,733,25,9,269,21,5,1063,685,12,11,183,10,4,900,518,0,5,129,3,0,658,305,0,0,55,0,0,360,78,0,3,33,6,0,114,37,0,0,9,0,0,44,23,0,0,13,0,0,37,47,36,6,51,19,7,165,2813,531,141,1123,221,33,4863
1004,0,4,0,0,0,0,5,0,4,3,0,0,0,9,5,62,3,10,5,0,87,18,33,22,31,14,0,113,32,19,8,26,6,0,86,118,21,26,59,10,4,238,274,16,11,84,15,4,402,493,9,9,119,16,9,651,194,3,0,52,4,0,249,34,0,0,15,0,0,47,3,0,0,0,0,0,5,0,0,0,0,0,0,6,0,0,0,0,0,0,0,4,0,0,0,0,0,3,19,19,6,25,7,5,80,1191,192,85,422,77,19,1989
1005,4,14,12,0,0,0,33,0,30,10,0,0,0,51,29,152,23,27,0,0,232,131,78,14,56,10,0,279,141,69,14,75,3,0,299,367,33,14,98,8,5,521,935,55,25,199,21,0,1242,1138,20,9,133,10,4,1315,402,0,0,40,4,0,443,34,0,0,10,0,0,45,3,0,0,4,0,0,9,6,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,6,47,25,9,38,14,23,152,3245,496,109,677,76,30,4633
1006,0,4,0,0,0,0,4,4,5,8,0,0,0,16,9,9,10,18,9,0,59,17,63,91,25,12,0,212,19,18,34,32,7,3,111,52,37,37,47,10,0,191,176,28,28,83,9,4,325,544,38,36,118,9,0,747,587,5,12,104,6,0,712,412,0,0,46,8,0,466,172,0,0,21,6,0,194,70,0,0,9,0,0,79,25,0,0,9,0,0,37,46,0,0,7,0,0,58,42,13,17,36,18,7,130,2167,228,266,556,100,23,3335
1007,0,13,0,8,36,0,56,7,10,11,8,25,0,62,29,12,7,69,19,4,125,160,32,28,126,31,0,376,125,19,9,113,27,0,290,211,22,8,117,16,0,379,151,9,0,67,5,0,237,77,5,0,26,6,0,116,11,0,0,0,0,0,12,0,0,0,6,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,6,0,32,18,6,77,779,116,72,567,186,22,1742
1008,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,6,0,0,15,0,23,0,23,35,8,14,0,83,0,7,7,19,9,0,40,7,6,11,16,15,0,58,10,4,11,26,20,0,74,24,3,8,58,20,0,115,61,0,0,49,3,0,120,136,4,0,71,7,4,217,137,0,3,56,3,0,199,92,0,0,45,4,0,147,76,0,0,29,0,0,107,115,0,0,70,0,0,191,25,3,8,33,10,6,75,698,53,83,488,125,9,1454
1009,0,0,0,0,0,0,0,0,0,0,0,5,0,8,3,8,6,15,12,0,34,17,19,19,14,26,0,88,16,0,3,17,8,0,46,68,4,5,27,3,0,108,204,3,6,64,9,0,282,336,0,0,72,13,3,426,200,0,0,26,0,0,228,50,0,0,4,0,0,60,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,11,4,3,24,0,0,44,916,32,38,271,75,15,1347
1010,22,83,18,38,15,5,183,7,183,17,20,7,0,232,38,1300,105,113,69,10,1638,150,539,324,234,220,17,1482,251,243,141,297,82,16,1033,790,280,178,448,112,18,1818,3133,219,120,1079,113,16,4687,9807,228,101,1733,161,22,12055,6315,36,22,871,47,16,7316,2342,10,7,313,20,5,2691,869,3,5,106,10,0,991,343,0,0,66,7,3,425,157,0,0,29,0,0,193,164,0,0,26,14,0,208,426,205,71,243,106,88,1142,24827,3330,1107,5616,982,206,36071
1011,6,4,6,13,0,0,36,0,14,10,6,0,0,28,15,80,37,60,40,0,237,39,237,158,74,43,6,551,37,70,42,93,32,4,276,288,107,72,166,39,5,681,950,89,42,349,49,5,1481,1793,96,36,505,40,16,2483,1268,22,16,244,33,5,1588,471,6,0,81,11,0,568,154,4,0,24,0,0,181,31,0,0,13,0,0,49,6,0,0,3,0,0,13,13,0,0,7,7,0,26,75,56,35,73,43,24,299,5143,779,460,1708,342,66,8497
1012,0,21,5,4,0,0,32,3,25,5,4,0,0,37,30,192,13,25,10,6,281,165,107,45,61,19,4,398,146,56,30,72,4,4,309,494,66,20,126,16,6,724,986,43,26,238,33,7,1328,1165,22,26,208,38,4,1462,252,4,4,43,5,3,317,45,0,0,13,0,0,60,9,0,0,0,0,0,15,6,0,0,0,0,0,5,0,0,0,0,0,0,7,3,0,0,0,4,0,8,70,45,0,43,22,7,189,3381,571,184,842,153,46,5165
1013,6,0,3,3,0,0,9,0,3,4,0,0,0,10,3,13,11,13,10,0,55,34,74,73,28,17,9,231,59,23,22,34,3,0,150,179,28,20,62,8,0,295,417,12,19,114,17,0,575,503,13,12,124,9,3,658,292,0,0,38,3,3,339,58,0,0,7,0,0,67,16,0,3,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,20,16,6,23,0,6,74,1589,179,177,453,73,22,2493
1014,5,14,0,4,0,0,19,0,38,3,3,0,0,46,21,186,17,23,5,0,255,67,101,58,32,10,0,268,69,25,4,46,5,0,147,207,30,12,59,6,0,319,570,63,5,126,21,5,783,793,16,10,132,14,4,967,182,3,0,21,9,0,210,22,0,0,10,0,0,32,7,0,0,0,0,0,5,0,0,0,0,0,0,3,3,0,0,0,0,0,3,3,0,0,0,0,0,4,36,29,6,31,7,7,115,1977,508,117,481,71,18,3176
1015,0,5,3,0,0,0,10,0,7,3,0,0,0,15,10,101,12,21,6,4,153,56,45,59,48,23,5,229,68,26,5,66,7,5,177,215,33,14,123,18,7,401,450,19,9,204,22,5,708,449,3,18,103,16,6,590,92,0,0,12,3,0,108,20,0,0,0,0,0,20,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,22,27,11,24,8,4,89,1381,256,137,602,106,32,2508
1016,0,11,3,4,0,0,15,4,11,0,4,0,0,19,21,72,4,21,18,0,144,78,80,35,52,30,6,280,106,43,11,40,12,0,215,250,37,12,74,25,0,399,433,11,9,105,20,4,589,535,9,0,103,27,0,677,88,0,0,28,14,0,131,13,0,0,4,0,0,23,6,0,0,0,0,0,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,16,11,28,10,8,104,1573,285,82,481,159,28,2606
1017,0,0,4,0,0,0,8,0,4,5,0,0,0,10,8,9,15,14,0,0,47,34,47,62,38,15,0,197,60,21,32,32,9,5,162,127,25,31,69,18,0,273,259,20,19,95,10,0,404,269,14,21,46,10,0,367,19,0,0,4,0,0,29,5,5,3,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,14,6,13,8,3,70,807,164,193,320,80,10,1577
