UCL_CODE_2021,P_OthServ_0,P_OthServ_1_19,P_OthServ_20_29,P_OthServ_30_34,P_OthServ_35_39,P_OthServ_40_44,P_OthServ_45_49,P_OthServ_50_over,P_OthServ_hours_NS,P_OthServ_Tot,P_ID_NS_0,P_ID_NS_1_19,P_ID_NS_20_29,P_ID_NS_30_34,P_ID_NS_35_39,P_ID_NS_40_44,P_ID_NS_45_49,P_ID_NS_50_over,P_ID_NS_hours_NS,P_ID_NS_Tot,P_Tot_0,P_Tot_1_19,P_Tot_20_29,P_Tot_30_34,P_Tot_35_39,P_Tot_40_44,P_Tot_45_49,P_Tot_50_over,P_Tot_hours_NS,P_Tot_Tot
UCL115087,0,0,0,4,8,9,0,4,0,32,0,3,0,3,6,5,0,0,7,27,34,82,76,51,153,136,35,53,8,627
UCL115088,0,0,9,5,6,4,3,4,0,24,0,0,0,0,0,5,0,0,8,17,33,75,83,45,136,116,24,64,14,587
UCL115089,0,6,3,3,9,5,6,8,7,47,3,11,0,4,12,8,9,8,7,56,80,212,182,126,395,365,108,199,38,1714
UCL115090,0,0,0,3,0,0,0,0,0,3,0,0,0,3,0,4,0,0,0,10,10,53,57,37,39,48,20,34,10,298
UCL115091,5,0,4,5,0,3,0,0,0,15,3,0,0,0,4,7,0,3,5,23,41,73,51,39,85,92,21,54,10,462
UCL115092,0,4,5,5,7,8,3,8,0,36,5,0,3,0,5,9,0,3,3,27,52,121,68,73,190,159,37,91,11,792
UCL115093,0,0,0,5,4,4,0,0,0,21,6,4,3,0,4,10,0,4,0,29,47,80,66,40,106,94,37,80,0,559
UCL115094,5,12,0,8,12,9,0,0,0,41,4,7,4,4,4,3,0,4,12,48,37,145,115,97,193,135,43,112,18,905
UCL115095,0,3,3,0,0,3,3,3,0,20,0,0,0,0,4,4,3,5,0,22,31,61,39,39,53,76,34,89,12,435
UCL115096,0,15,11,6,13,12,5,6,0,66,3,8,0,0,7,13,0,0,20,56,82,254,197,160,320,270,89,160,39,1560
UCL115097,7,4,3,0,11,4,0,0,0,37,6,3,5,6,7,5,0,4,8,41,71,156,123,75,203,147,49,89,11,928
UCL115098,0,0,0,0,6,0,5,0,0,9,5,0,0,0,0,4,0,0,3,13,25,60,63,28,82,58,19,56,10,408
UCL115099,3,7,3,0,7,8,4,3,0,41,6,8,10,0,7,9,4,0,17,50,49,178,144,102,206,143,45,87,28,978
UCL115100,0,11,0,4,9,5,0,0,0,34,4,7,5,0,4,9,0,0,10,41,42,156,131,70,171,139,32,86,18,856
UCL115101,4,5,3,5,4,8,3,3,0,37,3,8,0,0,6,3,0,3,7,33,69,149,116,88,169,134,46,98,32,899
UCL115102,0,0,4,5,11,4,0,4,0,25,0,0,3,0,0,6,0,4,10,29,28,115,83,52,128,106,37,93,12,663
UCL115103,0,0,3,0,5,0,3,0,0,16,0,4,5,0,0,0,0,0,11,15,11,63,35,22,57,71,29,56,16,362
UCL115104,0,0,8,0,4,3,0,4,0,23,0,0,0,0,0,4,0,0,4,16,36,123,91,52,67,96,28,60,17,568
UCL115105,3,0,0,0,0,4,6,4,0,19,0,6,3,4,11,5,6,0,3,30,34,101,80,55,145,120,47,83,15,675
UCL115106,0,9,4,6,11,6,0,4,0,33,3,9,3,3,8,9,6,0,6,46,48,160,134,116,218,170,45,78,16,992
UCL115107,9,11,0,7,8,14,0,5,0,52,5,20,12,8,12,12,3,8,13,98,85,405,265,186,229,205,68,103,27,1559
UCL115108,4,3,3,3,11,4,6,6,0,42,0,9,3,0,7,5,5,0,3,37,50,140,108,88,256,314,87,153,6,1205
UCL115109,0,9,8,5,11,4,0,0,6,47,4,5,8,0,3,6,0,0,12,37,72,221,171,87,208,178,47,99,30,1119
UCL115110,3,12,11,3,13,4,6,13,4,66,3,6,0,5,6,12,0,4,8,51,53,208,188,96,285,304,63,185,31,1406
UCL115111,0,3,0,3,15,12,10,12,4,64,0,8,0,0,16,14,0,11,13,70,59,134,153,105,288,251,80,191,36,1298
UCL115112,3,6,3,4,19,12,6,5,0,43,0,4,5,0,8,7,4,5,12,45,88,123,122,66,271,230,78,194,23,1182
UCL115113,0,0,4,0,4,6,0,0,0,14,6,7,0,3,8,5,0,3,10,45,40,84,80,46,143,161,60,184,29,831
UCL115114,0,4,4,0,0,3,0,5,0,25,4,5,3,7,21,12,4,8,7,71,52,111,106,67,234,186,62,166,31,1022
UCL115115,7,22,5,16,12,3,0,11,0,74,6,20,17,11,23,20,4,11,21,122,125,459,347,275,371,310,73,154,45,2150
UCL115116,3,5,6,3,9,15,0,5,0,41,3,10,9,3,10,8,0,5,15,70,91,249,208,163,365,301,84,145,37,1645
UCL115117,0,5,0,0,0,0,0,0,0,17,0,6,0,0,5,0,0,0,0,12,18,92,67,32,105,70,21,31,9,439
UCL115118,0,7,0,0,0,4,0,0,0,20,0,0,4,0,0,0,0,5,3,21,32,139,90,47,119,105,33,88,8,673
UCL115119,10,15,10,0,17,18,0,3,0,75,4,14,7,10,19,21,6,12,13,101,190,304,206,112,368,370,104,263,28,1948
UCL115120,23,13,3,9,11,21,5,13,0,101,12,6,11,7,11,14,3,9,8,83,198,268,169,97,312,379,80,241,11,1748
UCL115121,4,4,4,0,6,3,0,3,0,23,0,5,0,0,3,7,0,6,3,27,43,84,92,53,119,126,43,68,15,633
UCL115122,0,6,4,0,15,6,0,8,3,39,3,7,0,6,5,4,7,5,8,45,46,128,108,80,213,166,51,134,22,944
UCL115123,0,9,3,6,3,0,0,4,0,25,0,8,5,0,3,0,0,0,0,23,50,133,98,62,109,127,35,85,12,710
UCL115124,0,10,13,10,27,24,4,4,0,97,3,10,3,0,18,7,3,5,11,64,106,302,285,212,457,389,124,187,27,2101
UCL115125,0,12,3,0,10,4,4,3,0,34,4,5,4,0,9,13,0,0,0,38,71,214,145,108,234,225,61,110,18,1182
UCL115126,0,4,0,0,0,6,0,0,0,11,4,3,0,5,0,0,0,0,0,17,23,89,83,41,94,100,25,52,10,516
UCL115127,0,9,7,0,0,3,0,0,0,22,0,4,5,0,0,6,0,0,4,19,39,104,78,59,88,80,27,38,9,519
UCL115128,3,10,7,0,4,6,0,0,0,35,0,15,10,6,9,12,0,5,10,67,67,223,162,113,150,173,42,87,22,1047
UCL115129,7,8,3,0,3,5,0,0,0,32,0,0,4,0,9,13,0,3,0,37,75,142,112,68,110,172,46,116,11,849
UCL115130,4,3,9,7,7,3,0,6,0,36,4,0,7,5,7,10,0,0,3,39,72,173,157,96,213,191,37,76,15,1028
UCL115131,3,7,8,5,16,12,8,7,3,58,5,6,8,10,15,8,0,4,25,78,120,262,202,143,302,271,66,149,43,1552
UCL115132,0,0,4,0,0,3,0,0,0,15,0,0,0,0,3,5,0,0,0,13,29,106,90,56,108,145,29,76,14,658
UCL115133,0,3,0,0,6,0,0,4,0,15,4,8,4,0,4,7,0,0,5,33,44,142,90,63,95,79,32,51,20,623
UCL115134,3,13,11,6,15,20,6,11,0,78,3,9,0,4,8,10,0,3,12,53,63,279,209,123,309,338,106,213,45,1681
UCL115135,5,6,9,5,3,5,3,5,0,37,4,16,3,6,3,8,4,0,24,65,48,162,117,93,147,139,43,126,38,912
UCL115136,9,7,4,0,8,14,0,5,0,47,5,0,4,3,7,10,8,3,8,44,139,162,124,64,182,228,76,134,19,1121
UCL115137,13,8,5,4,19,13,3,8,0,75,10,17,8,4,17,11,3,5,12,78,195,275,195,122,416,363,98,218,25,1909
UCL115138,0,9,3,4,6,5,4,3,0,37,0,0,0,3,3,7,0,0,4,25,60,141,107,95,262,197,62,127,13,1056
UCL115139,0,8,7,3,10,3,3,8,0,33,0,7,10,3,5,9,0,0,4,38,36,150,103,64,144,170,48,120,16,851
UCL115140,0,9,6,0,3,12,0,0,0,26,6,0,0,0,4,3,0,0,3,22,32,74,58,51,96,90,10,26,11,454
UCL115141,0,0,3,0,3,9,0,0,0,19,3,6,0,0,3,5,3,4,9,38,44,67,77,50,145,130,43,85,14,653
UCL115142,0,5,0,5,9,3,0,4,0,25,0,7,5,3,5,4,0,3,7,34,31,153,113,76,156,135,16,61,12,765
UCL115143,0,7,7,5,3,5,0,0,0,28,0,4,4,0,7,9,0,3,5,29,48,149,134,94,232,154,43,101,15,966
UCL115144,0,3,7,4,6,8,3,4,0,37,5,0,0,0,9,6,0,5,11,39,63,151,141,98,179,150,47,102,21,945
UCL115145,0,6,0,5,0,0,0,0,0,19,0,0,4,0,7,0,0,0,3,20,42,100,96,53,99,84,25,49,10,561
UCL115146,6,6,9,0,4,8,0,0,0,32,0,7,0,7,3,8,4,5,7,45,78,206,136,97,195,226,55,125,15,1136
UCL115147,0,0,3,0,3,4,4,0,0,15,0,0,0,0,0,0,0,0,0,3,32,74,51,37,104,91,46,62,4,511
UCL115148,0,6,0,5,6,3,3,3,0,22,0,0,0,0,0,0,0,4,7,22,21,77,61,51,88,91,37,87,17,516
UCL115149,0,0,0,4,0,8,0,3,0,17,0,0,0,0,3,0,0,0,0,8,28,35,34,40,91,68,29,52,6,376
UCL115150,8,4,0,0,0,4,0,7,0,24,6,4,0,0,8,4,0,3,3,32,63,76,54,38,99,100,18,60,14,521
UCL115151,0,6,3,0,7,9,0,5,0,24,7,0,4,3,5,7,0,0,4,30,53,120,106,68,197,166,68,101,16,897
UCL115152,0,4,0,4,6,0,0,3,0,19,0,3,0,0,3,5,0,7,6,25,11,46,48,31,77,59,13,70,13,374
UCL115153,0,0,3,0,0,3,0,3,0,18,0,4,6,0,9,3,0,3,10,30,5,43,40,35,87,101,16,103,14,455
UCL115154,0,0,0,5,6,12,3,5,0,41,0,7,0,0,4,3,0,7,8,41,18,79,62,42,97,116,34,157,28,629
UCL115155,3,7,8,5,12,7,5,11,0,58,3,7,5,0,16,14,0,8,17,72,69,211,176,133,372,263,74,206,47,1547
UCL115156,0,0,3,0,4,0,0,3,0,9,0,4,0,0,0,0,0,4,0,11,28,66,56,27,101,54,23,40,6,403
UCL115157,0,4,3,5,4,0,0,0,0,18,0,0,0,0,5,4,0,0,4,21,22,64,43,45,100,70,14,48,10,415
UCL115158,0,3,10,5,13,14,4,11,0,52,4,3,5,3,13,6,0,0,13,56,52,162,142,112,198,172,68,296,32,1244
UCL115159,13,7,3,3,7,6,3,3,0,46,4,0,4,5,13,10,5,3,3,51,116,123,96,66,201,185,56,132,8,986
UCL115160,10,8,3,6,17,3,7,8,0,67,3,3,6,0,8,14,0,8,12,62,135,189,141,99,307,318,103,213,17,1525
UCL115161,3,3,5,4,23,16,6,6,0,70,0,4,7,8,11,6,0,5,22,63,70,235,224,182,361,291,71,167,42,1637
UCL115162,4,15,0,9,10,16,0,9,0,61,0,5,6,0,9,11,0,8,5,46,63,230,156,144,346,265,72,169,14,1462
UCL115163,8,5,5,0,10,9,4,5,0,43,3,3,0,5,7,13,0,0,11,42,104,125,95,76,186,128,49,105,23,894
UCL115164,3,6,3,3,9,4,6,0,0,28,6,3,6,0,6,5,0,6,0,29,61,71,65,39,117,73,32,47,9,516
UCL115165,0,0,0,3,3,0,0,9,0,17,3,0,0,0,0,15,0,5,15,37,22,60,45,36,113,126,37,75,25,554
UCL121001,0,0,0,0,5,3,0,4,0,16,0,5,0,0,3,8,0,0,8,22,16,54,45,22,68,65,24,63,12,368
UCL121002,0,0,0,0,0,0,0,0,0,6,0,4,0,0,0,8,0,0,0,10,6,29,25,15,23,42,10,35,0,176
UCL121003,0,3,0,0,0,6,0,0,0,6,0,4,0,0,5,0,0,0,6,13,18,58,42,23,42,44,6,22,5,263
UCL121004,0,4,4,0,4,3,9,4,0,21,0,0,0,0,5,0,0,0,0,9,19,73,42,43,80,71,26,51,12,424
UCL121005,3,0,0,0,0,0,0,0,0,8,0,0,0,0,9,4,4,0,5,21,34,44,20,13,57,61,15,27,13,284
UCL121006,0,0,0,0,0,0,0,0,0,5,0,0,0,0,3,0,0,0,4,9,11,41,29,31,47,40,11,18,14,244
UCL121007,0,3,0,0,4,0,0,0,0,14,0,0,5,4,5,3,0,0,0,18,11,57,33,15,71,56,21,38,14,314
UCL121008,0,3,0,0,0,3,0,0,0,11,0,0,0,0,0,0,0,0,0,4,6,12,9,6,15,16,0,5,9,81
UCL121009,0,3,0,0,0,0,0,0,0,9,0,4,0,0,3,5,0,3,0,14,16,44,22,13,40,43,17,109,4,316
UCL121010,0,3,4,0,0,0,0,3,0,7,3,5,3,0,0,0,0,0,0,16,16,69,44,30,26,49,16,25,5,276
UCL121011,0,0,0,0,0,0,0,0,0,8,6,3,0,0,7,5,0,0,11,25,14,71,30,23,50,35,6,16,12,262
UCL121012,0,4,4,0,3,11,3,3,0,29,0,3,0,0,0,4,0,4,5,18,18,63,70,35,88,79,36,62,4,448
UCL121013,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,6,7,28,15,15,60,48,12,45,9,237
UCL121014,0,0,0,3,3,4,0,0,0,13,0,5,3,0,0,0,0,0,0,11,14,35,39,22,42,34,4,26,10,231
UCL121015,3,0,0,0,0,4,0,0,0,12,0,4,0,0,0,0,0,5,0,19,49,70,48,36,60,69,25,46,5,398
UCL121016,0,0,0,0,0,3,0,0,0,12,0,0,0,3,5,0,0,0,8,17,9,50,32,32,53,42,7,16,11,259
UCL121017,7,3,4,0,6,0,3,0,0,20,0,0,0,0,0,0,0,3,0,14,35,56,48,29,85,90,23,48,4,425
UCL121018,0,0,0,0,3,5,0,3,0,16,0,0,0,3,5,5,0,0,3,23,26,44,36,37,85,70,20,52,9,375
UCL121019,6,3,0,0,0,4,0,3,0,16,0,0,0,0,0,0,0,0,0,0,16,49,33,28,57,80,20,53,0,341
UCL121020,0,3,0,0,5,3,0,0,0,14,0,0,5,0,3,3,4,0,0,17,21,45,42,38,49,57,16,24,5,297
UCL121021,0,0,0,0,0,4,0,0,0,6,0,4,0,0,0,5,0,0,4,16,14,31,32,16,52,58,21,49,10,282
UCL121022,0,0,0,0,0,4,0,0,0,14,0,0,4,0,0,4,0,0,4,14,7,50,35,16,35,39,11,32,8,239
UCL121023,0,0,0,0,4,0,0,0,0,9,0,5,0,0,0,4,0,0,3,6,6,32,24,12,29,18,3,3,5,124
UCL121024,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,9,9,26,29,12,46,32,6,24,6,188
UCL121025,4,4,0,0,0,4,0,0,0,20,0,4,3,3,4,4,5,0,6,17,34,54,32,24,58,57,14,34,5,318
UCL121026,0,0,0,0,0,0,0,5,0,10,0,0,0,0,0,0,0,0,6,12,33,87,54,44,61,74,18,35,8,418
UCL121027,0,0,4,3,0,0,0,0,0,8,4,0,0,0,4,8,0,0,3,19,27,54,43,29,60,55,20,37,7,323
UCL121028,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,5,0,3,0,20,20,54,34,29,49,58,19,23,3,288
UCL121029,0,0,0,0,0,0,0,0,0,6,0,3,0,0,6,0,0,3,5,13,13,34,21,26,43,46,24,47,10,266
UCL121030,0,0,0,0,0,3,0,6,0,15,0,0,0,0,0,0,0,5,8,23,17,41,33,21,94,59,21,55,13,359
UCL121031,0,0,4,0,6,0,0,4,0,15,0,0,8,5,7,0,0,0,0,22,30,72,57,43,73,78,15,41,9,417
UCL121032,0,0,0,0,0,3,0,0,0,8,4,4,0,0,4,0,0,3,3,16,18,32,30,18,33,53,13,42,3,241
UCL121033,0,0,4,3,0,7,0,0,0,11,0,4,3,0,0,3,0,0,4,14,11,30,34,19,48,42,8,14,7,222
UCL121034,0,0,0,0,0,5,0,3,0,14,0,9,0,0,3,0,4,4,3,35,31,83,74,45,80,84,46,87,14,541
UCL121035,9,0,5,0,0,3,3,3,0,29,3,8,0,0,5,3,0,5,6,28,44,100,56,43,98,84,15,49,9,490
UCL121036,0,0,6,0,3,9,4,0,0,30,0,5,5,0,4,0,0,0,0,16,31,106,116,49,123,104,28,79,6,641
UCL121037,0,0,3,0,5,4,0,0,0,14,0,3,0,6,4,0,0,0,0,13,19,54,40,30,73,56,13,35,0,326
UCL121038,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,3,6,16,31,24,12,34,51,4,47,6,225
UCL121039,0,0,0,0,7,0,0,0,0,13,4,6,5,3,4,4,0,3,0,23,18,62,54,46,42,74,10,37,0,343
UCL121040,0,0,0,0,0,4,0,3,0,11,0,0,0,0,5,3,0,0,0,9,16,40,32,16,55,73,10,55,0,294
UCL121041,0,5,0,0,3,3,0,0,0,11,0,0,4,7,4,0,0,0,0,10,9,35,28,17,45,40,13,39,4,220
UCL121042,5,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,0,0,6,19,46,33,21,29,48,5,37,3,241
UCL121043,3,5,0,0,0,5,3,0,0,20,4,0,5,0,0,0,0,0,0,5,40,62,36,28,49,77,31,33,3,356
UCL121044,0,0,0,5,0,0,0,0,0,7,0,0,0,0,4,0,0,0,3,16,6,27,32,13,35,37,5,18,8,189
UCL121045,0,0,0,3,0,3,0,0,0,11,0,3,0,0,4,4,0,0,0,15,15,44,34,22,59,39,7,14,0,234
UCL121046,0,0,0,3,0,0,0,0,0,12,0,0,0,0,0,0,0,3,0,13,13,43,22,28,40,76,20,40,4,297
UCL121047,0,0,3,0,0,4,0,0,0,9,0,0,0,0,0,0,0,0,0,7,22,26,29,16,74,56,10,49,0,282
UCL121048,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,5,10,18,34,25,11,39,48,12,22,13,215
UCL121049,0,3,0,0,3,3,0,4,0,17,0,0,0,0,4,3,0,0,0,12,17,44,43,16,73,73,24,41,0,324
UCL121050,0,0,0,0,0,0,0,0,0,5,0,3,0,4,3,0,0,0,3,10,14,28,29,11,30,24,5,15,7,160
UCL121051,0,0,0,0,4,4,0,3,0,12,0,0,0,0,9,0,0,0,5,12,12,60,38,37,54,48,18,41,4,321
UCL121052,0,4,3,0,0,0,0,0,0,11,0,0,0,0,0,5,0,5,7,14,14,66,48,33,69,51,10,40,6,338
UCL121053,0,3,0,0,0,6,0,4,0,14,0,0,5,0,3,4,0,4,0,9,14,36,38,23,55,49,14,34,9,273
UCL121054,3,4,3,0,7,7,0,6,0,31,0,0,0,0,3,0,0,0,0,9,42,78,48,26,84,87,16,60,4,443
UCL121055,0,0,0,0,0,10,0,0,0,8,0,0,0,0,0,5,0,0,0,9,17,55,50,22,61,72,7,26,0,311
UCL121056,0,4,0,3,6,7,4,0,0,23,0,0,0,5,0,0,0,0,6,8,15,50,62,34,92,59,18,36,11,380
UCL121057,0,0,0,0,0,15,0,4,0,24,0,0,5,3,0,4,0,0,0,12,20,44,50,25,74,100,32,31,4,377
UCL121058,6,8,4,8,4,7,5,8,0,45,0,0,3,0,4,0,0,3,3,15,39,169,102,86,162,182,51,116,5,911
UCL121059,0,0,0,0,5,5,3,0,0,17,0,0,0,0,0,3,0,0,0,9,6,62,24,21,52,58,20,30,4,276
UCL121060,0,0,0,0,7,4,3,3,0,25,0,0,0,0,6,6,0,0,5,10,12,73,48,48,131,84,29,76,6,505
UCL121061,0,0,3,0,3,4,0,0,0,10,0,0,0,0,3,3,0,0,6,10,21,38,33,16,49,46,13,19,5,243
UCL121062,9,0,0,0,4,3,0,0,0,18,3,3,0,5,6,3,0,4,3,29,57,76,48,32,95,102,26,70,10,521
UCL121063,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,8,16,39,38,12,32,11,4,9,5,170
UCL121064,0,0,0,0,0,0,0,5,0,9,0,3,4,3,3,0,0,0,4,18,10,55,42,25,52,35,7,12,13,253
UCL121065,0,0,0,0,3,0,0,0,0,9,0,0,0,0,3,0,0,5,4,13,27,41,44,30,54,56,9,30,7,298
UCL121066,0,0,0,0,3,0,0,4,0,9,0,0,0,0,0,0,0,0,0,8,8,36,20,24,40,59,10,43,0,239
UCL121067,0,0,0,0,0,5,0,0,0,6,0,4,0,0,0,0,0,0,3,7,10,46,36,30,60,69,27,43,3,320
UCL121068,0,4,3,4,10,16,5,5,0,47,0,4,0,0,0,3,0,5,3,16,51,147,137,94,166,139,40,69,12,858
UCL121069,0,5,0,0,0,3,0,0,0,9,0,3,0,0,0,0,0,5,0,12,24,74,38,30,71,92,22,81,4,437
UCL121070,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,11,38,46,29,12,51,73,14,25,5,280
UCL121071,0,0,0,0,0,3,0,3,5,5,0,0,0,0,4,0,0,3,5,13,5,19,29,13,34,50,22,39,13,231
UCL121072,0,0,0,0,9,7,0,0,0,21,0,6,0,3,7,6,0,7,4,26,28,44,38,27,72,70,24,39,10,350
UCL121073,0,0,4,3,0,0,0,0,0,6,0,0,0,0,0,4,0,0,3,12,10,30,29,17,59,41,7,23,11,232
UCL121074,0,0,0,0,4,0,0,0,0,7,0,5,0,0,0,4,0,0,4,10,42,47,23,19,46,39,9,18,5,254
UCL121075,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,4,8,21,25,24,8,27,28,11,31,7,185
UCL121076,0,0,4,6,4,3,0,0,0,22,0,3,0,0,8,4,0,0,8,27,44,70,53,37,97,78,32,50,10,466
UCL121077,0,0,4,0,0,3,0,3,0,12,0,0,3,0,3,0,0,3,3,15,10,49,37,23,55,63,24,66,7,332
UCL121078,4,3,0,4,0,5,0,0,0,23,0,4,0,0,3,3,0,0,5,21,21,52,46,33,86,71,20,30,3,360
UCL121079,0,5,0,0,3,4,0,0,0,16,0,5,0,0,4,3,0,0,0,10,17,55,36,23,44,58,12,21,3,264
UCL121080,0,3,9,0,5,3,0,0,0,16,0,0,3,0,5,0,0,0,4,17,16,79,65,57,122,82,31,44,10,499
UCL121081,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,3,10,9,52,42,37,46,41,22,42,4,294
UCL121082,0,4,0,0,4,0,0,0,0,16,0,0,0,0,4,0,0,0,3,17,37,83,74,49,85,66,15,48,10,464
UCL121083,5,0,0,0,0,5,0,0,0,10,0,0,4,0,0,3,0,0,0,13,53,68,58,31,68,63,19,33,5,387
UCL121084,3,3,0,0,0,7,0,3,0,18,0,3,0,0,8,6,0,0,0,23,41,66,48,31,73,101,19,82,3,463
UCL121085,3,5,3,0,0,4,0,0,0,13,0,3,0,0,0,8,0,0,0,24,21,75,65,40,67,105,31,61,5,466
UCL121086,0,6,0,0,0,4,0,0,0,15,3,3,0,0,3,3,0,0,6,12,14,45,47,26,52,51,14,49,10,298
UCL121087,0,0,3,0,3,4,0,0,0,10,0,0,0,0,0,0,0,0,4,13,13,42,55,22,55,43,6,25,3,267
UCL121088,0,4,0,0,0,6,3,0,0,21,0,0,3,0,3,0,0,0,3,9,15,40,41,15,65,63,23,34,4,304
UCL121089,0,4,3,0,4,4,0,0,0,17,0,3,0,0,0,4,0,4,0,16,42,70,65,32,49,75,24,49,7,411
UCL121090,3,3,8,6,3,8,0,0,0,32,0,4,0,0,4,3,3,4,4,21,18,87,41,30,73,69,35,49,10,418
UCL121091,0,0,5,0,3,0,0,4,0,16,0,3,0,0,4,5,0,0,4,15,19,43,60,27,61,56,18,46,12,332
UCL121092,7,10,5,0,3,3,4,6,0,34,0,6,0,0,7,5,3,3,3,32,56,90,48,31,135,106,26,70,12,576
UCL121093,0,3,3,3,3,9,0,0,0,25,0,5,0,0,0,3,0,3,4,23,38,67,66,35,97,106,17,53,7,486
UCL121094,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,5,9,7,32,28,25,33,31,0,47,14,217
UCL121095,0,0,0,0,0,0,0,3,0,8,0,4,6,0,0,3,0,0,0,12,15,56,41,15,45,74,17,77,8,351
UCL121096,0,6,0,0,6,0,0,0,0,9,0,0,0,0,0,0,0,3,5,9,11,62,45,25,61,52,14,32,4,301
UCL121097,0,0,0,0,0,6,0,3,0,10,0,0,0,0,4,7,0,0,0,12,12,62,37,43,49,47,15,33,0,304
UCL121098,5,3,5,4,8,5,0,3,0,26,0,0,0,0,0,3,0,4,0,9,29,73,57,42,85,73,23,66,6,450
UCL121099,0,0,0,0,0,0,0,0,0,5,0,4,0,0,0,0,0,0,3,8,10,41,34,13,28,42,9,28,9,224
UCL121100,0,0,5,0,8,5,0,0,0,20,0,5,0,0,0,0,0,0,3,11,20,92,75,46,92,88,14,64,8,498
UCL121101,3,0,5,0,0,7,0,6,0,27,0,4,5,4,5,4,0,4,6,27,40,65,75,36,83,89,11,58,12,465
UCL121102,0,5,0,0,0,0,0,0,0,6,0,5,4,5,3,0,0,0,3,24,20,75,63,28,51,57,13,40,8,351
UCL121103,0,3,0,3,0,4,0,3,0,10,4,3,0,0,0,3,0,6,5,22,21,52,48,46,74,76,11,44,9,384
UCL121104,0,0,0,0,4,0,0,0,0,9,0,0,0,0,8,4,0,0,3,13,14,52,35,21,60,49,16,40,8,297
UCL121105,0,4,4,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,7,10,44,30,13,28,37,7,8,5,178
UCL121106,0,5,3,0,6,4,0,4,0,19,0,3,0,0,3,0,0,0,0,12,17,65,52,39,91,60,16,35,3,382
UCL121107,0,0,0,3,3,7,0,4,0,13,0,0,0,0,3,0,0,4,4,20,18,45,23,30,96,76,23,46,12,365
UCL121108,0,3,0,0,5,9,4,4,0,20,0,0,0,0,4,0,0,0,3,16,17,49,45,30,88,55,18,34,9,342
UCL121109,0,0,5,0,0,0,0,0,0,6,0,0,0,0,3,5,3,3,3,20,18,41,31,25,36,34,10,28,6,238
UCL121110,0,6,0,0,6,0,0,4,0,16,4,0,0,0,0,0,0,6,3,18,16,63,51,43,62,72,24,33,10,373
UCL121111,0,0,3,0,5,3,0,0,0,11,0,0,0,0,4,0,0,0,0,9,12,21,28,28,40,41,18,70,5,249
UCL121112,0,0,0,0,6,10,0,4,0,20,0,3,5,0,4,4,0,0,0,20,21,48,28,34,78,84,22,48,7,373
UCL121113,0,0,0,0,0,3,0,0,0,8,0,4,0,3,3,6,0,0,3,16,10,28,18,24,25,47,11,27,13,204
UCL121114,0,3,4,5,4,3,0,0,0,12,0,3,0,0,0,3,0,0,3,13,17,55,54,36,76,72,16,45,3,374
UCL121115,0,0,6,0,0,0,0,0,0,4,0,4,0,0,0,3,0,0,0,6,13,57,34,12,47,34,12,13,5,220
UCL121116,6,5,0,0,6,7,4,0,0,28,0,0,0,0,0,3,5,5,0,12,32,87,42,36,98,107,35,78,6,529
UCL121117,0,6,0,0,6,0,0,0,0,12,0,0,0,0,0,0,0,0,0,5,18,42,42,28,72,57,7,30,9,314
UCL121118,3,0,0,0,8,5,0,0,0,14,0,0,4,0,0,3,0,0,0,6,31,29,33,19,51,63,12,22,3,258
UCL121119,0,3,7,6,4,5,5,5,0,32,0,0,4,0,0,5,0,0,0,15,20,54,54,32,81,62,17,50,3,378
UCL121120,0,0,5,0,0,0,0,4,0,7,0,0,0,0,0,0,0,0,0,7,0,14,10,5,22,20,0,22,4,96
UCL121121,3,5,0,0,0,4,0,0,0,10,0,3,0,0,3,9,0,0,3,14,13,39,33,14,46,54,13,24,5,248
UCL121122,0,0,0,0,7,0,0,6,0,19,0,0,0,0,0,0,0,4,3,13,17,29,35,6,75,57,10,44,10,283
UCL121123,0,4,0,0,5,0,0,0,0,10,6,4,0,0,0,0,0,0,4,13,19,47,29,21,57,55,11,37,8,281
UCL121124,0,0,6,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,3,5,11,35,29,14,14,24,0,24,3,170
UCL121125,0,0,0,0,0,0,0,0,0,9,5,0,0,0,0,0,0,0,4,11,16,52,45,35,44,44,8,38,10,286
UCL121126,0,3,0,0,0,0,0,4,0,12,0,0,0,0,0,0,0,0,3,6,7,28,44,37,55,55,17,33,3,270
UCL121127,0,3,0,0,7,0,0,0,0,13,0,4,0,0,10,0,0,0,0,17,30,61,45,12,81,60,13,42,4,350
