UCL_CODE_2021,CF_C_BPBO_DC_0_4,CF_C_BPBO_DC_5_9,CF_C_BPBO_DC_10_12,CF_C_BPBO_DC_13_14,CF_C_BPBO_DC_15_17,CF_C_BPBO_DC_18_20,CF_C_BPBO_DC_21_24,CF_C_BPBO_Tot,CF_C_FBO_DC_0_4,CF_C_FBO_DC_5_9,CF_C_FBO_DC_10_12,CF_C_FBO_DC_13_14,CF_C_FBO_DC_15_17,CF_C_FBO_DC_18_20,CF_C_FBO_DC_21_24,CF_C_FBO_Tot,CF_C_MBO_DC_0_4,CF_C_MBO_DC_5_9,CF_C_MBO_DC_10_12,CF_C_MBO_DC_13_14,CF_C_MBO_DC_15_17,CF_C_MBO_DC_18_20,CF_C_MBO_DC_21_24,CF_C_MBO_Tot,CF_C_BPBAu_DC_0_4,CF_C_BPBAu_DC_5_9,CF_C_BPBAu_DC_10_12,CF_C_BPBAu_DC_13_14,CF_C_BPBAu_DC_15_17,CF_C_BPBAu_DC_18_20,CF_C_BPBAu_DC_21_24,CF_C_BPBAu_Tot,CF_C_BP_NS_DC_0_4,CF_C_BP_NS_DC_5_9,CF_C_BP_NS_DC_10_12,CF_C_BP_NS_DC_13_14,CF_C_BP_NS_DC_15_17,CF_C_BP_NS_DC_18_20,CF_C_BP_NS_DC_21_24,CF_C_BP_NS_Tot,CF_C_Tot_DC_0_4,CF_C_Tot_DC_5_9,CF_C_Tot_DC_10_12,CF_C_Tot_DC_13_14,CF_C_Tot_DC_15_17,CF_C_Tot_DC_18_20,CF_C_Tot_DC_21_24,CF_C_Tot_Tot,One_PF_BPBO_DC_0_4,One_PF_BPBO_DC_5_9,One_PF_BPBO_DC_10_12,One_PF_BPBO_DC_13_14,One_PF_BPBO_DC_15_17,One_PF_BPBO_DC_18_20,One_PF_BPBO_DC_21_24,One_PF_BPBO_Tot,One_PF_FBO_DC_0_4,One_PF_FBO_DC_5_9,One_PF_FBO_DC_10_12,One_PF_FBO_DC_13_14,One_PF_FBO_DC_15_17,One_PF_FBO_DC_18_20,One_PF_FBO_DC_21_24,One_PF_FBO_Tot,One_PF_MBO_DC_0_4,One_PF_MBO_DC_5_9,One_PF_MBO_DC_10_12,One_PF_MBO_DC_13_14,One_PF_MBO_DC_15_17,One_PF_MBO_DC_18_20,One_PF_MBO_DC_21_24,One_PF_MBO_Tot,One_PF_BPBAu_DC_0_4,One_PF_BPBAu_DC_5_9,One_PF_BPBAu_DC_10_12,One_PF_BPBAu_DC_13_14,One_PF_BPBAu_DC_15_17,One_PF_BPBAu_DC_18_20,One_PF_BPBAu_DC_21_24,One_PF_BPBAu_Tot,One_PF_BP_NS_DC_0_4,One_PF_BP_NS_DC_5_9,One_PF_BP_NS_DC_10_12,One_PF_BP_NS_DC_13_14,One_PF_BP_NS_DC_15_17,One_PF_BP_NS_DC_18_20,One_PF_BP_NS_DC_21_24,One_PF_BP_NS_Tot,One_PF_Tot_DC_0_4,One_PF_Tot_DC_5_9,One_PF_Tot_DC_10_12,One_PF_Tot_DC_13_14,One_PF_Tot_DC_15_17,One_PF_Tot_DC_18_20,One_PF_Tot_DC_21_24,One_PF_Tot_Tot,Tot_DC_0_4,Tot_DC_5_9,Tot_DC_10_12,Tot_DC_13_14,Tot_DC_15_17,Tot_DC_18_20,Tot_DC_21_24,Tot_Tot
UCL101001,108753,116736,62821,38067,48234,33196,20223,428031,24611,23695,14354,9396,12103,6118,2856,93132,24504,22719,12834,7802,9489,4884,2312,84535,81778,75811,46116,30799,39383,19931,9145,302951,1160,1215,544,322,197,96,56,3595,240803,240179,136663,86388,109403,64220,34589,912238,7083,12673,9582,7283,10786,7601,5152,60158,3811,5657,3775,2916,3611,1713,946,22424,2213,3565,2623,1926,2491,1257,694,14770,12624,16596,11289,8198,10365,4365,2169,65602,1103,1228,663,443,386,150,63,4027,26837,39711,27929,20765,27636,15086,9019,166990,267638,279892,164590,107155,137040,79299,43608,1079226
UCL102001,412,349,157,95,123,64,16,1216,157,118,87,58,76,39,17,552,191,177,76,49,68,29,10,595,1156,1076,689,422,579,213,81,4213,9,3,4,0,0,0,0,14,1923,1728,1011,626,845,343,121,6595,22,23,34,11,21,5,3,120,36,42,29,22,36,0,0,160,8,32,20,15,10,3,3,93,204,304,202,130,150,55,30,1068,7,14,4,5,0,0,0,31,276,412,287,177,219,72,35,1480,2195,2145,1298,808,1064,414,155,8079
UCL102002,1573,1799,1050,648,790,346,174,6380,1330,1412,833,565,674,263,115,5188,1435,1351,772,491,572,211,85,4928,9898,9673,5721,3801,4595,1578,708,35972,54,66,39,25,14,3,0,194,14287,14310,8412,5530,6643,2403,1085,52670,91,188,162,132,182,68,30,852,309,499,326,241,309,105,45,1839,140,308,229,166,206,78,44,1165,2526,3278,2278,1619,1890,519,221,12331,87,89,74,45,33,12,0,332,3153,4366,3065,2203,2622,771,343,16524,17440,18675,11480,7734,9264,3175,1432,69191
UCL102003,235,239,162,93,118,42,9,886,241,286,148,85,103,32,23,917,279,259,153,98,113,23,14,949,1553,1696,1035,648,777,257,92,6064,10,12,4,3,0,0,0,33,2319,2495,1507,934,1114,355,136,8855,12,31,30,25,29,3,8,142,49,100,73,48,61,13,9,355,26,47,48,31,33,11,8,201,312,497,341,288,350,84,41,1906,18,20,10,6,3,0,0,52,414,689,506,397,477,113,65,2654,2736,3179,2009,1332,1588,466,197,11506
UCL102004,1625,1670,937,519,656,325,158,5892,1129,1172,678,463,565,218,75,4300,1254,1267,705,415,459,193,86,4373,11425,11507,6640,4309,5330,2089,992,42283,42,46,27,11,8,0,0,134,15480,15667,8991,5714,7011,2821,1308,56991,96,150,146,100,146,66,40,743,228,321,235,172,211,72,45,1296,89,175,150,111,147,52,24,752,1988,3121,2190,1649,1873,590,289,11695,63,73,37,35,15,6,0,223,2463,3840,2754,2069,2398,781,404,14705,17936,19505,11749,7783,9406,3603,1713,71693
UCL102005,1422,1666,954,599,769,460,241,6118,1049,1130,733,478,621,295,149,4462,1101,1101,664,421,564,241,102,4186,9308,8696,5113,3462,4141,1534,684,32938,33,51,30,19,8,0,0,139,12918,12646,7493,4978,6107,2529,1179,47850,99,180,138,130,179,116,74,916,213,329,233,189,234,95,52,1351,81,181,158,124,143,60,32,786,1700,2417,1640,1208,1327,404,172,8866,79,76,62,41,28,3,8,295,2174,3182,2228,1686,1923,682,341,12216,15088,15828,9718,6665,8035,3216,1518,60067
UCL111001,359,315,157,77,105,49,8,1073,133,133,83,48,69,11,4,475,142,130,50,36,48,16,6,425,1908,1807,978,631,760,201,74,6361,9,6,0,4,4,0,0,30,2554,2394,1260,797,976,283,95,8360,27,44,30,20,27,14,5,157,28,37,31,20,34,12,0,165,9,23,13,18,18,0,0,83,545,678,415,315,371,76,20,2422,23,22,19,10,0,0,0,77,631,808,512,382,452,96,23,2908,3187,3201,1773,1176,1433,379,117,11265
UCL111002,306,385,211,114,156,49,22,1247,129,169,100,67,75,11,5,559,153,149,92,49,54,13,0,512,1307,1373,882,580,687,153,41,5018,0,8,4,0,7,0,0,18,1901,2084,1284,813,976,229,68,7350,30,54,38,35,48,29,11,243,42,50,57,36,34,5,3,227,15,36,23,19,25,6,5,129,407,563,406,312,320,62,19,2102,23,27,6,6,10,6,0,69,516,740,541,401,426,104,41,2763,2421,2815,1823,1215,1398,331,107,10116
UCL111003,406,432,206,115,160,79,41,1434,263,279,137,98,115,30,16,933,255,237,119,99,86,32,13,840,3892,3628,2185,1407,1510,457,228,13306,19,20,14,10,0,0,0,61,4831,4598,2658,1730,1870,596,297,16579,23,34,17,18,40,14,11,148,55,97,51,31,52,18,7,309,34,59,34,26,29,10,3,194,910,1302,813,555,590,136,64,4378,16,23,10,11,12,0,0,74,1038,1526,927,648,716,174,83,5107,5872,6117,3581,2371,2589,770,381,21680
UCL112001,216,229,135,51,84,42,26,781,44,49,32,19,24,3,0,168,55,58,27,14,17,7,0,186,520,494,237,197,242,37,14,1747,4,11,4,4,0,0,0,16,838,836,434,284,368,89,44,2893,8,41,33,20,22,12,4,135,13,26,20,16,15,9,6,99,9,4,9,9,13,0,3,41,213,237,144,99,140,19,7,863,8,10,7,7,0,0,0,35,249,317,202,155,187,38,20,1170,1086,1153,636,443,557,126,63,4066
