UCL_CODE_2021,M_0_299_DS_DS_Sept_house,M_0_299_DS_DS_sd_row_tce_hs_t,M_0_299_DS_DS_Flat_apart,M_0_299_DS_DS_Other_dwg,M_0_299_DS_ns,M_0_299_Tot,M_300_449_DS_Separate_hse,M_300_449_DS_sd_row_tc_hse_th,M_300_449_DS_Flat_apart,M_300_449_DS_Other_dwg,M_300_449_DS_ns,M_300_449_Tot,M_450_599_DS_Separate_hse,M_450_599_DS_sd_row_tce_hs_th,M_450_599_DS_Flat_apart,M_450_599_DS_Other_dwg,M_450_599_DS_ns,M_450_599_Tot,M_600_799_DS_Separate_hse,M_600_799_DS_sd_row_tc_hs_th,M_600_799_DS_Flat_apart,M_600_799_DS_Other_dwg,M_600_799_DS_ns,M_600_799_Tot,M_800_999_DS_Separate_hse,M_800_999_DS_sd_row_tc_hs_th,M_800_999_DS_Flat_apart,M_800_999_DS_Other_dwg,M_800_999_DS_ns,M_800_999_Tot,M_1000_1399_DS_Separate_hse,M_1000_1399_DS_sd_rw_tc_h_th,M_1000_1399_DS_Flat_apart,M_1000_1399_DS_Other_dwg,M_1000_1399_DS_ns,M_1000_1399_Tot,M_1400_1799_DS_Separate_hse,M_1400_1799_DS_sd_rw_tc_h_th,M_1400_1799_DS_Flat_apart,M_1400_1799_DS_Other_dwg,M_1400_1799_DS_ns,M_1400_1799_Tot,M_1800_2399_DS_Separate_hse,M_1800_2399_DS_sd_rw_tc_h_th,M_1800_2399_DS_Flat_apart,M_1800_2399_DS_Other_dwg,M_1800_2399_DS_ns,M_1800_2399_Tot,M_2400_2999_DS_Separate_hse,M_2400_2999_DS_sd_rw_tc_h_th,M_2400_2999_DS_Flat_apart,M_2400_2999_DS_Other_dwg,M_2400_2999_DS_ns,M_2400_2999_Tot,M_3000_3999_DS_Separate_hse,M_3000_3999_DS_sd_rw_tc_h_th,M_3000_3999_DS_Flt_apart,M_3000_3999_DS_Other_dwg,M_3000_3999_DS_ns,M_3000_3999_Tot,M_4000_over_DS_Separate_hse,M_4000_ov_DS_sd_rw_tce_hs_th,M_4000_over_DS_Flat_apart,M_4000_over_DS_Other_dwg,M_4000_DS_over_ns,M_4000_over_Tot,Mort_Rpmnt_ns_DS_Separat_hs,Mrt_Rpmt_ns_DS_sd_rw_tc_hs_th,Mrt_Rpmt_ns_DS_Flat_apart,Mort_Rpmnt_ns_DS_Other_dwg,Mort_Rpmnt_ns_DS_ns,Mort_Rpmnt_ns_Total,Tot_DS_Separate_hse,Tot_DS_sd_row_tce_hse_thse,Tot_DS_Flat_apartment,Tot_DS_Other_dwg,Tot_DS_ns,Tot_Tot
UCL122136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UCL122137,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,16
UCL122138,3,0,0,0,0,3,5,0,0,0,0,5,6,0,0,0,0,6,6,0,0,0,0,6,8,0,0,0,0,8,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,36
UCL122139,4,0,0,0,0,4,4,0,0,0,0,4,10,0,0,0,0,10,0,0,0,0,0,0,7,0,0,0,0,7,7,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,38,0,0,0,0,38
UCL122140,6,0,0,0,0,6,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,21,0,0,0,0,21
UCL122141,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,10,6,0,0,0,0,6,15,0,0,0,0,15,18,0,0,0,0,18,8,0,0,0,0,8,11,0,0,0,0,11,0,0,0,0,0,0,5,0,0,0,0,5,71,0,0,0,0,71
UCL122142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,4,0,0,0,0,4,10,0,0,0,0,10,13,0,0,0,0,13,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,33
UCL122143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,3,0,0,0,0,3,5,0,0,0,0,7,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,3,21,0,0,0,0,22
UCL122144,7,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,9,0,0,0,0,3,13,0,0,0,0,13,5,0,0,0,0,5,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,46
UCL122145,0,0,0,0,0,0,9,0,0,0,0,9,3,0,0,0,0,3,5,0,0,0,0,5,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,19
UCL122146,0,0,0,0,0,0,6,0,0,0,0,6,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,18,0,0,0,0,18
UCL122147,4,0,0,0,0,8,3,0,0,0,0,3,0,0,0,0,0,0,4,0,0,0,0,4,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,22
UCL122148,4,0,0,0,0,4,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,13
UCL122149,9,0,0,0,0,9,4,0,0,0,0,4,8,0,0,0,0,8,9,0,0,0,0,9,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,46,0,0,0,0,46
UCL122150,0,0,0,0,0,3,0,0,0,0,0,0,6,0,0,0,0,6,3,0,0,0,0,3,6,0,0,0,0,8,26,0,0,0,0,26,25,0,0,0,0,29,11,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,4,0,0,0,91
UCL122151,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,3,3,0,0,0,0,3,9,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,29
UCL122152,6,0,0,0,0,6,5,0,0,0,0,5,4,0,0,0,0,4,5,0,0,0,0,5,6,0,0,0,0,6,5,0,0,0,0,5,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,34
UCL122153,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,3,0,0,0,0,3,11,0,0,0,0,11,15,0,0,0,0,15,8,0,0,0,0,8,3,0,0,0,0,3,0,0,0,0,0,0,4,0,0,0,0,4,52,0,0,0,0,52
UCL122154,0,0,0,0,0,0,5,0,0,0,0,5,3,0,0,0,0,3,0,0,0,0,0,0,5,0,0,0,0,5,9,0,0,0,0,9,17,0,0,0,0,17,15,0,0,0,0,15,4,0,0,0,0,4,3,0,0,0,0,3,0,0,0,0,0,0,6,0,0,0,0,6,63,0,0,0,0,69
UCL122155,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,3,10,0,0,0,0,10,11,0,0,0,0,11,16,0,0,0,0,15,9,0,0,0,0,9,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0,0,0,0,65
UCL122156,0,0,0,0,0,0,3,0,0,0,0,3,4,0,0,0,0,4,3,0,0,0,0,9,10,0,0,0,0,10,20,0,0,0,0,20,6,0,0,0,0,6,4,0,0,0,0,4,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,57,0,0,0,0,63
UCL122157,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,7,0,0,0,0,7,8,0,0,0,0,8,10,0,0,0,0,10,10,0,0,0,0,10,13,0,0,0,0,13,7,0,0,0,0,7,3,0,0,0,0,3,62,0,0,0,0,62
UCL122158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,8,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,18
UCL131001,4427,27,10,26,20,4508,1406,5,3,6,4,1432,1294,6,4,8,3,1316,2332,9,8,24,9,2377,3002,14,5,22,22,3066,7971,34,14,46,19,8081,8060,53,7,31,15,8161,11156,53,13,33,28,11280,6413,30,9,19,16,6487,6900,22,3,13,13,6953,6714,29,17,17,18,6796,4672,28,6,22,12,4737,64348,296,113,263,172,65193
UCL179997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UCL199994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UCL201001,23313,4002,2209,34,16,29568,7124,1231,646,7,3,9012,6126,1058,649,9,4,7843,10347,1845,1174,18,5,13386,14103,2603,2038,21,6,18774,45101,8882,8556,98,30,62666,62984,12161,11440,105,57,86738,108262,17720,13550,144,60,139737,56635,9907,5586,63,38,72229,51956,10186,4475,66,43,66719,47762,9521,3173,53,36,60534,31839,5157,2779,44,25,39841,465538,84272,56274,644,319,607042
UCL203001,494,40,5,0,0,535,312,33,3,0,0,349,268,30,4,0,0,304,593,76,8,6,0,680,900,95,20,0,0,1013,2900,248,33,5,4,3186,2943,110,7,3,8,3072,2153,81,3,4,5,2246,637,23,0,3,0,666,450,20,0,0,0,475,282,11,3,0,0,296,607,35,3,0,0,647,12540,800,94,15,15,13464
UCL203002,557,14,0,0,0,572,330,14,3,0,0,348,285,16,0,0,0,305,636,32,3,0,0,673,951,59,5,0,0,1016,3202,104,11,3,9,3331,2981,62,13,0,9,3062,2069,38,3,0,0,2108,599,6,0,0,0,608,428,12,0,0,0,449,264,3,0,0,0,266,657,15,0,0,0,678,12964,372,45,8,21,13408
UCL203003,930,60,11,0,0,1002,449,26,6,0,0,482,383,29,6,0,0,416,751,66,18,3,0,837,996,113,29,0,0,1143,3453,312,92,3,0,3864,4272,324,57,0,4,4654,5213,217,55,0,3,5492,1897,74,12,0,5,1987,1349,44,10,0,0,1406,820,34,5,0,0,860,1152,73,15,5,0,1242,21657,1366,329,9,18,23388
UCL211001,197,5,0,0,0,202,108,5,0,0,0,116,94,3,0,0,0,94,174,19,0,0,0,198,374,34,10,0,0,418,1164,39,8,0,0,1210,1147,10,0,0,0,1159,784,5,0,0,0,784,193,0,0,0,0,194,155,0,0,0,0,155,77,0,0,0,0,77,234,13,0,0,0,247,4700,129,22,0,7,4858
UCL211002,391,22,0,0,0,413,167,9,0,0,0,177,175,16,0,0,0,191,301,26,0,0,0,327,454,37,3,0,0,495,1802,159,10,0,0,1969,2956,93,5,0,3,3051,2896,43,5,0,5,2948,577,6,0,0,0,585,390,11,0,0,0,403,269,6,0,0,0,275,707,25,0,0,0,731,11069,449,26,0,14,11554
UCL212001,124,4,0,0,0,127,54,7,0,0,0,64,40,0,0,0,0,46,75,8,0,0,0,83,145,9,0,0,0,153,537,38,0,0,0,579,826,26,0,0,0,858,1010,12,0,0,0,1026,296,9,0,0,0,300,205,0,0,0,0,208,80,0,0,0,0,80,225,4,0,0,0,229,3626,120,0,0,0,3752
UCL212002,67,0,0,0,0,71,34,0,0,0,0,37,31,0,0,0,0,32,71,8,0,0,0,78,122,9,0,0,0,132,359,18,0,0,3,379,398,8,0,0,0,410,214,6,0,0,0,223,59,0,0,0,0,57,43,0,0,0,0,47,28,5,0,0,0,38,106,6,0,0,0,106,1535,60,0,5,4,1608
UCL212003,150,12,7,0,0,167,81,4,0,0,0,91,103,3,0,0,0,112,239,19,15,0,0,276,402,27,12,0,0,434,1142,43,21,0,0,1201,753,17,0,0,0,772,444,13,0,0,0,460,113,0,0,0,0,118,81,0,0,0,0,84,53,0,0,0,0,53,235,13,5,0,0,261,3808,148,59,6,0,4018
UCL212004,106,14,0,0,0,123,55,4,0,0,0,62,40,0,0,0,0,41,70,3,0,0,0,73,99,6,0,0,0,105,301,16,0,0,0,320,389,12,4,0,0,411,711,18,0,0,0,730,396,7,0,0,0,407,325,7,0,0,0,333,220,11,0,0,0,229,147,9,0,0,0,156,2865,115,9,0,0,2986
UCL212005,231,6,0,0,5,243,151,4,0,0,0,154,154,15,0,0,0,168,331,23,0,0,3,359,561,11,0,0,0,580,1551,38,0,0,0,1595,1129,12,0,0,0,1150,795,10,0,3,0,807,203,0,0,0,0,205,143,0,0,0,0,146,120,0,0,0,0,123,317,10,0,0,0,329,5693,135,3,7,5,5850
UCL212006,247,5,9,0,0,264,109,0,0,0,0,116,83,3,0,0,0,90,189,5,12,0,0,202,265,5,11,0,0,276,853,18,53,0,0,922,1225,30,66,0,0,1321,1664,15,26,0,0,1707,617,3,3,0,0,630,373,5,3,0,0,377,233,0,5,0,0,234,376,8,19,0,0,394,6245,94,207,0,0,6540
UCL212007,120,7,0,0,0,131,70,0,0,0,0,70,29,0,0,0,0,27,45,3,0,0,0,55,87,3,0,0,0,92,286,5,0,0,0,293,375,23,0,0,0,400,709,33,0,0,0,744,536,17,0,0,0,557,444,15,0,0,0,457,249,3,0,0,0,257,213,3,0,0,0,219,3169,125,7,0,0,3304
UCL212008,179,5,6,0,0,192,91,7,5,0,0,106,87,0,4,0,0,93,226,4,10,0,0,236,370,3,16,0,0,389,1016,24,17,0,4,1061,794,14,3,0,0,805,500,3,5,0,0,517,174,0,0,0,0,178,122,0,0,0,0,122,77,0,0,0,0,77,244,3,6,0,0,256,3893,72,64,8,8,4038
UCL212009,163,11,4,0,0,180,75,7,5,0,0,91,73,7,0,0,0,83,181,21,6,0,0,201,276,32,12,0,0,323,928,60,19,0,0,1010,888,30,8,0,0,927,626,17,3,0,0,645,177,5,0,0,0,180,126,0,0,0,0,128,82,0,0,0,0,82,203,9,4,0,0,224,3801,199,63,0,0,4066
UCL213001,63,11,0,0,0,71,45,0,0,0,0,47,46,5,0,0,0,53,111,0,0,0,0,120,169,8,3,0,0,178,418,11,0,0,0,423,308,5,0,0,0,321,147,5,0,0,0,151,30,0,0,0,0,32,32,0,0,0,0,32,10,0,0,0,0,12,72,4,0,0,0,71,1452,47,3,0,0,1507
UCL213002,72,3,0,0,0,75,52,0,0,0,0,53,33,0,0,0,0,37,62,0,0,0,0,62,102,0,0,0,0,102,271,4,0,0,0,272,263,8,0,0,0,274,202,4,0,0,0,201,76,0,0,0,0,76,56,0,0,0,0,57,28,0,0,0,0,24,75,0,0,0,0,74,1281,22,0,0,0,1304
UCL213003,47,3,0,0,3,51,40,3,0,0,0,47,35,0,0,0,0,36,88,3,0,0,0,95,157,3,0,0,0,161,440,4,0,0,0,451,321,0,0,0,0,324,190,0,0,0,0,189,54,0,0,0,0,54,29,0,0,0,0,29,19,0,0,0,0,23,92,0,0,0,0,94,1505,29,0,7,3,1544
UCL213004,63,0,0,0,0,66,40,0,0,0,0,41,28,0,0,0,0,28,68,0,5,0,0,73,107,15,7,0,0,130,353,21,11,0,0,375,555,7,4,0,0,568,488,7,0,0,0,498,160,0,0,0,0,160,102,0,0,0,0,101,49,0,0,0,0,49,135,3,0,0,0,141,2141,60,29,0,0,2227
UCL213005,112,3,0,0,0,115,63,0,0,0,0,63,48,0,0,0,0,50,81,0,0,0,0,87,105,3,0,0,0,107,377,3,0,0,0,383,526,0,0,0,0,526,554,5,0,0,0,556,180,0,0,0,0,180,98,0,0,0,0,100,60,0,0,0,0,60,131,0,0,0,0,132,2340,25,0,0,0,2361
UCL213006,69,3,0,0,0,70,30,0,0,0,0,30,13,0,0,0,0,15,43,0,0,0,0,44,44,4,0,0,0,52,171,11,0,0,0,185,232,27,4,0,0,259,420,18,0,0,0,433,268,3,0,0,0,272,216,3,0,0,0,214,110,3,0,0,0,113,98,4,0,0,0,99,1717,76,10,0,0,1793
UCL213007,87,3,0,0,0,93,66,0,0,0,0,66,74,0,0,0,0,78,166,0,0,0,0,168,266,6,4,0,0,276,617,3,4,0,0,625,357,3,0,0,0,362,224,0,5,0,0,232,67,0,0,0,0,68,50,0,0,0,0,50,28,0,0,0,0,28,94,0,0,0,0,92,2102,15,13,0,3,2127
UCL213008,83,11,0,0,0,91,36,0,0,0,0,34,35,0,0,0,0,37,59,5,0,0,0,67,100,8,0,0,0,105,362,25,0,0,0,383,566,26,0,0,0,589,774,25,0,0,0,792,208,0,0,0,0,216,121,7,0,0,0,127,55,0,0,0,0,58,145,4,0,0,0,151,2541,109,0,0,0,2651
UCL213009,86,0,0,0,0,87,44,6,0,0,0,44,25,0,0,0,0,24,69,6,0,0,0,78,84,0,0,0,0,88,330,17,0,0,0,344,462,17,0,0,0,482,476,0,0,0,0,482,107,0,0,0,0,114,68,0,0,0,0,73,38,0,0,0,0,38,102,9,0,0,0,110,1901,58,0,0,0,1956
UCL213010,74,8,3,0,0,85,81,12,0,0,0,93,101,4,0,0,0,107,232,3,4,0,0,237,263,11,4,0,0,281,502,16,0,0,0,520,263,3,0,0,0,267,128,0,0,0,0,131,29,0,0,0,0,29,19,0,0,0,0,24,12,0,0,0,0,12,105,0,0,0,0,110,1819,72,15,0,0,1899
UCL213011,82,0,8,0,0,86,85,0,3,0,0,90,89,3,0,0,0,95,201,9,10,0,0,215,205,0,4,0,0,216,335,0,3,0,0,337,135,0,0,0,0,136,91,0,0,0,0,91,20,0,0,0,0,20,11,0,0,0,0,16,10,0,0,0,0,15,106,3,0,0,0,110,1373,20,31,0,0,1421
UCL213012,67,0,0,0,0,66,50,0,0,0,0,53,61,10,0,0,0,66,146,0,0,0,0,146,179,5,0,0,0,183,328,9,0,0,0,340,197,0,0,0,0,196,94,0,0,0,0,99,32,0,0,0,0,32,21,0,0,0,0,18,15,0,0,0,0,15,69,0,0,0,0,73,1264,29,3,0,4,1301
UCL213013,74,4,0,0,0,76,42,0,0,0,0,45,61,0,0,0,0,62,110,6,4,0,0,119,166,7,3,0,0,175,412,13,6,0,0,430,315,3,0,0,0,324,216,5,0,0,0,215,53,0,0,0,0,56,35,0,0,0,0,33,28,0,0,0,0,25,84,9,3,0,0,92,1587,49,21,0,3,1667
UCL213014,44,3,0,0,0,51,29,0,0,0,0,28,34,0,0,0,0,38,90,7,0,0,0,89,137,8,5,0,0,144,347,6,3,0,0,358,240,3,0,0,0,239,152,0,0,0,0,160,46,0,0,0,0,46,27,0,0,0,0,31,19,0,0,0,0,20,68,0,3,0,0,77,1230,22,13,3,0,1265
UCL213015,77,3,0,0,0,79,39,0,0,0,0,39,24,0,0,0,0,22,59,4,0,0,0,56,79,9,0,0,0,91,356,35,0,0,0,391,649,52,0,0,0,702,711,17,0,0,0,728,218,3,0,0,0,223,151,0,0,0,0,152,80,0,0,0,0,80,180,10,0,0,0,187,2626,137,4,0,4,2767
UCL213016,104,5,0,0,0,106,64,4,0,0,0,64,59,0,0,0,0,63,134,11,0,0,0,144,234,23,0,0,0,259,596,23,0,0,0,619,495,10,0,0,0,505,321,0,0,0,0,327,84,0,0,0,0,84,66,0,0,0,0,66,46,3,0,0,0,51,148,4,0,0,0,153,2363,81,0,0,0,2443
UCL213017,92,4,4,0,0,103,56,0,0,0,0,50,40,3,0,0,0,48,92,0,0,0,0,90,126,3,8,0,0,133,465,15,12,0,0,487,630,5,5,0,0,640,613,6,5,0,0,620,191,0,0,0,0,191,109,0,0,0,0,109,84,0,0,0,0,82,144,4,4,0,0,149,2649,31,31,6,0,2716
UCL213018,46,4,0,0,0,50,21,4,0,0,0,29,28,0,0,0,0,31,57,7,0,0,0,62,60,0,0,0,0,61,192,8,0,0,0,199,202,5,0,0,0,208,151,4,0,0,0,156,53,0,0,0,0,53,29,0,0,0,0,31,18,0,0,0,0,18,44,8,0,0,0,49,907,40,4,0,0,949
UCL214001,40,5,0,0,0,46,38,0,0,0,0,39,42,0,0,0,0,41,87,0,0,0,0,87,131,9,0,0,0,137,234,3,0,0,0,239,96,0,0,0,0,99,57,0,0,0,0,61,30,0,0,0,0,30,10,0,0,0,0,10,12,0,0,0,0,12,41,0,0,0,0,45,820,15,0,3,0,843
UCL214002,23,0,0,0,0,23,19,0,0,0,0,19,13,0,0,0,0,13,30,0,0,0,0,28,36,3,0,0,0,38,139,5,0,0,0,145,233,5,0,0,0,239,313,3,0,0,0,319,145,0,0,0,0,145,71,0,0,0,0,71,23,0,0,0,0,25,70,0,0,0,0,70,1127,19,0,0,0,1147
UCL214003,57,5,0,0,0,60,36,4,0,0,0,43,35,5,0,0,0,43,91,6,0,0,0,96,129,4,0,0,0,138,257,5,0,0,0,269,204,4,0,0,0,208,115,0,0,0,0,115,24,0,0,0,0,21,22,0,0,0,0,22,18,0,0,0,0,16,55,0,0,0,0,55,1043,39,0,5,4,1089
UCL214004,33,0,0,0,0,33,22,0,0,0,0,22,21,0,0,0,0,21,31,3,0,0,0,35,67,0,0,0,0,70,156,5,0,0,0,157,98,0,0,0,0,98,65,0,0,0,0,64,8,0,0,0,0,12,9,0,0,0,0,14,11,0,0,0,0,14,38,0,0,0,0,38,552,11,0,4,3,570
UCL214005,5,0,0,0,0,5,4,0,0,0,0,4,5,0,0,0,0,0,11,0,0,0,0,11,11,0,0,0,0,15,35,0,0,0,0,35,36,0,0,0,0,41,13,0,0,0,0,16,7,0,0,0,0,7,11,0,0,0,0,11,0,0,0,0,0,0,8,0,0,0,0,8,138,7,3,0,0,147
UCL214006,26,6,4,0,0,37,17,0,0,0,0,17,17,0,0,0,0,16,25,5,0,0,0,22,38,6,0,0,0,43,94,8,9,0,0,111,124,0,3,0,0,135,98,3,0,0,0,101,43,0,0,0,0,41,34,0,0,0,0,34,25,0,0,0,0,27,37,3,0,0,0,38,566,30,16,0,5,620
UCL214007,23,0,0,0,0,23,8,0,0,0,0,8,3,0,0,0,0,3,22,0,0,0,0,24,33,0,0,0,0,37,126,15,0,0,0,142,248,29,0,0,0,278,362,22,0,0,0,378,104,5,0,0,0,103,47,0,0,0,0,43,21,3,0,0,0,23,48,7,0,0,0,57,1036,77,0,0,0,1114
UCL214008,48,0,0,0,0,50,38,0,0,0,0,37,64,0,0,0,0,65,161,3,0,0,0,162,185,0,0,0,0,184,352,3,0,0,0,351,154,3,0,0,0,159,96,0,0,0,0,100,31,5,0,0,0,35,14,0,0,0,0,17,11,0,0,0,0,11,62,0,0,0,0,65,1217,16,3,0,0,1243
UCL214009,57,4,0,0,0,60,27,6,0,0,0,28,32,0,0,0,0,32,52,3,0,0,0,53,75,3,0,0,0,75,217,16,5,0,0,241,262,10,0,0,0,274,301,5,0,0,0,309,126,0,0,0,0,121,87,0,0,0,0,96,30,0,0,0,0,30,70,5,0,0,0,77,1348,46,7,0,3,1394
UCL214010,31,4,0,0,0,35,11,0,0,0,0,12,14,3,0,0,0,16,23,0,0,0,0,23,37,5,0,0,0,40,95,4,0,0,0,94,108,3,0,0,0,106,135,3,0,0,0,147,45,0,0,0,0,47,33,0,0,0,0,33,19,0,0,0,0,19,32,0,0,0,0,36,576,28,0,0,0,597
UCL214011,44,0,0,0,0,52,27,9,0,0,0,31,23,0,0,0,0,26,34,6,0,0,0,45,66,0,0,0,0,66,229,9,0,0,0,238,315,6,0,0,0,325,319,4,0,0,0,323,95,0,0,0,0,98,56,0,0,0,0,56,33,0,0,0,0,33,92,0,0,0,0,96,1343,39,5,0,0,1394
UCL214012,18,0,0,0,0,18,25,0,0,0,0,25,21,0,0,0,0,19,60,3,0,0,0,68,97,0,0,0,0,99,231,4,0,0,0,232,112,0,0,0,0,112,74,0,0,0,0,74,8,0,0,0,0,8,10,0,0,0,0,10,8,0,0,0,0,8,46,3,0,0,0,48,712,10,0,0,0,725
UCL214013,35,0,0,0,0,35,8,0,0,0,0,8,9,0,0,0,0,9,24,0,0,0,0,27,32,0,0,0,0,29,84,3,0,5,0,92,118,7,0,0,0,126,153,4,0,0,0,158,72,0,0,0,0,74,52,0,0,0,0,52,18,0,0,0,0,18,26,4,0,0,0,33,636,22,0,4,0,666
UCL214014,41,3,0,0,0,45,19,4,0,0,0,23,20,0,0,0,0,20,31,0,0,0,0,34,68,4,0,0,0,70,147,3,0,0,3,156,90,0,0,0,0,91,61,0,0,0,0,60,20,0,0,0,0,20,19,0,0,0,0,19,11,0,0,0,0,11,26,3,0,0,0,26,550,21,0,0,3,574
UCL214015,23,0,0,0,0,25,20,0,0,0,0,20,17,0,0,0,0,17,33,0,0,0,0,33,54,0,0,0,0,52,175,0,0,0,0,175,166,0,0,0,0,163,110,0,0,0,0,112,26,0,0,0,0,26,27,0,0,0,0,27,13,0,0,0,0,13,24,0,0,0,0,24,683,3,0,0,0,686
UCL214016,35,0,0,0,0,38,50,4,0,0,0,56,46,0,0,0,0,42,104,0,0,0,0,104,142,0,0,0,0,150,210,5,0,0,0,214,99,0,0,0,0,104,57,0,0,0,0,57,10,0,0,0,0,7,7,0,0,0,0,7,3,0,0,0,0,3,48,0,0,0,0,52,808,14,5,0,0,831
UCL214017,22,3,0,0,0,27,15,0,0,0,0,15,8,0,0,0,0,10,19,0,0,0,0,19,15,0,0,0,0,19,56,0,0,0,0,56,47,0,0,0,0,50,98,0,0,0,0,103,63,5,0,0,0,67,71,0,0,0,0,71,33,0,0,0,0,37,32,0,0,0,0,32,477,12,3,4,0,495
