UCL_CODE_2021,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85_over,P_Tot_Tot
UCL122086,51,35,41,31,53,61,70,32,10,380
UCL122087,26,16,9,23,13,32,52,11,4,187
UCL122088,35,39,19,27,38,32,43,9,3,249
UCL122089,85,35,65,54,49,68,48,36,9,454
UCL122090,53,41,50,59,62,81,66,36,4,448
UCL122091,64,27,39,30,34,52,44,33,13,339
UCL122092,65,39,29,52,43,62,54,21,3,366
UCL122093,53,37,31,43,46,67,35,27,8,348
UCL122094,42,30,29,29,49,61,56,25,11,336
UCL122095,48,18,23,27,38,45,14,12,3,233
UCL122096,22,24,13,18,30,56,37,36,0,245
UCL122097,33,24,16,13,38,36,25,15,4,202
UCL122098,80,31,46,54,61,104,84,23,14,500
UCL122099,41,31,30,16,25,39,46,17,4,250
UCL122100,48,31,23,37,63,108,111,51,8,491
UCL122101,58,37,12,46,68,57,68,18,0,365
UCL122102,46,29,18,15,38,64,57,32,6,314
UCL122103,31,20,13,19,23,39,24,16,7,196
UCL122104,55,70,25,33,75,80,43,21,5,411
UCL122105,77,27,27,54,48,58,20,4,0,321
UCL122106,51,17,48,22,26,65,46,25,3,305
UCL122107,58,30,41,46,40,65,39,24,4,345
UCL122108,11,16,6,12,17,42,66,43,6,211
UCL122109,10,8,35,14,20,10,3,0,0,99
UCL122110,80,26,39,56,40,61,36,24,3,362
UCL122111,80,40,26,52,52,68,50,9,3,367
UCL122112,18,17,10,13,42,70,69,35,6,279
UCL122113,28,18,8,24,25,40,27,18,0,191
UCL122114,25,11,19,15,35,66,75,26,11,282
UCL122115,51,18,16,36,29,42,58,32,5,285
UCL122116,34,22,20,12,46,54,57,30,10,283
UCL122117,97,61,50,43,53,62,37,19,0,433
UCL122118,68,33,39,38,42,35,25,9,0,292
UCL122119,38,14,27,30,40,69,75,28,5,319
UCL122120,117,40,50,54,68,65,46,26,6,469
UCL122121,76,35,40,50,29,36,29,11,0,304
UCL122122,123,50,46,66,64,59,49,19,4,483
UCL122123,33,17,9,15,28,38,47,22,5,207
UCL122124,73,45,24,48,49,22,24,12,0,284
UCL122125,29,14,11,20,17,39,54,24,8,212
UCL122126,74,36,32,51,50,94,44,20,5,409
UCL122127,43,26,15,19,42,50,56,23,15,292
UCL122128,42,13,35,17,24,27,26,16,5,206
UCL122129,39,28,30,26,40,48,42,28,10,288
UCL122130,38,11,25,22,27,33,36,14,3,210
UCL122131,38,54,96,52,75,56,23,6,5,400
UCL122132,66,73,38,37,52,63,53,39,13,445
UCL122133,27,10,11,11,49,48,68,33,5,269
UCL122134,66,48,36,44,55,66,54,19,6,388
UCL122135,28,18,50,38,40,17,21,15,3,236
UCL122136,48,38,27,16,29,16,8,3,0,187
UCL122137,31,19,33,20,17,44,47,29,29,263
UCL122138,42,29,29,33,32,60,55,32,16,335
UCL122139,34,25,18,21,30,54,56,16,0,253
UCL122140,52,12,32,22,11,36,26,17,16,218
UCL122141,71,27,56,43,47,84,36,15,6,382
UCL122142,36,15,11,24,39,46,34,9,0,206
UCL122143,32,22,12,25,29,34,37,6,4,211
UCL122144,65,30,35,41,46,62,75,40,28,418
UCL122145,23,16,25,16,20,52,51,23,3,227
UCL122146,18,19,12,15,24,58,55,32,11,248
UCL122147,29,8,16,11,34,28,53,19,10,218
UCL122148,21,8,10,13,29,58,42,20,5,216
UCL122149,64,44,32,28,60,63,41,19,0,346
UCL122150,102,41,57,69,46,77,40,25,4,462
UCL122151,39,16,20,26,33,55,58,32,8,285
UCL122152,43,15,25,24,31,63,74,40,3,327
UCL122153,46,31,27,40,63,79,58,20,7,371
UCL122154,67,26,29,55,59,96,68,5,9,419
UCL122155,77,47,57,56,66,88,68,19,13,491
UCL122156,88,38,57,37,61,59,62,32,5,432
UCL122157,63,98,33,38,76,67,34,11,0,416
UCL122158,32,22,21,23,26,35,25,25,22,221
UCL131001,101325,62369,50478,62140,83164,95316,77284,33967,8221,574269
UCL179997,0,0,0,0,0,0,0,0,0,0
UCL199994,1260,1357,2187,1859,1678,1648,1055,277,49,11371
UCL201001,822705,564204,745220,690688,585234,489125,372835,220034,95489,4585537
UCL203001,19502,13189,14830,13043,12584,12102,10924,6377,2790,105348
UCL203002,18905,12190,13806,12295,11773,11857,10787,6256,2780,100649
UCL203003,31722,23401,28627,23294,21426,19990,17033,10156,4583,180239
UCL211001,7509,4657,5187,4754,4553,4453,3985,2082,671,37839
UCL211002,19391,9096,13038,12129,8198,6435,5308,2153,591,76346
UCL212001,4527,2383,3250,3016,2657,2301,2073,1080,404,21692
UCL212002,2293,1508,1603,1393,1686,1863,1762,1150,512,13764
UCL212003,6475,4171,5296,4211,4211,4210,3740,2323,1016,35652
UCL212004,4417,2021,1822,2938,2950,2930,3066,1374,519,22035
UCL212005,9956,5941,6919,6112,5847,5642,4933,3148,1352,49862
UCL212006,7247,4601,5422,5140,5187,4733,3411,1625,644,38010
UCL212007,5085,2247,2322,3697,3264,2501,2385,1085,414,22998
UCL212008,5102,3114,3855,3448,3183,3437,2998,1775,725,27628
UCL212009,5656,3661,4254,3901,4076,4252,3790,2258,1045,32894
UCL213001,2328,1444,1623,1361,1499,1704,1869,1367,543,13734
UCL213002,1493,797,992,1284,1421,1475,1630,1005,465,10577
UCL213003,2092,1343,1621,1364,1425,1499,1488,1033,492,12348
UCL213004,3007,1528,2055,1665,1613,1723,1738,1060,372,14764
UCL213005,2842,1580,1723,1898,1866,2185,2383,1296,424,16199
UCL213006,2610,1252,923,1694,1607,1212,900,578,223,10999
UCL213007,3011,1859,2194,1835,1780,2018,1797,1213,576,16289
UCL213008,3283,1791,2373,2242,2085,1576,1464,701,262,15772
UCL213009,2286,1381,1554,1552,1567,1495,1316,864,301,12319
UCL213010,2507,1657,2005,1614,1838,2170,2157,1258,554,15758
UCL213011,2446,1587,1741,1476,1728,1898,1691,1021,467,14068
UCL213012,1653,1093,1015,1119,1345,1608,1497,779,334,10450
UCL213013,2545,1525,1783,1639,1701,1721,1678,1047,460,14100
UCL213014,2072,1214,1619,1297,1092,1270,1086,803,417,10869
UCL213015,3639,1752,2501,2278,1780,1486,902,343,75,14741
UCL213016,3405,2144,2268,2206,2357,2454,2383,1698,793,19712
UCL213017,3523,2097,2630,2241,2247,2245,2183,1403,563,19134
UCL213018,1339,728,752,779,919,1141,1520,1003,390,8580
UCL214001,1104,782,928,687,783,943,929,579,282,7015
UCL214002,1567,671,787,949,810,513,505,264,114,6178
UCL214003,1357,937,1031,900,1054,1417,1491,1045,505,9742
UCL214004,870,521,622,588,599,648,763,548,237,5389
UCL214005,158,89,87,105,146,141,170,80,27,1004
UCL214006,942,427,531,635,758,1086,1377,751,297,6797
UCL214007,1088,463,1266,852,496,467,274,94,16,5011
UCL214008,1587,1063,1093,957,1052,1257,1273,876,417,9577
UCL214009,1440,853,958,998,1105,1278,1069,700,291,8698
UCL214010,934,432,419,611,611,898,1203,690,235,6046
UCL214011,1702,1057,1095,1033,1134,977,924,627,239,8786
UCL214012,1004,627,625,593,675,775,797,598,312,6010
UCL214013,844,456,505,637,737,614,632,468,268,5151
UCL214014,924,511,515,586,658,967,1343,767,261,6527
UCL214015,1037,554,545,659,571,703,797,528,218,5618
UCL214016,1150,741,783,627,886,1033,1229,937,383,7769
UCL214017,604,342,267,399,524,844,1236,754,296,5265
UCL214018,950,530,586,721,1037,1665,2169,1082,306,9048
UCL214019,913,727,732,604,723,863,805,442,208,6016
UCL214020,868,572,694,536,630,810,805,490,225,5627
UCL214021,1064,726,621,645,764,556,566,336,213,5497
UCL214022,1219,794,830,827,940,1186,1386,886,369,8430
UCL215001,147,107,91,101,193,326,283,111,34,1395
UCL215002,350,220,206,242,294,371,436,269,96,2480
UCL215003,454,222,254,331,361,544,613,306,102,3191
UCL215004,201,104,159,153,206,243,257,124,47,1491
UCL215005,186,89,103,93,134,141,215,116,50,1129
UCL215006,483,219,333,362,283,371,293,188,73,2613
UCL215007,496,192,154,324,328,348,363,240,79,2528
UCL215008,501,217,230,274,290,227,155,42,11,1950
UCL215009,133,73,63,98,105,164,188,101,14,938
UCL215010,485,313,148,316,346,320,224,98,32,2274
UCL215011,167,102,93,103,143,165,208,127,51,1166
UCL215012,532,252,233,391,459,466,552,305,110,3291
UCL215013,1187,427,855,766,466,281,143,25,6,4160
UCL215014,256,139,183,136,174,168,110,53,13,1231
UCL215015,353,232,229,289,330,355,364,252,80,2481
UCL215016,803,426,602,516,517,516,418,202,68,4076
UCL215017,620,323,314,340,314,327,223,174,75,2707
UCL215018,424,272,269,271,321,410,458,334,127,2884
UCL215019,430,229,238,311,344,349,274,99,18,2301
UCL215020,157,113,102,87,115,234,241,187,96,1336
UCL215021,178,126,103,108,190,206,187,90,18,1208
UCL215022,889,622,616,543,507,604,566,288,45,4679
UCL215023,228,153,150,115,194,215,202,171,76,1503
UCL215024,264,122,138,167,199,241,364,248,121,1870
UCL215025,154,81,87,97,110,218,224,78,19,1056
UCL215026,152,82,104,107,143,196,194,105,23,1108
UCL215027,176,90,107,115,134,179,170,146,76,1186
UCL215028,424,228,241,285,348,417,433,281,133,2794
UCL215029,425,222,320,361,547,725,660,321,150,3732
UCL215030,162,117,121,113,159,218,209,145,72,1315
UCL215031,206,111,114,116,158,208,211,154,87,1375
UCL215032,439,268,285,318,307,432,540,343,195,3116
UCL215033,819,267,317,562,417,233,174,38,3,2826
UCL215034,137,93,75,95,122,190,268,213,115,1308
UCL215035,368,177,209,202,193,180,177,106,23,1644
UCL215036,264,152,118,139,175,170,120,68,17,1226
UCL215037,184,93,158,145,179,226,238,113,21,1357
UCL215038,214,119,146,169,194,301,350,248,107,1844
UCL215039,252,150,172,150,153,192,260,151,59,1529
UCL215040,216,126,121,129,139,197,234,97,62,1328
UCL215041,608,327,326,355,418,528,543,386,208,3696
UCL215042,224,156,130,161,209,192,121,40,4,1247
UCL215043,817,375,571,440,350,301,242,139,94,3336
UCL215044,355,179,204,187,204,229,199,103,34,1705
UCL215045,668,383,448,363,443,516,545,316,177,3869
UCL215046,346,175,223,218,190,233,212,82,19,1691
UCL215047,483,243,427,262,242,208,177,87,34,2153
UCL215048,472,195,355,252,174,217,154,84,21,1923
UCL215049,117,103,155,106,117,214,258,121,56,1248
UCL215050,617,268,153,382,465,426,417,175,22,2926
UCL215051,871,457,524,528,438,596,619,370,144,4548
UCL215052,128,86,84,100,170,270,326,164,59,1381
UCL215053,736,276,456,495,439,558,537,355,143,3999
UCL215054,377,189,259,189,238,301,253,165,100,2077
UCL215055,186,83,88,136,173,342,403,171,26,1605
UCL215056,290,152,239,208,200,240,166,58,25,1584
UCL215057,353,154,147,198,223,248,225,134,68,1752
UCL215058,185,93,104,92,134,174,182,123,51,1147
UCL215059,343,180,199,264,271,348,392,181,69,2249
UCL215060,450,256,284,302,317,416,373,290,163,2846
UCL215061,318,155,206,224,192,308,344,203,88,2036
UCL215062,240,184,143,155,149,220,223,143,72,1529
UCL215063,205,108,125,111,97,134,167,96,40,1081
UCL215064,292,205,276,184,212,242,204,214,123,1949
UCL215065,585,364,406,346,443,521,561,390,195,3807
UCL215066,318,148,183,168,223,324,336,227,94,2024
UCL215067,129,78,125,90,105,138,170,102,75,1022
UCL215068,309,197,190,202,337,595,904,586,199,3505
UCL215069,581,240,240,386,358,470,623,353,160,3424
UCL215070,571,345,395,346,353,384,345,216,122,3070
UCL215071,717,444,329,435,556,532,362,171,28,3574
UCL215072,430,230,447,411,249,274,235,97,62,2441
UCL215073,388,261,217,230,335,443,434,338,162,2802
UCL215074,1044,534,758,629,668,571,471,218,44,4934
UCL215075,221,124,170,135,134,190,166,98,19,1249
UCL215076,389,212,237,236,272,335,370,199,74,2324
UCL215077,251,109,133,194,190,305,292,134,57,1664
UCL215078,445,223,283,260,246,236,136,69,14,1918
UCL215079,294,192,217,167,263,298,323,259,110,2126
UCL215080,448,232,316,243,216,250,308,130,33,2185
UCL215081,747,400,556,420,516,582,518,388,129,4259
UCL215082,543,246,248,351,316,277,199,52,13,2244
UCL215083,313,189,215,194,229,318,274,198,96,2020
UCL215084,265,149,166,107,155,156,172,97,69,1331
UCL215085,277,124,131,190,145,145,125,41,15,1196
UCL215086,777,400,442,477,455,392,485,287,122,3839
UCL215087,354,175,201,215,245,263,188,53,10,1705
UCL215088,271,176,130,184,343,337,275,135,58,1913
UCL215089,343,205,235,190,244,334,345,224,109,2227
UCL215090,365,178,314,254,207,270,259,131,63,2032
UCL215091,252,247,108,145,227,311,189,50,13,1542
UCL215092,948,386,358,603,698,555,608,372,140,4663
UCL215093,906,503,697,521,496,478,400,150,48,4198
UCL215094,216,129,80,120,174,158,108,40,0,1027
UCL215095,207,131,159,113,143,166,136,44,16,1107
UCL215096,489,256,312,299,330,272,280,152,38,2417
UCL215097,620,384,360,384,437,366,385,238,109,3283
UCL215098,262,129,202,152,118,198,200,95,33,1387
UCL215099,239,177,145,155,178,247,284,205,110,1739
UCL215100,184,94,95,113,133,222,214,168,61,1279
UCL221001,147,85,95,93,108,84,68,25,5,718
UCL221002,131,76,73,100,111,143,139,57,17,852
UCL221003,120,63,91,74,65,91,44,28,3,572
UCL221004,269,178,59,158,197,141,89,41,7,1139
UCL221005,119,49,77,66,88,83,105,61,29,674
UCL221006,129,47,67,90,69,81,105,31,6,628
UCL221007,95,45,68,58,57,113,65,30,4,534
UCL221008,123,59,44,71,77,111,141,97,83,808
UCL221009,123,78,79,83,60,91,78,21,7,626
UCL221010,111,56,74,69,69,99,62,26,6,574
UCL221011,124,82,44,82,105,91,63,22,3,619
UCL221012,103,62,37,60,84,93,44,13,3,504
UCL221013,118,61,69,86,92,114,47,22,7,617
UCL221014,117,72,72,101,119,170,195,86,25,960
UCL221015,67,40,38,40,70,99,104,34,8,503
UCL221016,309,119,106,166,117,81,56,12,4,957
UCL221017,175,88,94,93,117,143,148,59,11,920
UCL221018,110,84,77,64,127,173,194,105,61,993
UCL221019,118,69,83,82,122,156,147,73,31,886
UCL221020,100,62,56,74,98,157,160,95,75,867
UCL221021,128,68,108,110,79,111,82,20,9,721
UCL221022,85,32,51,52,72,62,102,41,10,511
UCL221023,86,48,35,39,85,131,138,97,24,680
UCL221024,98,71,59,56,132,199,237,105,28,994
UCL221025,92,42,67,65,84,107,128,82,50,713
UCL221026,79,49,63,65,94,127,127,64,48,725
UCL221027,118,50,75,62,89,127,101,99,30,753
UCL221028,68,47,20,47,73,162,217,147,29,811
UCL221029,148,84,98,69,102,111,50,37,8,703
UCL221030,22,19,19,32,85,164,128,48,4,510
UCL221031,143,65,63,99,76,76,54,23,5,607
UCL221032,111,49,47,74,78,74,76,48,8,570
UCL221033,43,36,51,39,45,92,98,56,46,509
UCL221034,231,122,60,159,159,95,71,15,3,914
UCL221035,99,65,61,60,106,109,131,86,68,779
UCL221036,170,90,81,92,104,129,84,27,7,773
UCL221037,88,66,59,61,77,101,127,68,30,683
UCL221038,187,99,106,120,156,110,83,31,0,901
UCL221039,125,89,85,72,91,122,106,64,11,762
UCL221040,85,72,53,47,97,107,121,75,4,661
UCL221041,146,62,90,82,90,93,65,12,3,641
UCL221042,90,44,78,68,65,80,76,39,10,554
UCL221043,44,39,26,31,130,275,325,125,17,1020
UCL221044,123,57,65,90,118,237,265,127,44,1118
UCL221045,135,69,78,97,107,122,97,33,8,736
UCL221046,448,128,346,254,107,101,91,30,5,1508
UCL221047,130,87,56,85,110,83,67,17,8,646
UCL221048,95,59,63,55,64,58,72,44,15,516
UCL221049,172,68,57,120,101,84,60,20,7,691
UCL221050,117,65,75,60,107,121,149,61,24,775
UCL221051,133,87,61,69,92,117,124,68,21,780
UCL221052,106,49,72,51,66,98,57,11,4,526
UCL221053,82,44,41,46,84,137,201,95,22,748
UCL221054,111,51,52,69,77,109,128,49,11,656
UCL221055,200,61,49,117,104,75,35,20,5,660
UCL221056,99,48,69,57,68,82,65,42,19,532
UCL221057,188,82,81,124,106,111,66,32,8,789
UCL221058,128,43,38,76,71,53,58,22,4,503
UCL221059,137,61,81,105,113,110,99,53,15,771
UCL221060,24,20,21,21,44,102,206,116,27,589
UCL221061,65,48,34,60,65,169,209,70,7,729
UCL221062,123,64,64,73,121,162,203,112,50,972
UCL221063,82,55,58,46,62,97,83,45,31,562
UCL221064,161,87,112,111,94,74,46,17,0,695
UCL221065,69,27,32,33,61,95,99,64,41,515
UCL221066,161,99,86,94,90,90,82,30,0,731
UCL221067,131,61,73,70,70,73,68,12,5,572
UCL221068,128,48,67,86,60,73,58,15,4,533
UCL221069,180,99,100,119,139,187,108,47,6,981
UCL221070,164,87,105,97,108,144,143,96,79,1016
UCL221071,126,98,71,75,97,124,108,91,41,830
UCL221072,116,41,83,63,38,87,73,15,0,513
UCL221073,102,81,45,62,79,73,51,11,0,507
UCL221074,103,41,49,67,98,164,166,100,38,827
UCL221075,102,44,48,71,100,166,184,83,21,826
UCL221076,89,33,67,77,117,206,211,83,18,904
UCL221077,89,47,44,64,82,139,130,81,48,717
UCL221078,87,59,75,75,84,87,54,21,3,541
UCL221079,80,43,43,36,87,133,130,81,22,650
UCL221080,71,35,41,66,80,107,100,53,9,570
UCL221081,75,37,53,30,79,91,86,67,33,562
UCL221082,142,141,152,162,160,117,50,16,0,939
UCL221083,197,77,71,123,124,176,157,109,79,1113
UCL221084,166,80,138,92,78,110,96,42,17,826
UCL222001,46,38,13,14,56,59,39,16,3,284
UCL222002,74,38,19,58,67,67,55,31,13,414
UCL222003,92,21,61,38,34,43,36,17,3,348
UCL222004,10,3,11,6,0,3,3,0,0,30
UCL222005,34,15,22,28,28,39,45,11,9,217
UCL222006,72,31,23,52,46,81,73,26,5,393
UCL222007,26,17,13,20,36,48,34,9,0,198
UCL222008,68,27,32,57,87,64,45,15,0,381
UCL222009,49,29,46,32,32,56,57,34,7,341
UCL222010,49,51,42,47,61,48,41,22,0,354
UCL222011,74,54,23,52,62,45,35,11,0,347
UCL222012,64,37,20,37,67,90,68,25,0,405
UCL222013,24,19,23,21,29,48,48,29,6,243
UCL222014,85,37,42,67,69,54,35,8,0,403
UCL222015,83,48,42,48,66,43,37,12,0,386
UCL222016,25,18,25,29,25,52,46,18,0,244
UCL222017,25,10,12,13,18,46,40,31,4,192
UCL222018,8,18,24,19,27,8,9,0,0,127
UCL222019,61,46,36,42,51,69,47,27,5,386
UCL222020,55,23,17,29,35,44,32,14,3,260
UCL222021,53,22,34,43,37,56,38,20,4,307
UCL222022,36,20,21,22,41,47,50,31,7,273
UCL222023,118,30,61,68,74,66,34,16,3,483
UCL222024,31,91,82,45,39,25,11,6,0,321
UCL222025,30,17,13,22,31,20,42,25,4,207
UCL222026,74,26,30,46,40,54,49,16,0,330
UCL222027,69,18,43,50,37,46,62,22,0,355
UCL222028,75,36,41,49,35,43,35,9,3,326
UCL222029,40,11,19,17,16,33,37,22,6,208
UCL222030,62,17,12,37,27,34,25,16,6,240
UCL222031,51,19,28,30,43,50,52,22,8,303
UCL222032,52,22,65,54,36,50,59,20,10,363
UCL222033,67,18,47,49,57,60,35,11,0,354
UCL222034,52,42,34,44,51,44,54,14,7,332
UCL222035,33,13,23,26,30,77,64,23,22,326
UCL222036,36,23,31,23,27,38,29,23,10,240
UCL222037,48,25,34,21,45,38,17,13,4,255
UCL222038,55,28,15,27,35,28,24,6,3,222
UCL222039,64,36,26,34,51,58,29,12,0,310
UCL222040,62,31,22,43,74,98,78,32,15,453
UCL222041,42,23,27,28,43,43,39,19,4,272
UCL222042,41,23,18,16,29,50,38,33,5,250
UCL222043,78,31,53,31,58,57,72,29,6,423
UCL222044,39,21,31,29,35,70,58,21,10,321
UCL222045,62,35,26,29,50,44,37,13,4,292
UCL222046,63,48,29,22,42,63,66,40,23,395
UCL222047,30,14,8,19,22,41,42,22,5,204
UCL222048,17,17,10,10,21,58,25,21,12,193
UCL222049,23,18,14,25,37,41,75,28,5,272
UCL222050,61,29,50,46,55,101,102,43,9,491
UCL222051,42,33,43,37,48,87,101,50,12,453
UCL222052,73,44,51,53,62,53,52,14,8,412
UCL222053,58,45,51,49,57,86,73,24,13,454
UCL222054,54,19,13,32,35,44,44,20,6,270
UCL222055,44,26,30,30,48,80,74,55,39,424
UCL222056,23,94,122,29,20,25,10,8,0,333
UCL222057,64,23,26,57,46,51,34,9,0,322
UCL222058,12,32,41,16,21,10,6,0,3,128
UCL222059,40,17,23,18,33,32,31,19,0,208
UCL222060,34,18,21,21,27,44,30,19,9,214
UCL222061,34,33,23,25,39,30,22,11,3,220
UCL222062,40,22,38,43,56,96,48,36,37,421
UCL222063,56,34,39,43,39,97,91,41,14,455
UCL222064,64,40,22,26,43,30,26,9,7,274
UCL222065,36,17,17,10,41,41,30,5,4,207
UCL222066,33,19,35,23,34,51,45,28,13,270
UCL222067,24,22,23,25,34,46,40,24,14,242
UCL222068,30,27,25,17,35,36,16,10,0,205
UCL222069,78,42,24,43,55,97,79,40,29,491
UCL222070,31,7,24,15,24,47,41,22,7,214
UCL222071,73,38,57,57,39,54,54,23,4,389
UCL222072,31,17,28,26,40,65,82,42,5,349
UCL222073,41,21,34,34,25,37,26,7,6,231
UCL222074,28,36,17,18,42,28,23,14,4,212
UCL222075,99,50,50,50,81,65,50,26,7,478
UCL222076,81,54,40,60,65,72,63,34,21,475
UCL222077,65,29,43,53,40,78,98,49,36,487
UCL222078,51,35,32,20,42,41,38,26,7,281
UCL222079,87,46,27,53,73,82,60,29,7,466
UCL222080,39,24,33,28,35,68,63,40,17,353
UCL222081,26,18,18,19,33,53,57,27,6,254
UCL222082,39,21,12,41,48,34,25,10,0,234
UCL222083,37,22,25,44,16,34,23,9,6,220
UCL222084,63,39,26,56,62,94,64,42,26,469
UCL222085,46,22,31,34,37,79,45,23,7,315
UCL222086,70,47,31,46,51,56,63,16,3,385
UCL222087,82,41,53,51,54,77,68,46,17,486
UCL222088,19,25,8,18,34,67,66,21,13,271
UCL222089,29,24,18,13,36,44,26,9,9,207
UCL222090,50,20,20,34,30,48,27,8,4,245
UCL222091,94,41,40,46,48,63,41,21,4,412
UCL222092,100,27,30,61,53,42,34,5,0,355
UCL222093,62,42,26,39,42,77,80,48,9,432
UCL222094,61,23,33,28,40,66,62,25,5,348
UCL222095,32,21,27,17,19,28,32,10,0,187
UCL222096,91,30,42,61,69,51,54,10,3,418
UCL222097,70,56,44,34,45,52,16,13,7,333
UCL222098,79,27,26,53,55,61,38,21,8,362
UCL222099,51,14,39,24,21,40,17,12,0,217
UCL222100,16,18,9,10,44,53,43,40,5,240
UCL222101,75,28,30,38,31,39,34,19,3,285
UCL222102,75,42,45,49,54,85,47,25,0,421
UCL222103,45,32,6,23,40,28,20,23,0,222
UCL222104,57,34,34,34,24,47,47,18,11,300
UCL222105,26,24,27,26,26,38,33,15,5,221
UCL231001,72617,45579,37655,46846,62773,72485,59700,25286,5963,428903
UCL279997,0,0,6,16,3,14,4,0,0,38
UCL299994,1143,1131,1819,1736,1393,1074,613,152,29,9089
UCL301001,440294,306215,350151,332576,296180,240341,182994,100251,38897,2287896
UCL302001,106744,73862,84768,82686,81034,70408,60313,35171,12683,607665
UCL302002,47659,30569,30887,34832,37860,37136,35339,21596,8256,284131
UCL303001,29071,17941,20433,21104,22005,19170,14413,6802,2243,153181
UCL303002,20359,14557,15051,12769,12339,11866,10891,7326,3234,108398
UCL303003,33599,26014,25989,22864,22056,19341,14072,7322,2470,173724
UCL311001,9276,6162,6340,5600,5957,6385,6198,4634,1830,52370
UCL311002,8890,5166,4889,5498,6614,8222,10036,6389,2010,57722
UCL311003,16159,9785,11063,10966,10516,9978,6835,3679,1477,80455
UCL311004,12441,8387,8807,7950,7601,7377,5557,3501,1538,63151
UCL312001,1862,1271,925,1354,2108,3629,5208,3293,956,20612
UCL312002,7562,4406,4936,4722,4668,4173,2585,1227,428,34703
UCL312003,3456,2425,2041,2134,2585,3212,3525,2093,771,22237
UCL312004,3894,2376,2661,2675,2668,2522,2047,1417,661,20918
UCL313001,1845,1112,1830,1694,1500,1342,953,332,39,10646
UCL313002,2049,1041,1086,1367,1573,1835,2275,1401,372,13000
UCL313003,2734,1625,1609,1421,1513,1324,1013,573,265,12082
UCL313004,3554,1893,2239,2217,1763,1437,646,254,79,14089
UCL313005,3067,1467,1688,1684,1187,1142,823,361,117,11534
UCL313006,3488,2325,2225,2077,2259,2361,2394,1591,714,19435
UCL313007,2195,1124,849,1285,1416,1255,1272,676,180,10259
UCL313008,2039,1282,1391,1110,1076,1130,1129,677,310,10147
UCL313009,4226,2456,3243,2558,2165,1826,890,460,114,17936
UCL313010,2651,1626,1619,1313,1552,1781,1836,1280,455,14110
UCL313011,3651,1313,2245,1454,725,457,273,105,13,10240
UCL313012,3430,2097,2058,2211,2453,2687,2145,1243,469,18789
UCL314001,1247,785,852,694,875,902,1005,668,321,7348
UCL314002,1307,942,1023,823,1014,1075,1050,682,281,8200
UCL314003,1639,902,870,921,986,960,945,629,273,8127
UCL314004,1228,693,822,737,681,660,629,348,137,5924
UCL314005,1204,717,815,815,717,639,393,245,115,5667
UCL314006,1758,970,1275,1127,1153,1376,1123,623,211,9612
UCL314007,1631,1079,821,837,981,949,935,590,210,8040
UCL314008,1406,745,1095,764,641,671,530,313,117,6292
UCL314009,2072,1097,1120,1122,1132,687,436,139,20,7832
UCL314010,1141,944,1462,800,657,643,570,437,198,6852
UCL314011,1194,645,685,687,592,637,534,324,136,5439
UCL314012,1308,727,760,761,783,756,560,279,108,6035
UCL314013,1362,764,968,752,820,907,774,531,290,7173
UCL314014,1307,721,669,863,797,582,385,191,62,5581
UCL314015,1300,627,614,799,800,662,488,185,32,5512
UCL314016,1613,909,1281,872,992,957,894,763,290,8585
UCL314017,2270,1108,1759,1625,1185,702,201,40,13,8899
UCL314018,1829,770,913,1233,1015,611,301,100,26,6797
UCL314019,952,532,554,635,687,633,561,328,167,5042
UCL314020,1407,932,915,878,773,733,488,280,116,6522
UCL314021,1547,946,737,983,1266,1317,1877,1039,212,9929
UCL314022,1296,700,530,859,1177,1275,1261,707,198,8001
UCL314023,2149,1070,1074,1249,1489,1390,868,344,88,9715
UCL315001,182,79,101,138,190,244,205,52,15,1205
UCL315002,580,311,301,387,389,328,215,69,12,2590
UCL315003,186,89,76,96,146,254,264,129,29,1277
UCL315004,265,195,192,142,156,105,44,5,0,1101
UCL315005,185,100,97,129,127,174,173,99,32,1113
UCL315006,388,196,167,149,119,101,47,8,0,1180
UCL315007,500,289,251,366,407,525,564,305,106,3309
UCL315008,1086,645,830,788,620,402,153,41,7,4567
UCL315009,394,260,295,246,272,367,413,287,186,2721
UCL315010,386,230,197,250,346,567,619,263,44,2908
UCL315011,69,35,40,49,129,331,544,261,55,1508
UCL315012,1351,472,674,634,483,382,286,96,26,4396
UCL315013,479,253,399,189,181,164,105,59,9,1839
UCL315014,129,71,89,76,121,253,281,153,63,1245
UCL315015,448,264,245,244,344,290,176,81,19,2107
UCL315016,812,419,388,481,474,308,186,64,20,3148
UCL315017,429,284,391,250,277,413,293,132,86,2551
UCL315018,419,207,161,126,120,106,33,16,5,1194
UCL315019,185,147,164,115,146,177,181,174,67,1361
UCL315020,506,216,326,285,212,248,142,98,46,2079
UCL315021,252,117,111,112,122,157,208,145,75,1299
UCL315022,568,332,439,337,260,321,180,64,22,2524
UCL315023,241,108,190,128,191,199,149,68,23,1301
UCL315024,347,195,184,220,239,257,234,102,13,1797
UCL315025,303,161,151,200,321,526,852,368,54,2921
UCL315026,574,364,305,422,447,427,467,318,168,3485
UCL315027,217,144,139,126,173,261,334,284,127,1808
UCL315028,300,144,196,171,185,140,143,47,11,1341
UCL315029,497,226,232,311,330,275,225,71,22,2193
