UCL_CODE_2021,M_AgriForestFish_PD,M_AgriForestFish_GD_GC,M_AgriForestFish_BD,M_AgriForestFish_AdD_D,M_AgriForestFish_Cert,M_AgriForestFish_ID_NS,M_AgriForestFish_ToT,M_Min_PD,M_Min_GD_GC,M_Min_BD,M_Min_AdD_D,M_Min_Cert,M_Min_ID_NS,M_Min_ToT,M_Mnfg_PD,M_Mnfg_GD_GC,M_Mnfg_BD,M_Mnfg_AdD_D,M_Mnfg_Cert,M_Mnfg_ID_NS,M_Mnfg_ToT,M_EGW_WS_PD,M_EGW_WS_GD_GC,M_EGW_WS_BD,M_EGW_WS_AdD_D,M_EGW_WS_Cert,M_EGW_WS_ID_NS,M_EGW_WS_ToT,M_Cnstn_PD,M_Cnstn_GD_GC,M_Cnstn_BD,M_Cnstn_AdD_D,M_Cnstn_Cert,M_Cnstn_ID_NS,M_Cnstn_ToT,M_WTrade_PD,M_WTrade_GD_GC,M_WTrade_BD,M_WTrade_AdD_D,M_WTrade_Cert,M_WTrade_ID_NS,M_WTrade_ToT,M_RTrade_PD,M_RTrade_GD_GC,M_RTrade_BD,M_RTrade_AdD_D,M_RTrade_Cert,M_RTrade_ID_NS,M_RTrade_ToT,M_AccomFoodS_PD,M_AccomFoodS_GD_GC,M_AccomFoodS_BD,M_AccomFoodS_AdD_D,M_AccomFoodS_Cert,M_AccomFoodS_ID_NS,M_AccomFoodS_ToT,M_TransPostWhse_PD,M_TransPostWhse_GD_GC,M_TransPostWhse_BD,M_TransPostWhse_AdD_D,M_TransPostWhse_Cert,M_TransPostWhse_ID_NS,M_TransPostWhse_ToT,M_InfoMedTelecom_PD,M_InfoMedTelecom_GD_GC,M_InfoMedTelecom_BD,M_InfoMedTelecom_AdD_D,M_InfoMedTelecom_Cert,M_InfoMedTelecom_ID_NS,M_InfoMedTelecom_ToT,M_FinInsurS_PD,M_FinInsurS_GD_GC,M_FinInsurS_BD,M_FinInsurS_AdD_D,M_FinInsurS_Cert,M_FinInsurS_ID_NS,M_FinInsurS_ToT,M_RentHirREserv_PD,M_RentHirREserv_GD_GC,M_RentHirREserv_BD,M_RentHirREserv_AdD_D,M_RentHirREserv_Cert,M_RentHirREserv_ID_NS,M_RentHirREserv_ToT,M_ProScieTechServ_PD,M_ProScieTechServ_GD_GC,M_ProScieTechServ_BD,M_ProScieTechServ_AdD_D,M_ProScieTechServ_Cert,M_ProScieTechServ_ID_NS,M_ProScieTechServ_ToT,M_AdminSupServ_PD,M_AdminSupServ_GD_GC,M_AdminSupServ_BD,M_AdminSupServ_AdD_D,M_AdminSupServ_Cert,M_AdminSupServ_ID_NS,M_AdminSupServ_ToT,M_PubAdmiSafety_PD,M_PubAdmiSafety_GD_GC,M_PubAdmiSafety_BD,M_PubAdmiSafety_AdD_D,M_PubAdmiSafety_Cert,M_PubAdmiSafety_ID_NS,M_PubAdmiSafety_ToT,M_EducTrain_PD,M_EducTrain_GD_GC,M_EducTrain_BD,M_EducTrain_AdD_D,M_EducTrain_Cert,M_EducTrain_ID_NS,M_EducTrain_ToT,M_HealthCareSocA_PD,M_HealthCareSocA_GD_GC,M_HealthCareSocA_BD,M_HealthCareSocA_AdD_D,M_HealthCareSocA_Cert,M_HealthCareSocA_ID_NS,M_HealthCareSocA_ToT,M_ArtRecServ_PD,M_ArtRecServ_GD_GC,M_ArtRecServ_BD,M_ArtRecServ_AdD_D,M_ArtRecServ_Cert,M_ArtRecServ_ID_NS,M_ArtRecServ_ToT,M_OthServ_PD,M_OthServ_GD_GC,M_OthServ_BD,M_OthServ_AdD_D,M_OthServ_Cert,M_OthServ_ID_NS,M_OthServ_ToT,M_ID_NS_PD,M_ID_NS_GD_GC,M_ID_NS_BD,M_ID_NS_AdD_D,M_ID_NS_Cert,M_ID_NS_ID_NS,M_ID_NS_ToT,M_ToT_PD,M_ToT_GD_GC,M_ToT_BD,M_ToT_AdD_D,M_ToT_Cert,M_ToT_ID_NS,M_ToT_ToT,F_AgriForestFish_PD,F_AgriForestFish_GD_GC,F_AgriForestFish_BD,F_AgriForestFish_AdD_D,F_AgriForestFish_Cert,F_AgriForestFish_ID_NS,F_AgriForestFish_ToT,F_Min_PD,F_Min_GD_GC,F_Min_BD,F_Min_AdD_D,F_Min_Cert,F_Min_ID_NS,F_Min_ToT,F_Mnfg_PD,F_Mnfg_GD_GC,F_Mnfg_BD,F_Mnfg_AdD_D,F_Mnfg_Cert,F_Mnfg_ID_NS,F_Mnfg_ToT,F_EGW_WS_PD,F_EGW_WS_GD_GC,F_EGW_WS_BD,F_EGW_WS_AdD_D,F_EGW_WS_Cert,F_EGW_WS_ID_NS,F_EGW_WS_ToT,F_Cnstn_PD,F_Cnstn_GD_GC,F_Cnstn_BD,F_Cnstn_AdD_D,F_Cnstn_Cert,F_Cnstn_ID_NS,F_Cnstn_ToT,F_WTrade_PD,F_WTrade_GD_GC,F_WTrade_BD,F_WTrade_AdD_D,F_WTrade_Cert,F_WTrade_ID_NS,F_WTrade_ToT,F_RTrade_PD,F_RTrade_GD_GC,F_RTrade_BD,F_RTrade_AdD_D,F_RTrade_Cert,F_RTrade_ID_NS,F_RTrade_ToT,F_AccomFoodS_PD,F_AccomFoodS_GD_GC,F_AccomFoodS_BD,F_AccomFoodS_AdD_D
UCL415031,0,0,0,0,5,0,11,0,0,0,0,3,0,5,0,0,0,0,11,0,15,0,0,0,0,6,0,3,0,0,0,0,36,0,43,0,0,0,0,0,0,5,0,0,0,0,11,0,11,0,0,0,0,0,0,3,0,0,0,0,3,0,9,0,0,0,0,0,0,5,0,0,0,0,6,0,6,0,0,0,0,0,0,3,0,0,4,0,0,0,11,0,0,0,0,4,0,4,0,0,6,4,12,0,21,0,0,10,0,0,0,13,0,0,0,0,3,0,7,0,0,0,0,4,0,6,0,0,0,3,6,0,10,0,0,0,6,4,0,10,5,3,21,22,131,10,185,0,0,0,0,9,0,9,0,0,0,3,0,0,6,0,0,0,0,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,5,7,4,14,0,0,0,0
UCL415032,0,0,0,0,8,4,16,0,0,0,0,6,0,12,0,0,3,3,12,0,19,0,0,0,0,0,0,5,0,0,0,3,34,0,38,0,0,0,0,0,0,6,0,0,0,4,3,0,11,0,0,3,0,14,0,19,0,0,0,0,4,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,7,5,0,24,0,0,0,0,5,0,13,0,0,3,5,8,0,12,0,0,6,7,0,0,11,3,0,4,3,6,0,12,0,0,0,0,0,0,5,0,0,6,0,13,0,17,0,0,0,0,8,0,6,9,4,41,38,137,9,240,0,0,3,3,0,0,9,0,0,0,0,0,0,0,0,0,4,6,0,0,6,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,8,14,0,21,0,0,0,3
UCL415033,0,0,8,4,10,0,21,0,0,0,0,0,0,0,0,0,6,0,13,4,18,0,0,0,0,7,0,7,0,0,0,0,11,0,11,0,0,0,0,9,0,10,0,0,0,0,11,0,11,0,0,0,0,11,0,9,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,4,0,9,0,0,0,0,6,0,3,0,0,4,0,3,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,7,0,0,0,0,0,0,8,0,3,17,20,98,4,137,0,0,6,3,3,0,6,0,0,0,0,0,0,0,0,0,0,0,3,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,5,0,0,0,3
UCL415034,0,0,0,3,29,3,42,0,0,0,0,0,0,0,0,0,18,4,33,7,63,0,0,0,0,0,0,0,0,0,0,0,15,0,18,0,0,4,5,4,0,10,0,0,5,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,6,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,7,0,0,4,7,3,0,15,3,0,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,7,0,8,0,0,3,0,8,4,12,4,0,41,22,107,14,194,0,5,8,5,5,0,19,0,0,0,0,0,0,0,0,0,8,8,18,4,36,0,0,0,0,0,0,0,0,0,0,0,4,0,5,0,0,0,0,0,0,4,0,0,3,4,8,0,18,0,0,4,0
UCL415035,0,0,0,0,8,0,9,0,0,0,0,5,0,5,0,0,0,0,6,0,11,0,0,0,0,6,0,6,0,0,0,0,14,0,13,0,0,0,0,0,0,0,3,0,0,0,9,0,9,0,0,0,0,4,0,3,0,0,0,0,6,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0,7,4,0,4,5,67,7,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,3,0,5,0,0,0,4,5,0,15,0,0,0,0
UCL415036,0,0,4,0,15,0,18,0,0,0,0,5,0,3,0,0,0,0,6,0,5,0,0,0,0,9,0,9,0,0,0,0,11,0,13,0,0,0,0,0,0,3,0,0,0,0,8,0,10,0,0,0,0,0,0,5,0,0,0,0,5,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0,3,0,0,5,6,0,3,0,4,0,8,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,5,3,14,7,59,9,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,5,0,0,0,0
UCL415037,5,0,21,15,28,8,77,0,0,0,0,3,0,3,0,0,7,8,49,7,63,0,0,0,0,6,0,10,0,0,6,3,54,0,58,0,0,0,0,3,4,14,4,0,3,8,27,0,44,4,0,5,3,22,0,36,0,0,0,3,14,0,17,0,0,0,0,0,0,3,0,0,3,0,0,0,3,0,0,0,0,5,0,3,0,0,4,0,0,0,6,0,0,0,4,13,0,21,0,0,7,16,10,0,33,0,0,13,0,9,0,21,9,0,16,3,7,0,27,0,0,0,0,0,0,0,0,0,0,0,17,0,25,0,0,0,0,14,3,25,24,4,93,63,285,29,498,0,0,15,4,15,4,46,0,0,0,0,3,0,3,0,0,7,7,13,0,25,0,0,0,0,0,0,0,0,0,0,0,0,5,7,0,0,0,0,5,0,3,4,0,9,7,27,3,43,0,0,9,9
UCL415038,0,0,6,9,15,0,29,0,0,0,0,0,0,0,0,0,4,5,6,0,13,0,0,0,0,0,0,0,0,0,4,0,51,0,50,0,0,0,0,3,0,0,0,0,4,0,6,0,11,0,0,3,4,19,0,30,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,8,0,0,0,4,6,0,5,5,0,0,0,3,0,6,4,0,0,0,0,0,10,0,0,0,0,0,0,4,0,0,0,0,0,0,5,0,0,0,0,4,0,4,0,0,0,0,3,0,6,12,0,22,30,125,8,193,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,7,0,12,0,0,0,0,0,0,0,0,0,6,0,3,0,9,0,0,0,0,0,0,0,0,0,3,4,4,3,18,0,5,5,8
UCL415039,0,0,0,0,0,0,0,18,3,40,35,346,9,454,4,0,0,0,14,0,19,0,0,0,0,12,4,10,0,0,3,14,90,0,115,0,0,0,0,8,0,12,0,0,0,0,4,0,12,0,0,3,5,10,0,18,0,0,0,0,6,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,8,0,0,0,4,9,0,7,0,0,0,0,8,0,11,0,0,7,6,8,0,23,6,0,7,0,0,0,16,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,7,0,10,0,0,3,6,4,0,7,30,5,85,72,533,15,741,0,0,0,0,0,0,0,13,6,39,24,91,6,176,0,0,0,0,3,0,4,0,0,0,0,0,0,8,0,0,7,4,22,0,30,0,0,0,0,3,0,3,0,0,5,9,12,0,20,0,0,3,9
UCL415040,0,0,0,0,9,0,10,0,0,0,0,0,0,0,0,0,0,0,14,0,14,0,0,0,0,4,0,4,0,0,0,0,17,0,18,0,0,0,0,3,0,3,0,0,0,3,8,0,12,0,0,0,4,4,0,10,0,0,0,0,9,0,8,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,6,0,0,0,0,0,0,9,0,0,0,4,0,0,4,0,0,0,3,6,0,13,0,0,0,0,0,0,0,0,0,0,4,8,0,14,0,0,0,0,0,0,5,0,0,9,22,89,9,127,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,6,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,21,0,0,0,0
UCL415041,3,3,7,11,13,0,42,0,0,0,6,13,0,10,11,6,49,33,109,10,212,0,0,0,0,7,0,12,0,0,0,8,77,0,86,0,0,0,0,10,0,16,4,0,9,13,36,0,64,0,0,7,6,21,0,38,0,0,0,0,13,0,16,0,0,0,0,9,0,4,0,0,6,7,0,0,11,0,0,4,8,3,0,8,7,3,12,8,12,0,46,0,0,0,3,7,0,18,3,0,7,12,12,0,39,11,4,16,7,3,0,36,7,3,13,5,4,0,33,4,0,0,0,3,0,9,0,0,4,10,14,0,22,0,0,0,0,10,0,10,48,22,151,128,366,10,732,0,0,7,0,6,0,20,0,0,0,0,0,0,0,4,0,30,18,35,0,96,0,0,0,0,0,0,0,0,0,0,5,4,0,6,0,0,4,0,6,0,7,4,0,16,8,22,0,45,0,0,8,7
