SED_CODE_2021,P_OthServ_0,P_OthServ_1_19,P_OthServ_20_29,P_OthServ_30_34,P_OthServ_35_39,P_OthServ_40_44,P_OthServ_45_49,P_OthServ_50_over,P_OthServ_hours_NS,P_OthServ_Tot,P_ID_NS_0,P_ID_NS_1_19,P_ID_NS_20_29,P_ID_NS_30_34,P_ID_NS_35_39,P_ID_NS_40_44,P_ID_NS_45_49,P_ID_NS_50_over,P_ID_NS_hours_NS,P_ID_NS_Tot,P_Tot_0,P_Tot_1_19,P_Tot_20_29,P_Tot_30_34,P_Tot_35_39,P_Tot_40_44,P_Tot_45_49,P_Tot_50_over,P_Tot_hours_NS,P_Tot_Tot
SED10055,347,209,143,66,285,333,73,148,17,1622,168,214,181,85,427,443,96,159,328,2103,5236,5341,4142,2569,9462,8872,2118,4210,750,42703
SED10056,49,207,150,94,244,290,99,215,15,1365,80,200,145,109,393,327,94,183,394,1913,1556,5176,4096,2933,8073,7701,2515,6564,920,39535
SED10057,41,168,138,93,210,204,50,113,15,1035,73,159,117,80,172,147,31,85,276,1132,1434,4577,3826,2717,5181,4550,1271,2747,684,26980
SED10058,75,233,190,123,234,214,61,118,8,1250,68,174,113,74,242,260,61,122,216,1334,2438,6347,5018,3384,8422,8518,2457,4689,474,41746
SED10059,263,237,131,73,276,194,77,117,14,1379,109,189,171,89,330,481,108,251,253,1980,4087,5664,4170,2462,9405,11533,3247,6843,528,47940
SED10060,166,193,116,47,121,160,54,91,15,965,86,185,151,89,281,473,98,300,207,1871,2721,4773,3622,2196,7593,11647,3418,8418,483,44858
SED10061,39,175,152,82,271,239,73,152,23,1210,78,163,106,67,188,181,43,157,274,1260,1423,4713,3708,2615,6762,5671,1896,5497,731,33007
SED10062,262,180,107,65,225,205,71,117,12,1254,157,178,133,63,323,317,53,118,245,1580,4905,4761,3918,2258,7402,7518,1725,3645,552,36677
SED10063,47,178,172,99,294,328,123,251,16,1508,45,150,92,67,236,232,54,160,269,1302,1538,4884,4072,2684,7396,7110,2594,6414,625,37327
SED10064,46,164,145,83,256,190,67,121,18,1080,66,196,122,70,193,177,38,110,289,1249,1422,5026,4074,2863,5536,4621,1258,3121,692,28600
SED10065,296,214,143,72,316,282,47,96,22,1488,236,272,254,144,592,534,73,122,520,2746,5768,6275,5398,2792,12714,13136,2132,3752,1045,53013
SED10066,315,173,126,64,281,252,68,138,9,1423,140,204,139,93,379,332,53,148,303,1784,4406,4909,3939,2485,8956,8146,2149,4032,660,39674
SED10067,271,234,160,70,173,238,47,163,9,1372,113,244,190,109,220,381,82,216,195,1751,3302,6275,4401,2557,4950,7858,1978,5082,420,36819
SED10068,46,230,151,113,274,252,71,113,13,1256,60,168,79,59,173,162,26,87,219,1033,1653,5700,4116,3155,6608,5831,1630,3286,506,32484
SED10069,100,208,169,112,268,273,66,115,20,1338,86,160,93,80,234,190,48,136,269,1301,2248,5216,3842,2476,6069,5590,1689,3176,606,30912
SED10070,253,157,110,38,220,186,47,62,16,1094,196,178,173,90,496,371,56,99,379,2031,4568,4043,3420,1946,8811,7244,1414,2398,770,34610
SED10071,385,218,157,62,404,316,79,113,18,1764,231,251,215,124,657,676,110,168,491,2927,6412,6340,5317,3248,15581,15745,2748,4681,1030,61102
SED10072,322,204,160,74,282,237,35,83,14,1416,171,258,271,105,458,401,63,129,458,2308,4582,5803,5359,2725,9907,9544,2052,3954,934,44863
SED10073,280,250,165,74,265,225,47,89,21,1421,163,245,206,95,504,531,84,123,444,2392,4613,6459,4949,2666,11812,12003,2396,4229,805,49942
SED10074,251,176,115,57,236,193,63,89,16,1186,161,193,150,92,428,391,48,119,330,1906,4704,4692,3766,2418,9313,9313,1858,3169,693,39924
SED10075,354,176,103,74,294,302,66,125,25,1528,150,177,132,61,275,256,50,116,252,1485,4245,5683,4461,2937,8359,7438,2112,3458,613,39301
SED10076,75,175,154,77,230,213,52,92,15,1083,83,151,72,71,167,169,43,78,247,1081,1773,5130,3911,2530,5695,5179,1359,2834,584,28984
SED10077,284,211,143,72,249,187,43,87,9,1286,239,317,354,134,494,470,58,112,633,2814,5039,7044,6459,3036,10624,10830,2130,4079,1144,50390
SED10078,241,204,163,83,283,214,58,84,10,1338,124,189,170,105,327,379,78,147,258,1771,3896,5065,4454,2758,9381,9809,2686,4983,542,43566
SED10079,181,219,147,76,244,243,75,101,20,1298,85,152,87,68,221,214,52,97,200,1174,2593,4794,3891,2630,6288,6017,1564,2920,441,31136
SED10080,339,183,130,62,202,200,55,121,16,1298,139,297,289,110,357,570,137,360,418,2666,4676,6426,5501,2553,9326,12998,3592,9786,830,55695
SED10081,55,194,162,98,379,307,88,206,8,1493,68,135,92,77,241,218,59,164,297,1350,1551,4632,3816,2808,7528,7225,2290,6064,654,36558
SED10082,275,241,128,61,215,172,42,101,19,1257,109,204,138,73,186,249,50,123,181,1311,3725,6131,4252,2606,5683,6848,1767,3813,423,35250
SED10083,326,216,134,68,235,207,57,92,23,1355,113,157,126,65,238,244,52,106,228,1318,3632,5422,4067,2531,6826,6125,1707,2865,515,33688
SED10084,117,234,185,122,239,219,58,114,20,1297,110,267,159,95,239,231,43,133,293,1576,2137,6070,4838,3326,6213,5786,1579,3649,683,34278
SED10085,59,201,163,88,286,325,104,213,20,1457,84,167,106,74,198,232,71,172,332,1435,1874,4774,3961,2448,6187,6925,2542,6736,830,36276
SED10086,221,233,138,69,130,159,35,95,14,1100,110,300,231,130,248,543,143,424,370,2506,2917,5539,4234,2332,5660,10429,2881,8330,723,43053
SED10087,51,188,190,136,356,371,98,212,15,1617,56,159,125,88,294,299,71,167,315,1569,1588,5347,4244,2993,8863,7863,2525,5591,700,39727
SED10088,378,264,162,99,252,268,75,114,10,1622,113,202,189,127,370,461,101,203,246,2019,3886,6348,4842,2884,7709,9521,2513,5237,501,43441
SED10089,88,260,198,120,353,324,84,142,8,1585,58,185,117,90,306,273,72,114,265,1476,2503,6891,5283,3614,8860,8082,2260,3847,561,41902
SED10090,240,231,130,67,201,171,41,94,6,1189,112,196,144,82,294,438,109,247,220,1845,3276,5532,4266,2373,7381,10875,2821,7197,463,44189
SED10091,229,279,143,101,293,318,105,187,23,1679,138,219,149,79,301,328,86,208,260,1764,3481,6049,4397,2685,7104,7691,2229,5109,693,39430
SED10092,329,211,142,69,258,267,42,117,6,1440,126,166,131,80,248,304,56,109,287,1507,4066,5799,4319,2595,8032,7093,1924,3405,580,37816
SED10093,331,194,113,64,306,216,67,100,17,1420,136,156,120,89,299,251,37,129,287,1496,3981,5119,3807,2640,7595,6236,1575,3249,672,34873
SED19494,4,7,14,5,12,11,0,15,3,68,14,29,16,8,19,17,9,11,47,166,284,414,316,184,406,405,111,314,87,2511
SED19797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SED20106,138,233,234,116,242,227,59,120,16,1380,84,194,180,118,405,503,105,257,318,2164,2362,5505,5168,2976,9688,12462,3114,7203,595,49076
SED20207,132,243,217,123,336,317,77,120,14,1577,74,218,220,114,509,522,92,209,483,2445,2438,6393,5403,3661,12162,13555,2820,5117,943,52488
SED20302,184,298,266,140,440,382,103,183,20,2008,151,266,202,149,564,519,93,200,483,2623,2982,7467,6405,4508,12026,11011,2646,5148,1093,53279
SED20401,83,199,173,106,298,278,71,124,10,1340,65,150,144,105,398,315,74,134,205,1588,1636,4584,3832,2616,7421,7302,1931,3053,435,32811
SED20508,106,243,185,94,198,208,56,130,19,1239,61,149,106,83,143,209,51,91,208,1105,2033,5522,4215,2846,5476,6239,1705,3318,534,31894
SED20604,69,177,141,71,216,242,64,151,19,1162,47,161,94,63,208,214,55,83,256,1180,1810,4712,3785,2954,6533,6961,2001,4225,636,33619
SED20704,70,222,160,80,249,233,55,144,6,1220,47,130,103,66,177,191,36,118,231,1098,1965,5286,4172,3093,7029,6369,1856,3865,508,34145
SED20804,71,196,146,91,207,215,59,90,5,1076,63,154,95,67,194,202,35,105,176,1096,1570,4632,3731,2729,5581,5310,1470,2924,457,28396
SED20906,93,180,144,108,171,179,59,112,9,1050,52,161,115,69,249,294,57,163,187,1354,1647,5014,3891,2590,6430,8192,2127,4162,382,34435
SED21001,61,218,201,106,208,202,49,108,0,1153,54,207,204,96,264,298,46,108,277,1564,1696,6057,4824,2785,6858,7954,1865,3892,463,36381
SED21106,73,193,119,89,123,143,51,90,4,880,41,210,133,83,176,314,83,207,176,1413,1516,5093,3426,2393,4605,7042,2178,5693,372,32320
SED21203,70,159,133,83,221,171,36,49,15,943,76,202,188,98,372,284,55,80,476,1827,1201,3813,3509,2056,5943,4837,1029,1651,894,24934
SED21303,114,224,186,136,323,240,64,92,5,1389,67,167,139,110,304,348,94,165,237,1625,2329,6179,4985,3822,9396,10315,2827,5159,495,45504
SED21401,84,208,170,91,190,198,40,70,0,1064,60,181,119,83,267,272,46,132,245,1396,1471,4960,3760,2401,6148,6855,1559,3329,479,30955
SED21503,81,173,146,89,216,222,53,90,10,1078,41,166,125,59,270,260,51,100,208,1289,1586,4636,3689,2409,6411,6576,1632,2724,440,30094
SED21608,77,187,157,106,263,222,67,127,19,1228,61,125,99,60,218,208,54,122,232,1178,1838,4734,3851,2705,6209,6445,1745,3637,579,31749
SED21706,74,196,171,72,172,168,43,79,5,989,52,182,125,64,239,310,48,142,240,1396,1626,5888,4167,2543,6239,7615,2006,4297,433,34815
SED21805,158,203,197,95,311,306,75,133,12,1489,80,170,138,96,444,447,97,152,266,1885,1921,4537,3970,2890,8036,8375,2180,3733,559,36195
SED21906,96,230,162,83,177,188,62,98,8,1113,51,194,146,92,289,347,78,205,239,1656,1665,5533,4269,2862,6630,8441,2312,4835,493,37041
SED22005,97,255,227,131,323,250,62,94,17,1447,66,267,239,122,571,448,64,89,425,2292,1637,5312,4832,2820,8823,7770,1700,2734,762,36388
SED22105,159,287,285,146,557,422,118,167,17,2164,99,292,304,195,1005,755,145,229,634,3661,2676,7170,7124,4888,16225,13174,3189,4871,1286,60596
SED22201,100,185,176,95,269,252,63,122,5,1267,53,142,105,61,379,303,69,121,192,1425,1593,4391,3557,2577,6764,6970,1875,3184,378,31286
SED22305,79,181,178,93,291,196,54,75,21,1168,60,245,223,145,668,481,86,145,455,2503,1093,4107,3939,2450,8156,6328,1493,2027,898,30497
SED22404,108,226,189,91,207,262,62,160,26,1324,83,173,128,84,224,246,60,149,242,1396,1981,4738,3588,2439,4833,5759,1575,3463,681,29046
SED22501,81,165,139,84,195,206,51,119,9,1050,38,137,98,69,157,250,56,119,116,1034,1701,4866,3646,2511,5341,6771,1982,3919,259,30999
SED22607,84,173,163,86,203,176,56,110,7,1056,43,148,136,80,335,266,58,166,225,1445,1942,5115,4375,2891,7791,8776,2543,5016,455,38901
SED22704,59,173,123,80,191,242,66,119,25,1076,77,156,112,70,180,264,46,163,286,1358,1711,4377,3455,2423,5195,6176,1675,4375,747,30154
SED22802,132,266,202,108,269,335,89,154,22,1568,53,156,102,75,314,344,70,145,196,1453,1755,4803,3673,2522,6391,6961,1896,3464,442,31903
SED22901,82,176,148,73,244,228,71,81,9,1111,46,156,121,94,335,309,60,109,192,1420,1341,4459,3463,2294,6894,6698,1627,2531,414,29718
SED23007,119,226,229,132,304,226,70,91,26,1436,77,223,221,106,494,421,65,129,492,2227,2142,5403,5131,3280,10228,9377,2287,3836,841,42531
SED23101,61,173,145,84,190,181,51,71,4,967,43,152,146,90,276,272,51,82,195,1309,1226,4699,3547,2215,6082,6276,1539,2615,376,28573
SED23205,105,177,130,85,192,208,51,74,9,1035,58,157,109,64,244,307,69,123,219,1355,1641,4307,3385,2495,5940,6190,1707,2886,454,29018
SED23308,75,197,152,91,228,200,51,91,7,1097,49,162,103,74,205,195,46,118,188,1139,1853,5534,4219,2875,6570,6877,1970,3620,415,33927
SED23402,147,281,242,113,358,312,82,190,23,1750,60,197,157,97,483,452,108,219,276,2042,2166,5943,4710,3280,9298,9342,2661,4742,656,42787
SED23502,60,165,121,102,193,202,56,107,12,1019,83,138,106,63,171,140,30,123,236,1080,1647,4217,3359,2427,4448,4537,1316,3309,602,25851
SED23602,52,173,125,69,161,205,47,119,18,968,67,125,88,64,132,166,34,107,250,1036,1480,4215,3207,2197,4015,4761,1449,3909,610,25848
SED23702,154,239,242,106,293,303,81,153,7,1584,60,151,135,70,325,317,76,181,242,1558,2043,5166,4351,3102,7097,7839,2202,4148,516,36460
SED23806,67,173,129,67,158,134,45,74,4,854,49,156,107,62,211,291,43,189,156,1262,1660,5446,3823,2450,5850,8139,2354,5553,337,35617
SED23901,79,175,144,90,206,171,49,97,10,1014,47,145,127,86,238,250,56,121,182,1251,1762,4967,3866,2761,6515,7981,2111,4176,391,34533
SED24006,67,166,101,64,135,122,22,65,10,765,58,204,130,74,190,274,67,175,185,1357,1384,5533,3663,2327,4991,6758,1887,4711,372,31629
SED24105,109,257,269,103,383,254,61,91,21,1546,76,304,214,158,872,487,89,146,417,2764,1325,4998,4112,2711,9789,7283,1547,2722,751,35242
SED24207,108,279,275,134,375,305,76,121,30,1698,80,272,240,149,681,522,87,164,591,2773,2168,5856,5119,3399,11439,10022,2087,3410,1136,44643
SED24308,79,196,151,58,226,222,38,87,10,1076,70,150,123,102,270,325,53,124,293,1504,1652,4559,3757,2474,6661,6560,1602,3013,623,30895
SED24408,48,132,95,73,164,214,53,99,11,890,47,130,65,54,150,149,37,88,229,943,1404,3873,3101,2390,4457,5379,1488,4361,556,27007
SED24504,83,202,146,102,164,214,59,160,20,1163,76,183,95,69,174,234,63,150,160,1213,1902,5187,3658,2672,4907,6422,1980,4276,546,31554
SED24606,54,156,109,45,139,101,38,70,3,715,51,171,129,83,204,280,81,206,172,1384,1491,4838,3530,2242,5309,6970,2175,5542,373,32462
SED24703,158,373,398,154,327,276,70,127,14,1903,147,390,393,144,479,537,88,220,549,2953,4137,12009,9837,4616,14608,16672,3687,6910,1092,73549
SED24808,114,232,206,94,388,328,73,150,10,1592,87,195,150,129,471,431,72,147,444,2121,2164,5438,4484,3205,9806,9003,2274,4267,966,41595
SED24904,64,146,122,87,226,217,47,104,22,1032,79,177,127,77,261,207,54,105,413,1501,1377,3933,3224,2465,6278,5671,1604,3920,868,29343
SED25003,101,199,177,90,338,213,62,92,6,1295,72,176,143,91,460,337,49,103,329,1757,1664,4771,4209,2772,8840,7613,1684,2814,665,35022
SED25102,102,228,148,107,217,243,74,158,7,1287,59,144,93,73,250,277,68,128,158,1254,1837,4838,3715,2558,5453,6435,1924,3530,369,30670
SED25205,93,189,164,87,213,181,62,105,12,1106,49,125,116,84,283,331,64,163,153,1372,1773,4949,3872,2731,6563,7921,2279,4047,365,34496
SED25302,106,201,139,86,139,179,41,99,11,1006,60,173,97,74,204,229,64,149,162,1201,1811,5148,3700,2566,4565,6091,1824,3987,402,30087
SED25402,73,178,129,76,238,248,53,112,13,1122,67,115,84,59,190,208,50,130,237,1138,1681,4384,3511,2507,6083,5451,1796,3114,577,29100
SED25501,58,164,132,69,181,148,41,73,7,873,35,181,147,87,298,297,53,88,244,1442,1156,4661,3816,2191,6765,7281,1492,2680,437,30470
SED25605,78,205,170,90,231,194,49,75,16,1110,50,187,177,103,504,328,51,97,319,1811,1151,4242,3600,2228,7008,6024,1351,2443,581,28634
SED25704,69,184,151,85,211,249,70,155,19,1201,72,152,86,73,218,217,51,128,293,1283,1532,4135,3452,2441,5182,5596,1712,4332,728,29106
SED25802,93,241,174,123,312,349,79,196,26,1582,89,188,117,57,243,271,82,158,303,1511,1964,5432,4211,2891,6433,6590,1895,4695,768,34878
SED25905,104,213,169,84,283,281,58,94,9,1298,60,170,151,98,487,392,66,144,310,1870,1406,4398,3674,2504,7852,6955,1622,2741,629,31779
SED26005,118,228,201,98,386,339,86,117,13,1581,56,227,180,121,684,564,98,169,419,2510,1746,5690,4744,3225,10620,9027,2176,3319,787,41339
SED26102,117,186,154,78,147,148,41,78,11,960,87,225,123,81,148,225,55,108,269,1318,2189,5090,3721,2427,4227,5186,1386,2915,648,27795
SED26207,94,178,136,79,179,180,55,134,23,1055,61,129,122,67,265,271,57,126,236,1338,1649,4199,3327,2149,6070,6758,1718,3722,475,30060
SED26303,105,214,159,117,245,179,43,92,10,1161,41,134,119,90,233,298,74,143,178,1313,2057,5270,4370,3408,7605,8684,2601,4753,354,39103
SED26406,91,173,194,90,242,171,54,84,18,1112,72,177,183,96,385,362,59,127,314,1768,1882,5926,4638,2886,8377,9024,2184,3780,576,39269
SED26504,69,146,97,63,187,215,52,113,12,948,62,129,103,57,167,166,38,92,217,1032,1644,4132,3307,2524,4984,5021,1525,3445,564,27146
SED26603,110,170,192,113,311,244,49,99,13,1306,59,161,162,78,359,349,54,134,285,1643,2148,5267,5068,3325,9239,9302,2291,4001,596,41242
SED26708,63,176,101,62,172,212,46,116,18,966,70,176,97,64,171,203,63,125,279,1244,1912,5186,3611,2581,4859,5704,1759,5020,731,31367
SED26806,125,192,216,100,285,218,51,106,7,1301,66,177,143,89,350,501,112,248,247,1939,2024,4977,4348,2882,9777,12194,3324,6838,549,46917
SED26903,105,185,179,85,243,234,55,80,23,1181,65,172,160,99,331,308,56,110,315,1623,1779,4634,4407,2922,7917,7476,1912,2936,638,34618
SED27003,110,199,188,108,260,238,74,128,11,1310,61,175,123,104,320,438,95,257,241,1810,2116,4973,4173,3258,9810,12302,3805,7552,483,48476
SED27101,86,196,167,88,250,225,67,113,7,1203,35,156,116,73,339,300,67,103,202,1389,1573,4783,3886,2697,7504,7739,1938,3337,434,33878
SED27208,46,165,123,61,167,189,48,108,17,932,71,133,74,61,189,191,46,109,228,1101,1622,4358,3273,2575,5048,5401,1489,3861,585,28218
SED27305,88,190,162,83,231,234,61,133,0,1186,42,133,113,82,360,321,66,116,184,1416,1315,4325,3394,2240,6679,6828,1752,3042,362,29943
SED27406,71,193,145,89,152,173,61,101,7,984,49,177,124,67,202,333,81,200,148,1387,1646,5218,3641,2421,5362,7440,2187,5048,331,33284
SED27504,70,224,164,101,323,290,84,149,19,1424,60,160,119,61,241,264,75,139,338,1449,1607,4616,3577,2856,6638,6744,2025,3939,706,32725
SED27608,130,305,249,122,264,260,62,123,13,1528,59,196,125,87,237,317,60,194,202,1486,2744,8185,5848,3920,8929,9725,2805,5175,537,47863
SED27708,68,195,157,97,226,225,38,117,10,1137,65,153,87,53,146,208,40,108,252,1121,1812,5157,3807,2667,5604,6126,1745,3860,614,31391
SED27807,124,236,289,104,286,217,36,69,15,1374,77,255,273,141,539,310,71,105,478,2253,1401,4415,4255,2383,7490,5824,1316,2031,906,30023
SED27907,117,204,160,84,235,272,75,128,16,1285,51,149,99,60,292,266,52,130,229,1328,1869,4230,3596,2469,7390,7433,2013,3460,483,32936
SED28007,107,218,187,105,334,276,66,117,17,1430,72,191,157,101,446,413,92,134,407,2006,1933,5524,4532,2990,9740,9069,2068,3645,844,40335
