SED_CODE_2021,One_method_Train_M,One_method_Train_F,One_method_Train_P,One_method_Bus_M,One_method_Bus_F,One_method_Bus_P,One_method_Ferry_M,One_method_Ferry_F,One_method_Ferry_P,One_met_Tram_or_lt_rail_M,One_met_Tram_or_lt_rail_F,One_met_Tram_or_lt_rail_P,One_met_Taxi_or_Rideshare_M,One_met_Taxi_or_Rideshare_F,One_met_Taxi_or_Rideshare_P,One_method_Car_as_driver_M,One_method_Car_as_driver_F,One_method_Car_as_driver_P,One_method_Car_as_passenger_M,One_method_Car_as_passenger_F,One_method_Car_as_passenger_P,One_method_Truck_M,One_method_Truck_F,One_method_Truck_P,One_method_Motorbike_scootr_M,One_method_Motorbike_scootr_F,One_method_Motorbike_scootr_P,One_method_Bicycle_M,One_method_Bicycle_F,One_method_Bicycle_P,One_method_Other_M,One_method_Other_F,One_method_Other_P,One_method_Walked_only_M,One_method_Walked_only_F,One_method_Walked_only_P,One_method_Tot_one_method_M,One_method_Tot_one_method_F,One_method_Tot_one_method_P,Two_methods_Train_Bus_M,Two_methods_Train_Bus_F,Two_methods_Train_Bus_P,Two_methods_Train_Ferry_M,Two_methods_Train_Ferry_F,Two_methods_Train_Ferry_P,Two_mt_trn_Trm_or_lt_rail_M,Two_mt_trn_Trm_or_lt_rail_F,Two_mt_trn_Trm_or_lt_rail_P,Two_methods_Trn_Car_as_drvr_M,Two_methods_Trn_Car_as_drvr_F,Two_methods_Trn_Car_as_drvr_P,Two_methods_Trn_Car_as_pass_M,Two_methods_Trn_Car_as_pass_F,Two_methods_Trn_Car_as_pass_P,Two_methods_Train_Other_M,Two_methods_Train_Other_F,Two_methods_Train_Other_P,Two_methods_Train_Tot_M,Two_methods_Train_Tot_F,Two_methods_Train_Tot_P,Two_methods_Bus_Ferry_M,Two_methods_Bus_Ferry_F,Two_methods_Bus_Ferry_P,Two_mth_Bu_Trm_or_lt_rail_M,Two_mth_Bu_Trm_or_lt_rail_F,Two_mth_Bu_Trm_or_lt_rail_P,Two_methods_Bus_Car_as_drvr_M,Two_methods_Bus_Car_as_drvr_F,Two_methods_Bus_Car_as_drvr_P,Two_methods_Bus_Car_as_pass_M,Two_methods_Bus_Car_as_pass_F,Two_methods_Bus_Car_as_pass_P,Two_methods_Bus_Other_M,Two_methods_Bus_Other_F,Two_methods_Bus_Other_P,Two_methods_Bus_Tot_M,Two_methods_Bus_Tot_F,Two_methods_Bus_Tot_P,Two_methds_Othr_two_methds_M,Two_methds_Othr_two_methds_F,Two_methds_Othr_two_methds_P,Two_methods_Tot_two_methods_M,Two_methods_Tot_two_methods_F,Two_methods_Tot_two_methods_P,Three_meth_Tr_2_oth_meth_M,Three_meth_Tr_2_oth_meth_F,Three_meth_Tr_2_oth_meth_P,Three_met_Bs_2_ot_met_ex_tr_M,Three_met_Bs_2_ot_met_ex_tr_F,Three_met_Bs_2_ot_met_ex_tr_P,Three_meth_Othr_three_meth_M,Three_meth_Othr_three_meth_F,Three_meth_Othr_three_meth_P,Three_meth_Tot_three_meth_M,Three_meth_Tot_three_meth_F,Three_meth_Tot_three_meth_P,Worked_home_M,Worked_home_F,Worked_home_P,Did_not_go_to_work_M,Did_not_go_to_work_F,Did_not_go_to_work_P,Method_travel_to_work_ns_M,Method_travel_to_work_ns_F,Method_travel_to_work_ns_P,Tot_M,Tot_F,Tot_P
SED10051,33,33,60,632,765,1398,0,0,3,25,15,47,35,34,71,8866,6066,14938,500,839,1335,269,0,267,351,46,397,207,79,284,150,101,249,484,584,1068,11555,8560,20112,128,130,258,0,0,0,4,5,7,10,3,15,6,7,11,0,0,0,145,145,291,0,0,0,23,24,42,35,20,54,19,40,62,18,23,44,92,109,198,144,69,213,385,320,703,22,44,64,13,17,24,5,4,4,33,64,96,7114,8765,15873,2072,3073,5142,113,72,183,21271,20845,42121
SED10052,467,393,861,31,47,81,4,0,4,0,0,0,20,6,24,8995,5909,14907,400,559,967,260,4,266,106,8,120,65,11,76,91,65,157,280,421,700,10727,7426,18151,70,62,136,0,0,0,8,3,16,84,42,131,17,18,31,11,3,12,194,136,330,0,0,0,0,0,0,0,0,3,3,0,8,0,0,3,3,6,11,79,45,124,279,184,464,21,23,46,0,3,3,3,0,3,25,25,50,6651,8246,14899,2178,3284,5463,68,52,125,19933,19220,39157
SED10053,5,14,19,136,171,305,4,0,9,3,0,3,31,28,56,16637,13761,30401,889,1307,2202,413,6,419,256,25,280,120,31,146,151,68,219,677,733,1407,19325,16141,35471,3,0,3,0,0,0,0,0,0,17,15,27,3,6,3,4,0,0,26,17,42,0,0,0,0,7,3,22,34,57,18,27,47,4,12,13,43,75,119,202,121,328,271,216,487,3,0,9,3,13,14,14,3,15,18,18,36,2246,2849,5099,1805,2763,4563,119,88,209,23789,22075,45857
SED10054,439,424,869,119,163,281,0,0,0,3,0,5,41,38,79,10761,7170,17935,752,1183,1938,268,8,276,71,6,80,43,0,44,112,85,202,141,165,308,12761,9248,22010,161,234,401,0,0,0,0,3,7,97,63,158,14,47,58,16,7,25,290,356,645,0,0,0,0,0,0,12,5,18,13,31,44,3,8,10,32,44,75,113,58,169,430,455,892,74,97,166,3,7,6,0,0,4,84,101,181,3833,4967,8803,2822,2678,5497,105,92,193,20032,17543,37574
SED10055,152,100,254,58,71,122,5,0,5,0,0,0,20,6,24,12048,7916,19965,627,750,1372,573,7,572,67,5,70,15,3,25,109,85,194,147,137,284,13820,9079,22899,52,55,103,0,0,0,0,0,0,70,49,120,11,17,28,7,0,7,136,120,256,0,0,0,0,0,0,10,3,11,4,4,11,5,0,3,18,13,29,95,44,145,250,181,431,35,24,58,4,0,6,0,0,4,40,31,73,4766,7642,12410,3228,3521,6742,85,65,149,22178,20520,42703
SED10056,5,0,7,64,37,105,5,8,12,0,0,3,33,31,60,14660,12292,26959,1162,1340,2497,363,14,373,124,19,147,130,52,180,186,69,252,881,779,1661,17610,14641,32247,0,0,3,0,0,0,0,0,0,3,4,10,0,0,0,3,0,4,10,8,13,0,0,0,0,0,0,3,0,5,3,3,8,6,0,3,13,3,21,170,90,261,185,109,294,0,0,0,0,0,0,17,5,20,20,5,19,1770,1857,3621,1044,1941,2985,198,165,364,20830,18706,39535
SED10057,0,5,4,49,45,93,3,0,0,4,0,4,17,21,38,8868,8745,17612,584,753,1334,328,12,341,91,11,98,63,23,83,71,44,113,471,451,921,10551,10104,20654,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,5,5,0,0,0,0,0,0,0,3,0,0,8,9,7,3,6,11,8,20,106,60,160,112,72,187,0,0,0,0,0,0,0,0,4,10,0,6,1285,1578,2853,1163,1827,2992,153,134,286,13270,13711,26980
SED10058,54,34,91,167,226,391,14,24,36,33,29,63,28,35,64,10677,8807,19483,437,597,1038,124,5,125,168,50,222,401,211,608,97,53,146,759,834,1592,12947,10905,23855,11,6,18,0,0,0,4,0,7,8,5,11,4,0,7,6,3,12,33,20,49,7,4,11,4,0,4,8,11,23,4,13,14,6,12,19,27,50,73,163,112,271,218,174,393,3,13,14,3,9,14,9,5,16,18,21,40,5003,6181,11191,2373,3756,6132,79,62,139,20642,21104,41746
SED10059,1089,842,1931,427,492,915,5,0,4,82,61,140,73,73,145,4029,2585,6614,237,358,590,45,6,48,257,46,302,636,249,884,139,83,223,1721,1608,3325,8733,6395,15129,282,251,534,4,6,7,28,30,58,15,15,31,6,16,26,50,32,80,386,346,733,0,0,0,30,12,38,4,3,16,4,17,16,26,20,41,64,51,116,88,49,135,537,448,983,88,48,133,11,7,21,5,6,8,102,59,162,12981,13015,25992,2459,3063,5520,89,56,146,24908,23031,47940
SED10060,458,450,903,476,525,999,82,38,119,4,0,3,30,38,67,4317,3124,7437,194,425,622,47,0,47,164,32,197,147,51,197,115,86,200,932,1034,1965,6958,5804,12761,138,136,271,13,15,30,0,10,10,15,9,33,10,10,18,19,14,24,195,189,386,17,10,28,3,11,9,14,13,28,4,15,15,10,13,26,52,61,111,61,36,96,299,294,595,35,41,81,11,7,17,7,0,7,53,46,103,13253,14033,27285,1563,2446,4008,58,57,112,22187,22671,44858
SED10061,0,3,3,64,28,96,3,3,10,0,0,0,22,27,51,9950,8986,18936,729,888,1613,393,23,419,164,32,197,92,27,116,137,80,212,712,669,1384,12273,10764,23034,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,4,5,0,6,0,0,0,0,0,0,4,5,5,15,7,19,4,0,3,24,11,35,118,63,180,149,77,219,0,0,0,0,6,5,18,0,16,21,3,23,2687,3107,5791,1494,2164,3657,154,135,291,16765,16239,33007
SED10062,699,779,1487,55,86,143,0,0,0,0,0,0,14,13,28,6799,4708,11509,284,632,918,134,0,137,66,0,63,49,8,62,96,70,166,175,272,453,8385,6583,14967,161,193,352,0,0,0,8,11,19,63,35,100,12,20,28,16,11,29,256,270,528,0,0,0,0,0,0,3,0,10,3,8,10,0,0,0,4,8,15,74,43,116,335,329,664,28,53,84,0,4,8,4,0,0,34,56,90,6940,7940,14877,2872,3080,5949,78,57,131,18637,18037,36677
SED10063,3,0,4,82,54,139,3,0,4,0,0,0,49,61,102,13051,11851,24908,954,962,1920,369,11,377,115,22,130,78,26,107,119,52,174,657,566,1226,15494,13608,29102,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0,0,5,7,0,0,0,0,0,0,14,3,15,5,3,10,0,4,4,18,15,32,131,65,200,156,81,236,0,0,0,0,0,5,10,3,13,12,6,16,1918,2357,4274,1340,2108,3451,132,113,239,19050,18272,37327
SED10064,3,0,3,39,43,77,0,0,3,0,0,0,13,13,22,9222,9136,18360,626,699,1322,435,14,443,104,15,125,72,24,99,81,39,118,505,493,995,11103,10472,21574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,4,0,0,0,0,0,0,0,3,3,8,6,13,0,0,4,9,11,20,104,43,150,113,59,171,0,0,3,0,0,0,5,0,5,7,4,9,1588,1928,3507,1139,1894,3034,158,141,298,14107,14493,28600
SED10065,832,801,1637,387,565,952,0,0,4,0,0,4,44,37,80,9940,6048,15991,364,929,1293,169,0,166,162,23,182,118,35,158,149,104,252,562,637,1200,12728,9193,21923,392,476,871,0,0,0,8,9,22,73,48,129,20,27,40,12,15,31,511,574,1082,0,0,0,3,0,3,28,20,52,20,43,56,3,17,22,50,76,131,110,69,180,673,714,1393,114,118,236,9,12,18,4,3,9,122,132,255,11663,10645,22312,3360,3511,6876,151,102,258,28703,24308,53013
SED10066,393,282,672,56,94,149,0,0,0,3,0,3,27,32,60,10697,7269,17967,593,648,1242,411,5,416,152,8,161,50,14,68,84,64,148,327,356,678,12789,8774,21561,104,103,206,0,0,0,8,0,8,69,50,117,10,16,23,23,12,29,208,184,390,0,0,0,0,0,0,6,5,9,0,12,18,3,4,4,12,22,33,121,52,166,341,256,593,38,32,71,3,3,3,6,3,7,44,34,84,4623,6673,11300,2526,3437,5967,97,75,173,20423,19247,39674
SED10067,7,3,11,254,232,488,9,4,11,6,0,3,12,15,24,8185,5713,13901,359,416,773,249,3,258,146,24,171,121,23,154,132,60,192,410,424,833,9895,6922,16816,18,11,25,0,0,0,0,0,0,14,0,13,0,0,0,0,3,3,33,15,50,0,6,4,0,5,5,24,19,44,9,13,25,8,3,10,51,42,91,83,57,142,164,116,276,3,7,13,4,7,14,5,4,8,14,15,35,7022,7918,14941,1795,2824,4618,69,59,130,18957,17861,36819
SED10068,11,4,12,53,73,123,4,0,4,0,0,0,10,24,40,10546,10432,20977,673,889,1565,300,6,306,157,22,186,129,51,181,70,41,112,416,427,843,12371,11977,24346,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,7,3,7,0,0,0,0,0,0,4,8,9,9,8,14,5,0,3,9,16,30,136,86,220,158,105,258,0,3,3,0,4,4,6,0,6,6,3,10,1801,2278,4075,1411,2220,3632,71,86,157,15813,16674,32484
SED10069,0,4,5,52,76,123,0,0,5,3,0,3,5,8,14,9716,7609,17324,557,562,1118,325,8,333,81,7,87,69,18,88,67,56,126,305,311,617,11196,8649,19843,0,0,3,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,5,4,9,0,0,0,0,5,5,3,6,7,4,9,19,5,0,3,13,18,31,110,57,172,132,75,206,0,0,0,6,0,6,8,4,12,10,5,16,2386,3123,5513,2107,3025,5132,102,99,204,15928,14981,30912
SED10070,353,333,691,78,122,201,0,0,0,0,0,0,22,26,48,8458,5502,13959,400,759,1163,265,0,272,43,8,52,41,7,45,129,74,199,166,187,354,9970,7021,16989,100,152,256,0,0,0,0,11,10,66,38,101,6,23,35,13,10,18,188,232,424,0,0,0,0,0,0,9,10,22,9,22,29,0,6,6,21,34,60,97,66,153,308,329,636,63,52,115,0,5,6,0,0,0,65,61,123,5308,6081,11389,2796,2486,5285,109,81,185,18548,16057,34610
SED10071,681,732,1416,194,249,441,0,0,0,3,5,13,33,14,47,11537,8688,20227,462,955,1422,248,0,248,124,5,131,37,10,50,147,94,241,124,158,279,13592,10918,24517,212,299,514,0,0,0,8,6,13,167,81,252,22,55,75,25,11,28,433,458,886,0,0,0,0,4,3,25,21,44,3,33,38,5,8,13,31,65,93,109,70,180,571,593,1167,123,143,265,3,12,18,3,5,7,129,161,287,13350,13224,26574,4023,4305,8322,126,109,241,31791,29314,61102
SED10072,1526,1542,3067,169,252,422,4,0,0,0,0,0,45,43,86,9435,5561,14995,400,832,1233,256,5,260,214,17,238,101,29,134,167,100,270,384,516,900,12702,8901,21606,394,513,904,0,0,4,18,19,35,104,55,159,20,46,70,32,17,44,566,657,1221,0,0,0,0,0,0,10,8,16,3,12,18,4,8,8,15,32,42,93,55,145,675,736,1415,78,94,179,0,4,0,3,0,4,82,98,182,7124,8454,15581,2590,3242,5833,134,107,246,23314,21546,44863
SED10073,723,795,1517,449,555,1005,4,8,6,0,3,6,23,39,58,8605,5704,14310,292,795,1085,135,4,140,160,18,178,88,19,106,122,82,208,597,653,1254,11203,8674,19877,270,346,617,11,0,16,5,12,20,61,27,82,13,45,58,22,20,40,381,453,830,0,0,3,5,4,8,19,13,29,18,37,55,8,25,32,53,77,127,110,68,176,548,597,1146,81,100,184,12,8,21,0,3,0,95,116,205,11332,11254,22582,2469,3486,5955,106,72,176,25741,24198,49942
SED10074,462,499,958,210,256,466,3,0,3,3,0,3,22,25,48,7901,5410,13312,350,709,1058,186,0,183,118,9,125,65,14,84,114,60,174,276,380,654,9708,7366,17076,140,254,395,0,0,0,11,6,12,60,41,97,10,25,34,19,12,30,230,332,570,0,0,0,3,0,0,20,16,34,8,30,37,8,9,11,35,55,88,69,53,118,339,441,778,66,85,144,5,9,8,5,0,0,66,93,160,7724,8034,15757,3020,2995,6014,94,50,144,20960,18972,39924
SED10075,108,31,140,109,95,203,9,0,9,0,0,0,18,13,29,12718,9662,22379,652,696,1346,287,9,295,102,8,113,70,10,84,94,66,156,162,198,358,14325,10790,25110,12,15,29,0,0,0,0,0,0,38,12,45,12,3,15,3,4,4,59,36,97,0,0,0,0,0,0,8,7,16,8,16,22,0,3,5,18,27,44,102,43,145,188,102,288,8,6,15,0,0,0,3,0,3,10,6,20,2881,4516,7395,2525,3777,6299,102,88,189,20029,19276,39301
SED10076,4,4,8,19,20,37,3,0,3,0,0,0,11,24,35,9873,8811,18680,649,733,1381,331,4,340,104,17,118,99,31,126,119,44,169,347,418,766,11562,10101,21663,0,4,3,0,0,0,0,0,0,5,4,3,0,0,0,0,0,0,8,8,13,0,0,0,0,0,0,4,7,13,5,6,6,0,3,0,11,20,23,111,46,155,119,67,190,0,3,0,0,0,0,3,0,7,6,7,9,1424,1991,3410,1392,2096,3493,109,98,214,14620,14364,28984
SED10077,2318,2222,4537,251,318,566,0,0,5,5,5,3,40,53,95,8975,5047,14025,387,889,1278,178,3,182,262,22,287,100,32,126,189,110,298,523,676,1197,13227,9371,22594,730,902,1637,5,3,13,22,30,53,114,44,159,18,75,93,45,24,70,942,1083,2027,0,0,0,4,0,6,10,8,17,3,31,35,8,6,12,26,44,74,109,49,156,1081,1177,2255,137,140,276,6,6,8,4,4,6,139,148,287,9063,9563,18621,2896,3532,6425,113,90,202,26516,23870,50390
SED10078,1112,1010,2123,244,322,563,0,0,3,48,49,101,51,56,107,5872,3845,9712,270,444,718,101,5,103,207,37,248,311,117,422,111,78,188,514,659,1171,8837,6625,15459,279,324,599,6,0,7,22,26,46,42,30,71,9,32,46,33,19,57,392,431,820,0,0,0,5,23,29,0,4,13,9,12,24,11,13,25,31,59,92,72,44,118,496,538,1028,77,72,149,3,4,10,3,3,7,85,76,160,9676,11737,21411,2321,3038,5360,85,60,141,21498,22069,43566
SED10079,23,17,35,59,71,128,0,0,0,0,0,0,0,0,6,9902,7701,17601,485,497,985,284,7,287,97,3,98,46,13,60,71,44,112,157,166,323,11129,8518,19647,14,3,19,0,0,0,0,0,0,21,14,35,7,3,7,0,0,0,45,22,66,0,0,0,0,0,0,0,4,9,7,8,16,0,3,3,9,16,19,90,34,119,139,69,210,4,6,5,0,0,3,0,0,0,4,8,13,2403,3708,6107,1987,3038,5030,74,71,140,15731,15405,31136
SED10080,1319,977,2294,859,933,1797,14,4,22,170,169,333,102,83,188,3678,1990,5666,225,383,607,25,0,28,344,58,398,540,130,670,275,156,430,4055,3043,7096,11616,7918,19533,408,381,799,5,0,8,31,26,54,16,14,30,15,9,25,58,22,79,534,456,989,3,0,7,34,36,69,9,5,19,7,15,25,20,20,39,79,72,152,87,45,133,697,577,1274,121,81,197,15,20,35,8,4,9,137,102,238,15283,13208,28482,2776,3162,5937,117,105,221,30620,25074,55695
SED10081,4,0,4,147,61,210,0,5,4,0,0,0,30,26,56,11881,10679,22563,967,952,1919,486,15,499,166,19,183,69,13,78,120,65,183,542,480,1024,14410,12316,26723,0,0,0,0,0,0,0,0,0,0,4,6,0,0,0,0,0,0,0,4,6,0,0,0,0,0,0,19,6,24,5,7,16,3,0,3,29,14,42,130,62,197,168,80,243,0,0,0,0,3,3,5,0,5,5,3,8,2047,2734,4783,1901,2672,4570,133,93,230,18656,17902,36558
SED10082,97,45,139,55,58,112,7,0,6,0,4,6,4,5,13,8962,7165,16130,465,510,970,232,4,240,82,9,83,39,8,50,80,44,126,169,186,354,10192,8039,18227,26,8,35,0,0,0,0,0,0,60,22,86,9,5,19,5,3,8,104,38,144,0,0,0,0,0,0,4,4,4,8,8,16,0,0,4,15,15,24,91,36,128,210,89,294,18,7,28,5,3,8,0,6,3,25,14,40,5068,6106,11176,2119,3273,5392,59,63,121,17671,17580,35250
SED10083,117,61,174,92,124,214,0,0,0,0,0,3,3,6,12,9738,7422,17158,546,557,1101,260,7,268,107,12,117,52,10,65,77,55,136,170,218,387,11175,8461,19637,33,23,60,0,0,0,0,0,0,42,21,61,3,3,9,6,4,8,87,52,138,0,0,0,0,0,0,3,4,12,6,17,20,9,4,6,15,20,42,90,35,118,194,103,300,13,10,28,5,5,7,4,0,4,21,13,32,3396,4669,8067,2121,3392,5509,74,65,140,16983,16706,33688
SED10084,8,3,10,93,81,171,0,0,0,0,0,0,13,12,26,10989,10318,21307,597,781,1375,301,6,306,143,15,160,175,108,286,110,49,150,375,450,822,12800,11815,24611,4,0,4,0,0,0,0,0,0,15,5,23,3,0,8,0,0,0,24,10,33,0,0,0,0,0,0,5,0,4,11,20,25,3,4,7,17,25,44,124,65,190,161,101,261,8,0,3,4,3,9,3,0,5,11,4,21,2056,2920,4975,1602,2581,4184,114,117,231,16751,17532,34278
SED10085,7,6,14,45,17,61,6,0,9,0,0,0,6,11,16,12665,9701,22367,659,671,1330,398,10,409,126,14,145,53,17,75,176,77,250,851,560,1405,14993,11083,26076,0,0,0,0,0,0,0,0,0,3,4,6,0,0,0,0,5,5,5,3,14,0,0,0,0,0,0,0,0,0,3,3,5,0,0,0,9,4,13,125,50,181,144,63,201,4,0,4,0,0,3,6,0,13,14,3,15,2035,2857,4889,2136,2696,4831,147,111,259,19462,16814,36276
SED10086,265,210,474,256,380,639,105,34,144,0,4,4,50,47,93,5659,3576,9238,274,456,731,100,0,100,369,76,440,195,72,268,125,101,231,649,903,1556,8053,5865,13922,289,244,532,4,6,8,0,0,0,18,8,23,5,5,13,9,5,16,328,268,592,8,0,9,0,0,0,8,12,17,7,12,23,9,15,29,38,38,75,90,47,132,453,350,799,67,29,93,0,0,0,13,0,13,79,29,108,11301,12487,23791,1628,2579,4208,116,112,226,21622,21429,43053
SED10087,4,0,4,105,76,181,8,7,13,0,0,0,27,31,65,14358,12840,27195,1064,1055,2122,275,11,287,152,9,168,114,31,150,225,76,311,886,740,1621,17225,14886,32110,0,0,0,0,0,0,0,0,0,3,3,11,0,0,0,0,0,0,5,3,8,0,0,0,0,0,0,7,4,10,11,8,24,3,0,6,26,15,43,181,81,262,211,105,316,0,0,0,0,4,4,13,3,16,11,12,19,1537,1954,3490,1247,2326,3571,124,88,216,20358,19368,39727
SED10088,18,9,25,732,817,1552,5,0,7,0,0,0,26,15,44,9221,6613,15831,499,697,1195,266,8,268,309,37,347,152,30,179,91,78,169,466,555,1022,11788,8857,20643,47,58,101,0,0,0,0,0,0,9,0,12,0,0,0,3,0,3,55,58,114,7,3,8,0,5,7,37,34,72,28,67,94,14,20,34,91,119,209,116,60,177,265,235,502,23,8,28,17,8,24,3,0,0,39,19,55,7828,8756,16587,2065,3416,5484,90,75,168,22079,21363,43441
SED10089,44,11,58,192,245,431,5,0,7,0,0,0,24,24,49,12780,10245,23021,615,866,1479,201,9,210,181,26,211,127,24,148,84,54,140,271,310,584,14527,11812,26338,13,5,20,0,0,0,6,0,5,8,5,14,4,3,10,7,0,7,35,16,49,0,0,0,0,0,0,24,13,39,15,25,40,9,10,19,50,57,104,119,77,197,203,150,354,24,0,25,12,3,16,9,3,14,42,12,53,3579,4517,8098,2765,4158,6923,84,53,139,21200,20702,41902
SED10090,480,476,958,466,529,992,0,0,0,0,0,0,27,26,53,5297,3544,8842,243,565,808,74,0,73,165,18,187,132,37,168,90,85,177,873,1078,1947,7848,6360,14199,144,174,319,0,0,0,3,10,10,17,12,30,9,18,24,20,16,34,193,229,422,0,0,0,4,6,12,18,17,34,16,23,35,14,15,29,50,58,110,57,33,97,300,324,627,29,30,59,3,0,7,0,0,3,38,31,71,12233,12291,24525,1755,2886,4640,65,63,123,22232,21954,44189
SED10091,88,58,146,27,31,50,0,0,5,0,0,0,9,7,15,12184,8804,20995,712,682,1396,769,11,777,81,4,85,29,7,36,88,53,139,376,338,711,14361,9995,24358,9,3,8,0,0,0,0,0,0,49,21,69,4,3,10,4,4,7,67,30,94,0,0,0,0,0,0,3,8,11,0,8,9,6,4,6,10,18,32,112,50,164,185,93,281,11,3,17,0,0,0,3,0,6,22,4,25,3744,5560,9303,2139,3125,5264,99,97,198,20550,18882,39430
SED10092,193,123,320,177,229,407,3,0,3,0,0,4,30,35,65,10876,7473,18347,539,720,1256,171,0,173,135,18,153,158,22,176,85,57,141,614,646,1259,12998,9322,22321,27,24,50,0,0,0,3,0,4,41,12,48,10,13,21,7,0,15,90,56,143,0,0,0,0,0,0,12,17,27,8,29,38,8,9,16,34,48,81,96,63,158,221,169,383,8,7,21,0,14,11,8,4,8,19,20,40,4003,5233,9234,2326,3369,5694,79,60,139,19642,18171,37816
SED10093,120,65,179,83,108,184,0,0,0,0,0,0,4,5,10,10635,8252,18892,675,683,1361,320,4,328,84,10,91,36,7,49,67,46,113,167,185,357,12187,9372,21554,41,28,69,0,0,0,0,0,0,62,16,79,7,3,15,9,5,14,124,54,179,0,0,0,0,0,0,3,3,7,10,17,29,8,3,7,16,24,43,116,53,171,263,129,391,23,18,40,3,3,3,5,0,5,27,21,45,2854,4076,6931,2289,3493,5784,91,80,167,17702,17174,34873
SED19494,27,11,35,21,16,34,0,0,0,0,0,0,0,6,5,580,380,961,75,87,164,23,3,24,10,4,16,9,5,18,29,27,54,89,76,166,872,616,1485,16,9,24,0,0,0,0,3,3,5,0,5,0,0,0,0,0,0,13,9,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,6,10,25,16,41,10,0,6,0,0,0,0,0,0,6,5,11,233,279,514,213,213,428,35,6,39,1388,1128,2511
SED19797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SED20106,310,293,606,115,133,249,8,4,10,1283,1540,2825,81,108,191,6932,4271,11211,294,513,806,44,3,53,255,41,297,686,330,1014,166,128,293,1915,1826,3739,12088,9192,21282,58,62,125,0,0,0,125,143,267,11,9,14,0,13,13,44,27,69,237,249,483,0,0,0,30,45,81,7,6,10,0,4,4,3,10,11,47,61,104,207,184,383,486,489,975,106,112,219,7,7,13,38,20,53,147,144,292,10235,11172,21407,1976,2960,4938,101,89,186,25027,24044,49076
SED20207,613,678,1288,66,125,187,9,0,12,4,0,9,52,64,117,14650,9666,24313,770,1151,1921,156,6,165,115,16,132,132,43,179,129,83,215,166,252,413,16865,12083,28949,136,197,336,0,0,0,35,51,80,177,99,276,25,61,87,26,8,36,402,414,818,0,0,0,0,0,0,10,9,18,18,31,44,0,3,3,27,42,68,174,101,275,604,557,1162,132,180,316,3,6,13,4,3,9,138,194,335,8072,8468,16538,2026,3254,5277,133,95,228,27840,24656,52488
SED20302,300,301,601,45,78,120,11,5,14,4,0,7,50,48,103,18719,13568,32291,917,1134,2048,407,6,418,85,9,96,119,46,159,177,92,265,411,439,849,21246,15718,36966,67,104,170,0,0,0,15,16,31,98,46,145,10,23,29,14,4,18,204,193,394,4,0,4,0,0,0,5,3,13,6,15,28,6,4,3,21,21,44,181,117,299,404,331,735,38,62,99,4,3,9,12,0,10,49,74,118,3939,5247,9185,2123,3800,5924,206,148,353,27962,25312,53279
SED20401,300,238,536,95,89,179,0,5,6,0,3,3,24,23,50,9825,7523,17351,479,559,1038,153,6,158,63,3,68,104,18,122,56,33,93,177,160,340,11275,8662,19934,49,42,91,0,0,0,9,13,20,65,42,106,10,14,21,10,5,13,144,111,253,0,0,0,0,0,0,3,3,7,3,16,19,7,5,10,19,23,40,97,57,157,256,198,452,23,37,60,0,0,0,8,5,10,34,39,75,3862,4408,8272,1312,2668,3980,58,44,98,16792,16017,32811
SED20508,46,17,65,66,84,151,14,0,16,3,0,6,16,8,22,9857,8387,18241,495,557,1049,180,3,178,44,6,52,111,52,162,61,52,106,244,287,535,11136,9454,20586,6,0,6,0,0,0,0,0,4,32,15,50,0,3,5,0,0,0,44,22,67,0,0,0,0,0,0,0,5,12,4,14,14,5,4,6,5,24,35,81,51,132,131,101,226,13,8,23,0,3,3,4,0,4,20,10,30,2964,3762,6729,1463,2649,4111,111,86,205,15828,16059,31894
SED20604,5,0,5,44,34,74,13,0,12,4,0,6,26,17,37,11639,10292,21931,668,710,1372,204,5,209,118,18,133,157,52,207,131,62,195,780,634,1409,13776,11830,25607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,3,0,0,0,0,0,0,3,0,5,0,10,8,0,4,4,3,11,17,122,63,184,127,79,206,0,0,0,0,5,5,6,0,8,6,6,12,1756,2283,4044,1305,2223,3526,110,109,225,17090,16524,33619
