SED_CODE_2021,Sme_Usl_ad_5_yr_ago_as_2021_M,Sme_Usl_ad_5_yr_ago_as_2021_F,Sme_Usl_ad_5_yr_ago_as_2021_P,Dif_Usl_ad_5_yr_ago_Sme_SA2_M,Dif_Usl_ad_5_yr_ago_Sme_SA2_F,Dif_Usl_ad_5_yr_ago_Sme_SA2_P,Dif_Us_ad_5_ago_Dif_SA2_NSW_M,Dif_Us_ad_5_ago_Dif_SA2_NSW_F,Dif_Us_ad_5_ago_Dif_SA2_NSW_P,Dif_Us_ad_5_ago_Dif_SA2_Vic_M,Dif_Us_ad_5_ago_Dif_SA2_Vic_F,Dif_Us_ad_5_ago_Dif_SA2_Vic_P,Dif_Us_ad_5_ago_Dif_SA2_Qld_M,Dif_Us_ad_5_ago_Dif_SA2_Qld_F,Dif_Us_ad_5_ago_Dif_SA2_Qld_P,Dif_Us_ad_5_ago_Dif_SA2_SA_M,Dif_Us_ad_5_ago_Dif_SA2_SA_F,Dif_Us_ad_5_ago_Dif_SA2_SA_P,Dif_Us_ad_5_ago_Dif_SA2_WA_M,Dif_Us_ad_5_ago_Dif_SA2_WA_F,Dif_Us_ad_5_ago_Dif_SA2_WA_P,Dif_Us_ad_5_ago_Dif_SA2_Tas_M,Dif_Us_ad_5_ago_Dif_SA2_Tas_F,Dif_Us_ad_5_ago_Dif_SA2_Tas_P,Dif_Us_ad_5_ago_Dif_SA2_NT_M,Dif_Us_ad_5_ago_Dif_SA2_NT_F,Dif_Us_ad_5_ago_Dif_SA2_NT_P,Dif_Us_ad_5_ago_Dif_SA2_ACT_M,Dif_Us_ad_5_ago_Dif_SA2_ACT_F,Dif_Us_ad_5_ago_Dif_SA2_ACT_P,Dif_Us_ad_5_ago_Dif_SA2_OT_M,Dif_Us_ad_5_ago_Dif_SA2_OT_F,Dif_Us_ad_5_ago_Dif_SA2_OT_P,Dif_Us_ad_5_ago_Dif_SA2_Tot_M,Dif_Us_ad_5_ago_Dif_SA2_Tot_F,Dif_Us_ad_5_ago_Dif_SA2_Tot_P,Difnt_Usl_add_5_yr_ago_OS_M,Difnt_Usl_add_5_yr_ago_OS_F,Difnt_Usl_add_5_yr_ago_OS_P,Difnt_Usl_add_5_yr_ago_Ns_M,Difnt_Usl_add_5_yr_ago_Ns_F,Difnt_Usl_add_5_yr_ago_Ns_P,Difnt_Usl_add_5_yr_ago_Tot_M,Difnt_Usl_add_5_yr_ago_Tot_F,Difnt_Usl_add_5_yr_ago_Tot_P,N_stated_M,N_stated_F,N_stated_P,Tot_M,Tot_F,Tot_P
SED10001,21051,21742,42798,3719,4093,7812,6166,6764,12932,2996,3235,6236,479,505,981,105,104,207,138,133,274,82,89,173,88,91,176,109,131,242,0,3,8,10171,11060,21234,753,789,1543,322,239,560,14959,16187,31151,3102,2853,5955,39119,40782,79897
SED10002,24894,24697,49592,3557,3317,6876,12960,11937,24898,254,238,494,267,233,498,85,86,174,150,90,242,31,32,58,23,11,28,83,72,151,0,0,0,13851,12699,26552,9445,7723,17172,668,433,1105,27530,24174,51700,5367,3560,8927,57790,52430,110217
SED10003,19232,20145,39379,3752,4179,7930,7117,8174,15287,867,1018,1890,1133,1350,2483,79,106,193,161,150,312,23,52,79,86,94,178,74,68,145,4,0,4,9548,11020,20565,1514,1823,3333,392,376,767,15204,17399,32600,3130,3363,6486,37569,40906,78469
SED10004,16956,18680,35636,2708,2878,5588,10713,11387,22102,453,482,940,412,426,842,124,131,251,206,208,416,19,50,64,36,36,65,158,191,356,0,3,4,12121,12915,25037,3683,4061,7747,284,293,576,18795,20150,38942,2216,2054,4263,37966,40881,78843
SED10005,24483,25122,49600,2015,2087,4101,9421,9350,18769,122,116,233,97,85,184,35,42,81,55,54,111,5,6,10,9,8,19,33,24,63,0,0,0,9775,9688,19460,2929,2954,5882,334,273,613,15058,14997,30056,4144,3705,7851,43680,43827,87508
SED10006,20284,19911,40192,4134,4650,8781,3339,3526,6865,224,212,443,455,469,925,239,256,499,91,101,195,35,35,72,50,44,96,29,29,53,0,0,0,4467,4672,9142,467,493,958,207,187,397,9281,10003,19285,4981,4984,9971,34544,34900,69443
SED10007,20682,20725,41406,3863,4025,7894,8265,8923,17186,147,132,279,279,307,587,48,53,104,58,52,115,27,30,57,33,30,61,46,54,97,0,0,9,8902,9591,18496,515,581,1098,249,207,461,13531,14406,27941,4140,2725,6862,38352,37859,76213
SED10008,25267,26051,51315,1371,1403,2772,10430,10662,21089,165,179,345,186,183,370,90,90,182,92,102,191,19,16,31,20,16,27,65,44,106,0,0,0,11055,11294,22344,2337,2642,4979,181,135,322,14950,15465,30417,1040,1122,2159,41254,42642,83894
SED10009,19654,20268,39922,3811,4059,7878,6198,6762,12963,795,850,1639,373,401,774,52,53,102,95,109,201,27,39,64,63,65,133,1022,1070,2092,0,0,0,8619,9348,17969,453,552,1007,232,195,430,13123,14154,27280,3115,3058,6171,35894,37481,73370
SED10010,23698,23993,47693,1771,1779,3550,9803,9404,19216,167,155,326,162,153,314,58,58,124,68,55,124,10,17,21,21,14,33,32,40,71,0,0,0,10330,9901,20226,4235,4142,8373,255,170,428,16594,15982,32582,2932,2746,5678,43228,42721,85955
SED10011,21140,22716,43857,2637,2877,5511,6913,7311,14219,121,138,264,130,131,261,27,32,58,44,46,94,24,30,52,17,12,28,60,59,111,0,0,0,7338,7757,15091,536,600,1138,200,181,378,10710,11414,22121,1291,1404,2694,33134,35529,68669
