SOSR_CODE_2021,P_Pakistan_0_4,P_Pakistan_5_14,P_Pakistan_15_24,P_Pakistan_25_44,P_Pakistan_45_54,P_Pakistan_55_64,P_Pakistan_65_74,P_Pakistan_75_84,P_Pakistan_85ov,P_Pakistan_Tot,P_PNG_0_4,P_PNG_5_14,P_PNG_15_24,P_PNG_25_44,P_PNG_45_54,P_PNG_55_64,P_PNG_65_74,P_PNG_75_84,P_PNG_85ov,P_PNG_Tot,P_Philippines_0_4,P_Philippines_5_14,P_Philippines_15_24,P_Philippines_25_44,P_Philippines_45_54,P_Philippines_55_64,P_Philippines_65_74,P_Philippines_75_84,P_Philippines_85ov,P_Philippines_Tot,P_Poland_0_4,P_Poland_5_14,P_Poland_15_24,P_Poland_25_44,P_Poland_45_54,P_Poland_55_64,P_Poland_65_74,P_Poland_75_84,P_Poland_85ov,P_Poland_Tot,P_Samoa_0_4,P_Samoa_5_14,P_Samoa_15_24,P_Samoa_25_44,P_Samoa_45_54,P_Samoa_55_64,P_Samoa_65_74,P_Samoa_75_84,P_Samoa_85ov,P_Samoa_Tot,P_Scotland_0_4,P_Scotland_5_14,P_Scotland_15_24,P_Scotland_25_44,P_Scotland_45_54,P_Scotland_55_64,P_Scotland_65_74,P_Scotland_75_84,P_Scotland_85ov,P_Scotland_Tot,P_Singapore_0_4,P_Singapore_5_14,P_Singapore_15_24,P_Singapore_25_44,P_Singapore_45_54,P_Singapore_55_64,P_Singapore_65_74,P_Singapore_75_84,P_Singapore_85ov,P_Singapore_Tot,P_South_Africa_0_4,P_South_Africa_5_14,P_South_Africa_15_24,P_South_Africa_25_44,P_South_Africa_45_54,P_South_Africa_55_64,P_South_Africa_65_74,P_South_Africa_75_84,P_South_Africa_85ov,P_South_Africa_Tot,P_Sri_Lanka_0_4,P_Sri_Lanka_5_14,P_Sri_Lanka_15_24,P_Sri_Lanka_25_44,P_Sri_Lanka_45_54,P_Sri_Lanka_55_64,P_Sri_Lanka_65_74,P_Sri_Lanka_75_84,P_Sri_Lanka_85ov,P_Sri_Lanka_Tot,P_Taiwan_0_4,P_Taiwan_5_14,P_Taiwan_15_24,P_Taiwan_25_44,P_Taiwan_45_54,P_Taiwan_55_64,P_Taiwan_65_74,P_Taiwan_75_84,P_Taiwan_85ov,P_Taiwan_Tot,P_Thailand_0_4,P_Thailand_5_14,P_Thailand_15_24,P_Thailand_25_44,P_Thailand_45_54,P_Thailand_55_64,P_Thailand_65_74,P_Thailand_75_84,P_Thailand_85ov,P_Thailand_Tot,P_Turkey_0_4,P_Turkey_5_14,P_Turkey_15_24,P_Turkey_25_44,P_Turkey_45_54,P_Turkey_55_64,P_Turkey_65_74,P_Turkey_75_84,P_Turkey_85ov,P_Turkey_Tot,P_USA_0_4,P_USA_5_14,P_USA_15_24,P_USA_25_44,P_USA_45_54,P_USA_55_64,P_USA_65_74,P_USA_75_84,P_USA_85ov,P_USA_Tot,P_Vietnam_0_4,P_Vietnam_5_14,P_Vietnam_15_24,P_Vietnam_25_44,P_Vietnam_45_54,P_Vietnam_55_64,P_Vietnam_65_74,P_Vietnam_75_84,P_Vietnam_85ov,P_Vietnam_Tot,P_Wales_0_4,P_Wales_5_14,P_Wales_15_24,P_Wales_25_44,P_Wales_45_54,P_Wales_55_64,P_Wales_65_74,P_Wales_75_84,P_Wales_85ov,P_Wales_Tot,P_Zimbabwe_0_4,P_Zimbabwe_5_14,P_Zimbabwe_15_24,P_Zimbabwe_25_44,P_Zimbabwe_45_54,P_Zimbabwe_55_64,P_Zimbabwe_65_74,P_Zimbabwe_75_84,P_Zimbabwe_85ov,P_Zimbabwe_Tot,P_Elsewhere_0_4,P_Elsewhere_5_14,P_Elsewhere_15_24,P_Elsewhere_25_44,P_Elsewhere_45_54,P_Elsewhere_55_64,P_Elsewhere_65_74,P_Elsewhere_75_84,P_Elsewhere_85ov,P_Elsewhere_Tot,P_COB_NS_0_4,P_COB_NS_5_14,P_COB_NS_15_24,P_COB_NS_25_44,P_COB_NS_45_54,P_COB_NS_55_64,P_COB_NS_65_74,P_COB_NS_75_84,P_COB_NS_85ov,P_COB_NS_Tot,P_Tot_0_4,P_Tot_5_14,P_Tot_15_24,P_Tot_25_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
SOSR101,385,3248,3502,16942,3439,2010,915,211,51,30705,6,37,130,565,995,705,412,193,87,3132,319,3080,6589,36826,15022,13801,9443,2390,674,88160,21,121,155,3388,1482,1735,2450,927,686,10964,24,434,896,2411,2007,1994,1035,301,49,9147,22,273,466,3138,2468,3028,2780,1929,660,14759,258,1798,1710,3745,1801,1474,1393,488,138,12798,200,1780,2781,11815,7850,5516,4051,2006,634,36632,103,825,1654,10232,4964,4944,3456,1561,567,28308,105,408,712,7337,1652,1044,1265,271,35,12831,136,779,1832,15813,3531,1865,963,202,37,25159,50,343,381,3861,3095,2903,1721,1040,206,13599,869,3088,2846,8937,3245,2544,1553,689,137,23913,263,1982,6383,27442,20585,19828,11469,3458,1551,92967,11,82,127,1251,785,713,546,373,108,3993,13,110,572,1801,1093,727,300,90,30,4743,1355,10135,13388,75294,32921,29824,24287,15693,6370,209271,11324,24366,25680,73367,24253,20204,15706,11713,7449,214063,282767,583355,575904,1468158,596518,509021,377790,213068,92069,4698656
SOSR102,39,133,185,972,80,50,52,7,5,1529,0,11,37,164,235,177,87,23,5,749,44,424,566,2788,1134,1073,724,186,41,6971,0,5,16,326,166,186,378,198,120,1406,0,5,18,98,69,67,34,14,3,317,10,89,145,489,614,1163,1309,1053,404,5267,15,88,78,198,129,115,80,34,4,735,29,277,412,1589,969,680,555,236,71,4824,3,47,98,432,185,156,117,63,21,1131,0,36,18,207,59,35,20,0,5,384,18,202,335,1255,510,256,81,26,8,2688,5,13,19,194,256,265,127,117,17,1011,83,307,418,1262,575,505,412,184,35,3776,15,134,292,896,413,320,210,68,20,2357,3,31,51,202,256,385,318,240,111,1599,0,28,126,324,175,124,82,20,3,882,158,1096,1298,5427,2969,3119,3159,2489,1168,20881,1938,4955,5337,11594,5261,5364,5529,4799,2945,47715,58553,127238,127556,262504,132254,131061,114242,71267,30494,1055174
SOSR111,0,24,28,113,16,12,5,3,0,203,0,0,8,23,44,36,10,0,0,116,8,81,142,528,229,196,104,34,4,1315,0,0,0,26,15,15,46,12,13,127,0,5,9,22,17,12,7,7,0,73,0,9,21,60,74,129,141,109,45,591,0,15,3,22,15,4,10,0,0,82,13,58,90,256,187,97,68,28,11,815,0,22,6,106,29,18,17,7,0,205,0,5,7,98,5,6,0,0,0,125,4,59,61,164,68,28,19,4,0,407,3,0,0,10,6,3,3,0,0,28,5,32,36,157,53,60,77,23,4,452,3,17,11,141,38,23,18,0,0,250,0,0,7,30,25,43,35,21,13,180,0,15,26,76,50,17,18,6,4,199,25,212,272,967,461,406,328,273,104,3063,510,1126,1043,2576,1035,1049,971,879,538,9727,12218,25704,22815,50402,23325,22736,20378,12040,4715,194335
SOSR112,19,87,66,551,73,24,18,0,0,844,0,8,16,60,99,88,48,9,10,334,35,332,393,1791,576,422,266,58,8,3890,0,5,7,69,41,54,106,59,39,376,0,19,52,109,57,41,22,10,4,314,8,47,42,185,167,344,499,394,138,1812,4,29,36,50,59,35,45,21,4,281,16,113,195,560,348,235,245,149,25,1886,13,92,65,403,129,86,49,25,7,863,5,12,25,392,19,15,11,0,0,475,6,64,78,481,214,108,39,4,0,994,17,15,9,59,42,27,15,8,3,191,25,121,145,418,219,223,232,110,21,1511,13,121,103,599,141,67,23,5,3,1066,0,8,10,38,54,68,95,91,22,387,4,42,58,201,123,82,49,15,4,581,70,341,408,1958,894,880,995,744,295,6582,1613,3804,3982,7611,3440,3367,3323,2917,1783,31849,31005,65858,61479,128297,60830,62954,59320,38241,16410,524391
SOSR113,0,4,3,62,11,6,9,0,0,101,0,6,8,33,56,40,26,0,0,164,19,113,128,627,250,198,134,45,7,1520,0,5,3,33,14,29,59,13,10,168,0,0,0,11,5,8,5,0,0,34,5,6,10,55,61,180,269,204,67,864,0,16,3,29,24,17,20,8,0,114,3,35,52,222,147,108,98,76,12,767,0,7,4,47,17,18,11,11,4,119,0,3,0,50,3,7,3,0,0,65,9,42,59,219,127,50,25,5,0,533,0,0,0,18,11,6,8,5,0,44,24,49,66,222,108,98,129,51,9,752,3,16,13,125,61,21,15,4,0,266,0,10,8,36,28,46,58,47,16,246,3,9,7,38,39,30,19,4,0,149,29,90,117,931,327,343,456,409,137,2840,673,1823,1574,3659,1826,1895,1954,1507,881,15792,12413,28351,24263,52815,27435,31098,30922,19095,7856,234258
SOSR114,12,19,12,121,13,9,4,5,0,193,0,0,11,39,68,43,36,0,0,205,16,172,179,701,275,190,118,13,9,1680,0,5,0,43,12,12,28,17,11,135,0,0,9,55,11,5,0,0,0,90,0,14,15,68,82,189,264,209,53,885,5,18,10,27,33,35,15,3,0,141,6,71,81,307,187,110,131,80,15,994,0,24,12,119,45,25,18,12,4,265,0,0,4,92,10,0,5,4,0,112,7,45,48,203,99,65,17,3,0,479,0,3,0,17,10,5,9,0,0,54,8,49,49,207,82,98,121,44,6,670,4,9,14,94,48,26,14,0,0,215,0,4,3,36,27,40,44,46,16,217,0,7,11,66,37,34,25,11,0,191,26,108,118,782,349,385,424,339,120,2658,792,2157,1834,4232,1934,2107,2246,1835,947,18085,15375,32840,27447,58846,29552,32999,33212,21969,9144,261391
SOSR115,5,3,9,81,13,7,11,5,0,129,0,15,14,44,86,65,36,15,0,281,23,104,93,575,215,207,169,29,4,1418,0,0,0,40,20,39,68,34,24,227,0,0,4,18,7,7,7,0,0,42,5,23,27,120,141,270,422,325,81,1418,4,12,8,25,38,30,30,11,0,147,4,62,84,307,257,191,198,104,22,1230,0,12,9,88,34,29,34,13,0,228,4,9,13,139,12,11,0,0,0,183,7,38,38,234,118,58,16,7,0,510,0,5,0,21,18,23,14,4,0,73,11,94,61,280,164,182,250,102,16,1159,0,17,39,147,77,43,18,5,0,346,0,3,9,34,46,59,105,72,26,353,5,9,9,57,45,31,28,6,0,185,24,145,162,1081,581,663,765,564,192,4179,1155,3147,2497,5643,3028,3589,3774,2848,1365,27057,20357,44990,36173,77730,42877,51481,52903,31139,11859,369508
SOSR121,0,4,0,10,4,0,3,0,0,22,0,3,0,14,24,15,10,0,0,75,3,18,17,121,46,62,50,11,4,334,0,0,0,13,12,8,22,3,4,66,0,0,0,5,0,0,0,0,0,7,0,0,9,28,36,89,108,60,19,345,0,10,3,0,4,9,7,0,0,44,0,15,16,68,71,72,57,13,0,313,0,0,0,23,8,5,7,0,0,37,0,6,5,25,6,3,6,0,0,44,0,11,9,41,29,8,9,0,0,101,0,0,0,0,6,0,0,0,0,9,8,17,18,91,55,59,77,16,5,348,0,4,4,27,19,3,0,0,0,58,0,5,3,13,21,23,19,13,6,108,0,0,3,12,15,8,4,0,0,54,6,32,28,208,152,208,204,125,33,1010,313,703,603,1464,780,992,1028,620,315,6819,5307,12771,9925,20026,12789,14998,14096,6858,2080,98845
SOSR122,0,0,4,0,0,0,0,0,0,9,0,3,0,11,16,7,7,0,0,48,5,14,9,68,25,35,27,5,0,193,0,0,0,7,6,6,8,0,0,26,0,0,0,0,0,0,0,0,0,6,0,0,4,8,14,41,55,32,5,155,0,0,0,0,4,4,0,4,0,17,0,3,20,36,34,28,22,9,3,155,0,0,0,5,9,3,0,0,0,18,0,0,0,38,0,0,0,0,0,39,0,4,7,26,14,16,4,0,0,66,0,0,0,0,5,0,0,0,0,6,0,7,10,36,28,35,34,10,0,153,0,0,0,7,7,0,0,0,0,15,0,0,0,0,3,12,12,10,0,40,0,0,0,3,7,6,7,0,0,22,3,3,17,108,68,119,93,79,12,500,135,460,420,924,601,749,695,380,125,4489,2327,5989,4783,9751,6515,8463,7524,3607,1000,49959
SOSR131,0,8,10,67,18,26,15,6,0,154,0,3,7,56,145,146,49,9,0,414,11,99,88,507,269,254,136,24,4,1399,0,0,0,74,46,72,93,31,12,331,0,3,15,53,10,17,15,0,0,107,4,13,35,127,202,420,430,246,57,1530,4,32,16,48,60,80,43,14,0,300,14,103,143,501,501,391,306,96,21,2066,0,0,7,85,46,41,41,21,0,235,4,14,4,130,31,29,25,5,0,244,6,56,60,286,131,83,38,3,0,675,3,8,0,31,33,29,12,9,4,121,25,141,132,493,264,412,418,125,21,2028,0,8,22,161,116,66,32,6,0,424,0,4,11,39,79,110,112,62,12,434,0,4,13,86,90,96,60,23,0,373,25,163,209,1349,973,1334,1347,784,206,6392,1762,5254,4643,9568,6992,8569,7095,3599,1007,48485,27273,74053,62369,112624,83164,95316,77284,33967,8221,574269
