SOSR_CODE_2021,P_85y_ov_DNUDW,P_85y_ov_UDW_NS,P_85y_ov_Total,P_Tot_DUDW_LT_5_h,P_Tot_DUDW_5_14_h,P_Tot_DUDW_15_29_h,P_Tot_DUDW_30_h_mo,P_Tot_DNUDW,P_Tot_UDW_NS,P_Tot_Total
SOSR101,43244,15428,92069,731389,992709,441674,319624,1114343,232796,3832530
SOSR102,14395,5370,30494,170976,244207,113460,77890,213651,49195,869377
SOSR111,2215,708,4715,30418,43661,20166,13548,39515,9104,156414
SOSR112,8102,2428,16410,79338,115466,53332,36836,110019,32544,427530
SOSR113,3972,1189,7856,33671,50848,24506,18032,51267,15166,193489
SOSR114,4653,1265,9144,38182,56862,27382,20121,54448,16183,213174
SOSR115,5965,1739,11859,52386,82181,41697,30769,72745,24388,304163
SOSR121,902,352,2080,14434,22409,12009,8803,17260,5860,80771
SOSR122,450,145,1000,6908,10885,5811,4634,9485,3912,41640
SOSR131,3337,1114,8221,85047,127993,70757,57770,86886,44501,472950
SOSR179,0,0,0,0,0,0,0,0,0,0
SOSR199,23,19,49,1561,1512,614,402,2643,3376,10112
SOSR201,48597,11248,95489,771675,1018770,421012,286889,1058156,206331,3762827
SOSR203,5051,1366,10152,63548,89295,39256,27197,78467,18346,316110
SOSR211,719,117,1265,15477,20953,9466,7992,27334,6075,87292
SOSR212,3338,971,6635,41045,58821,26580,19005,54357,13969,213775
SOSR213,3817,1260,7715,37793,54494,26194,19675,52651,13528,204331
SOSR214,2950,856,5699,21190,32485,16369,12164,30968,8689,121867
SOSR215,3720,1009,7150,32804,50666,25789,19274,42480,13755,184765
SOSR221,800,288,1658,9080,14164,7390,5829,10746,3971,51183
SOSR222,317,104,714,4804,7663,3888,3141,5629,2490,27613
SOSR231,2306,903,5963,65495,96696,53383,42734,64628,33347,356286
SOSR279,0,0,0,0,3,0,0,8,27,38
SOSR299,12,17,29,1148,1118,391,326,1694,3270,7946
SOSR301,19722,5097,38897,397318,536767,220241,144534,446341,102399,1847605
SOSR302,10065,3569,20942,152848,204881,89426,58162,182144,49927,737390
SOSR303,4103,1061,7954,69926,96565,39031,26819,89770,30177,352278
SOSR311,3462,1053,6854,37885,53680,24048,18471,55624,17226,206931
SOSR312,1457,357,2822,14479,21815,10455,8164,21272,5504,81697
