SOSR_CODE_2021,M_Ptn_in_RM_0_14,M_Ptn_in_RM_15_24,M_Ptn_in_RM_25_34,M_Ptn_in_RM_35_44,M_Ptn_in_RM_45_54,M_Ptn_in_RM_55_64,M_Ptn_in_RM_65_74,M_Ptn_in_RM_75_84,M_Ptn_in_RM_85ov,M_Ptn_in_RM_Tot,M_Ptn_in_DFM_0_14,M_Ptn_in_DFM_15_24,M_Ptn_in_DFM_25_34,M_Ptn_in_DFM_35_44,M_Ptn_in_DFM_45_54,M_Ptn_in_DFM_55_64,M_Ptn_in_DFM_65_74,M_Ptn_in_DFM_75_84,M_Ptn_in_DFM_85ov,M_Ptn_in_DFM_Tot,M_LonePnt_0_14,M_LonePnt_15_24,M_LonePnt_25_34,M_LonePnt_35_44,M_LonePnt_45_54,M_LonePnt_55_64,M_LonePnt_65_74,M_LonePnt_75_84,M_LonePnt_85ov,M_LonePnt_Tot,M_CU15_0_14,M_CU15_15_24,M_CU15_25_34,M_CU15_35_44,M_CU15_45_54,M_CU15_55_64,M_CU15_65_74,M_CU15_75_84,M_CU15_85ov,M_CU15_Tot,M_DpStu_0_14,M_DpStu_15_24,M_DpStu_25_34,M_DpStu_35_44,M_DpStu_45_54,M_DpStu_55_64,M_DpStu_65_74,M_DpStu_75_84,M_DpStu_85ov,M_DpStu_Tot,M_NDpChl_0_14,M_NDpChl_15_24,M_NDpChl_25_34,M_NDpChl_35_44,M_NDpChl_45_54,M_NDpChl_55_64,M_NDpChl_65_74,M_NDpChl_75_84,M_NDpChl_85ov,M_NDpChl_Tot,M_OthRI_0_14,M_OthRI_15_24,M_OthRI_25_34,M_OthRI_35_44,M_OthRI_45_54,M_OthRI_55_64,M_OthRI_65_74,M_OthRI_75_84,M_OthRI_85ov,M_OthRI_Tot,M_URI_in_FH_0_14,M_URI_in_FH_15_24,M_URI_in_FH_25_34,M_URI_in_FH_35_44,M_URI_in_FH_45_54,M_URI_in_FH_55_64,M_URI_in_FH_65_74,M_URI_in_FH_75_84,M_URI_in_FH_85ov,M_URI_in_FH_Tot,M_GrpH_Mem_0_14,M_GrpH_Mem_15_24,M_GrpH_Mem_25_34,M_GrpH_Mem_35_44,M_GrpH_Mem_45_54,M_GrpH_Mem_55_64,M_GrpH_Mem_65_74,M_GrpH_Mem_75_84,M_GrpH_Mem_85ov,M_GrpH_Mem_Tot,M_LonePsn_0_14,M_LonePsn_15_24,M_LonePsn_25_34,M_LonePsn_35_44,M_LonePsn_45_54,M_LonePsn_55_64,M_LonePsn_65_74,M_LonePsn_75_84,M_LonePsn_85ov,M_LonePsn_Tot,M_Vis_within_Aus_0_14,M_Vis_within_Aus_15_24,M_Vis_within_Aus_25_34,M_Vis_within_Aus_35_44,M_Vis_within_Aus_45_54,M_Vis_within_Aus_55_64,M_Vis_within_Aus_65_74,M_Vis_within_Aus_75_84,M_Vis_within_Aus_85ov,M_Vis_within_Aus_Tot,M_Tot_0_14,M_Tot_15_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Ptn_in_RM_0_14,F_Ptn_in_RM_15_24,F_Ptn_in_RM_25_34,F_Ptn_in_RM_35_44,F_Ptn_in_RM_45_54,F_Ptn_in_RM_55_64,F_Ptn_in_RM_65_74,F_Ptn_in_RM_75_84,F_Ptn_in_RM_85ov,F_Ptn_in_RM_Tot,F_Ptn_in_DFM_0_14,F_Ptn_in_DFM_15_24,F_Ptn_in_DFM_25_34,F_Ptn_in_DFM_35_44,F_Ptn_in_DFM_45_54,F_Ptn_in_DFM_55_64,F_Ptn_in_DFM_65_74,F_Ptn_in_DFM_75_84,F_Ptn_in_DFM_85ov,F_Ptn_in_DFM_Tot,F_LonePnt_0_14,F_LonePnt_15_24,F_LonePnt_25_34,F_LonePnt_35_44,F_LonePnt_45_54,F_LonePnt_55_64,F_LonePnt_65_74,F_LonePnt_75_84,F_LonePnt_85ov,F_LonePnt_Tot,F_CU15_0_14,F_CU15_15_24,F_CU15_25_34,F_CU15_35_44,F_CU15_45_54,F_CU15_55_64,F_CU15_65_74,F_CU15_75_84,F_CU15_85ov,F_CU15_Tot,F_DpStu_0_14,F_DpStu_15_24,F_DpStu_25_34,F_DpStu_35_44,F_DpStu_45_54,F_DpStu_55_64,F_DpStu_65_74,F_DpStu_75_84,F_DpStu_85ov,F_DpStu_Tot,F_NDpChl_0_14,F_NDpChl_15_24,F_NDpChl_25_34,F_NDpChl_35_44,F_NDpChl_45_54,F_NDpChl_55_64,F_NDpChl_65_74,F_NDpChl_75_84,F_NDpChl_85ov,F_NDpChl_Tot,F_OthRI_0_14,F_OthRI_15_24,F_OthRI_25_34,F_OthRI_35_44,F_OthRI_45_54,F_OthRI_55_64,F_OthRI_65_74,F_OthRI_75_84,F_OthRI_85ov,F_OthRI_Tot,F_URI_in_FH_0_14,F_URI_in_FH_15_24,F_URI_in_FH_25_34,F_URI_in_FH_35_44,F_URI_in_FH_45_54,F_URI_in_FH_55_64,F_URI_in_FH_65_74,F_URI_in_FH_75_84,F_URI_in_FH_85ov,F_URI_in_FH_Tot
SOSR215,..,81,3064,6066,6494,7771,8447,4861,1091,37873,..,752,3505,2137,1800,1419,880,265,33,10794,..,23,108,345,605,390,204,116,90,1885,19142,..,..,..,..,..,..,..,..,19142,..,3870,..,..,..,..,..,..,..,3870,..,3996,1873,756,568,283,48,0,0,7526,..,394,361,151,189,276,250,116,60,1799,..,229,305,149,126,95,57,15,3,970,..,324,578,271,297,440,377,145,30,2454,..,303,1022,1055,1760,2719,2881,1646,666,12047,240,282,295,183,211,226,264,130,27,1864,19378,10259,11122,11115,12044,13610,13411,7289,2000,100226,..,158,4095,6648,6883,8301,7974,3669,539,38279,..,1154,3677,2149,1837,1334,689,187,19,11047,..,209,1151,1853,2118,1080,503,421,262,7602,17959,..,..,..,..,..,..,..,..,17959,..,4248,..,..,..,..,..,..,..,4248,..,2327,1078,362,283,187,51,0,0,4284,..,305,164,66,137,365,415,286,164,1902,..,231,186,80,80,46,20,13,11,658
SOSR221,..,15,736,1677,1900,2458,2570,1295,246,10894,..,165,831,579,511,490,310,77,9,2974,..,6,32,89,158,103,52,29,21,495,4982,..,..,..,..,..,..,..,..,4982,..,996,..,..,..,..,..,..,..,996,..,1032,472,186,149,65,14,0,0,1916,..,120,68,27,35,71,87,38,19,460,..,49,54,30,26,35,13,4,4,220,..,70,85,56,78,127,101,38,11,567,..,83,276,300,541,922,1007,517,152,3792,46,85,94,53,73,104,132,44,10,638,5029,2626,2639,2998,3470,4380,4280,2047,469,27940,..,35,1011,1852,2109,2573,2392,938,123,11028,..,262,875,573,544,486,225,60,8,3037,..,35,227,409,496,252,120,98,83,1715,4744,..,..,..,..,..,..,..,..,4744,..,1136,..,..,..,..,..,..,..,1136,..,640,292,69,74,57,16,0,0,1155,..,63,30,11,27,91,99,63,40,424,..,64,46,16,9,17,10,0,0,154
SOSR222,..,6,331,824,1027,1295,1325,632,137,5576,..,87,405,292,329,285,142,51,5,1602,..,0,14,51,101,80,44,27,8,320,2522,..,..,..,..,..,..,..,..,2522,..,522,..,..,..,..,..,..,..,522,..,540,317,104,82,42,5,0,0,1087,..,54,35,18,31,36,40,17,6,233,..,36,30,19,11,18,3,6,0,120,..,41,97,37,46,77,59,21,3,381,..,28,130,167,298,552,552,226,80,2037,36,43,42,37,33,56,54,24,0,337,2563,1362,1398,1546,1959,2444,2223,999,243,14738,..,17,473,949,1073,1485,1136,471,49,5653,..,125,464,312,348,250,120,31,5,1649,..,18,142,211,261,144,77,59,43,956,2449,..,..,..,..,..,..,..,..,2449,..,585,..,..,..,..,..,..,..,585,..,372,128,49,30,26,5,0,0,621,..,32,23,11,8,43,67,45,35,264,..,30,27,18,3,9,3,3,0,93
SOSR231,..,146,4487,11978,17333,21357,19286,8510,1417,84502,..,864,4107,3589,4156,3767,2049,526,41,19093,..,29,140,479,1061,796,462,245,142,3356,34260,..,..,..,..,..,..,..,..,34260,..,9069,..,..,..,..,..,..,..,9069,..,9047,4202,1548,1160,544,97,6,0,16605,..,598,372,209,341,590,602,333,195,3240,..,452,541,259,276,250,166,63,8,2012,..,338,662,379,506,688,641,244,38,3494,..,374,1138,1452,2686,4631,4840,2385,657,18174,349,666,631,388,493,578,487,193,43,3839,34602,21581,16279,20280,28013,33199,28621,12501,2554,197636,..,229,6248,13934,19217,22020,17082,5903,582,85219,..,1304,4632,3779,4362,3465,1517,294,13,19365,..,180,987,1673,2168,1393,692,595,419,8108,32170,..,..,..,..,..,..,..,..,32170,..,9924,..,..,..,..,..,..,..,9924,..,5377,2638,709,508,322,58,0,0,9616,..,447,226,93,218,579,709,669,420,3351,..,533,457,144,163,156,106,37,11,1616
SOSR279,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0
SOSR299,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,159,170,305,253,223,140,108,22,0,1385,159,170,305,253,223,140,108,22,0,1385,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0
SOSR301,..,1454,42304,88774,83464,69464,54825,29232,6346,375861,..,11412,41546,23035,15478,9276,4095,1217,158,106208,..,295,1612,4598,6572,3819,1818,963,549,20229,214719,..,..,..,..,..,..,..,..,214719,..,55891,..,..,..,..,..,..,..,55891,..,39780,22258,8051,4893,2112,321,15,0,77432,..,7581,6606,2669,2293,2707,2326,1310,564,26054,..,5262,7001,2579,1824,1188,599,181,43,18684,..,14268,19316,5745,4225,3874,2509,876,183,50998,..,4386,14821,14291,14969,14982,12694,7457,3136,86734,2358,3597,3589,2270,1732,1311,1030,421,124,16429,217074,143936,159047,152005,135447,108743,80213,41680,11095,1049245,..,2931,57557,96592,84315,66724,49500,21002,2885,381507,..,16366,43459,21757,14432,7943,3080,759,82,107874,..,2529,12518,21302,23420,11663,5427,3579,2263,82698,203020,..,..,..,..,..,..,..,..,203020,..,57136,..,..,..,..,..,..,..,57136,..,26947,13770,4011,2983,1796,443,19,0,49976,..,6741,4823,1653,2254,5050,5874,3946,2026,32375,..,5066,4688,1413,935,741,375,127,36,13377
SOSR302,..,419,12194,28830,31255,28531,27617,16923,3787,149567,..,3371,14511,9390,6878,4802,2926,1074,188,43132,..,74,500,1635,2658,1569,702,385,280,7792,74651,..,..,..,..,..,..,..,..,74651,..,18776,..,..,..,..,..,..,..,18776,..,15316,7389,2755,1957,945,207,5,0,28577,..,2005,1819,878,753,851,892,497,275,7979,..,1936,2668,1028,813,544,318,113,32,7453,..,3924,6523,2146,1884,2053,1637,756,138,19058,..,1175,3696,4220,5365,6133,6007,3980,1748,32327,715,1144,1250,837,775,801,648,274,61,6505,75361,48133,50549,51719,52345,46237,40961,24003,6509,395818,..,805,17336,32642,32741,29001,25969,12301,1749,152537,..,5166,15947,9033,6752,4510,2159,664,83,44307,..,593,3921,8434,10076,4747,2087,1528,1098,32483,70434,..,..,..,..,..,..,..,..,70434,..,19837,..,..,..,..,..,..,..,19837,..,10472,4599,1357,1028,940,261,13,0,18673,..,1828,1230,432,735,1756,2211,1600,929,10718,..,2003,2119,627,466,434,228,80,16,5972
SOSR303,..,348,6664,12167,13058,12294,10691,5806,1215,62240,..,2726,7326,4061,3179,2212,1011,286,36,20844,..,70,415,1094,1310,762,336,178,82,4245,39041,..,..,..,..,..,..,..,..,39041,..,8309,..,..,..,..,..,..,..,8309,..,7270,3216,1338,855,388,54,0,0,13127,..,1398,956,417,389,496,430,208,103,4404,..,886,938,392,350,214,109,36,5,2944,..,2023,2566,926,884,932,621,232,32,8218,..,1213,2947,2732,3363,4035,3427,1834,660,20215,632,778,681,468,455,397,333,99,36,3895,39677,25028,25707,23595,23849,21741,17010,8688,2174,187469,..,632,9033,14188,13862,12325,9594,4213,539,64387,..,3874,7763,4184,3127,1909,739,192,19,21805,..,708,3131,4916,4767,2037,1041,703,410,17707,37093,..,..,..,..,..,..,..,..,37093,..,8683,..,..,..,..,..,..,..,8683,..,4777,1773,589,488,362,77,0,0,8064,..,1328,640,267,447,903,946,599,301,5435,..,814,551,189,158,126,54,19,7,1923
SOSR311,..,177,3671,6522,6793,7723,8076,5006,1170,39143,..,1404,3509,1969,1610,1303,709,300,62,10858,..,42,275,635,731,440,204,147,85,2562,22198,..,..,..,..,..,..,..,..,22198,..,4251,..,..,..,..,..,..,..,4251,..,4660,1897,930,706,354,44,0,0,8587,..,795,514,221,278,338,267,179,68,2652,..,510,514,252,207,150,60,26,10,1726,..,749,1059,472,508,529,424,180,29,3965,..,553,1426,1367,1717,2433,2426,1528,618,12064,332,456,392,260,265,236,237,132,31,2332,22527,13586,13264,12627,12813,13504,12446,7494,2069,110331,..,392,5054,7654,7657,8324,7638,3793,536,41053,..,2048,3790,2054,1678,1204,616,215,33,11635,..,446,2044,2775,2513,1133,644,518,334,10402,21000,..,..,..,..,..,..,..,..,21000,..,4330,..,..,..,..,..,..,..,4330,..,3030,957,388,357,273,59,5,0,5067,..,628,272,115,275,555,590,451,215,3099,..,546,313,121,105,92,47,10,9,1242
SOSR312,..,81,1260,2321,2627,3170,3799,2311,504,16072,..,490,1255,795,705,589,393,158,24,4391,..,18,105,257,298,209,84,56,34,1061,7907,..,..,..,..,..,..,..,..,7907,..,1622,..,..,..,..,..,..,..,1622,..,1807,767,371,270,165,17,0,0,3403,..,250,157,87,114,128,95,46,36,910,..,171,172,91,92,53,39,12,5,638,..,252,330,133,195,257,250,108,17,1541,..,207,581,578,841,1211,1162,695,277,5553,116,138,152,116,115,106,100,25,5,887,8021,5028,4785,4757,5249,5884,5945,3410,896,43966,..,149,1754,2657,2882,3525,3537,1771,238,16518,..,704,1345,851,683,573,327,107,8,4589,..,189,737,1042,1053,471,276,238,124,4133,7717,..,..,..,..,..,..,..,..,7717,..,1670,..,..,..,..,..,..,..,1670,..,1101,394,138,138,115,26,0,0,1903,..,194,78,26,96,218,227,166,78,1097,..,198,70,62,42,41,14,4,0,429
SOSR313,..,132,2661,4544,4595,4651,4557,2673,558,24364,..,1053,2788,1471,1003,714,417,131,19,7596,..,34,170,356,430,219,105,57,45,1411,16558,..,..,..,..,..,..,..,..,16558,..,2799,..,..,..,..,..,..,..,2799,..,2824,1095,500,307,138,24,0,0,4885,..,485,286,150,126,180,146,88,29,1491,..,329,321,162,127,70,38,11,3,1066,..,495,633,272,250,284,211,72,11,2227,..,448,1065,871,1145,1419,1196,703,244,7097,262,306,333,196,165,160,142,72,12,1647,16822,8908,9357,8525,8136,7832,6831,3814,921,71144,..,244,3627,5394,4977,4871,4260,1938,237,25553,..,1644,2902,1489,1025,719,302,92,11,8186,..,360,1484,1835,1490,728,327,254,158,6629,15786,..,..,..,..,..,..,..,..,15786,..,2823,..,..,..,..,..,..,..,2823,..,1738,499,201,174,128,36,3,0,2767,..,427,158,81,171,325,292,215,99,1770,..,320,224,48,59,35,26,8,0,723
SOSR314,..,114,2719,4941,5207,4961,4744,2758,597,26040,..,871,2356,1443,1240,839,443,156,18,7378,..,28,130,356,443,283,134,72,57,1503,15985,..,..,..,..,..,..,..,..,15985,..,2889,..,..,..,..,..,..,..,2889,..,2965,1201,492,391,187,36,0,0,5281,..,480,300,161,174,234,214,108,49,1718,..,314,365,185,131,112,61,13,0,1183,..,456,783,232,293,319,259,111,16,2468,..,339,851,781,1085,1465,1363,820,328,7032,233,285,266,170,163,163,148,57,19,1504,16215,8733,8973,8772,9131,8577,7393,4100,1083,72971,..,209,3742,5577,5452,5187,4393,2027,250,26843,..,1311,2494,1534,1254,751,336,113,14,7803,..,250,1203,1706,1523,672,357,274,179,6174,15129,..,..,..,..,..,..,..,..,15129,..,3052,..,..,..,..,..,..,..,3052,..,1876,609,219,204,144,37,0,0,3083,..,348,171,74,162,351,372,273,139,1883,..,299,275,58,75,69,33,13,7,823
SOSR315,..,162,3495,6140,7018,8138,8752,4697,898,39294,..,1256,3434,2308,2072,1663,946,311,39,12028,..,42,207,523,607,385,257,127,84,2230,22879,..,..,..,..,..,..,..,..,22879,..,3855,..,..,..,..,..,..,..,3855,..,4527,1836,885,682,319,53,0,0,8307,..,744,482,255,290,354,335,178,81,2722,..,389,455,246,217,162,103,34,3,1614,..,472,684,344,478,608,560,193,34,3375,..,420,1041,1109,1811,2694,2919,1565,489,12054,406,452,390,318,316,355,299,136,29,2702,23285,12326,12038,12118,13502,14674,14227,7237,1662,111060,..,282,4827,7300,7554,8776,8128,3369,402,40651,..,1802,3828,2415,2124,1562,781,193,12,12724,..,440,1809,2480,2137,1048,628,445,272,9252,21654,..,..,..,..,..,..,..,..,21654,..,4079,..,..,..,..,..,..,..,4079,..,2825,963,392,319,221,56,0,0,4779,..,619,226,134,255,618,601,369,254,3081,..,402,283,111,94,103,62,26,6,1089
SOSR321,..,23,1024,2188,2855,3573,3761,1896,304,15626,..,372,1151,945,915,771,449,137,21,4758,..,22,68,195,244,175,100,71,27,884,8582,..,..,..,..,..,..,..,..,8582,..,1502,..,..,..,..,..,..,..,1502,..,1749,721,371,300,132,7,0,0,3286,..,282,169,90,143,173,153,91,38,1146,..,137,127,76,91,71,63,11,3,585,..,110,171,90,146,230,215,86,11,1049,..,140,307,368,696,1134,1224,683,160,4710,146,199,159,122,135,167,135,68,4,1138,8733,4531,3904,4450,5526,6424,6107,3031,563,43268,..,72,1468,2694,3260,3919,3385,1282,127,16205,..,572,1328,1027,926,726,350,86,11,5025,..,151,637,827,787,409,223,182,99,3314,7909,..,..,..,..,..,..,..,..,7909,..,1484,..,..,..,..,..,..,..,1484,..,1085,392,137,134,86,27,4,0,1868,..,217,88,45,124,242,251,190,103,1266,..,171,86,32,41,57,29,9,0,425
SOSR322,..,13,367,769,1024,1617,1674,876,125,6464,..,199,582,396,422,368,222,74,6,2278,..,12,45,73,98,87,45,31,23,417,3510,..,..,..,..,..,..,..,..,3510,..,492,..,..,..,..,..,..,..,492,..,667,336,166,128,60,14,0,0,1367,..,166,84,37,66,79,59,34,8,536,..,55,57,25,43,22,24,5,6,239,..,62,60,54,80,154,130,35,10,589,..,80,182,233,415,751,742,346,89,2838,72,90,92,66,64,96,81,35,9,604,3580,1847,1814,1830,2347,3233,2988,1434,265,19339,..,46,528,897,1251,1818,1500,592,66,6683,..,281,630,421,425,361,198,38,3,2349,..,79,346,394,332,164,101,105,46,1572,3380,..,..,..,..,..,..,..,..,3380,..,492,..,..,..,..,..,..,..,492,..,423,174,68,46,36,7,0,0,764,..,105,42,25,38,81,107,76,40,504,..,57,42,11,22,15,13,0,3,157
SOSR331,..,233,5206,12410,17450,20592,18303,8512,1285,83983,..,1233,3909,3339,3921,3546,1879,533,46,18408,..,54,245,620,1043,765,425,268,153,3577,36654,..,..,..,..,..,..,..,..,36654,..,7944,..,..,..,..,..,..,..,7944,..,8568,3777,1788,1339,565,85,0,0,16117,..,785,439,312,449,747,813,525,243,4307,..,707,651,382,457,451,323,137,22,3141,..,390,652,434,692,1040,945,347,34,4547,..,467,1113,1399,2766,4663,4554,2333,573,17861,519,844,665,501,646,737,629,226,40,4811,37168,21223,16653,21180,28773,33095,27955,12892,2407,201341,..,438,7442,14982,19997,21613,16059,5637,538,86698,..,1859,4476,3779,4137,3349,1363,293,18,19283,..,286,1491,2262,2451,1318,847,699,398,9751,34064,..,..,..,..,..,..,..,..,34064,..,8496,..,..,..,..,..,..,..,8496,..,5146,2097,710,574,364,66,3,0,8965,..,585,212,113,339,785,1123,974,451,4590,..,826,516,257,274,267,206,72,25,2450
SOSR379,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,3,0,0,5,0,3,0,0,0,0,3,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0
SOSR399,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,302,284,461,357,268,293,277,82,5,2333,302,284,461,357,268,293,277,82,5,2333,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0
SOSR401,..,659,22667,44872,41622,40280,36466,21218,5703,213484,..,3903,18165,10485,7911,5894,3042,915,143,50456,..,131,745,2412,3804,2659,1119,568,426,11858,103838,..,..,..,..,..,..,..,..,103838,..,30372,..,..,..,..,..,..,..,30372,..,21878,15265,5103,3427,1712,228,3,0,47608,..,3742,3483,1307,1118,1340,1086,500,308,12890,..,2447,3204,1078,660,508,248,46,13,8208,..,6642,9937,2996,2238,2107,1391,446,79,25839,..,2157,8116,8437,10476,11988,10116,5765,3015,60065,1313,1784,2054,1339,1073,835,582,258,92,9328,105153,73710,83631,78036,72328,67321,54267,29713,9782,573948,..,1580,31283,48140,42114,40073,34236,16270,2598,216296,..,5832,19361,10315,7652,5396,2532,604,66,51770,..,991,5785,11244,13128,7815,3490,2380,1667,46497,98186,..,..,..,..,..,..,..,..,98186,..,31250,..,..,..,..,..,..,..,31250,..,14793,9344,2224,1565,1163,264,16,0,29365,..,3318,2327,655,978,2499,2547,1606,994,14933,..,2294,2316,550,317,218,113,22,16,5845
SOSR412,..,51,1606,2705,3042,3238,2963,1749,411,15769,..,497,1611,845,718,523,204,67,15,4481,..,28,122,243,356,198,78,38,24,1095,8784,..,..,..,..,..,..,..,..,8784,..,1959,..,..,..,..,..,..,..,1959,..,2126,899,309,218,87,5,0,0,3642,..,224,161,72,55,76,83,36,20,728,..,133,126,59,50,25,14,3,0,415,..,249,315,121,137,143,96,30,11,1104,..,213,732,668,896,1151,893,491,285,5343,132,201,151,123,105,72,75,35,7,898,8918,5680,5739,5143,5587,5517,4413,2454,772,44218,..,123,2085,3078,3225,3291,2704,1429,179,16120,..,759,1661,855,718,468,168,48,6,4679,..,148,757,1091,1176,548,205,138,82,4139,8210,..,..,..,..,..,..,..,..,8210,..,2107,..,..,..,..,..,..,..,2107,..,1310,478,128,85,54,13,0,0,2067,..,186,78,32,70,138,156,112,57,840,..,122,74,28,13,9,8,5,0,261
SOSR413,..,43,1027,1991,2438,2876,3482,2482,549,14882,..,373,1142,762,709,543,330,102,19,3971,..,11,82,186,287,178,78,52,22,887,7165,..,..,..,..,..,..,..,..,7165,..,1626,..,..,..,..,..,..,..,1626,..,1524,729,331,255,102,13,0,0,2954,..,257,137,71,89,99,87,36,17,796,..,113,107,68,61,50,16,8,6,423,..,198,276,130,105,147,117,44,16,1043,..,197,531,476,779,1126,1028,633,312,5092,163,190,155,125,121,116,111,41,14,1038,7330,4533,4187,4146,4846,5229,5262,3392,957,39880,..,73,1428,2314,2730,3058,3496,1850,271,15233,..,596,1239,783,707,510,269,67,15,4196,..,154,603,837,911,477,237,177,107,3500,6935,..,..,..,..,..,..,..,..,6935,..,1651,..,..,..,..,..,..,..,1651,..,983,372,141,121,86,26,0,0,1724,..,171,78,40,80,135,167,97,66,836,..,109,91,30,20,19,6,5,3,291
SOSR414,..,11,461,798,858,1003,1486,1003,212,5826,..,132,419,242,235,178,129,55,6,1397,..,3,15,38,105,49,17,11,14,247,2411,..,..,..,..,..,..,..,..,2411,..,550,..,..,..,..,..,..,..,550,..,501,233,84,59,30,6,0,0,914,..,50,50,16,18,30,23,14,4,205,..,38,42,21,20,8,6,4,0,136,..,56,119,76,48,59,40,18,4,427,..,55,152,158,247,357,345,252,114,1675,32,41,56,37,33,48,30,20,6,298,2449,1434,1547,1479,1610,1754,2085,1381,356,14078,..,28,592,946,928,1110,1492,772,106,5977,..,194,465,254,216,181,136,33,3,1477,..,27,146,299,326,140,66,43,36,1074,2324,..,..,..,..,..,..,..,..,2324,..,553,..,..,..,..,..,..,..,553,..,372,142,37,36,25,11,0,0,611,..,43,20,11,4,45,46,37,25,226,..,26,18,9,4,11,4,0,0,79
SOSR415,..,57,1544,2949,3410,4088,4682,2820,699,20248,..,418,1642,993,829,767,477,138,20,5276,..,7,86,222,304,197,97,60,39,1017,9367,..,..,..,..,..,..,..,..,9367,..,1933,..,..,..,..,..,..,..,1933,..,2055,885,331,275,127,22,0,0,3693,..,235,177,86,78,124,104,49,24,868,..,122,152,65,49,50,25,0,6,467,..,220,330,156,174,200,139,59,10,1287,..,230,624,637,988,1491,1391,817,376,6547,147,196,195,141,110,143,173,74,17,1195,9516,5471,5631,5573,6216,7186,7112,4011,1186,51901,..,125,2112,3391,3701,4296,4481,2217,329,20650,..,685,1748,979,884,717,361,104,13,5490,..,118,646,1016,995,453,209,177,117,3727,9108,..,..,..,..,..,..,..,..,9108,..,2003,..,..,..,..,..,..,..,2003,..,1167,419,128,102,88,32,0,0,1941,..,181,91,23,72,162,151,123,71,879,..,123,84,28,29,24,12,5,4,309
