SOSR_CODE_2021,P15_19_Managers,P15_19_Professionals,P15_19_TechnicTrades_Wrs,P15_19_CommunPersnlSvc_W,P15_19_ClericalAdminis_W,P15_19_Sales_W,P15_19_Mach_oper_drivers,P15_19_Labourers,P15_19_Occu_ID_NS,P15_19_Tot,P20_24_Managers,P20_24_Professionals,P20_24_TechnicTrades_W,P20_24_CommunPersnlSvc_W,P20_24_ClericalAdminis_W,P20_24_Sales_W,P20_24_Mach_oper_drivers,P20_24_Labourers,P20_24_Occu_ID_NS,P20_24_Tot,P25_34_Managers,P25_34_Professionals,P25_34_TechnicTrades_W,P25_34_CommunPersnlSvc_W,P25_34_ClericalAdminis_W,P25_34_Sales_W,P25_34_Mach_oper_drivers,P25_34_Labourers,P25_34_Occu_ID_NS,P25_34_Tot,P35_44_Managers,P35_44_Professionals,P35_44_TechnicTrades_W,P35_44_CommunPersnlSvc_W,P35_44_ClericalAdminis_W,P35_44_Sales_W,P35_44_Mach_oper_drivers,P35_44_Labourers,P35_44_Occu_ID_NS,P35_44_Tot,P45_54_Managers,P45_54_Professionals,P45_54_TechnicTrades_W,P45_54_CommunPersnlSvc_W,P45_54_ClericalAdminis_W,P45_54_Sales_W,P45_54_Mach_oper_drivers,P45_54_Labourers,P45_54_Occu_ID_NS,P45_54_Tot,P55_64_Managers,P55_64_Professionals,P55_64_TechnicTrades_W,P55_64_CommunPersnlSvc_W,P55_64_ClericalAdminis_W,P55_64_Sales_W,P55_64_Mach_oper_drivers,P55_64_Labourers,P55_64_Occu_ID_NS,P55_64_Tot,P65_74_Managers,P65_74_Professionals,P65_74_TechnicTrades_W,P65_74_CommunPersnlSvc_W,P65_74_ClericalAdminis_W,P65_74_Sales_W,P65_74_Mach_oper_drivers,P65_74_Labourers,P65_74_Occu_ID_NS,P65_74_Tot,P75_84_Managers,P75_84_Professionals,P75_84_TechnicTrades_W,P75_84_CommunPersnlSvc_W,P75_84_ClericalAdminis_W,P75_84_Sales_W,P75_84_Mach_oper_drivers,P75_84_Labourers,P75_84_Occu_ID_NS,P75_84_Tot,P85_ov_Managers,P85_ov_Professionals,P85_ov_TechnicTrades_W,P85_ov_CommunPersnlSvc_W,P85_ov_ClericalAdminis_W,P85_ov_Sales_W,P85_ov_Mach_oper_drivers,P85_ov_Labourers,P85_ov_Occu_ID_NS,P85_ov_Tot,P_Tot_Managers,P_Tot_Professionals,P_Tot_TechnicTrades_W,P_Tot_CommunPersnlSvc_W,P_Tot_ClericalAdminis_W,P_Tot_Sales_W,P_Tot_Mach_oper_drivers,P_Tot_Labourers,P_Tot_Occu_ID_NS,P_Tot_Tot
SOSR422,4,0,61,73,3,76,7,105,14,349,23,44,105,82,30,53,33,101,4,481,127,198,235,183,92,76,91,179,22,1205,189,169,196,163,146,80,96,177,19,1234,244,204,209,198,185,90,166,258,37,1586,263,233,257,226,203,105,187,294,34,1802,109,79,69,40,58,22,70,77,11,534,27,10,4,0,11,0,3,19,4,87,4,0,0,0,0,0,0,0,0,12,1008,932,1131,956,733,511,665,1206,149,7295
SOSR431,134,65,700,733,151,1075,125,1221,102,4311,380,385,1015,756,335,517,334,1000,89,4807,1727,1609,1743,982,831,484,634,1400,171,9585,3283,2365,1672,1095,1430,546,782,1298,217,12683,4701,2568,1953,1510,1965,840,1162,1738,295,16730,4794,2243,1800,1424,1900,837,1209,1922,274,16410,2783,771,465,282,561,195,357,609,177,6201,806,89,47,15,66,33,23,109,87,1285,89,3,0,0,3,0,0,12,16,122,18693,10107,9399,6799,7246,4527,4628,9308,1434,72129
SOSR479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
SOSR499,0,0,0,7,0,6,4,15,0,32,0,0,3,8,0,12,3,18,5,61,17,38,31,27,15,15,14,48,6,211,23,36,21,17,12,11,12,21,3,156,10,18,18,13,5,3,21,23,6,128,10,19,17,11,18,8,9,16,5,106,0,3,0,5,9,5,3,5,0,26,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,66,123,106,76,64,57,66,141,27,724
SOSR501,668,1242,5462,10990,2318,18680,2504,12527,809,55204,3714,13065,14980,19851,9749,14762,5867,11357,1600,94947,20644,65676,38935,27900,25902,13672,15379,17817,4140,230057,33947,68423,35378,23944,29004,10795,15525,15229,3869,236108,33365,51844,28790,21589,29310,11061,14661,14711,3226,208557,22015,34109,20285,15397,24182,9241,12769,12479,2150,152624,5791,10430,4787,3470,6755,2996,3373,3851,720,42173,783,1269,361,230,658,355,253,509,262,4679,43,69,16,8,44,26,9,31,87,336,120974,246123,148990,123372,127920,81572,70332,88524,16875,1024680
SOSR511,18,26,305,404,103,846,99,620,42,2450,105,221,642,473,257,328,257,506,43,2821,456,1209,1581,738,691,512,624,868,106,6793,773,1487,1497,852,868,443,783,831,138,7675,860,1377,1299,934,1004,498,818,763,124,7685,613,1028,925,664,839,395,761,643,67,5932,166,304,193,142,205,93,192,161,28,1487,36,25,3,6,12,12,15,19,5,136,3,0,0,3,0,3,0,0,4,12,3023,5683,6448,4208,3979,3131,3555,4415,553,34998
SOSR512,43,52,653,722,140,1320,149,874,59,4008,153,457,1179,706,368,544,385,702,59,4541,746,2003,2546,1247,1052,720,1070,1146,148,10678,1355,2214,2132,1419,1280,702,1094,1110,167,11465,1495,2221,1903,1540,1489,788,1384,1149,190,12161,1214,1611,1387,1214,1327,711,1273,1090,151,9976,451,431,335,264,384,202,362,326,57,2813,70,49,31,16,35,25,21,35,25,306,10,3,0,0,0,0,0,4,10,31,5538,9043,10153,7132,6074,5015,5732,6442,859,55980
SOSR513,25,26,292,258,120,553,80,399,57,1814,89,230,582,328,267,237,209,313,48,2306,703,1564,1923,877,920,438,756,800,170,8142,1066,1519,1831,934,1075,363,787,700,216,8488,960,1051,1222,728,851,355,786,576,161,6688,622,704,718,445,549,286,665,467,83,4537,148,173,137,89,156,63,134,107,22,1024,32,9,5,8,3,9,13,10,9,89,5,0,0,0,0,0,0,0,4,8,3650,5275,6712,3668,3933,2299,3428,3374,761,33096
SOSR514,9,8,121,159,22,242,17,207,18,805,34,41,198,128,63,107,53,178,17,807,214,336,574,314,181,139,175,351,30,2308,387,586,600,372,283,191,224,338,57,3036,395,491,499,328,311,210,267,329,37,2856,253,303,330,212,243,183,246,268,41,2080,101,116,72,56,76,61,79,73,9,641,16,11,9,4,8,6,8,14,0,74,0,0,0,0,0,0,0,0,0,5,1405,1890,2397,1579,1189,1135,1060,1754,208,12611
SOSR515,21,29,370,410,99,619,98,578,60,2276,106,311,767,425,278,274,262,530,54,3003,620,1352,1959,1038,815,444,854,1169,161,8421,932,1356,1730,956,965,438,1065,992,172,8599,1081,1188,1458,954,967,497,1240,1009,180,8561,875,926,1103,843,846,456,1095,960,152,7250,362,301,256,198,239,141,300,281,49,2135,88,26,25,9,30,26,10,58,27,302,0,0,0,0,0,3,0,0,3,16,4076,5486,7664,4846,4235,2896,4925,5578,856,40565
SOSR521,10,12,135,111,24,150,40,218,24,727,39,91,216,132,92,94,109,194,16,991,241,385,556,373,277,128,295,386,48,2698,365,439,547,379,317,132,345,297,59,2886,435,447,524,381,349,167,444,426,65,3253,460,390,444,332,371,190,549,415,60,3205,215,111,103,73,90,67,164,139,38,998,60,6,9,8,14,6,18,20,13,146,7,0,0,0,0,0,0,7,6,17,1823,1888,2544,1784,1522,942,1964,2116,335,14926
SOSR522,5,8,68,64,14,58,13,73,10,320,32,44,113,112,55,43,58,94,14,561,129,235,276,225,141,67,139,197,37,1446,232,218,237,153,159,78,164,163,25,1426,258,197,236,218,157,91,199,198,42,1605,283,212,206,194,171,79,270,229,39,1669,124,79,72,39,63,24,85,78,22,583,34,10,0,8,8,8,13,18,9,95,4,0,0,0,0,0,0,0,9,5,1099,1006,1210,1009,761,440,936,1055,206,7723
SOSR531,109,52,759,692,138,971,218,1154,107,4212,339,404,1234,691,350,448,561,999,118,5141,1703,1687,2375,937,975,428,1203,1621,197,11122,3321,2311,2691,1070,1553,516,1466,1386,231,14540,4852,2657,2800,1492,2105,785,2057,1642,346,18726,4869,2365,2356,1321,2054,743,2075,1736,289,17795,2820,770,628,292,587,249,590,640,130,6706,869,79,56,26,86,31,49,137,75,1400,119,4,0,0,0,0,0,9,14,147,18991,10329,12899,6510,7848,4167,8214,9320,1511,79789
SOSR579,0,0,0,0,0,0,0,0,0,5,0,0,3,0,0,0,0,8,0,17,0,3,15,0,0,0,11,25,0,62,0,8,30,0,4,0,8,36,4,95,4,8,13,0,0,0,5,21,6,59,0,9,13,0,0,0,3,6,0,33,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,33,83,9,10,0,31,98,6,277
SOSR599,0,0,5,13,7,8,5,13,5,53,4,20,20,39,15,13,16,51,5,185,33,85,82,76,31,20,49,118,6,501,40,67,69,41,32,15,46,40,4,355,15,36,58,17,30,6,57,24,4,248,12,27,27,30,24,9,35,41,5,216,0,9,6,4,10,0,12,6,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,257,272,223,150,77,213,292,33,1614
SOSR603,69,85,453,850,222,1482,114,821,78,4176,376,1175,1343,1801,907,1435,257,880,128,8301,2206,6605,3703,4297,2849,2043,1173,2582,488,25942,3046,6037,2344,2473,2479,996,749,1456,356,19936,3083,5083,1879,2130,2792,976,689,1152,286,18066,2009,3659,1469,1594,2347,803,770,1133,213,13991,560,1163,395,371,543,246,198,381,73,3925,103,94,37,21,65,37,22,30,38,449,6,8,0,4,0,4,0,0,7,32,11452,23906,11618,13539,12205,8022,3979,8428,1668,94821
SOSR611,40,27,235,392,89,783,89,440,42,2129,156,393,644,797,284,573,208,474,75,3608,808,2092,1399,1501,832,724,657,1082,156,9250,984,2013,929,956,854,495,449,684,122,7486,1100,1747,786,948,1103,532,480,750,108,7556,788,1266,662,738,928,476,465,596,88,6012,207,378,170,160,234,136,125,165,22,1593,33,28,18,14,21,12,16,13,11,155,5,3,0,0,4,4,0,0,8,20,4113,7934,4839,5499,4354,3728,2491,4218,635,37810
SOSR612,23,11,162,149,47,492,32,253,16,1188,88,161,356,330,172,278,109,282,29,1810,330,748,748,685,358,343,297,713,70,4289,388,680,493,555,403,288,301,414,67,3587,443,600,462,621,506,310,343,494,58,3843,337,492,424,453,464,250,362,483,51,3313,86,142,99,89,102,47,76,101,19,771,16,17,3,3,9,9,5,15,18,85,0,0,0,0,0,0,0,0,3,10,1722,2853,2750,2890,2053,2017,1529,2752,327,18895
SOSR613,4,3,60,49,12,108,18,74,4,339,20,37,99,99,32,61,18,62,8,449,90,189,166,145,72,76,69,127,14,940,112,193,132,139,84,70,77,104,16,931,136,181,151,164,144,79,108,122,24,1110,111,156,138,156,166,74,105,164,12,1073,36,43,31,25,25,17,17,33,6,238,3,4,4,5,4,0,3,0,3,30,0,0,0,0,0,0,0,0,0,4,518,812,770,784,548,485,420,685,94,5122
SOSR614,11,4,69,56,16,125,7,77,6,375,15,37,165,126,66,88,35,74,7,609,137,200,357,188,165,97,103,174,30,1449,170,228,220,228,162,103,120,144,34,1410,159,201,194,224,207,98,91,151,28,1352,139,202,176,223,158,90,152,186,25,1345,45,48,46,62,35,12,31,45,5,335,4,3,0,4,0,3,5,7,3,28,0,0,0,0,0,0,0,0,0,0,690,928,1232,1097,808,618,539,858,142,6913
SOSR615,36,13,246,227,50,470,40,331,26,1442,115,165,507,454,201,321,139,369,35,2313,540,1023,1164,832,603,447,422,697,107,5827,723,1025,751,656,622,338,445,580,99,5249,722,844,717,772,752,439,538,662,110,5569,638,688,632,651,678,376,581,684,78,5013,188,202,156,138,157,98,158,178,46,1331,37,18,14,10,31,4,11,15,16,158,4,0,0,0,0,0,0,0,5,13,3015,3992,4188,3742,3100,2495,2336,3530,521,26908
SOSR621,6,7,77,80,19,152,11,93,6,454,36,44,150,116,60,81,48,116,11,650,156,294,366,245,157,119,137,263,27,1765,250,401,296,199,222,95,110,233,54,1866,318,446,267,237,221,145,159,264,41,2098,312,314,250,222,259,120,182,290,40,1987,106,111,73,42,93,40,59,58,21,604,17,13,0,0,12,5,5,15,7,86,0,0,0,0,0,0,0,0,0,0,1206,1640,1478,1151,1042,764,710,1333,202,9520
SOSR622,4,0,30,29,8,59,3,42,5,176,17,10,50,39,15,35,15,43,0,228,66,88,116,82,53,34,65,78,16,594,103,135,111,68,80,23,58,80,9,661,121,157,122,96,109,54,69,99,21,844,115,152,152,127,110,59,100,121,17,942,43,51,28,34,35,13,28,32,8,271,7,3,0,0,3,4,0,3,9,29,0,4,0,0,0,0,0,0,0,6,471,594,610,460,414,284,340,499,85,3760
SOSR631,101,29,526,418,93,711,106,664,53,2695,223,212,805,505,273,395,211,618,65,3310,1044,1228,1595,951,686,444,523,1123,127,7720,1789,1989,1585,1020,1009,492,701,997,199,9770,2271,2205,1583,1271,1433,642,931,1257,224,11818,2268,1915,1475,1115,1344,554,1076,1267,214,11234,1127,575,349,179,350,144,262,346,103,3434,335,65,24,10,41,22,19,46,42,599,35,6,0,0,4,0,0,0,12,65,9188,8211,7948,5479,5224,3406,3850,6313,1033,50648
SOSR679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,12
SOSR699,0,0,0,0,0,0,0,3,0,12,0,0,4,8,0,3,0,8,0,33,9,18,11,6,7,5,10,12,5,79,4,10,11,7,3,9,9,11,4,69,0,8,9,13,6,0,16,11,3,63,7,5,3,3,9,3,5,5,3,42,0,3,3,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,50,48,39,27,21,37,50,11,309
SOSR703,49,68,307,610,230,947,112,549,74,2939,295,694,977,1529,813,672,299,513,140,5931,1672,4779,2684,3276,2458,1152,849,1254,358,18475,2253,4025,2193,2148,2127,719,677,971,267,15382,2115,2760,1548,1463,1807,568,642,875,217,11984,1483,1900,937,792,1278,428,553,624,126,8119,369,593,250,196,359,149,142,180,45,2280,46,53,12,9,42,18,16,14,6,213,7,0,0,0,7,0,0,0,7,20,8280,14866,8906,10020,9119,4654,3284,4979,1228,65347
SOSR712,3,17,76,143,57,197,14,90,15,616,33,130,142,195,114,97,24,68,22,819,319,1085,512,699,410,201,102,227,114,3658,402,861,378,553,351,103,109,171,78,2998,404,593,240,415,339,82,88,170,62,2395,315,507,215,302,290,85,94,152,53,2007,111,167,60,42,82,40,32,48,12,593,12,13,3,6,9,6,6,6,0,51,0,0,0,0,0,0,0,0,0,0,1594,3368,1627,2353,1650,817,468,926,350,13148
SOSR714,0,3,13,18,10,38,5,23,3,108,12,50,49,78,25,14,8,27,8,273,66,215,127,191,90,48,20,63,31,847,68,131,84,122,73,25,21,40,11,579,69,68,57,84,65,15,26,27,12,421,66,71,33,47,65,18,25,34,10,368,21,15,11,18,11,3,11,4,5,95,0,0,0,3,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,308,556,371,549,330,157,115,225,83,2698
SOSR715,0,15,22,38,13,36,0,31,24,180,7,85,36,79,33,25,13,30,21,327,106,309,129,252,142,65,38,90,41,1166,139,299,144,203,133,45,70,66,39,1132,139,232,109,165,105,34,52,76,31,940,87,179,90,103,72,18,46,60,14,667,31,46,22,34,21,14,6,25,9,197,3,0,3,0,3,3,0,0,5,22,0,0,0,0,0,0,0,0,0,0,513,1165,555,874,521,226,230,371,182,4632
SOSR721,5,12,25,50,7,15,4,28,3,155,9,44,49,86,39,22,3,44,11,314,95,194,110,196,91,41,43,81,13,877,113,182,105,178,85,45,49,65,23,837,106,151,102,145,67,25,49,61,28,733,106,132,59,89,65,20,43,47,7,576,35,33,15,25,12,7,8,15,3,145,5,6,0,0,0,0,4,0,0,17,0,0,0,0,0,0,0,0,0,0,470,758,464,772,357,175,209,340,93,3650
SOSR722,0,9,8,21,4,10,8,19,8,88,9,54,16,50,15,23,9,25,20,217,45,122,42,159,40,53,26,87,17,588,71,148,52,143,50,29,24,82,18,616,90,119,58,120,62,22,27,69,6,568,86,138,43,68,49,18,25,46,13,490,31,41,17,18,15,3,3,12,3,149,0,6,0,0,0,0,3,0,0,12,0,0,0,0,0,0,0,0,0,0,337,638,235,574,240,155,118,345,89,2728
SOSR731,18,25,164,113,48,193,33,242,24,861,52,108,255,183,113,88,72,282,36,1184,341,445,577,343,348,103,189,348,53,2756,544,511,503,329,358,98,192,266,74,2877,669,535,537,360,507,117,289,307,42,3360,482,361,402,222,362,96,239,245,58,2459,157,113,89,47,91,34,71,64,22,694,33,7,12,3,10,0,6,12,3,86,0,0,0,0,0,0,0,0,0,8,2286,2104,2543,1602,1829,729,1093,1764,317,14269
SOSR779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,5,0,0,0,3,0,0,0,10,0,16,0,7,4,0,0,0,0,0,0,10,0,0,4,0,0,0,0,6,0,10,0,3,0,0,0,0,0,5,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,9,5,0,0,4,26,0,56
SOSR799,0,0,0,7,0,0,0,5,0,13,0,10,6,9,0,0,0,12,0,34,13,34,13,22,10,8,10,52,9,175,20,34,13,12,10,3,0,18,4,126,9,19,9,5,12,3,10,18,5,84,7,11,3,5,8,7,3,7,4,53,0,6,4,0,3,0,0,4,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,107,49,62,46,19,31,107,22,500
SOSR802,525,559,1176,3397,817,3990,299,1855,166,12793,1884,5394,3352,5509,4200,3189,575,1582,513,26200,8698,23134,7465,6982,8781,3362,1591,3290,1488,64804,13588,21795,5151,4730,8086,1652,1105,2162,1337,59610,12172,15353,3702,3567,7648,1358,1060,1611,1017,47494,6039,8815,2255,2252,5144,1110,984,1340,537,28482,1103,2584,575,568,1220,425,351,409,147,7381,134,305,71,43,138,71,27,52,31,863,16,24,5,0,7,10,0,11,11,80,44172,77965,23759,27051,36048,15159,5994,12315,5253,247706
SOSR822,0,3,0,9,0,7,0,3,0,25,0,0,7,10,4,3,3,0,0,23,7,17,10,0,4,0,0,0,0,45,16,32,12,0,14,3,0,5,4,84,24,31,6,11,15,0,0,0,0,92,10,14,3,0,3,3,5,8,5,45,0,4,0,0,4,0,0,0,0,12,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,62,96,42,29,46,13,13,21,10,335
SOSR831,15,0,0,7,0,0,0,0,0,27,29,4,3,8,9,0,0,3,0,56,31,12,16,14,6,4,0,4,0,94,13,14,9,5,4,0,0,0,0,50,17,4,8,3,14,0,0,4,0,50,13,7,12,5,3,0,0,8,0,51,12,3,0,0,0,0,0,0,0,23,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,132,58,49,29,37,9,0,30,6,352
SOSR879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR899,3,0,0,6,0,12,0,5,0,22,3,4,9,13,4,6,0,3,0,36,4,17,8,5,11,9,3,0,0,59,5,13,7,3,0,0,0,11,0,38,4,7,3,0,0,6,0,0,0,32,7,11,0,4,3,0,0,0,0,23,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,51,25,30,27,21,5,19,0,216
SOSR915,0,0,0,21,0,0,0,6,0,26,0,4,3,6,0,0,8,0,0,25,12,22,32,28,17,3,5,15,3,133,16,24,25,25,27,0,13,14,0,144,26,30,28,19,15,3,13,15,7,150,29,8,23,3,15,4,9,17,3,120,6,6,16,4,0,0,13,14,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,91,124,108,82,10,71,90,18,686
SOSR921,0,0,9,20,0,12,0,13,0,51,0,10,11,16,7,5,0,6,0,54,3,12,21,21,12,9,3,8,0,99,31,17,28,20,28,15,8,10,9,160,29,19,35,23,29,15,5,22,0,182,58,35,51,23,35,20,11,18,5,254,15,15,14,7,19,21,8,15,6,112,6,4,0,8,4,6,0,4,0,29,0,0,0,0,0,0,0,0,0,0,146,111,171,138,125,95,36,92,19,939
SOSR922,3,0,5,3,0,0,0,0,0,12,0,4,8,8,5,4,0,7,0,36,7,15,9,9,3,4,4,7,0,53,13,11,5,15,6,3,3,14,0,67,15,10,7,6,10,0,0,3,0,46,9,14,18,9,6,5,0,11,0,73,3,0,0,0,0,0,0,5,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,54,42,50,28,6,11,44,0,299
SOSR931,0,0,6,6,0,0,4,0,0,15,0,4,0,4,4,0,0,6,0,19,7,7,8,4,8,0,0,6,0,44,7,10,3,8,5,0,3,7,5,50,21,14,8,8,10,5,7,8,0,81,7,5,9,4,10,12,4,5,3,64,0,4,9,5,0,0,3,9,0,35,4,0,3,0,0,0,0,0,0,11,3,0,0,0,0,0,0,0,0,3,50,39,53,38,42,20,21,42,10,329
SOSR979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3
