SOSR_CODE_2021,Neg_Nil_inc_fam_households,Neg_Nil_inc_Non_fam_househlds,Negative_Nil_income_Tot,HI_1_149_Family_households,HI_1_149_Non_family_hseholds,HI_1_149_Tot,HI_150_299_Family_households,HI_150_299_Non_fam_househlds,HI_150_299_Tot,HI_300_399_Family_households,HI_300_399_Non_fam_househlds,HI_300_399_Tot,HI_400_499_Family_households,HI_400_499_Non_fam_househlds,HI_400_499_Tot,HI_500_649_Family_households,HI_500_649_Non_fam_househlds,HI_500_649_Tot,HI_650_799_Family_households,HI_650_799_Non_fam_househlds,HI_650_799_Tot,HI_800_999_Fam_households,HI_800_999_Non_fam_hsehlds,HI_800_999_Tot,HI_1000_1249_Fam_households,HI_1000_1249_Non_fam_hsehlds,HI_1000_1249_Tot,HI_1250_1499_Fam_households,HI_1250_1499_Non_fam_hsehlds,HI_1250_1499_Tot,HI_1500_1749_Fam_households,HI_1500_1749_Non_fam_hsehlds,HI_1500_1749_Tot,HI_1750_1999_Fam_households,HI_1750_1999_Non_fam_hsehlds,HI_1750_1999_Tot,HI_2000_2499_Fam_households,HI_2000_2499_Non_fam_hsehlds,HI_2000_2499_Tot,HI_2500_2999_Fam_households,HI_2500_2999_Non_fam_hsehlds,HI_2500_2999_Tot,HI_3000_3499_Fam_households,HI_3000_3499_Non_fam_hsehlds,HI_3000_3499_Tot,HI_3500_3999_Fam_households,HI_3500_3999_Non_fam_hsehlds,HI_3500_3999_Tot,HI_4000_more_Fam_households,HI_4000_more_Non_fam_hsehlds,HI_4000_more_Tot,Part_inc_stated_Fam_household,Part_inc_std_Non_fam_hhds,Partial_income_stated_Tot,All_incomes_ns_Famly_househld,All_inc_ns_Non_famly_househld,All_incomes_not_stated_Tot,Tot_Family_households,Tot_Non_family_households,Tot_Tot
SOSR179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR201,15693,20861,36556,5232,6165,11401,5999,13827,19826,6095,26623,32726,17260,59603,76859,18793,38351,57147,53368,29661,83033,51663,37776,89440,65078,43590,108660,78055,37782,115836,62110,34381,96488,65649,27638,93295,148752,48638,197385,118564,7530,126097,100959,13231,114190,68800,3628,72433,219986,21115,241100,61040,9825,70863,12712,12676,25384,1175801,492909,1668713
SOSR203,730,1358,2090,362,559,916,380,1476,1859,494,3316,3813,1707,8732,10437,2216,5889,8103,6492,3737,10229,6094,4664,10761,7160,4749,11914,8291,3552,11846,6019,3015,9031,6177,2271,8446,13279,3251,16528,9811,596,10406,7967,705,8667,4728,221,4959,10665,1019,11685,5321,877,6200,1207,1810,3014,99109,51798,150904
SOSR211,309,352,663,97,100,199,125,291,416,192,713,899,522,1697,2221,715,1077,1785,1894,754,2642,1829,1101,2927,2138,1150,3289,2633,836,3473,2052,651,2701,2127,461,2586,4462,525,4985,2970,94,3065,1832,114,1947,1077,18,1095,1880,119,1996,1587,103,1693,377,385,763,28817,10529,39352
SOSR212,703,950,1648,262,343,609,267,944,1216,370,1945,2316,1250,4980,6229,1405,3461,4866,4297,2219,6523,3985,2674,6656,4717,2673,7387,5480,2036,7517,4011,1715,5727,4251,1176,5427,9352,1833,11189,7144,291,7431,5446,448,5892,3344,97,3443,7902,659,8556,4078,384,4459,949,1382,2334,69211,30210,99425
SOSR213,685,963,1651,277,355,631,303,1096,1398,380,2419,2807,1362,6353,7721,1604,3983,5585,5035,2517,7545,4544,3004,7548,5003,2780,7782,5659,1825,7487,4120,1483,5609,4280,1079,5351,8909,1526,10436,6203,196,6404,4588,311,4900,2556,59,2625,5414,488,5903,3929,291,4223,1021,1438,2459,65885,32171,98057
SOSR214,442,649,1088,231,278,508,172,704,873,275,1547,1822,903,4455,5358,986,2852,3834,3592,1668,5260,2882,1809,4695,3248,1665,4908,3485,1109,4591,2347,910,3259,2530,616,3144,4686,842,5527,3315,87,3406,2335,181,2519,1325,38,1364,2557,289,2841,2350,148,2506,692,1147,1842,38354,20995,59350
SOSR215,552,924,1479,316,400,721,286,994,1283,324,2102,2426,1215,6486,7705,1320,3492,4812,4774,2140,6914,4120,2608,6721,4594,2459,7056,5144,1666,6810,3547,1253,4800,3851,824,4677,7736,1155,8891,5390,122,5512,3866,236,4101,2277,35,2315,4884,453,5331,3749,244,3988,1079,1472,2551,59031,29064,88095
SOSR221,173,299,470,87,120,212,96,276,374,94,611,712,366,1819,2181,365,880,1245,1372,574,1943,1131,763,1894,1240,720,1961,1454,402,1855,1041,362,1402,1048,221,1264,2058,321,2381,1453,31,1485,1038,47,1079,569,12,581,1323,116,1445,1077,64,1145,318,369,688,16307,8011,24321
SOSR222,103,144,250,48,66,108,44,165,205,50,368,417,193,894,1091,177,402,582,784,314,1097,620,346,967,629,360,994,776,226,1003,567,192,761,543,118,664,1149,174,1327,738,20,762,494,32,523,256,3,261,625,74,699,656,47,703,165,227,398,8617,4190,12809
SOSR231,1448,1374,2825,669,564,1231,567,1295,1863,575,2401,2974,2180,5955,8136,1962,3294,5262,6704,2523,9227,6183,3285,9471,7700,3244,10945,8967,2188,11155,6214,1692,7905,7334,1282,8621,14441,1681,16124,10694,178,10868,8219,435,8656,5203,68,5270,14871,868,15739,8862,370,9230,2204,1511,3720,114997,34223,149218
SOSR279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR301,5137,7300,12436,1941,2474,4416,2229,6084,8314,2572,12552,15126,7508,29305,36805,9778,21985,31765,26763,15077,41842,26991,19833,46826,33929,22576,56509,40662,19038,59701,32565,16149,48714,34450,12907,47360,78241,21953,100193,60320,3941,64262,50626,5518,56144,34921,1441,36366,101640,7777,109417,35235,5749,40989,4921,6151,11075,590436,237832,828265
SOSR302,2607,3248,5855,1016,1159,2175,984,2454,3440,1056,5368,6422,3459,13833,17295,4238,10631,14867,13350,6848,20194,12710,8537,21250,15865,8798,24669,18733,6975,25715,13799,5390,19193,14934,4312,19245,31780,6623,38402,23216,1435,24650,18069,1786,19852,11252,503,11758,30145,2654,32796,15877,2485,18367,2642,3042,5681,235731,96093,331829
SOSR303,955,1469,2420,376,530,904,424,1517,1940,589,3049,3635,1657,7168,8831,2131,5569,7701,6027,3730,9759,5882,4948,10833,7166,5211,12375,8568,4232,12801,6722,3378,10098,7143,2557,9697,14959,3628,18589,11010,633,11648,8294,806,9097,5236,196,5438,11313,1049,12368,9065,1134,10202,1119,1544,2665,108635,52356,160993
SOSR311,678,892,1571,322,336,658,286,1064,1353,396,2184,2572,1322,5823,7145,1551,3881,5427,5432,2080,7507,4473,2484,6955,4856,2531,7394,5214,1758,6976,3662,1473,5136,3805,1105,4914,7857,1723,9580,5648,254,5902,4437,427,4858,2718,87,2799,5965,564,6533,6152,551,6705,947,1421,2367,65717,30628,96341
SOSR312,277,377,654,130,153,286,146,465,612,160,1004,1166,677,2762,3437,726,1859,2585,2577,912,3487,2081,1136,3222,2274,1062,3336,2389,768,3152,1457,631,2092,1570,431,2001,3053,660,3712,2091,74,2164,1580,127,1705,901,15,925,1882,171,2058,1937,175,2109,375,641,1019,26278,13443,39721
SOSR313,377,520,900,173,183,354,194,487,676,226,992,1220,776,2758,3526,999,1934,2932,2998,1185,4189,2507,1534,4044,2883,1527,4412,3266,1082,4346,2441,912,3356,2512,780,3288,5303,1385,6686,3745,165,3916,3047,317,3367,1906,58,1962,4040,406,4441,3769,312,4082,540,699,1244,41713,17236,58955
SOSR314,363,492,856,172,235,407,182,545,725,221,1129,1355,761,3024,3788,876,2020,2892,3007,1205,4213,2448,1534,3982,2788,1469,4264,3255,1013,4270,2427,853,3284,2583,635,3220,5659,1041,6701,4002,151,4154,3269,303,3571,1831,77,1911,4091,405,4490,3578,313,3887,692,694,1392,42219,17128,59355
SOSR315,678,811,1492,335,324,657,330,918,1246,396,2053,2447,1482,5633,7112,1566,3321,4885,5947,1886,7836,4455,2397,6843,4719,2147,6860,5134,1626,6766,3608,1245,4855,3794,923,4719,7739,1474,9216,5480,169,5653,4109,380,4492,2498,63,2568,5185,454,5633,5760,457,6220,1104,1324,2429,64317,27601,91922
SOSR321,313,377,687,133,115,249,169,381,550,213,803,1022,659,2237,2890,647,1091,1742,2267,704,2976,1789,887,2678,1852,759,2616,2028,548,2572,1420,451,1869,1469,303,1767,2944,418,3360,2010,48,2063,1555,98,1654,863,23,887,1861,166,2023,2449,170,2613,550,500,1052,25194,10069,35262
SOSR322,139,170,312,73,83,154,75,208,284,97,471,558,338,1146,1482,330,603,930,1105,343,1449,854,457,1308,962,476,1433,1005,358,1366,600,250,848,633,170,805,1129,296,1425,760,28,786,559,58,611,311,4,313,647,70,716,1034,79,1115,284,285,568,10911,5561,16473
SOSR331,1646,1450,3100,812,546,1355,645,1292,1932,622,2604,3226,2401,6351,8746,2251,3197,5448,7913,2274,10185,6524,3155,9674,7707,3036,10744,8894,1905,10797,6163,1551,7712,6909,1098,8005,13638,1610,15242,10137,205,10347,7905,416,8321,4939,48,4991,13419,705,14125,11971,612,12581,2234,1571,3812,116723,33631,150350
SOSR379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
SOSR399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR401,2845,4562,7407,1212,1794,3004,1410,5324,6734,1705,10929,12631,5333,26465,31800,6582,16665,23243,19659,11074,30732,19450,13669,33120,23334,14593,37927,26496,11210,37707,19771,8939,28714,20452,6618,27070,43886,9783,53668,32706,1710,34413,25111,2197,27308,15994,581,16573,39663,3227,42885,19494,2596,22094,2768,4310,7074,327875,156232,484112
SOSR412,195,295,490,98,138,239,102,510,619,151,1056,1212,553,2602,3156,646,1537,2188,2002,916,2926,1776,1199,2972,1889,1153,3041,2174,792,2964,1530,678,2202,1695,441,2134,3646,656,4299,2619,70,2687,1830,103,1936,1116,17,1133,1971,127,2103,1886,140,2028,303,473,771,26192,12911,39103
SOSR413,191,295,489,91,162,252,114,489,609,151,1036,1188,544,2765,3316,640,1638,2279,2277,985,3262,1849,1080,2934,2121,966,3087,2241,667,2912,1394,539,1935,1373,323,1700,2687,494,3186,1859,50,1912,1336,107,1445,816,12,826,2115,188,2300,1868,116,1987,342,507,850,24018,12423,36441
SOSR414,85,90,173,31,59,93,33,153,183,51,267,316,180,924,1100,207,665,874,890,368,1264,800,433,1233,817,359,1173,838,244,1082,572,175,746,581,137,719,1119,143,1259,707,20,722,461,28,490,245,11,256,433,51,482,639,41,681,108,137,239,8799,4313,13105
SOSR415,278,381,658,166,184,353,139,551,686,168,1186,1356,692,3475,4169,760,2012,2771,2958,1199,4157,2318,1299,3612,2398,1228,3628,2860,840,3702,1810,632,2442,1976,441,2411,3802,611,4408,2672,76,2742,1975,117,2100,1110,26,1139,2225,186,2419,2295,142,2441,460,708,1175,31063,15309,46376
SOSR421,64,136,201,49,50,99,46,161,202,43,348,393,191,1024,1216,178,478,660,798,313,1107,633,389,1023,649,325,975,792,228,1023,486,184,674,538,106,646,1061,142,1210,701,21,722,504,25,526,269,7,271,497,56,552,733,34,765,139,188,329,8371,4223,12593
SOSR422,57,90,140,26,29,57,27,115,142,34,257,289,168,709,875,155,310,471,567,204,766,423,253,673,452,230,682,468,140,612,303,108,411,295,89,389,519,110,625,330,8,340,241,17,257,113,0,108,190,25,209,487,31,523,116,125,234,4965,2850,7812
SOSR431,442,402,846,188,175,367,189,485,672,187,938,1128,826,2334,3151,744,1273,2018,2677,1000,3680,2405,1252,3656,2650,1224,3876,3341,781,4120,2203,607,2810,2568,368,2935,4756,549,5304,3464,66,3526,2641,135,2779,1551,15,1564,4052,275,4322,3718,150,3869,607,537,1138,39222,12548,51767
SOSR479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR501,5033,7225,12264,2006,2540,4544,2324,6550,8878,2670,13066,15738,7676,29998,37670,9200,19920,29120,25206,13167,38373,23669,16375,40044,29028,19189,48220,33507,16270,49782,26940,14372,41310,28776,11197,39977,65158,19818,84969,51607,2508,54118,45469,5259,50722,29795,1085,30872,94027,7635,101664,51281,5448,56732,4758,5453,10213,538147,217069,755215
SOSR511,150,220,368,63,81,148,87,247,330,108,572,682,356,1393,1759,447,821,1267,1322,593,1908,1060,670,1734,1235,706,1941,1345,556,1899,1036,479,1510,1185,382,1566,2523,596,3118,1965,54,2023,1634,164,1801,911,31,941,2082,176,2258,2177,141,2313,169,245,415,19856,8126,27979
SOSR512,271,388,656,126,166,290,153,484,633,154,920,1080,532,2239,2772,642,1539,2186,1970,968,2939,1598,1144,2746,1850,1188,3043,2120,868,2991,1567,808,2369,1623,656,2277,3705,1164,4875,2905,107,3011,2439,269,2706,1493,53,1542,3590,331,3921,3233,258,3494,406,512,917,30377,14066,44443
SOSR513,111,150,266,40,62,101,52,152,201,82,328,410,173,530,710,210,350,555,468,246,719,452,319,775,550,445,999,631,434,1065,531,470,1006,664,460,1128,1824,918,2746,1460,94,1554,1627,299,1924,1059,60,1119,3492,442,3933,2087,184,2268,234,218,452,15765,6159,21923
SOSR514,52,94,151,22,40,65,35,113,154,47,228,281,156,623,772,166,326,495,506,215,717,418,237,658,504,304,808,569,201,770,401,150,556,431,113,552,877,214,1090,694,33,726,488,57,551,241,11,258,587,48,634,838,96,939,95,110,201,7150,3231,10381
SOSR515,200,285,489,90,132,219,125,375,501,156,723,876,475,1806,2273,487,1041,1530,1619,601,2219,1197,785,1984,1391,818,2210,1487,632,2117,1053,596,1655,1212,480,1699,2591,911,3502,2044,75,2113,1724,265,1985,991,38,1025,2433,267,2701,2800,177,2972,321,448,767,22399,10452,32849
SOSR521,97,149,243,73,59,126,76,208,290,79,347,433,212,894,1107,247,427,680,789,283,1070,598,394,988,593,333,926,634,285,924,430,257,683,482,218,701,1022,319,1342,704,31,734,582,67,653,317,9,330,711,95,809,1125,54,1178,184,251,440,8983,4677,13658
SOSR522,40,71,110,26,31,64,46,139,190,62,209,275,167,550,724,165,226,388,472,153,628,383,189,574,373,219,595,392,189,585,217,136,356,268,91,364,515,200,710,317,4,324,248,40,290,138,5,145,316,46,362,559,37,595,160,127,285,4880,2659,7539
SOSR531,515,493,1013,252,181,434,232,439,668,214,747,967,829,1705,2537,653,1008,1661,2126,749,2877,1875,1019,2893,2323,1071,3391,2571,741,3317,1809,657,2468,2052,497,2549,4249,775,5022,3432,54,3486,2812,187,3000,1897,32,1928,5425,320,5748,5472,199,5666,659,466,1129,39395,11339,50741
SOSR579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
SOSR599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR603,382,586,969,152,247,406,206,759,965,252,1573,1829,883,4281,5165,1143,2791,3935,2828,1983,4813,2910,2245,5154,3619,2390,6006,4299,1738,6032,3111,1616,4729,3211,1130,4344,6726,1670,8391,4955,334,5290,3865,438,4305,2571,130,2706,6192,604,6792,3184,544,3726,420,719,1135,50921,25767,76686
SOSR611,137,269,410,88,120,204,86,407,490,135,803,942,416,2119,2542,522,1424,1945,1573,925,2493,1453,1095,2544,1692,1106,2795,1977,752,2732,1332,575,1908,1271,418,1682,2816,523,3341,1848,119,1963,1418,124,1542,817,42,857,1722,206,1924,1309,186,1491,202,361,556,20807,11561,32366
SOSR612,91,153,244,42,74,109,66,250,313,102,575,676,279,1515,1797,376,887,1262,1275,473,1748,1013,581,1597,946,595,1534,1150,349,1499,783,299,1081,763,211,975,1489,268,1754,921,26,944,647,42,688,337,14,353,616,79,691,851,69,924,174,303,474,11905,6760,18667
SOSR613,19,40,60,15,17,35,17,69,84,24,143,165,88,531,618,95,274,366,449,141,585,278,128,409,305,121,430,328,62,390,224,69,287,203,59,262,384,57,444,259,7,271,181,4,186,95,0,103,184,17,197,275,13,284,46,107,152,3465,1861,5328
SOSR614,20,58,77,17,25,37,23,94,110,37,208,247,110,604,718,130,297,425,449,152,602,341,161,503,372,177,545,447,127,579,307,89,393,310,55,365,570,64,636,383,11,387,223,8,228,141,4,148,208,21,231,363,24,384,57,87,146,4510,2262,6771
SOSR615,153,217,374,71,92,167,71,313,392,126,713,841,454,2277,2731,496,1203,1703,1928,594,2522,1419,777,2200,1443,682,2129,1697,469,2165,1176,354,1527,1168,229,1407,2275,274,2553,1433,45,1478,923,54,977,537,6,543,856,74,927,1188,75,1268,235,390,625,17663,8850,26520
SOSR621,47,76,121,33,33,65,35,97,129,33,261,289,135,636,778,178,338,521,586,229,819,446,240,681,490,259,746,485,139,626,374,140,512,370,95,464,688,116,807,551,13,564,354,19,373,205,0,209,393,29,427,487,31,519,72,103,173,5971,2851,8823
SOSR622,16,45,68,12,11,25,13,64,75,17,102,119,61,318,378,67,154,222,272,94,369,224,106,333,231,74,300,240,42,286,160,43,206,163,36,198,242,35,287,210,0,215,139,0,143,60,0,60,141,17,153,221,6,234,41,56,103,2540,1219,3758
SOSR631,273,273,554,164,140,305,143,367,510,186,792,978,676,2102,2782,671,936,1602,2359,730,3086,1959,962,2921,2259,902,3159,2543,543,3090,1792,447,2237,1928,336,2262,3773,398,4169,2745,50,2798,1913,94,2009,1152,15,1170,2407,130,2538,2545,105,2648,343,339,681,29836,9656,39495
SOSR679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR703,165,317,485,51,89,142,104,248,352,158,648,805,308,958,1265,381,610,993,761,559,1323,756,875,1630,1170,1075,2245,1459,1102,2561,1315,1058,2375,1502,930,2423,3992,1691,5686,3240,294,3529,2838,415,3258,2104,152,2260,5463,662,6117,3185,570,3750,234,297,525,29176,12554,41727
SOSR712,33,63,100,15,32,43,35,72,102,42,92,137,89,185,270,66,145,218,149,126,272,163,196,362,250,261,512,285,281,573,260,252,513,248,203,446,734,344,1086,660,52,714,609,102,708,396,34,429,1064,154,1215,572,128,703,53,72,129,5729,2792,8519
SOSR714,8,9,15,8,3,5,6,12,20,18,29,42,33,57,92,31,30,58,52,31,82,57,40,95,60,58,116,75,57,128,44,56,102,61,32,97,151,96,251,139,18,154,123,20,141,85,3,91,142,36,179,133,29,162,26,27,51,1255,642,1897
SOSR715,6,4,7,67,13,88,105,37,144,50,29,81,104,37,142,81,24,107,140,26,164,147,42,189,206,74,283,160,85,242,145,83,232,156,87,242,244,145,389,227,12,243,180,29,205,127,12,142,267,27,293,365,28,388,64,41,107,2847,839,3684
SOSR721,3,10,14,12,5,19,50,27,82,29,27,53,92,23,116,74,29,105,144,67,213,151,77,227,145,112,265,167,77,243,141,78,222,134,65,192,222,116,339,151,5,155,142,18,162,97,0,95,191,36,221,188,14,200,30,23,49,2161,811,2967
SOSR722,6,12,18,35,9,43,55,48,103,21,35,62,180,64,243,70,21,93,157,28,189,176,33,210,147,40,189,196,51,245,109,54,165,89,36,133,164,99,266,118,6,121,72,22,88,36,3,35,71,15,89,257,16,268,76,21,102,2051,611,2661
SOSR731,52,75,132,44,35,78,64,83,148,45,119,166,163,235,396,105,135,244,318,109,425,300,169,470,320,226,543,383,165,544,262,168,426,305,120,421,691,219,902,594,18,609,586,42,627,462,13,480,1189,55,1242,966,54,1022,206,125,329,7037,2170,9202
SOSR779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
SOSR799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR802,546,1016,1559,240,375,613,249,948,1194,319,1874,2198,854,4161,5011,1092,2723,3821,2534,2653,5186,2727,3317,6046,4038,4097,8135,5681,4335,10017,5098,4770,9874,5475,4131,9602,14005,8224,22228,12093,966,13063,12007,1948,13958,9787,574,10363,33621,3173,36798,6028,1089,7119,535,753,1289,116933,51123,168058
SOSR822,0,0,0,0,0,0,0,0,3,0,4,4,0,10,6,0,0,0,0,5,4,9,0,7,4,8,8,4,3,6,3,0,4,6,0,6,16,6,18,16,0,16,12,0,17,19,0,19,60,0,62,9,0,9,4,0,4,173,32,203
