SOSR_CODE_2021,Sme_Usl_ad_5_yr_ago_as_2021_M,Sme_Usl_ad_5_yr_ago_as_2021_F,Sme_Usl_ad_5_yr_ago_as_2021_P,Dif_Usl_ad_5_yr_ago_Sme_SA2_M,Dif_Usl_ad_5_yr_ago_Sme_SA2_F,Dif_Usl_ad_5_yr_ago_Sme_SA2_P,Dif_Us_ad_5_ago_Dif_SA2_NSW_M,Dif_Us_ad_5_ago_Dif_SA2_NSW_F,Dif_Us_ad_5_ago_Dif_SA2_NSW_P,Dif_Us_ad_5_ago_Dif_SA2_Vic_M,Dif_Us_ad_5_ago_Dif_SA2_Vic_F,Dif_Us_ad_5_ago_Dif_SA2_Vic_P,Dif_Us_ad_5_ago_Dif_SA2_Qld_M,Dif_Us_ad_5_ago_Dif_SA2_Qld_F,Dif_Us_ad_5_ago_Dif_SA2_Qld_P,Dif_Us_ad_5_ago_Dif_SA2_SA_M,Dif_Us_ad_5_ago_Dif_SA2_SA_F,Dif_Us_ad_5_ago_Dif_SA2_SA_P,Dif_Us_ad_5_ago_Dif_SA2_WA_M,Dif_Us_ad_5_ago_Dif_SA2_WA_F,Dif_Us_ad_5_ago_Dif_SA2_WA_P,Dif_Us_ad_5_ago_Dif_SA2_Tas_M,Dif_Us_ad_5_ago_Dif_SA2_Tas_F,Dif_Us_ad_5_ago_Dif_SA2_Tas_P,Dif_Us_ad_5_ago_Dif_SA2_NT_M,Dif_Us_ad_5_ago_Dif_SA2_NT_F,Dif_Us_ad_5_ago_Dif_SA2_NT_P,Dif_Us_ad_5_ago_Dif_SA2_ACT_M,Dif_Us_ad_5_ago_Dif_SA2_ACT_F,Dif_Us_ad_5_ago_Dif_SA2_ACT_P,Dif_Us_ad_5_ago_Dif_SA2_OT_M,Dif_Us_ad_5_ago_Dif_SA2_OT_F,Dif_Us_ad_5_ago_Dif_SA2_OT_P,Dif_Us_ad_5_ago_Dif_SA2_Tot_M,Dif_Us_ad_5_ago_Dif_SA2_Tot_F,Dif_Us_ad_5_ago_Dif_SA2_Tot_P,Difnt_Usl_add_5_yr_ago_OS_M,Difnt_Usl_add_5_yr_ago_OS_F,Difnt_Usl_add_5_yr_ago_OS_P,Difnt_Usl_add_5_yr_ago_Ns_M,Difnt_Usl_add_5_yr_ago_Ns_F,Difnt_Usl_add_5_yr_ago_Ns_P,Difnt_Usl_add_5_yr_ago_Tot_M,Difnt_Usl_add_5_yr_ago_Tot_F,Difnt_Usl_add_5_yr_ago_Tot_P,N_stated_M,N_stated_F,N_stated_P,Tot_M,Tot_F,Tot_P
SOSR101,1144938,1194399,2339338,114621,116820,231437,556905,567956,1124862,11779,11497,23275,12438,12190,24622,3624,3609,7237,5476,5082,10559,935,926,1860,1197,1014,2209,3785,3758,7541,44,39,81,596187,606064,1202249,185326,189415,374745,15859,13714,29566,911992,926009,1838004,121922,116632,238550,2178850,2237034,4415887
SOSR102,273498,286791,560290,32150,34035,66187,121341,131591,252931,2712,2893,5609,5854,6322,12175,684,702,1384,1038,1069,2104,337,409,742,579,570,1148,2441,2596,5036,20,31,48,135006,146171,281181,12595,13128,25723,4132,3751,7883,183881,197089,380970,26794,28568,55359,484172,512448,996623
SOSR111,45567,48775,94344,7141,7835,14980,22050,24693,46744,2387,2635,5022,1248,1368,2614,204,211,416,258,253,513,118,131,250,180,183,364,204,229,429,0,3,10,26658,29703,56361,2040,2291,4335,847,804,1649,36688,40632,77319,5201,5256,10457,87457,94662,182117
SOSR112,119997,129276,249277,26607,29578,56187,54160,60532,114697,2829,2901,5728,2923,3337,6258,476,513,989,602,649,1252,198,254,449,291,322,609,789,919,1698,16,11,27,62276,69433,131708,7194,7520,14712,2086,2059,4141,98157,108589,206747,19937,17424,37363,238094,255290,493386
SOSR113,56621,59558,116181,14972,16593,31564,19057,20942,39999,1186,1311,2491,1872,1989,3857,392,385,774,346,366,709,125,137,255,222,208,435,527,551,1074,6,13,21,23717,25898,49613,2149,2447,4594,931,832,1762,41773,45767,87540,9319,8803,18125,107712,114133,221843
SOSR114,61811,65742,127554,16276,18209,34481,21166,23788,44951,1561,1830,3391,2411,2769,5187,214,258,478,355,402,759,103,107,209,189,182,376,1279,1356,2630,10,5,12,27288,30702,57991,2437,2532,4970,1003,928,1929,47006,52369,99370,9526,9563,19084,118343,127672,246012
SOSR115,92625,96190,188820,19214,21747,40959,32037,34923,66954,2330,2429,4766,2534,2770,5299,320,320,638,492,463,950,160,181,347,263,265,528,1350,1437,2787,10,16,24,39489,42804,82292,2810,2917,5728,1318,1155,2477,62831,68624,131452,14746,14137,28881,170201,178951,349158
SOSR121,26619,26741,53364,4012,4199,8214,9837,10254,20095,429,473,903,625,702,1328,74,84,154,120,131,249,26,40,68,68,76,142,286,285,573,8,9,13,11468,12056,23523,518,556,1077,297,237,535,16302,17046,33347,3470,3364,6825,46392,47152,93541
SOSR122,14227,13721,27949,1768,1911,3678,4337,4403,8734,233,252,492,353,372,724,30,30,57,73,59,133,20,17,43,19,29,54,206,216,420,5,0,5,5281,5381,10662,240,290,539,122,114,240,7416,7702,15114,2396,2173,4567,24038,23595,47631
SOSR131,174703,162975,337678,17615,17059,34675,48163,47933,96095,2367,2384,4749,3937,3953,7884,389,398,782,654,598,1252,182,142,326,389,382,778,1910,1924,3831,4,0,5,58002,57706,115707,2850,3208,6060,1400,1146,2545,79865,79123,158990,27510,22823,50336,282081,264916,546997
SOSR179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR199,761,424,1186,221,160,382,1929,1707,3632,110,138,249,225,214,438,30,35,62,37,47,83,14,16,31,19,16,38,33,33,65,0,0,0,2400,2195,4597,373,438,814,56,35,95,3046,2835,5882,2307,1536,3835,6115,4793,10906
SOSR201,1136091,1198194,2334286,94852,98249,193097,22267,23067,45332,543001,558055,1101053,14215,15152,29368,7009,7321,14324,8652,8550,17202,3021,3196,6213,2306,2231,4536,3021,3188,6208,24,17,45,603500,620777,1224278,162959,167242,330193,13786,11923,25711,875103,898178,1773284,106654,102882,209535,2117846,2199252,4317101
SOSR203,89180,96180,185358,11975,12934,24912,1734,2056,3791,50186,56054,106241,1238,1437,2675,596,692,1289,566,589,1152,354,408,763,314,320,635,208,243,454,0,0,6,55206,61808,117012,6284,5967,12249,1402,1362,2766,74871,82065,156938,10263,10745,21012,174317,188993,363307
SOSR211,24163,25076,49237,2935,3216,6148,1823,1824,3646,14709,15620,30330,703,649,1347,211,187,398,204,183,392,127,122,245,152,137,282,108,91,198,0,0,0,18029,18811,36841,2142,2427,4572,450,380,830,23557,24830,48390,3576,3628,7198,51298,53529,104825
SOSR212,64086,68051,132141,12735,13946,26687,1533,1780,3309,26744,29518,56263,818,893,1709,497,557,1054,362,397,758,140,203,344,207,238,444,98,90,191,0,3,0,30407,33662,64070,3837,4208,8045,892,878,1769,47871,52699,100570,7787,8133,15921,119747,128891,248639
SOSR213,60673,64673,125351,15464,16941,32402,1319,1444,2761,22920,25257,48172,890,1063,1960,397,443,840,346,342,693,181,173,350,209,201,413,108,117,225,4,0,5,26371,29049,55421,2203,2589,4791,837,805,1640,44867,49379,94250,7882,7868,15755,113422,121933,235354
SOSR214,35451,37805,73252,8552,9566,18120,695,768,1463,13843,15268,29108,438,497,934,168,216,385,196,190,386,107,123,229,118,116,238,57,53,108,0,0,0,15617,17236,32852,1246,1313,2555,425,337,766,25840,28451,54294,4986,5292,10279,66282,71542,137828
SOSR215,57951,60276,118233,11030,12356,23389,1230,1404,2630,21433,22695,44124,750,832,1581,278,341,626,317,287,611,135,168,305,164,199,366,92,93,190,0,3,4,24414,26020,50433,1542,1608,3147,561,534,1102,37554,40517,78068,7910,8074,15976,103413,108865,212281
SOSR221,16733,16693,33421,2339,2385,4723,362,365,728,6341,6557,12896,192,240,434,97,104,204,92,79,173,47,48,96,52,51,105,37,35,70,0,0,0,7229,7491,14718,361,365,721,165,147,313,10085,10381,20471,2318,2262,4578,29136,29341,58476
SOSR222,9429,9144,18576,1077,1056,2137,178,209,390,3076,3226,6300,127,124,251,76,64,134,38,40,72,32,28,61,26,24,49,12,20,27,0,0,0,3562,3735,7291,245,277,520,76,77,153,4956,5149,10107,1473,1364,2830,15865,15657,31515
SOSR231,133903,125007,258912,11951,11483,23436,2191,2264,4451,36443,36493,72931,1316,1258,2572,621,597,1220,527,499,1029,210,215,432,337,318,661,149,123,269,0,0,0,41803,41771,83570,2302,2380,4682,862,632,1491,56914,56263,113184,21158,16298,37458,211981,197573,409552
SOSR279,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,5,0,0,0,7,0,9,24,3,27,36,6,38
SOSR299,538,340,876,170,99,264,102,82,184,1346,1306,2654,96,103,199,42,26,62,34,37,70,21,13,34,14,15,30,6,8,17,0,0,0,1660,1586,3243,283,285,568,58,39,95,2171,2008,4180,2241,1381,3624,4945,3734,8678
SOSR301,506438,526690,1033128,52104,55853,107965,24349,25972,50322,11945,12613,24559,313979,333288,647267,3619,3753,7371,4146,4193,8342,1637,1694,3322,2640,2647,5288,2530,2566,5095,29,27,60,364875,386760,751633,58776,64772,123545,11963,10501,22463,487721,517885,1005602,57708,53303,111010,1051870,1097877,2149748
SOSR302,180376,192062,372432,23756,25718,49473,21179,23396,44581,9639,10664,20300,111827,124066,235889,1543,1812,3354,1775,2008,3777,1048,1226,2277,959,969,1929,1135,1235,2371,12,21,31,149116,165396,314512,21392,23850,45244,5319,5050,10365,199586,220014,419603,26599,27117,53719,406553,439202,845755
SOSR303,93712,98106,191822,10920,11852,22770,4590,4691,9279,3173,3219,6397,54889,61463,116347,951,1044,1998,1261,1268,2522,392,396,787,1176,1205,2385,512,494,1003,3,7,7,66946,73782,140733,7779,8705,16490,2399,2194,4591,88054,96534,184584,18497,15360,33861,200265,210002,410267
SOSR311,58711,60987,119698,6160,6899,13058,2504,2737,5242,1511,1701,3213,31687,35676,67360,379,406,783,469,504,980,259,281,540,349,364,707,170,174,343,9,3,8,37339,41839,79175,2878,3204,6077,1440,1366,2811,47817,53313,101127,10230,8862,19097,116755,123162,239924
SOSR312,22358,23139,45496,4115,4643,8758,1140,1191,2331,654,714,1372,11718,12882,24601,131,142,274,210,202,417,143,160,309,169,180,344,60,69,127,0,0,0,14232,15538,29772,913,1093,2009,593,491,1080,19855,21771,41624,3338,3107,6452,45554,48016,93569
SOSR313,33451,34339,67791,10674,11844,22517,1882,2055,3940,858,890,1750,16872,18873,35749,245,289,531,341,348,691,134,168,299,312,325,642,84,84,171,0,0,0,20739,23034,43771,1844,2030,3874,912,858,1770,34171,37768,71936,6340,5299,11639,73953,77415,151371
SOSR314,37476,38172,75646,8850,9737,18584,1676,1941,3620,747,798,1543,16369,17963,34336,238,224,463,366,365,726,94,127,223,248,257,507,78,80,155,0,0,4,19824,21757,41583,2417,2544,4963,839,718,1554,31925,34758,66683,7957,6718,14677,77355,79650,157004
SOSR315,58601,58940,117544,11984,13059,25040,2919,3115,6041,1446,1527,2968,26259,28383,54645,371,398,768,600,591,1188,222,255,479,411,416,825,129,143,276,4,0,11,32367,34832,67196,2333,2518,4848,1176,1094,2274,47859,51502,99356,13625,10401,24026,120084,120841,240927
SOSR321,25031,24379,49407,3727,3990,7714,975,1067,2042,488,504,993,9432,10039,19469,131,146,273,192,189,384,101,80,178,205,220,429,53,56,106,0,0,0,11583,12302,23884,603,650,1252,388,338,725,16299,17279,33578,5175,4103,9277,46505,45757,92262
SOSR322,11769,11252,23022,1634,1738,3376,400,353,757,160,162,317,3852,4043,7890,41,55,93,73,76,144,47,40,78,81,74,154,15,17,35,0,0,0,4658,4811,9467,204,259,466,156,127,284,6652,6934,13591,2308,2016,4332,20734,20204,40940
SOSR331,130235,120195,250438,12394,12202,24600,4118,4081,8193,1693,1713,3405,41216,42077,83292,465,479,944,660,643,1300,260,231,491,698,668,1367,158,158,318,4,4,12,49263,50053,99309,2828,2828,5658,1473,1293,2761,65951,66373,132326,26128,18687,44812,222320,205257,427575
SOSR379,17,3,20,0,0,0,4,0,4,0,0,0,8,0,8,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,14,18,4,17,0,0,0,26,3,30,111,24,135,149,28,183
SOSR399,948,648,1590,339,239,577,521,521,1039,320,345,666,2315,2263,4581,97,84,184,146,147,288,52,58,111,58,59,121,30,19,48,0,0,0,3532,3503,7033,482,644,1125,75,58,135,4429,4444,8873,2215,1492,3704,7588,6582,14167
SOSR401,329285,345483,674768,26389,28192,54577,6479,6160,12637,6119,6006,12125,3738,3838,7584,134433,144189,278620,1918,1812,3726,593,663,1249,1663,1713,3377,797,753,1547,22,19,32,155759,165141,320899,34199,35273,69470,3799,3300,7096,220132,231908,452045,26218,24901,51118,575643,602284,1177928
SOSR412,24826,25938,50769,5394,5966,11356,413,422,845,672,699,1377,392,406,802,8760,9722,18481,178,184,358,48,68,121,181,196,381,53,55,109,0,0,4,10709,11758,22463,772,845,1621,355,345,699,17234,18913,36148,2612,2617,5229,44676,47468,92140
SOSR413,24262,25582,49845,6001,6652,12647,401,417,820,435,423,860,366,353,719,5488,6310,11798,198,212,414,55,57,105,218,203,412,41,42,83,0,0,0,7188,8019,15209,742,803,1545,253,223,475,14187,15702,29890,3807,2753,6560,42260,44034,86294
SOSR414,7894,8471,16366,1763,1872,3632,146,157,304,176,202,378,120,154,275,3002,3407,6412,49,76,126,27,24,47,65,56,124,8,5,13,0,0,0,3583,4091,7675,321,322,637,90,74,165,5756,6356,12110,811,859,1667,14458,15684,30146
SOSR415,30939,31587,62529,5548,6164,11711,430,454,883,636,659,1300,454,486,936,10301,11093,21401,263,280,545,66,68,138,259,274,539,33,35,75,5,0,5,12451,13367,25815,879,930,1810,292,314,606,19171,20777,39945,4052,3798,7851,54161,56163,110321
SOSR421,9252,9308,18563,1442,1537,2978,107,116,227,152,157,313,102,111,214,2255,2543,4797,48,63,108,19,18,36,87,76,166,11,5,10,0,0,0,2779,3090,5871,202,205,408,49,57,108,4474,4889,9366,1271,1243,2505,14994,15436,30435
SOSR422,5712,5467,11182,774,690,1464,75,74,149,108,130,235,70,86,160,1424,1385,2812,37,31,66,11,11,28,67,61,127,4,4,6,0,0,0,1798,1787,3585,74,83,154,34,28,67,2682,2596,5274,919,802,1726,9315,8865,18179
SOSR431,48000,43174,91171,4440,4096,8533,551,516,1068,709,730,1438,443,419,865,10399,10301,20704,271,286,557,85,82,167,262,266,529,26,21,51,0,0,0,12756,12621,25381,709,732,1446,244,191,434,18151,17641,35787,6780,4850,11632,72929,65662,138592
SOSR479,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,12,0,12
SOSR499,262,144,404,85,54,134,34,37,67,50,34,86,74,77,153,599,572,1180,35,39,77,11,4,15,20,18,36,4,0,3,0,0,0,827,790,1622,78,101,184,15,22,35,1008,965,1975,524,341,866,1793,1446,3241
SOSR501,519265,538723,1057992,50910,54002,104909,7400,7705,15104,6543,7123,13664,5850,6071,11926,2043,2133,4173,234249,248748,482992,930,1062,1997,1808,1803,3611,778,794,1574,113,128,242,259710,275575,535286,49315,54937,104252,7485,6721,14204,367420,391229,758655,55659,45614,101271,942351,975567,1917922
SOSR511,18955,19800,38754,2849,3074,5924,178,183,359,189,174,361,215,244,457,75,67,141,8008,9136,17142,52,66,116,137,130,266,13,16,24,0,0,0,8864,10009,18871,811,990,1805,308,266,575,12839,14343,27177,2821,1914,4730,34611,36057,70669
SOSR512,28514,29382,57898,5430,5844,11273,376,384,768,373,409,782,467,444,912,174,173,354,12570,13836,26408,105,120,220,152,166,314,24,33,56,0,0,0,14235,15566,29805,1562,1603,3164,502,445,950,21737,23449,45190,5485,4483,9973,55739,57317,113056
SOSR513,11963,11383,23338,5210,5331,10542,443,462,906,424,449,873,748,655,1398,187,164,353,6372,6706,13078,52,64,119,221,226,447,24,28,55,7,5,9,8476,8761,17236,1041,1304,2348,343,298,636,15066,15697,30767,4698,3950,8653,31730,31033,62760
SOSR514,6813,6888,13698,2097,2322,4416,97,109,203,84,100,188,76,77,156,18,36,57,2088,2360,4450,19,22,43,26,15,45,5,5,7,4,6,5,2420,2733,5152,417,399,818,94,96,189,5021,5553,10579,1329,1150,2476,13166,13589,26754
SOSR515,21000,20576,41572,5104,5437,10542,316,319,634,311,317,624,474,457,927,122,133,253,8757,9391,18148,66,67,133,166,176,345,24,19,47,14,10,26,10247,10886,21135,1098,1202,2306,310,270,574,16759,17795,34560,5518,4884,10396,43274,43252,86534
SOSR521,9622,9434,19057,1740,1816,3554,96,98,203,87,82,174,138,131,267,62,56,118,3233,3374,6606,31,26,61,69,53,124,8,6,14,0,0,0,3725,3835,7557,329,438,767,119,99,219,5912,6189,12094,2349,2111,4457,17877,17731,35610
SOSR522,5976,5768,11746,951,976,1927,48,51,98,39,46,86,67,60,127,38,41,76,1628,1702,3334,11,17,29,37,35,68,5,5,9,0,0,0,1875,1952,3826,155,172,323,45,37,90,3028,3136,6167,1268,1084,2359,10278,9991,20271
SOSR531,47928,42673,90602,4257,3945,8206,431,355,779,427,344,772,600,431,1029,215,162,378,15210,14165,29375,94,73,164,201,148,351,33,18,45,10,11,21,17211,15695,32912,1449,1388,2833,371,277,651,23289,21308,44601,14406,6826,21232,85628,70804,156428
SOSR579,123,16,139,0,0,0,11,0,8,0,0,0,12,0,15,0,0,0,78,9,88,0,0,0,5,0,4,0,0,0,0,0,0,102,13,116,34,10,38,0,0,0,137,24,163,199,19,222,455,58,514
