SOSR_CODE_2021,M_Emp_FullT_15_19,M_Emp_FullT_20_24,M_Emp_FullT_25_34,M_Emp_FullT_35_44,M_Emp_FullT_45_54,M_Emp_FullT_55_64,M_Emp_FullT_65_74,M_Emp_FullT_75_84,M_Emp_FullT_85ov,M_Emp_FullT_Tot,M_Emp_PartT_15_19,M_Emp_PartT_20_24,M_Emp_PartT_25_34,M_Emp_PartT_35_44,M_Emp_PartT_45_54,M_Emp_PartT_55_64,M_Emp_PartT_65_74,M_Emp_PartT_75_84,M_Emp_PartT_85ov,M_Emp_PartT_Tot,M_Emp_awy_f_wrk_15_19,M_Emp_awy_f_wrk_20_24,M_Emp_awy_f_wrk_25_34,M_Emp_awy_f_wrk_35_44,M_Emp_awy_f_wrk_45_54,M_Emp_awy_f_wrk_55_64,M_Emp_awy_f_wrk_65_74,M_Emp_awy_f_wrk_75_84,M_Emp_awy_f_wrk_85ov,M_Emp_awy_f_wrk_Tot,M_Hours_wkd_NS_15_19,M_Hours_wkd_NS_20_24,M_Hours_wkd_NS_25_34,M_Hours_wkd_NS_35_44,M_Hours_wkd_NS_45_54,M_Hours_wkd_NS_55_64,M_Hours_wkd_NS_65_74,M_Hours_wkd_NS_75_84,M_Hours_wkd_NS_85ov,M_Hours_wkd_NS_Tot,M_Tot_Emp_15_19,M_Tot_Emp_20_24,M_Tot_Emp_25_34,M_Tot_Emp_35_44,M_Tot_Emp_45_54,M_Tot_Emp_55_64,M_Tot_Emp_65_74,M_Tot_Emp_75_84,M_Tot_Emp_85ov,M_Tot_Emp_Tot,M_Unem_look_FTW_15_19,M_Unem_look_FTW_20_24,M_Unem_look_FTW_25_34,M_Unem_look_FTW_35_44,M_Unem_look_FTW_45_54,M_Unem_look_FTW_55_64,M_Unem_look_FTW_65_74,M_Unem_look_FTW_75_84,M_Unem_look_FTW_85ov,M_Unem_look_FTW_Tot,M_Unem_look_PTW_15_19,M_Unem_look_PTW_20_24,M_Unem_look_PTW_25_34,M_Unem_look_PTW_35_44,M_Unem_look_PTW_45_54,M_Unem_look_PTW_55_64,M_Unem_look_PTW_65_74,M_Unem_look_PTW_75_84,M_Unem_look_PTW_85ov,M_Unem_look_PTW_Tot,M_Tot_Unemp_15_19,M_Tot_Unemp_20_24,M_Tot_Unemp_25_34,M_Tot_Unemp_35_44,M_Tot_Unemp_45_54,M_Tot_Unemp_55_64,M_Tot_Unemp_65_74,M_Tot_Unemp_75_84,M_Tot_Unemp_85ov,M_Tot_Unemp_Tot,M_Tot_LF_15_19,M_Tot_LF_20_24,M_Tot_LF_25_34,M_Tot_LF_35_44,M_Tot_LF_45_54,M_Tot_LF_55_64,M_Tot_LF_65_74,M_Tot_LF_75_84,M_Tot_LF_85ov,M_Tot_LF_Tot,M_Not_in_LF_15_19,M_Not_in_LF_20_24,M_Not_in_LF_25_34,M_Not_in_LF_35_44,M_Not_in_LF_45_54,M_Not_in_LF_55_64,M_Not_in_LF_65_74,M_Not_in_LF_75_84,M_Not_in_LF_85ov,M_Not_in_LF_Tot,M_LFS_NS_15_19,M_LFS_NS_20_24,M_LFS_NS_25_34,M_LFS_NS_35_44,M_LFS_NS_45_54,M_LFS_NS_55_64,M_LFS_NS_65_74,M_LFS_NS_75_84,M_LFS_NS_85ov,M_LFS_NS_Tot,M_Tot_15_19,M_Tot_20_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Emp_FullT_15_19,F_Emp_FullT_20_24,F_Emp_FullT_25_34,F_Emp_FullT_35_44,F_Emp_FullT_45_54,F_Emp_FullT_55_64,F_Emp_FullT_65_74,F_Emp_FullT_75_84,F_Emp_FullT_85ov,F_Emp_FullT_Tot,F_Emp_PartT_15_19,F_Emp_PartT_20_24,F_Emp_PartT_25_34,F_Emp_PartT_35_44,F_Emp_PartT_45_54,F_Emp_PartT_55_64,F_Emp_PartT_65_74,F_Emp_PartT_75_84,F_Emp_PartT_85ov,F_Emp_PartT_Tot,F_Emp_awy_f_wrk_15_19,F_Emp_awy_f_wrk_20_24,F_Emp_awy_f_wrk_25_34,F_Emp_awy_f_wrk_35_44,F_Emp_awy_f_wrk_45_54,F_Emp_awy_f_wrk_55_64,F_Emp_awy_f_wrk_65_74,F_Emp_awy_f_wrk_75_84,F_Emp_awy_f_wrk_85ov,F_Emp_awy_f_wrk_Tot,F_Hours_wkd_NS_15_19,F_Hours_wkd_NS_20_24,F_Hours_wkd_NS_25_34,F_Hours_wkd_NS_35_44,F_Hours_wkd_NS_45_54,F_Hours_wkd_NS_55_64,F_Hours_wkd_NS_65_74,F_Hours_wkd_NS_75_84,F_Hours_wkd_NS_85ov,F_Hours_wkd_NS_Tot,F_Tot_Emp_15_19,F_Tot_Emp_20_24,F_Tot_Emp_25_34,F_Tot_Emp_35_44,F_Tot_Emp_45_54,F_Tot_Emp_55_64,F_Tot_Emp_65_74,F_Tot_Emp_75_84,F_Tot_Emp_85ov,F_Tot_Emp_Tot,F_Unem_look_FTW_15_19,F_Unem_look_FTW_20_24,F_Unem_look_FTW_25_34,F_Unem_look_FTW_35_44,F_Unem_look_FTW_45_54,F_Unem_look_FTW_55_64,F_Unem_look_FTW_65_74,F_Unem_look_FTW_75_84,F_Unem_look_FTW_85ov,F_Unem_look_FTW_Tot,F_Unem_look_PTW_15_19,F_Unem_look_PTW_20_24,F_Unem_look_PTW_25_34,F_Unem_look_PTW_35_44,F_Unem_look_PTW_45_54,F_Unem_look_PTW_55_64,F_Unem_look_PTW_65_74,F_Unem_look_PTW_75_84,F_Unem_look_PTW_85ov,F_Unem_look_PTW_Tot,F_Tot_Unemp_15_19,F_Tot_Unemp_20_24,F_Tot_Unemp_25_34,F_Tot_Unemp_35_44,F_Tot_Unemp_45_54,F_Tot_Unemp_55_64,F_Tot_Unemp_65_74,F_Tot_Unemp_75_84,F_Tot_Unemp_85ov,F_Tot_Unemp_Tot
SOSR101,7176,42029,188175,211576,166446,106427,23247,1982,119,747171,22399,39006,57259,42680,35128,33608,18416,3989,346,252826,9999,16916,26174,20701,17618,16412,5723,819,79,114445,727,2689,7185,5294,3268,2158,666,175,44,22207,40297,100634,278795,280248,222466,158599,48049,6967,588,1136652,1747,5691,11327,8998,7770,6294,1029,47,3,42906,5350,5481,4340,1961,1732,2359,1037,143,10,22425,7103,11169,15670,10957,9505,8655,2064,195,17,65331,47402,111801,294471,291204,231971,167254,50113,7164,603,1201977,81962,40285,54510,44825,46872,70384,120894,84048,29875,573656,5814,9401,23798,18914,13596,11339,8619,7141,5093,103710,135176,161493,372776,354942,292439,248972,179630,98353,35570,1879348,3482,38897,161945,140256,120732,69524,11777,591,34,547232,26658,42516,72965,84623,71257,54569,18685,2322,149,373749,11648,16636,29811,23768,16523,14289,4445,511,43,117668,618,1999,5109,3454,2234,1535,497,157,58,15653,42401,100047,269829,252105,210749,139920,35400,3575,277,1054301,992,3322,7302,5886,4853,3078,301,17,0,25748,5216,4739,5592,4754,3711,3266,702,43,5,28024,6209,8057,12898,10638,8565,6340,1001,57,10,53774
SOSR102,3936,11997,37332,40258,38882,26761,4388,307,19,163879,8470,9125,10771,8369,8124,8903,4553,801,60,59176,1975,2358,3257,2702,2762,2860,947,114,17,16991,223,491,1073,760,631,412,120,56,20,3790,14600,23972,52435,52087,50399,38931,10014,1281,119,243837,786,1432,2048,1372,1552,1299,166,13,0,8671,1672,917,682,403,381,576,233,23,4,4879,2460,2352,2725,1772,1925,1867,402,33,3,13551,17061,26321,55168,53859,52323,40802,10417,1318,120,257390,13019,5526,6770,6352,9038,19398,40888,28875,9541,139412,1369,1675,3467,3006,2898,2623,2485,2328,1717,21569,31448,33526,65404,63218,64262,62818,53798,32519,11378,418370,1661,8883,24679,22749,26199,15824,2157,103,4,102256,11281,11774,19016,23366,21285,18351,4902,464,23,110462,2717,3038,6367,4406,3329,3275,945,91,16,24181,241,387,793,557,503,344,117,52,16,3010,15901,24084,50851,51083,51305,37792,8123,710,58,239908,450,708,909,749,794,510,53,4,7,4184,1686,860,915,874,799,757,170,13,3,6084,2132,1571,1828,1627,1588,1269,224,21,11,10263
SOSR111,874,2602,7821,7767,6967,4940,911,51,6,31936,1762,1338,1863,1448,1318,1473,924,139,12,10273,196,148,317,282,316,372,130,14,3,1778,60,96,210,154,108,83,19,11,5,754,2899,4184,10210,9650,8703,6859,1989,217,22,44728,185,252,398,294,284,243,33,0,0,1687,304,136,140,87,68,89,50,0,0,877,491,392,536,380,353,333,84,0,0,2566,3391,4569,10751,10030,9059,7190,2073,222,22,47299,2123,744,1102,1148,1547,3041,7079,4769,1477,23030,299,279,744,664,560,483,426,362,242,4058,5812,5592,12602,11839,11161,10713,9580,5351,1737,74382,420,1828,4700,4473,4875,2986,384,18,0,19680,2469,1963,4156,4484,3902,3410,1003,81,0,21471,281,240,908,503,358,382,114,11,3,2806,34,87,158,95,88,76,23,12,3,577,3201,4118,9926,9560,9222,6852,1529,124,13,44538,104,149,181,160,160,112,5,0,0,877,333,153,187,205,176,159,29,0,0,1245,435,301,370,365,336,274,35,0,3,2124
SOSR112,2522,6610,19568,18220,17355,13374,2864,250,17,80774,4359,3169,4599,3556,3488,4334,2833,635,50,27017,465,409,883,763,779,950,361,58,15,4681,154,284,566,368,318,242,96,40,18,2094,7493,10471,25622,22902,21943,18896,6161,985,97,114568,450,688,988,726,682,585,98,0,0,4211,699,376,324,194,215,259,136,22,5,2222,1142,1062,1315,917,896,845,227,21,9,6436,8636,11532,26935,23821,22835,19737,6391,1003,103,120999,6179,2650,4323,4052,4822,8555,20035,14990,5236,70853,1028,1132,2195,1766,1724,1499,1426,1256,791,12817,15845,15316,33457,29638,29387,29795,27849,17249,6127,204668,1175,4779,12491,11449,12812,8808,1381,67,4,52985,5824,4714,9802,10094,9305,8899,3225,357,21,52237,636,696,2192,1185,980,1171,414,55,3,7337,156,230,417,289,232,184,81,55,12,1656,7801,10421,24909,23016,23323,19068,5101,539,43,114220,224,333,463,350,406,285,24,0,0,2095,685,419,519,449,346,415,98,8,3,2940,908,758,987,797,751,701,127,10,3,5031
SOSR113,1026,2584,7118,7241,7209,5695,1088,102,5,32072,1788,1206,2021,1582,1729,2150,1295,229,20,12011,247,162,431,370,397,531,201,24,5,2360,83,130,276,207,174,129,49,21,5,1068,3134,4074,9838,9400,9508,8506,2628,379,38,47508,243,338,475,363,383,325,45,5,0,2180,295,143,145,92,107,134,73,3,0,997,537,480,621,452,493,466,119,8,0,3179,3673,4555,10457,9854,10001,8972,2752,384,39,50684,2632,941,1735,1780,2382,5059,11345,7789,2473,36139,460,437,974,921,890,856,805,670,352,6367,6766,5932,13168,12557,13273,14884,14900,8843,2868,93193,435,1629,4204,4049,4906,3400,540,27,0,19197,2292,1800,4200,4635,4399,4316,1272,128,4,23035,321,283,901,564,478,576,177,16,0,3314,78,88,226,172,129,126,36,24,4,880,3125,3796,9534,9418,9914,8410,2022,189,10,46426,130,153,230,211,194,149,6,0,0,1076,282,155,227,201,178,228,40,3,0,1301,410,307,457,411,375,373,42,4,0,2384
SOSR114,1264,3180,8843,8707,8389,6538,1463,173,17,38563,1968,1272,1902,1646,1734,2279,1430,330,41,12599,234,187,467,380,408,527,190,31,0,2420,81,125,281,201,167,180,65,28,8,1143,3550,4763,11481,10932,10691,9521,3153,568,68,54731,197,298,430,309,328,341,42,0,0,1943,251,143,126,82,99,160,60,5,0,928,442,444,554,389,425,502,105,5,5,2865,3997,5208,12037,11320,11116,10027,3252,575,73,57598,2815,834,1349,1424,2164,4759,11701,8791,3017,36858,457,546,1090,1050,1010,897,989,710,424,7169,7265,6586,14476,13787,14292,15678,15942,10077,3513,101622,567,2266,5288,5271,6002,4145,657,40,0,24227,2616,2044,4504,5032,4687,4859,1494,171,8,25427,288,323,1146,634,478,576,188,21,0,3641,89,92,184,151,135,119,46,21,7,843,3553,4722,11129,11087,11297,9688,2388,256,22,54137,121,167,242,194,194,143,28,5,0,1094,293,151,256,207,191,205,52,7,0,1357,412,314,499,403,387,343,75,10,0,2452
SOSR115,1904,4025,11106,11439,11699,9556,2176,214,23,52146,2423,1610,2482,2415,2720,3785,2312,447,32,18226,345,341,610,658,700,944,399,58,6,4061,135,187,387,313,301,251,83,37,19,1708,4805,6165,14581,14820,15428,14536,4968,753,78,76136,261,384,527,433,491,486,77,3,0,2654,337,164,185,123,162,227,96,8,0,1309,593,548,712,554,656,711,170,13,0,3962,5401,6712,15297,15374,16079,15246,5144,772,78,80105,4030,1167,1923,2165,3164,7742,19340,12872,3878,56273,709,670,1448,1338,1426,1597,1607,1253,596,10634,10144,8544,18668,18881,20666,24580,26088,14889,4552,147017,783,2470,6328,6675,8309,5857,978,45,3,31465,3470,2537,6150,7214,6935,7517,2406,249,11,36499,478,416,1431,966,769,987,306,34,3,5395,145,135,290,208,222,198,89,28,15,1330,4879,5562,14207,15058,16233,14564,3781,360,35,74678,141,195,273,242,288,209,30,0,0,1378,345,189,291,250,319,372,72,10,0,1845,486,381,563,493,609,577,96,10,0,3226
SOSR121,498,1020,2710,3248,3631,2914,632,76,3,14736,761,466,618,629,861,1106,674,119,11,5245,108,75,133,160,219,309,132,20,0,1156,44,52,88,92,89,71,31,14,0,484,1416,1617,3550,4120,4804,4395,1475,221,11,21611,71,95,116,92,136,146,19,6,0,688,82,49,44,30,34,89,38,0,0,377,151,145,159,130,174,240,63,4,0,1065,1566,1766,3713,4252,4978,4634,1534,229,11,22676,1181,289,476,527,828,2245,5175,2975,730,14426,179,144,345,353,392,435,474,285,137,2752,2929,2201,4535,5125,6199,7321,7184,3482,879,39852,196,579,1429,1850,2452,1663,289,18,4,8488,1031,661,1550,2015,2210,2190,679,76,8,10423,150,122,323,257,232,286,88,10,0,1458,32,26,79,54,63,53,21,7,0,332,1406,1395,3386,4168,4954,4199,1075,105,19,20708,33,49,81,53,60,59,3,0,0,341,119,34,76,81,80,98,13,0,0,506,152,83,152,134,141,158,21,0,0,844
SOSR122,205,515,1265,1443,1639,1542,348,31,3,6995,287,221,321,309,430,607,341,73,8,2589,53,45,67,84,107,172,42,11,0,580,13,22,47,53,53,69,26,8,0,285,561,790,1698,1889,2224,2393,761,120,15,10456,31,61,89,59,81,118,13,0,0,441,37,25,24,19,22,39,17,0,0,186,65,86,111,74,105,156,36,0,0,632,631,873,1808,1965,2330,2549,792,121,15,11082,579,160,254,295,563,1347,2784,1576,368,7925,138,108,235,225,296,347,300,196,44,1882,1346,1138,2300,2489,3188,4241,3877,1895,427,20901,87,315,669,830,1192,906,159,12,0,4165,418,327,717,895,964,1159,341,44,0,4860,55,51,166,110,110,160,46,0,0,695,19,17,34,32,33,23,14,4,0,180,570,712,1587,1863,2302,2250,557,60,0,9901,23,27,40,34,42,61,3,0,0,231,30,15,20,28,28,56,6,0,0,195,58,42,57,67,73,116,15,0,0,423
SOSR131,3977,6946,14733,18964,24977,22199,7999,1664,176,101640,4307,2335,3020,3230,4922,7180,4964,1450,215,31614,729,653,886,1000,1448,1698,792,169,35,7411,322,288,505,570,653,636,291,223,49,3545,9329,10216,19144,23766,31999,31720,14053,3509,473,144209,254,409,614,533,676,735,124,4,0,3347,470,186,206,166,197,387,162,14,0,1797,724,592,818,701,877,1126,285,23,0,5144,10057,10814,19964,24462,32875,32850,14335,3528,475,149358,7685,2069,3474,3539,5132,11967,23930,13191,3034,74021,1438,1177,2204,2595,3272,3918,3260,1756,494,20124,19179,14066,25644,30595,41279,48733,41527,18477,4005,243500,1410,3863,7765,10547,16479,11948,3179,567,40,55781,5823,3705,7461,11065,13186,13523,5206,910,106,60981,937,718,1901,1467,1449,1755,599,114,13,8951,285,206,400,403,510,435,250,153,29,2670,8450,8498,17524,23479,31621,27648,9232,1744,185,128384,172,222,302,245,360,326,28,0,0,1658,572,220,307,325,348,428,81,7,0,2299,745,445,611,572,708,756,108,7,0,3957
