SOSR_CODE_2021,Afghanistan_Before_1951,Afghanistan_1951_1960,Afghanistan_1961_1970,Afghanistan_1971_1980,Afghanistan_1981_1990,Afghanistan_1991_2000,Afghanistan_2001_2010,Afghanistan_2011_2015,Afghanistan_2016,Afghanistan_2017,Afghanistan_2018,Afghanistan_2019,Afghanistan_2020,Afghanistan_2021,Afghanistan_Yr_arrival_NS,Afghanistan_Tot,Bangladesh_Before_1951,Bangladesh_1951_1960,Bangladesh_1961_1970,Bangladesh_1971_1980,Bangladesh_1981_1990,Bangladesh_1991_2000,Bangladesh_2001_2010,Bangladesh_2011_2015,Bangladesh_2016,Bangladesh_2017,Bangladesh_2018,Bangladesh_2019,Bangladesh_2020,Bangladesh_2021,Bangladesh_Yr_arrival_NS,Bangladesh_Tot,Canada_Before_1951,Canada_1951_1960,Canada_1961_1970,Canada_1971_1980,Canada_1981_1990,Canada_1991_2000,Canada_2001_2010,Canada_2011_2015,Canada_2016,Canada_2017,Canada_2018,Canada_2019,Canada_2020,Canada_2021,Canada_Yr_arrival_NS,Canada_Tot,China_exc_SARs_Taiw_Bef_1951,China_exc_SARs_Taiwan_51_60,China_exc_SARs_Taiwan_61_70,China_exc_SARs_Taiwan_71_80,China_exc_SARs_Taiwan_81_90,China_exc_SARs_Taiwan_91_00,China_exc_SARs_Taiwan_01_10,China_exc_SARs_Taiwan_11_15,China_exc_SARs_Taiwan_2016,China_exc_SARs_Taiwan_2017,China_exc_SARs_Taiwan_2018,China_exc_SARs_Taiwan_2019,China_exc_SARs_Taiwan_2020,China_exc_SARs_Taiwan_2021,China_exc_SARs_Tawan_arr_ns,China_exc_SARs_Taiwan_Tot,Croatia_Before_1951,Croatia_1951_1960,Croatia_1961_1970,Croatia_1971_1980,Croatia_1981_1990,Croatia_1991_2000,Croatia_2001_2010,Croatia_2011_2015,Croatia_2016,Croatia_2017,Croatia_2018,Croatia_2019,Croatia_2020,Croatia_2021,Croatia_Yr_arrival_NS,Croatia_Tot,Egypt_Before_1951,Egypt_1951_1960,Egypt_1961_1970,Egypt_1971_1980,Egypt_1981_1990,Egypt_1991_2000,Egypt_2001_2010,Egypt_2011_2015,Egypt_2016,Egypt_2017,Egypt_2018,Egypt_2019,Egypt_2020,Egypt_2021,Egypt_Yr_arrival_NS,Egypt_Tot,Fiji_Before_1951,Fiji_1951_1960,Fiji_1961_1970,Fiji_1971_1980,Fiji_1981_1990,Fiji_1991_2000,Fiji_2001_2010,Fiji_2011_2015,Fiji_2016,Fiji_2017,Fiji_2018,Fiji_2019,Fiji_2020,Fiji_2021,Fiji_Yr_arrival_NS,Fiji_Tot,Germany_Before_1951,Germany_1951_1960,Germany_1961_1970,Germany_1971_1980,Germany_1981_1990,Germany_1991_2000,Germany_2001_2010,Germany_2011_2015,Germany_2016,Germany_2017,Germany_2018,Germany_2019,Germany_2020,Germany_2021,Germany_Yr_arrival_NS,Germany_Tot,Greece_Before_1951,Greece_1951_1960,Greece_1961_1970,Greece_1971_1980,Greece_1981_1990,Greece_1991_2000,Greece_2001_2010,Greece_2011_2015,Greece_2016,Greece_2017,Greece_2018,Greece_2019,Greece_2020,Greece_2021,Greece_Yr_arrival_NS,Greece_Tot,Hng_Kng_SAR_China_Bfre_1951,Hng_Kng_SAR_China_1951_1960,Hng_Kng_SAR_China_1961_1970,Hng_Kng_SAR_China_1971_1980,Hng_Kng_SAR_China_1981_1990,Hng_Kng_SAR_China_1991_2000,Hng_Kng_SAR_China_2001_2010,Hng_Kng_SAR_China_2011_2015,Hong_Kong_SAR_China_2016,Hong_Kong_SAR_China_2017,Hong_Kong_SAR_China_2018,Hong_Kong_SAR_China_2019,Hong_Kong_SAR_China_2020,Hong_Kong_SAR_China_2021,Hng_Kng_SAR_Chna_arrival_ns,Hong_Kong_SAR_China_Tot,India_Before_1951,India_1951_1960,India_1961_1970,India_1971_1980,India_1981_1990,India_1991_2000,India_2001_2010,India_2011_2015,India_2016,India_2017,India_2018,India_2019,India_2020,India_2021,India_Yr_arrival_NS,India_Tot,Indonesia_Before_1951,Indonesia_1951_1960,Indonesia_1961_1970,Indonesia_1971_1980,Indonesia_1981_1990,Indonesia_1991_2000,Indonesia_2001_2010,Indonesia_2011_2015,Indonesia_2016,Indonesia_2017,Indonesia_2018,Indonesia_2019,Indonesia_2020,Indonesia_2021,Indonesia_Yr_arrival_ns,Indonesia_Tot,Iran_Before_1951,Iran_1951_1960,Iran_1961_1970,Iran_1971_1980,Iran_1981_1990,Iran_1991_2000,Iran_2001_2010,Iran_2011_2015
SOSR101,0,0,7,92,896,2812,4338,3118,516,485,477,493,219,175,258,13887,0,0,8,162,811,4021,10972,5652,1203,1300,1219,1155,553,229,388,27677,27,102,492,939,1017,1328,2133,1399,342,303,415,483,285,86,134,9506,379,1140,1357,2869,26700,37460,73337,40597,9898,11003,9543,11076,3817,657,5281,235108,73,1002,5193,1681,758,2069,678,191,39,28,39,24,7,9,393,12183,364,1070,2799,1853,2694,2530,2965,2172,492,537,456,378,184,65,523,19062,43,138,389,1938,8816,8567,7385,2625,556,493,649,738,313,50,724,33429,1839,2062,1589,1135,1355,1455,2653,1392,333,327,350,463,210,69,457,15691,333,5046,13015,3081,906,560,450,1121,164,127,103,85,47,17,1340,26401,85,321,933,4076,12085,12801,5652,3412,1012,1064,946,1083,1057,425,721,45660,170,197,1592,2632,6209,15996,52993,36127,11976,13244,15931,17416,6040,1619,2610,184740,55,183,291,1652,4083,7343,8554,4717,1363,1369,1585,1907,797,90,725,34714,9,10,269,990,3307,3325,5535,7353
SOSR102,0,0,0,4,7,12,33,201,30,28,18,33,3,11,10,394,0,0,3,3,9,56,174,216,52,135,88,94,28,9,14,875,7,25,151,221,227,297,543,299,51,66,67,80,52,15,36,2137,33,89,91,106,426,634,1764,1217,303,377,318,406,109,28,145,6038,15,237,738,186,58,253,139,22,0,4,4,0,0,0,51,1711,39,129,177,88,58,54,98,99,17,56,33,52,9,18,23,942,9,24,56,142,266,215,207,79,34,22,51,29,19,6,34,1198,843,1334,546,267,293,218,442,207,31,49,33,38,25,4,145,4471,47,464,735,178,55,28,27,48,6,0,0,3,0,6,81,1671,14,15,45,129,203,182,147,98,55,62,33,44,25,9,30,1096,54,57,185,251,205,422,2071,2315,581,605,794,798,400,51,164,8956,18,49,41,60,115,202,350,231,50,86,77,105,44,5,31,1459,0,0,10,28,90,82,191,275
SOSR111,0,0,0,0,0,0,9,20,11,11,0,0,0,0,0,56,0,0,0,0,3,8,48,49,5,6,0,6,0,3,0,135,3,6,25,37,42,36,58,49,7,9,3,0,7,0,3,293,7,9,9,14,38,63,134,99,38,35,42,50,12,0,12,555,5,13,50,18,0,10,0,0,0,0,0,0,0,0,0,92,3,13,3,4,0,5,18,16,4,0,0,0,0,0,0,72,0,4,9,24,37,45,48,22,6,8,3,5,0,0,4,205,161,213,111,40,57,30,42,26,4,4,0,0,9,0,26,729,5,44,17,3,8,0,5,5,0,0,0,0,0,0,0,94,0,3,12,17,34,11,16,22,8,4,3,0,0,0,4,149,7,13,29,29,50,75,699,654,160,177,158,165,64,14,29,2315,0,3,0,0,14,16,33,31,13,3,10,11,3,0,3,139,0,0,0,3,10,3,10,24
SOSR112,0,0,0,0,4,8,36,69,8,13,6,9,0,0,8,151,0,0,0,0,0,17,142,201,51,70,47,50,3,3,9,601,0,17,70,104,85,89,179,87,15,23,20,20,24,0,23,757,15,30,26,53,153,181,466,311,94,137,145,201,36,18,73,1933,4,37,134,40,11,37,6,3,0,0,0,0,0,0,14,285,12,50,51,16,15,33,68,59,14,6,16,33,20,6,22,425,14,17,22,51,124,97,117,112,16,30,25,62,59,66,51,867,229,429,202,142,166,93,136,75,20,13,5,14,3,0,67,1589,14,62,95,36,6,9,14,16,3,3,0,0,6,0,21,279,9,8,28,58,84,55,65,40,13,12,7,11,21,0,11,406,39,21,85,70,74,254,1467,1501,534,554,720,806,273,58,129,6569,8,26,13,18,30,50,102,66,25,30,21,36,28,0,14,472,0,0,3,7,33,24,47,90
SOSR113,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,26,24,5,9,4,4,0,0,0,73,4,4,33,49,41,43,74,66,13,14,18,20,13,5,8,399,3,17,10,15,50,62,158,94,14,27,23,32,5,3,27,536,5,44,110,38,8,9,4,0,0,0,0,0,0,0,11,231,11,17,19,6,5,3,20,10,5,0,0,7,0,0,5,98,0,12,7,31,33,27,28,21,3,4,6,6,0,17,8,214,140,266,119,53,77,42,88,30,8,13,15,21,11,0,33,927,0,49,97,26,0,3,5,0,0,0,0,0,0,0,12,197,0,0,6,29,26,11,20,15,0,8,0,6,7,0,3,130,9,9,32,30,18,32,220,195,75,71,91,143,70,11,22,1033,8,13,9,10,10,12,34,24,7,3,6,8,16,3,5,169,4,0,0,0,12,13,11,15
SOSR114,0,0,0,0,5,6,3,31,0,0,0,19,0,0,0,55,0,0,0,3,0,6,26,26,4,4,3,5,0,0,0,83,3,6,23,47,37,46,82,56,3,14,8,10,3,3,8,363,5,13,6,18,52,69,180,98,34,41,72,132,42,5,32,806,0,17,51,17,7,8,3,5,0,0,0,0,3,0,5,118,7,16,17,0,4,6,13,6,0,0,7,0,0,0,3,88,7,5,8,26,46,37,67,56,0,14,17,31,47,63,24,444,138,246,131,74,70,58,66,40,3,10,10,3,4,0,33,884,3,26,49,19,4,0,0,4,0,0,5,0,0,0,4,108,7,3,14,3,23,17,27,17,4,11,3,0,13,0,5,141,18,15,70,70,76,74,597,541,146,166,146,205,86,30,49,2294,4,13,8,5,15,21,52,33,4,6,9,25,13,0,5,217,0,0,3,5,16,6,17,28
SOSR115,0,0,0,0,0,5,4,11,0,0,0,5,0,0,0,23,0,0,0,0,0,8,18,13,9,7,3,4,0,0,4,65,9,6,50,73,74,87,124,90,16,20,9,31,8,6,7,607,12,25,15,22,64,70,175,87,43,52,60,112,12,5,20,755,7,47,126,51,17,18,3,0,0,0,0,0,4,0,5,295,17,39,26,7,3,4,18,11,0,6,0,14,0,0,7,160,9,10,15,29,54,40,45,45,17,11,19,28,22,25,16,379,223,437,197,121,175,102,143,56,15,20,17,8,8,0,66,1587,4,48,93,18,7,3,3,3,0,0,0,0,0,0,10,189,8,10,9,20,48,21,12,5,0,3,5,3,4,0,0,154,27,18,33,49,38,51,303,289,102,109,102,112,51,21,35,1342,7,24,10,11,19,18,35,39,6,9,9,30,7,0,5,242,6,0,3,4,9,4,15,16
SOSR121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,4,0,0,11,22,26,18,60,19,4,0,4,5,0,0,0,168,4,3,7,3,3,8,22,21,6,9,5,9,0,0,5,110,0,9,25,13,0,4,0,0,0,0,0,0,0,0,3,46,0,3,8,0,3,0,6,0,0,0,0,0,0,0,0,28,0,0,4,5,8,14,4,4,0,5,8,0,0,0,0,56,66,103,53,21,49,28,30,21,6,4,0,4,6,0,15,389,0,9,24,0,7,0,4,0,0,0,0,0,0,0,6,48,0,0,10,6,11,3,7,4,0,0,0,0,0,0,4,38,3,0,11,13,19,20,57,40,14,17,29,19,5,6,12,272,4,4,4,6,6,4,9,6,9,9,5,0,3,0,0,59,0,0,0,0,0,3,4,4
SOSR122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,4,5,0,4,14,14,14,12,5,0,0,0,0,0,0,3,76,4,5,5,0,11,6,18,13,3,3,8,9,0,0,0,79,0,0,16,5,4,0,0,0,0,0,0,0,0,0,0,23,0,5,3,4,0,0,4,0,0,0,0,0,0,0,4,16,0,0,0,3,6,10,11,13,0,0,0,6,6,0,3,47,28,56,54,23,16,13,11,5,0,0,0,0,0,0,10,214,0,4,8,3,0,0,0,4,0,0,0,0,0,0,0,26,0,0,6,3,5,0,4,6,0,0,0,0,0,0,0,19,7,3,14,5,3,9,7,17,8,3,4,8,9,0,0,101,0,3,3,5,8,4,3,0,0,0,0,0,0,0,0,38,0,0,0,0,0,4,0,0
SOSR131,0,0,0,0,5,21,4,9,0,0,0,0,0,0,5,42,0,0,0,5,5,22,17,9,6,4,7,0,3,0,11,78,4,14,103,163,119,119,142,76,17,19,20,25,15,3,31,878,9,31,38,40,224,258,394,238,64,55,52,68,12,3,98,1573,10,67,256,92,27,36,0,0,0,0,0,0,0,0,13,498,13,37,59,21,27,23,25,10,0,0,3,6,0,0,16,244,4,14,41,45,131,87,57,38,10,8,0,8,14,3,32,496,269,488,323,221,365,222,243,119,12,16,10,20,16,3,74,2410,8,91,178,40,15,16,6,9,0,0,0,0,0,0,19,375,4,9,45,50,41,38,21,21,0,6,13,11,5,3,28,302,14,23,104,89,119,164,358,161,29,30,43,42,20,11,49,1266,7,39,30,16,21,50,49,49,8,19,11,21,14,0,20,363,0,0,14,19,78,36,33,33
