SOSR_CODE_2021,F_Chile_0_4,F_Chile_5_14,F_Chile_15_24,F_Chile_25_44,F_Chile_45_54,F_Chile_55_64,F_Chile_65_74,F_Chile_75_84,F_Chile_85ov,F_Chile_Tot,F_China_0_4,F_China_5_14,F_China_15_24,F_China_25_44,F_China_45_54,F_China_55_64,F_China_65_74,F_China_75_84,F_China_85ov,F_China_Tot,F_Croatia_0_4,F_Croatia_5_14,F_Croatia_15_24,F_Croatia_25_44,F_Croatia_45_54,F_Croatia_55_64,F_Croatia_65_74,F_Croatia_75_84,F_Croatia_85ov,F_Croatia_Tot,F_Egypt_0_4,F_Egypt_5_14,F_Egypt_15_24,F_Egypt_25_44,F_Egypt_45_54,F_Egypt_55_64,F_Egypt_65_74,F_Egypt_75_84,F_Egypt_85ov,F_Egypt_Tot,F_England_0_4,F_England_5_14,F_England_15_24,F_England_25_44,F_England_45_54,F_England_55_64,F_England_65_74,F_England_75_84,F_England_85ov,F_England_Tot,F_Fiji_0_4,F_Fiji_5_14,F_Fiji_15_24,F_Fiji_25_44,F_Fiji_45_54,F_Fiji_55_64,F_Fiji_65_74,F_Fiji_75_84,F_Fiji_85ov,F_Fiji_Tot,F_France_0_4,F_France_5_14,F_France_15_24,F_France_25_44,F_France_45_54,F_France_55_64,F_France_65_74,F_France_75_84,F_France_85ov,F_France_Tot,F_Germany_0_4,F_Germany_5_14,F_Germany_15_24,F_Germany_25_44,F_Germany_45_54,F_Germany_55_64,F_Germany_65_74,F_Germany_75_84,F_Germany_85ov,F_Germany_Tot,F_Greece_0_4,F_Greece_5_14,F_Greece_15_24,F_Greece_25_44,F_Greece_45_54,F_Greece_55_64,F_Greece_65_74,F_Greece_75_84,F_Greece_85ov,F_Greece_Tot,F_Hong_Kong_SAR_Ch_0_4,F_Hong_Kong_SAR_Ch_5_14,F_Hong_Kong_SAR_Ch_15_24,F_Hong_Kong_SAR_Ch_25_44,F_Hong_Kong_SAR_Ch_45_54,F_Hong_Kong_SAR_Ch_55_64,F_Hong_Kong_SAR_Ch_65_74,F_Hong_Kong_SAR_Ch_75_84,F_Hong_Kong_SAR_Ch_85ov,F_Hong_Kong_SAR_Ch_Tot,F_India_0_4,F_India_5_14,F_India_15_24,F_India_25_44,F_India_45_54,F_India_55_64,F_India_65_74,F_India_75_84,F_India_85ov,F_India_Tot,F_Indonesia_0_4,F_Indonesia_5_14,F_Indonesia_15_24,F_Indonesia_25_44,F_Indonesia_45_54,F_Indonesia_55_64,F_Indonesia_65_74,F_Indonesia_75_84,F_Indonesia_85ov,F_Indonesia_Tot,F_Iran_0_4,F_Iran_5_14,F_Iran_15_24,F_Iran_25_44,F_Iran_45_54,F_Iran_55_64,F_Iran_65_74,F_Iran_75_84,F_Iran_85ov,F_Iran_Tot,F_Iraq_0_4,F_Iraq_5_14,F_Iraq_15_24,F_Iraq_25_44,F_Iraq_45_54,F_Iraq_55_64,F_Iraq_65_74,F_Iraq_75_84,F_Iraq_85ov,F_Iraq_Tot,F_Ireland_0_4,F_Ireland_5_14,F_Ireland_15_24,F_Ireland_25_44,F_Ireland_45_54,F_Ireland_55_64,F_Ireland_65_74,F_Ireland_75_84,F_Ireland_85ov,F_Ireland_Tot,F_Italy_0_4,F_Italy_5_14,F_Italy_15_24,F_Italy_25_44,F_Italy_45_54,F_Italy_55_64,F_Italy_65_74,F_Italy_75_84,F_Italy_85ov,F_Italy_Tot,F_Japan_0_4,F_Japan_5_14,F_Japan_15_24,F_Japan_25_44,F_Japan_45_54,F_Japan_55_64,F_Japan_65_74,F_Japan_75_84,F_Japan_85ov,F_Japan_Tot,F_Korea_South_0_4,F_Korea_South_5_14,F_Korea_South_15_24,F_Korea_South_25_44,F_Korea_South_45_54,F_Korea_South_55_64,F_Korea_South_65_74,F_Korea_South_75_84,F_Korea_South_85ov,F_Korea_South_Tot,F_Lebanon_0_4,F_Lebanon_5_14,F_Lebanon_15_24,F_Lebanon_25_44,F_Lebanon_45_54,F_Lebanon_55_64,F_Lebanon_65_74,F_Lebanon_75_84,F_Lebanon_85ov,F_Lebanon_Tot,F_Malaysia_0_4,F_Malaysia_5_14,F_Malaysia_15_24,F_Malaysia_25_44,F_Malaysia_45_54,F_Malaysia_55_64,F_Malaysia_65_74,F_Malaysia_75_84,F_Malaysia_85ov,F_Malaysia_Tot
SOSR101,7,74,143,1649,1035,1142,1117,671,163,6018,320,3109,8995,54738,20239,21825,13351,5674,3094,131350,0,13,33,789,646,1221,1741,1441,539,6425,42,512,484,2257,964,1425,1817,1177,545,9233,342,2849,3606,16908,10007,10260,8090,6002,2538,60591,22,224,714,6151,3825,3700,2159,1002,230,18026,37,250,344,2655,665,378,295,169,105,4896,45,166,355,2384,1065,835,1530,1275,610,8257,13,122,260,648,598,1552,3584,5297,2106,14179,183,1116,1720,7594,3322,5240,4060,732,286,24254,1141,7027,6105,51433,8751,5547,3760,1677,612,86040,49,332,2221,8944,3222,2056,1618,672,194,19311,34,421,769,6211,1651,1497,1026,402,172,12186,46,1814,2946,9887,4388,3517,2155,968,373,26090,32,297,367,4955,1327,1034,771,554,228,9569,15,114,260,2257,944,2333,4236,4553,3007,17721,67,355,489,3584,2129,1127,425,209,84,8472,87,746,1906,11824,5706,3593,1995,929,317,27105,133,490,886,6576,6060,7254,4994,2187,762,29341,50,453,1307,6392,2755,2607,2793,1049,262,17655
SOSR102,0,8,6,116,152,108,156,115,20,688,11,93,207,1430,625,541,357,109,48,3410,0,3,3,86,103,168,186,214,90,859,10,47,9,107,14,57,82,72,28,424,50,506,734,2660,2466,3984,3878,3361,1379,19022,0,21,31,208,116,118,94,38,12,642,0,11,21,176,84,74,54,29,20,478,0,21,47,364,189,285,763,550,250,2471,0,8,12,27,30,106,234,287,176,880,4,25,92,168,67,120,86,17,4,584,40,256,355,2404,341,226,196,125,48,3997,3,37,71,351,186,83,78,31,9,854,3,19,32,257,56,54,21,12,3,460,0,49,49,128,51,43,23,7,0,342,0,93,57,292,214,188,197,143,62,1247,0,25,20,148,110,326,642,624,521,2406,8,41,36,267,174,75,51,18,6,684,8,38,91,516,220,105,49,28,0,1054,3,11,20,119,111,126,85,35,11,517,10,29,103,320,165,182,153,63,18,1030
SOSR111,0,0,0,12,5,3,8,5,0,38,3,11,17,151,66,67,24,11,4,348,0,0,0,0,4,13,8,11,4,51,0,4,3,12,3,0,9,6,0,30,3,53,102,291,276,476,503,354,153,2213,0,3,7,34,27,28,7,3,0,105,0,0,6,17,9,5,4,3,0,49,0,0,4,44,16,54,132,100,28,371,0,0,3,0,8,4,13,15,8,45,0,0,3,31,8,17,15,0,5,79,10,62,72,715,86,48,27,24,4,1043,0,7,3,59,21,8,8,0,0,103,0,0,4,11,0,11,0,4,0,40,11,69,38,75,10,6,3,3,0,212,0,11,0,31,16,12,18,16,0,114,0,4,3,19,6,5,22,22,21,99,0,0,6,45,21,7,3,3,0,87,0,6,8,55,3,12,6,0,0,78,0,0,3,5,5,5,5,0,0,29,14,31,11,58,30,22,12,5,0,185
SOSR112,0,0,0,30,27,24,32,17,3,133,9,46,57,488,169,160,93,24,13,1056,0,0,0,9,15,32,41,33,11,142,0,20,6,62,12,16,36,21,4,191,9,115,172,685,716,1327,1562,1338,594,6536,3,17,20,138,66,68,41,22,11,385,0,10,11,81,39,36,37,21,9,243,0,9,18,116,79,103,231,213,85,859,0,4,3,12,3,25,30,28,16,125,0,19,11,85,38,47,31,10,0,234,44,221,188,1922,280,189,100,54,18,3019,4,16,20,132,54,30,23,18,0,289,0,7,10,77,12,15,16,3,0,147,17,191,199,221,64,40,23,3,3,774,0,28,16,72,53,52,66,51,21,358,0,10,4,61,33,72,182,207,156,728,5,8,9,89,55,31,27,5,3,233,0,11,18,195,42,25,4,0,0,304,0,7,0,21,13,19,21,6,5,91,8,30,30,192,90,71,40,17,3,481
SOSR113,0,0,0,42,7,11,16,4,0,86,0,5,10,103,81,43,38,14,8,296,0,0,0,4,12,22,43,25,14,119,0,0,0,7,4,4,12,9,0,39,15,63,76,406,382,723,854,719,278,3512,0,7,0,30,16,26,11,11,0,103,0,3,3,65,11,24,17,16,6,140,3,3,19,90,32,58,168,88,54,514,0,0,0,3,5,10,26,24,12,82,0,7,0,18,12,24,11,3,0,69,8,39,22,308,28,32,21,15,14,487,0,4,6,46,22,15,11,4,5,114,0,0,0,16,4,0,0,5,0,28,0,0,0,4,0,0,0,0,0,8,0,14,14,48,27,33,38,27,18,214,0,6,8,54,12,38,65,40,25,237,0,13,3,65,37,8,7,5,0,143,0,0,0,43,8,3,0,0,0,55,0,0,0,8,4,18,4,0,3,31,4,6,3,53,30,30,36,4,4,170
SOSR114,0,0,0,19,9,15,10,7,0,63,5,14,25,201,80,53,32,14,6,432,0,0,0,0,6,18,19,12,0,59,0,0,0,11,0,3,11,6,3,37,7,70,64,396,377,685,853,759,291,3500,0,10,9,86,32,25,21,3,0,194,0,5,3,49,11,21,12,7,0,106,4,3,4,71,35,74,143,112,48,488,0,0,0,5,6,14,14,18,0,54,0,7,0,26,12,12,10,4,0,75,13,67,65,659,94,103,63,19,22,1086,0,4,16,53,30,20,18,7,3,142,0,5,4,20,4,6,4,0,0,40,0,7,9,21,5,5,0,0,0,45,0,9,8,45,30,29,32,20,20,197,0,7,0,24,10,40,69,52,32,239,0,4,0,51,27,14,0,0,0,107,0,0,3,65,9,10,3,0,4,85,0,0,0,13,14,11,5,0,0,54,0,3,14,83,39,33,23,6,3,202
SOSR115,0,0,0,24,22,24,16,10,0,106,4,11,27,180,94,57,43,17,3,442,0,0,0,10,8,40,39,38,7,138,0,0,0,13,0,3,16,12,6,65,4,76,108,589,703,1319,1597,1217,434,6043,0,6,6,57,39,31,18,9,0,164,0,0,9,51,24,33,29,5,5,167,0,10,13,114,87,148,293,172,79,920,0,0,0,4,5,12,25,27,12,88,0,0,0,24,13,24,16,5,0,78,6,33,26,389,41,38,36,31,14,617,0,11,14,49,24,20,22,5,4,143,0,0,0,10,3,0,0,6,0,21,0,0,0,11,0,4,3,0,0,29,0,12,16,63,45,66,58,38,8,302,0,4,6,33,23,47,50,40,33,234,5,8,4,78,47,20,13,3,7,180,0,0,6,74,9,8,4,0,0,96,0,0,6,9,15,15,6,0,0,66,0,4,14,93,55,43,29,7,4,254
SOSR121,0,0,0,7,8,5,4,3,0,31,0,0,5,21,19,10,10,3,0,68,0,0,0,0,5,8,5,3,5,24,0,0,0,0,3,0,4,0,0,10,0,31,41,130,184,405,422,262,79,1545,0,0,0,9,9,3,0,0,0,28,0,0,0,16,9,7,11,0,0,54,0,0,4,39,16,42,63,31,9,195,0,0,0,0,0,3,10,4,0,26,0,0,0,6,7,3,0,0,0,17,4,8,0,70,11,16,17,3,6,123,0,0,0,12,11,4,6,4,0,38,0,0,0,3,3,0,0,0,0,13,0,0,0,4,0,0,3,0,0,10,0,9,0,23,6,16,18,5,0,72,0,0,0,0,4,14,12,15,9,57,0,0,0,16,9,5,3,0,0,36,0,0,0,14,3,7,0,0,0,27,0,0,0,6,5,0,0,4,0,14,0,0,0,15,14,17,8,5,0,62
SOSR122,0,0,0,0,0,8,6,0,0,7,0,0,6,18,7,8,10,0,0,53,0,0,0,0,0,5,0,3,0,14,0,0,0,0,0,3,0,0,0,6,0,8,12,77,91,194,201,122,38,749,0,0,0,9,3,5,4,0,0,24,0,0,0,7,6,0,7,3,5,22,0,0,0,7,6,17,44,22,6,97,0,0,0,0,0,0,0,5,0,10,0,0,0,9,4,3,0,0,0,13,0,5,4,17,5,6,3,7,3,49,0,0,0,9,3,4,5,0,0,22,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,10,6,8,7,4,0,33,0,0,4,3,0,5,9,14,5,37,0,0,0,8,4,3,7,0,0,19,0,0,0,4,0,3,0,0,0,5,0,0,0,0,0,3,4,0,0,9,0,0,0,14,7,11,9,0,0,43
SOSR131,0,0,0,36,29,33,28,7,0,136,4,20,26,254,181,187,109,29,6,827,0,0,0,11,28,55,84,40,11,221,0,0,0,11,9,27,28,18,7,102,10,112,198,798,1177,2202,2015,1083,253,7853,0,8,9,53,78,57,29,14,3,247,0,4,12,101,41,53,32,17,4,267,0,11,19,196,159,266,375,201,62,1292,0,0,0,7,11,24,52,44,13,147,0,14,6,33,29,39,24,3,0,157,5,20,40,220,84,93,72,39,15,585,4,7,10,93,37,28,37,9,5,228,0,0,4,36,21,23,15,7,0,99,0,4,7,29,20,23,14,3,0,97,3,10,15,119,79,78,99,31,4,440,0,0,8,37,52,136,289,201,113,840,3,8,15,70,48,41,24,7,0,215,0,3,7,59,26,24,14,3,0,132,0,3,9,84,109,120,64,35,12,439,0,10,10,106,83,87,57,16,7,378
