SOSR_CODE_2021,Separate_house_NofB_0_i_b,Separate_house_NofB_1,Separate_house_NofB_2,Separate_house_NofB_3,Separate_house_NofB_4,Separate_house_NofB_5,Separate_house_NofB_6_or_m,Separate_house_NofB_NS,Separate_house_Total,Se_d_r_or_t_h_t_1_s_NofB_0_ib,Se_d_r_or_t_h_t_1_st_NofB_1,Se_d_r_or_t_h_t_1_st_NofB_2,Se_d_r_or_t_h_t_1_st_NofB_3,Se_d_r_or_t_h_t_1_st_NofB_4,Se_d_r_or_t_h_t_1_st_NofB_5,Se_d_r_or_t_h_t_1_st_NofB_6_m,Se_d_r_or_t_h_t_1_st_NofB_NS,Se_d_r_or_t_h_t_1_st_Total,Se_d_r_or_t_h_t_2_s_NofB_0_ib,Se_d_r_or_t_h_t_2_sts_NofB_1,Se_d_r_or_t_h_t_2_sts_NofB_2,Se_d_r_or_t_h_t_2_sts_NofB_3,Se_d_r_or_t_h_t_2_sts_NofB_4,Se_d_r_or_t_h_t_2_sts_NofB_5,Se_d_r_or_t_h_t_2_st_NofB_6_m,Se_d_r_or_t_h_t_2_sts_NofB_NS,Se_d_r_or_t_h_t_2_sts_Total,Se_d_r_or_t_h_t_Tot_NofB_0_ib,Se_d_r_or_t_h_t_Tot_NofB_1,Se_d_r_or_t_h_t_Tot_NofB_2,Se_d_r_or_t_h_t_Tot_NofB_3,Se_d_r_or_t_h_t_Tot_NofB_4,Se_d_r_or_t_h_t_Tot_NofB_5,Se_d_r_or_t_h_t_Tot_NofB_6_m,Se_d_r_or_t_h_t_Tot_NofB_NS,Se_d_r_or_t_h_t_Tot_Total,Flt_at_1or2_st_bl_NofB_0_ib,Flt_at_In_1or2_s_b_NofB_1,Flt_at_In_1or2_s_b_NofB_2,Flt_at_In_1or2_s_b_NofB_3,Flt_at_In_1or2_s_b_NofB_4,Flt_at_In_1or2_s_b_NofB_5,Flt_at_In_1or2_s_b_NoB_6_m,Flt_at_In_1or2_s_b_NoB_NS,Flt_at_In_1or2_s_b_Total,Flt_apt_3_st_bl_NoB_0_ib,Flt_apt_In_3_st_bl_NofB_1,Flt_apt_In_3_st_bl_NofB_2,Flt_apt_In_3_st_bl_NofB_3,Flt_apt_In_3_st_bl_NofB_4,Flt_apt_In_3_st_bl_NofB_5,Flt_apt_In_3_s_bl_NofB_6_m,Flt_apt_In_3_st_bl_NofB_NS,Flt_apt_In_3_st_bl_Total,Flt_apt_4to8_s_b_NofB_0_ib,Flt_apt_4to8_s_b_NofB_1,Flt_apt_4to8_s_b_NofB_2,Flt_apt_4to8_s_b_NofB_3,Flt_apt_4to8_s_b_NofB_4,Flt_apt_4to8_s_b_NofB_5,Flt_apt_4to8_s_b_NofB_6_m,Flt_apt_4to8_s_b_NofB_NS,Flt_apt_4to8_s_b_Total,Flt_apt_9_or_m_s_b_NofB_0_ib,Flt_apt_9_or_m_s_b_NofB_1,Flt_apt_9_or_m_s_b_NofB_2,Flt_apt_9_or_m_s_b_NofB_3,Flt_apt_9_or_m_s_b_NofB_4,Flt_apt_9_or_m_s_b_NofB_5,Flt_apt_9_or_m_s_b_NofB_6_m,Flt_apt_9_or_m_s_b_NofB_NS,Flt_apt_9_or_m_s_b_Total,Flt_apt_At_to_a_h_NofB_0_ib,Flt_apt_At_to_a_hse_NofB_1,Flt_apt_At_to_a_hse_NofB_2,Flt_apt_At_to_a_hse_NofB_3,Flt_apt_At_to_a_hse_NofB_4,Flt_apt_At_to_a_hse_NofB_5,Flt_apt_At_to_a_hs_NofB_6_m,Flt_apt_At_to_a_hs_NofB_NS,Flt_apt_At_to_a_hse_Total,Flt_apart_Tot_NofB_0_i_b,Flt_apart_Tot_NofB_1,Flt_apart_Tot_NofB_2,Flt_apart_Tot_NofB_3,Flt_apart_Tot_NofB_4,Flt_apart_Tot_NofB_5,Flt_apart_Tot_NofB_6_or_m,Flt_apart_Tot_NofB_NS,Flt_apart_Tot_Total,Other_dwelling_NofB_0_i_b,Other_dwelling_NofB_1,Other_dwelling_NofB_2,Other_dwelling_NofB_3,Other_dwelling_NofB_4,Other_dwelling_NofB_5,Other_dwelling_NofB_6_or_m,Other_dwelling_NofB_NS,Other_dwelling_Total,Dweling_structu_NS_NofB_0_i_b,Dweling_structur_NS_NofB_1,Dweling_structur_NS_NofB_2,Dweling_structur_NS_NofB_3,Dweling_structur_NS_NofB_4,Dweling_structur_NS_NofB_5,Dwelig_struct_NS_NofB_6_or_m,Dweling_structur_NS_NofB_NS,Dweling_structur_NS_Total,Total_NofB_0_i_b,Total_NofB_1,Total_NofB_2,Total_NofB_3,Total_NofB_4,Total_NofB_5,Total_NofB_6_or_m,Total_NofB_NS,Total_Total
SOSR231,535,3090,14579,61646,49986,11118,3041,2340,146332,4,58,91,168,97,17,8,0,443,0,0,48,55,27,7,3,3,143,4,62,133,219,126,29,9,3,587,5,28,48,19,13,3,4,0,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5,0,11,31,11,8,3,0,0,64,5,43,82,27,21,5,4,0,189,150,643,479,222,85,11,9,111,1712,20,65,81,96,74,18,19,24,393,708,3895,15350,62205,50294,11183,3085,2486,149218
SOSR279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR301,609,4271,31000,224644,251257,61112,12555,6336,591786,211,3777,13225,10512,1263,77,35,743,29846,173,3000,16451,44267,4712,235,95,1012,69935,384,6778,29673,54778,5967,312,127,1758,99786,636,9532,16869,6195,687,122,93,744,34874,421,4465,24097,4850,256,33,42,545,34709,456,6275,17872,5499,285,29,17,460,30894,399,9773,15603,4344,266,14,16,327,30735,35,358,651,189,106,68,43,37,1480,1948,30395,75082,21079,1600,269,211,2111,132694,288,1176,605,154,66,17,8,272,2580,73,338,344,305,162,36,21,134,1418,3309,42965,136706,300961,259048,61740,12919,10615,828265
SOSR302,237,1308,9349,67546,94912,18752,3990,2240,198337,118,1010,11639,10595,865,55,35,437,24767,88,1238,9133,24478,3668,247,64,572,39491,201,2254,20776,35072,4536,303,97,1014,64255,243,2397,7804,3023,368,42,27,390,14291,87,2789,11635,2848,176,20,15,319,17891,107,2561,8925,3645,269,12,9,211,15736,294,3632,9967,3583,194,12,4,303,17994,11,129,146,64,51,32,11,8,464,748,11513,38487,13160,1054,119,70,1233,66380,187,853,560,113,42,4,14,79,1852,35,229,269,258,106,12,6,84,999,1413,16155,69437,116146,100648,19195,4186,4641,331829
SOSR303,121,842,7379,54907,47696,7605,1644,1516,121712,112,1536,8176,3141,257,24,8,328,13586,55,1015,4658,1557,132,18,32,158,7629,169,2555,12835,4699,394,42,41,492,21216,179,1567,5482,1282,82,24,14,217,8840,40,715,2984,844,24,5,5,78,4694,18,159,1125,623,16,0,0,18,1966,0,145,461,387,19,0,0,16,1041,6,8,9,16,9,0,3,0,48,247,2600,10072,3143,150,27,25,327,16593,166,390,134,81,25,4,4,63,864,32,132,215,99,38,6,10,73,604,729,6524,30626,62927,48302,7686,1728,2469,160993
SOSR311,112,705,7230,36872,27921,4169,843,1118,78969,37,630,4309,1901,140,8,7,249,7285,41,690,1344,1100,93,11,0,119,3399,82,1321,5651,2997,233,21,9,369,10687,41,791,2461,733,58,12,4,110,4211,0,19,129,49,6,0,0,7,202,3,42,194,174,5,0,0,7,431,0,28,97,145,16,0,0,8,296,0,10,11,24,8,0,0,6,54,47,892,2888,1132,89,12,10,123,5199,164,532,207,75,36,7,5,93,1123,32,89,83,55,39,6,5,51,365,436,3541,16066,41141,28319,4215,872,1757,96341
SOSR312,34,266,3199,14806,10893,1602,317,442,31559,16,379,1196,702,56,4,3,79,2433,13,255,1126,827,57,11,4,47,2336,28,633,2327,1524,108,14,8,122,4765,31,408,1204,316,18,3,0,81,2060,17,56,248,73,0,0,0,7,398,3,4,229,69,0,0,0,0,307,0,4,80,5,0,0,0,0,89,0,9,13,6,0,0,0,0,27,49,476,1766,462,20,0,3,92,2879,56,253,75,10,9,0,0,36,447,0,15,18,19,4,0,3,7,78,167,1644,7385,16832,11044,1625,330,702,39721
SOSR313,54,401,3365,20013,21503,2845,501,781,49466,23,572,2152,949,136,8,3,126,3963,31,107,521,495,76,3,0,43,1267,52,676,2669,1443,211,17,3,161,5234,22,387,1499,616,61,7,3,94,2681,9,18,213,122,3,0,0,5,377,0,22,193,92,5,0,0,5,321,3,3,0,0,0,0,0,0,8,0,4,8,0,0,0,0,0,11,32,435,1911,835,63,14,7,102,3398,84,158,59,68,34,3,9,166,590,16,77,41,68,33,8,5,20,266,238,1763,8053,22423,21843,2885,522,1227,58955
SOSR314,97,588,3995,21884,20324,3047,721,818,51468,66,375,2153,1077,99,11,0,119,3909,3,93,567,485,39,6,0,37,1225,71,464,2720,1566,139,15,4,156,5140,5,215,907,386,28,5,4,56,1604,0,6,49,10,3,0,0,0,76,0,6,18,36,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,14,31,24,3,3,3,0,79,6,233,1011,464,33,3,8,62,1824,96,292,144,72,38,5,3,112,769,17,50,32,19,13,6,4,21,155,284,1632,7899,24006,20543,3077,742,1164,59355
SOSR315,237,1468,9346,36371,27774,4128,1000,1467,81789,18,481,1918,948,132,13,8,114,3634,9,134,697,430,89,4,4,40,1400,22,615,2608,1376,221,20,13,153,5030,31,585,1578,452,45,3,4,101,2809,3,16,77,11,3,0,0,0,115,0,3,10,4,0,0,0,0,20,0,0,0,0,0,0,0,0,0,7,25,30,10,4,5,5,0,85,41,629,1701,481,54,8,7,106,3030,228,551,257,144,62,11,8,197,1462,55,141,116,95,57,10,19,117,611,580,3404,14031,38479,28175,4170,1046,2033,91922
SOSR321,187,1036,4647,14533,9636,1833,501,658,33031,6,96,373,141,53,10,5,22,701,0,9,74,41,6,0,0,5,142,5,106,447,184,63,10,5,28,842,10,119,294,58,18,0,0,17,522,0,0,4,3,3,0,0,0,11,0,3,0,0,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0,9,19,9,0,9,0,4,49,10,135,320,66,21,6,0,21,579,112,281,94,70,39,5,8,29,640,8,49,39,45,11,5,10,12,168,328,1598,5542,14900,9767,1857,515,752,35262
SOSR322,90,595,2866,7087,3304,642,195,374,15157,5,43,192,48,18,4,0,9,321,0,9,57,17,3,0,0,3,96,6,52,246,72,16,3,0,16,416,4,79,134,26,4,0,0,14,271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,7,4,82,134,25,8,0,0,14,280,83,220,82,46,19,7,3,40,502,5,33,19,31,15,5,0,6,121,188,986,3353,7264,3370,658,204,457,16473
SOSR331,1364,5745,17495,54445,45760,12226,4804,2799,144641,10,58,201,364,247,60,27,25,979,0,6,63,58,45,16,9,6,203,6,67,255,421,290,75,36,30,1186,6,49,188,65,31,10,6,14,364,0,3,0,0,5,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,6,13,53,110,55,36,20,10,9,299,14,100,299,123,71,30,16,26,681,431,1006,419,315,201,53,41,233,2692,64,200,168,287,195,68,70,91,1146,1891,7112,18641,55592,46521,12450,4965,3182,150350
SOSR379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
SOSR399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR401,228,2225,28939,209955,91661,15016,2622,3261,353909,157,4942,29218,23050,2324,239,81,1073,61080,28,895,7187,12966,1952,235,36,241,23541,183,5845,36410,36016,4271,471,117,1309,84626,159,5288,20143,3260,171,31,21,450,29531,52,604,3079,512,22,0,5,55,4326,74,1096,3596,732,38,0,0,63,5604,65,1149,1940,471,10,4,0,37,3677,5,71,77,66,26,13,5,7,267,366,8202,28839,5037,269,50,35,611,43409,96,342,316,193,64,13,7,42,1066,46,199,279,346,122,13,20,79,1103,919,16807,94773,251551,96387,15566,2796,5303,484112
SOSR412,24,169,2310,16617,9330,1255,201,312,30213,29,414,2365,3705,236,36,36,189,7022,0,0,58,132,11,0,0,0,207,29,418,2423,3842,250,36,36,190,7224,17,261,851,250,16,0,3,40,1434,0,6,30,0,0,0,0,0,39,0,0,15,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,3,8,4,0,0,0,18,17,270,898,260,15,0,3,40,1505,17,24,6,7,8,0,0,5,73,5,12,14,27,14,3,0,18,89,97,892,5654,20754,9619,1294,241,562,39103
SOSR413,27,364,3812,17793,7715,1130,196,417,31451,12,368,1225,1507,81,26,22,111,3348,0,14,44,151,58,4,0,0,275,14,385,1265,1660,138,33,22,112,3624,11,221,574,137,13,0,0,34,985,0,0,23,12,0,0,0,0,45,0,0,7,3,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,7,0,4,6,0,0,3,19,14,229,607,167,15,5,0,34,1059,22,73,28,19,7,5,0,26,181,11,16,34,33,15,0,4,12,122,80,1055,5748,19670,7886,1170,228,600,36441
SOSR414,18,135,1512,6535,3374,342,39,146,12092,3,119,396,183,8,0,0,19,726,0,5,13,35,8,0,0,0,57,3,119,409,220,15,0,0,19,789,0,37,49,6,0,0,0,0,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,47,6,0,0,0,0,93,8,37,27,8,4,0,0,3,86,0,6,4,21,14,0,0,0,49,23,337,1997,6791,3403,342,40,173,13105
SOSR415,70,553,4850,22195,11625,1508,244,627,41686,10,425,1742,1020,44,10,5,99,3346,0,4,26,55,9,4,0,0,103,10,427,1759,1077,61,16,5,96,3450,3,158,425,77,8,0,0,24,695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,0,0,0,0,0,13,3,159,430,76,8,0,0,24,702,49,140,70,72,24,5,7,23,391,3,26,23,47,22,6,0,16,147,133,1309,7140,23466,11746,1531,257,785,46376
SOSR421,21,248,1685,6189,3026,419,87,173,11845,5,122,161,75,21,4,0,11,391,0,0,4,3,0,4,0,0,11,5,120,164,73,18,5,0,11,405,0,35,45,10,0,0,0,8,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,0,35,52,10,0,0,0,8,102,14,84,36,32,13,0,5,16,204,3,14,10,9,3,0,0,8,43,48,499,1940,6321,3063,423,88,213,12593
SOSR422,26,209,1262,4023,1549,221,37,127,7451,0,26,70,23,13,0,0,0,148,0,0,0,5,0,0,0,0,7,0,26,70,30,13,0,0,0,152,0,23,16,4,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,17,4,0,0,0,0,52,11,42,14,27,5,0,0,3,109,0,4,22,12,7,0,0,0,45,37,304,1387,4099,1576,222,45,140,7812
SOSR431,207,1323,5876,22709,15641,3096,792,712,50354,0,21,53,144,79,18,0,5,321,0,0,14,19,10,10,4,4,50,0,21,66,163,89,23,5,9,373,4,13,3,6,0,0,0,0,29,0,22,21,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,0,10,0,4,0,0,20,6,39,31,20,6,7,0,0,104,75,247,125,116,43,16,0,46,664,18,68,44,75,38,8,9,19,286,308,1690,6141,23083,15816,3146,809,786,51767
SOSR479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR501,378,3378,27696,213225,286019,39693,6514,5976,582882,116,5553,26250,41298,3906,337,141,1410,79026,79,2165,9097,15563,3246,335,108,377,30958,199,7719,35348,56854,7157,669,253,1787,109986,120,4090,10881,3124,239,24,35,370,18883,194,4028,8062,1794,74,6,8,211,14370,222,4971,8220,2403,92,4,10,194,16121,128,2201,5201,1595,60,3,6,97,9300,18,188,236,105,101,41,31,21,735,681,15477,32599,9026,568,79,86,895,59408,180,796,807,192,79,15,10,115,2198,19,103,144,183,123,21,13,133,744,1455,27478,96596,279484,293943,40479,6882,8903,755215
SOSR511,17,91,968,8454,12705,1198,169,274,23878,8,328,1098,1147,86,0,7,98,2775,0,15,89,280,47,3,0,5,438,8,342,1187,1432,131,6,7,98,3206,4,132,211,93,0,0,0,13,450,0,10,64,26,0,0,0,0,104,0,0,12,3,0,0,0,0,15,0,0,10,20,0,0,0,0,32,5,3,0,0,0,0,0,0,9,3,142,296,136,7,0,0,12,610,16,118,71,21,3,0,0,26,238,0,8,4,12,12,0,0,7,50,39,707,2524,10053,12858,1203,183,415,27979
SOSR512,36,374,2810,16347,15960,1831,331,532,38228,13,651,2017,1538,118,3,8,130,4488,4,51,191,276,154,23,0,14,712,17,706,2199,1816,275,30,12,143,5195,0,127,159,65,8,0,0,15,378,0,4,10,0,0,0,0,0,15,0,4,10,4,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,15,15,8,7,0,4,0,55,4,142,202,80,15,0,6,15,461,45,180,148,66,18,3,5,14,473,3,11,18,17,18,6,3,12,88,106,1418,5391,18325,16282,1865,350,712,44443
SOSR513,23,308,954,7451,7764,806,121,294,17733,30,304,858,696,127,9,0,80,2101,9,80,209,282,67,9,0,6,665,38,385,1069,976,192,15,4,88,2764,3,185,269,81,4,0,0,13,565,0,52,81,11,0,0,0,0,148,0,37,55,25,0,0,0,3,114,0,61,65,5,0,0,0,0,137,0,3,5,4,0,0,0,0,12,8,329,464,128,7,0,6,19,967,59,152,45,30,27,9,4,11,328,13,44,24,19,7,3,7,14,127,144,1210,2557,8602,8002,842,139,432,21923
SOSR514,12,80,867,4156,3740,366,63,154,9451,6,59,179,178,80,4,0,20,530,0,26,40,54,26,4,0,5,162,6,84,223,235,108,12,0,26,689,0,6,80,41,3,0,0,3,138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,81,46,3,0,0,4,141,3,17,16,6,16,0,0,0,60,0,6,7,5,10,0,6,8,37,26,184,1197,4442,3876,383,68,203,10381
SOSR515,54,410,2916,13759,10272,1166,208,462,29247,4,395,1128,514,44,10,5,87,2185,0,29,74,82,27,10,0,9,231,4,423,1198,592,73,18,4,94,2415,4,116,151,80,6,0,5,13,367,0,0,17,12,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,9,4,118,168,87,6,0,5,17,397,85,233,113,58,43,7,0,78,623,3,32,43,37,15,0,16,15,159,152,1213,4438,14543,10411,1191,230,666,32849
SOSR521,38,283,1735,5916,3604,508,119,337,12540,0,116,244,115,27,0,5,22,543,0,6,16,20,9,0,0,5,54,3,119,263,134,40,3,5,27,589,0,38,49,31,8,0,0,21,146,0,7,3,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,9,0,44,56,31,8,0,0,21,153,25,121,32,24,26,4,7,23,267,3,28,19,21,4,0,4,11,100,67,602,2104,6127,3684,518,136,424,13658
SOSR522,17,195,1066,3431,1813,236,61,162,6988,0,40,102,55,13,0,0,12,223,0,0,7,0,5,0,0,0,11,0,42,110,55,16,0,0,12,233,0,22,19,6,4,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,22,14,8,4,0,0,0,55,16,70,27,26,10,0,3,20,174,4,14,22,19,7,0,4,18,83,37,350,1244,3534,1848,239,71,210,7539
SOSR531,271,1426,4904,15753,19009,4469,1528,741,48095,0,24,78,101,97,12,3,5,323,0,0,6,15,17,0,0,0,36,0,24,80,111,111,17,4,7,357,7,11,16,8,8,4,3,3,65,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,21,27,16,11,5,3,4,92,8,38,45,23,20,10,11,7,163,214,487,284,201,124,24,21,129,1485,32,91,94,135,130,43,46,70,635,530,2068,5407,16221,19391,4565,1611,953,50741
SOSR579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3
SOSR599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR603,68,870,10092,34275,13429,3059,636,680,63101,26,809,1677,362,62,12,4,73,3026,10,291,1330,663,116,19,5,27,2464,37,1095,3003,1029,179,37,12,103,5489,90,1642,3109,729,129,28,14,137,5882,49,325,510,113,22,7,3,16,1035,16,124,372,68,3,0,0,14,593,0,0,22,6,0,0,0,0,31,0,55,39,20,10,4,0,0,128,152,2147,4049,937,156,37,13,169,7664,24,80,77,59,18,4,0,7,263,6,32,56,26,18,0,8,15,163,285,4217,17276,36320,13800,3142,668,971,76686
SOSR611,34,359,3999,14748,5474,1031,197,326,26181,8,440,1310,291,31,10,0,193,2279,0,58,308,361,116,25,9,8,890,7,493,1620,649,145,38,8,201,3166,16,687,1532,239,39,10,3,61,2589,0,25,69,6,4,0,0,3,112,7,13,10,0,0,0,0,0,31,0,0,6,9,0,0,0,0,9,0,44,35,16,6,0,0,0,107,19,764,1653,274,47,17,4,69,2846,3,25,49,23,11,0,0,3,106,3,14,14,14,9,0,3,4,67,74,1658,7336,15705,5683,1090,213,607,32366
SOSR612,13,193,2478,10112,2733,481,102,216,16333,9,432,1010,159,12,3,0,64,1679,5,38,220,34,0,6,0,3,301,19,468,1224,189,12,10,0,66,1985,8,22,33,11,4,5,0,0,80,17,21,5,0,0,0,0,0,43,0,12,19,11,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,20,61,63,20,5,5,0,4,171,19,72,30,19,5,0,0,13,163,0,4,5,6,0,0,0,3,22,72,802,3801,10346,2757,489,106,301,18667
SOSR613,4,34,664,2823,889,116,21,70,4614,0,148,352,41,3,0,0,19,571,0,0,20,0,0,0,0,0,21,0,157,371,41,5,0,0,19,590,0,4,11,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,6,0,6,15,0,0,0,0,0,26,11,46,15,11,0,0,0,6,89,0,5,0,0,0,0,0,0,8,12,240,1063,2872,897,116,24,95,5328
SOSR614,15,131,1210,3691,971,149,44,74,6285,5,125,148,26,3,0,0,11,318,0,3,25,6,0,0,0,4,35,5,128,174,27,5,0,0,19,356,0,30,31,7,4,0,0,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,5,0,35,33,7,4,0,0,0,79,3,15,11,7,4,0,0,7,45,0,0,3,0,0,0,0,0,8,25,301,1425,3741,981,153,44,99,6771
SOSR615,44,395,4377,13936,4309,635,146,350,24187,9,336,715,122,11,3,4,51,1243,0,8,55,44,29,8,0,0,143,9,344,767,167,42,11,4,49,1386,7,77,391,99,6,0,0,16,596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,0,0,0,12,7,83,392,104,10,0,0,16,613,24,83,49,45,15,9,0,53,276,4,3,12,12,8,0,3,3,51,84,911,5599,14262,4379,656,156,475,26520
SOSR621,32,237,1538,4472,1621,293,54,126,8375,0,74,84,18,5,3,0,10,190,0,0,8,21,10,0,0,0,34,0,71,91,43,9,6,0,10,225,0,16,48,3,0,0,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,17,48,6,0,0,0,0,81,10,30,19,14,3,0,0,22,103,0,3,8,14,0,0,8,3,38,51,369,1696,4553,1641,300,58,161,8823
SOSR622,19,130,669,1937,666,121,31,56,3625,3,17,16,9,0,0,0,0,37,0,0,0,0,0,0,0,0,0,3,13,18,9,0,0,0,0,38,0,17,4,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,18,9,0,0,0,0,0,25,10,17,7,3,0,0,0,0,44,3,4,3,3,3,0,0,0,16,35,181,711,1956,669,120,31,61,3758
