SOSR_CODE_2021,MOL_SAL_Filipin_UOLSE_NWorNAA,MOL_SAL_Filipin_UOLSE_Tot,MOL_SAL_Filipin_NS,MOL_SAL_Filipin_Tot,MOL_SAL_Indon_SEO,MOL_SAL_Indon_UOLSE_VWorW,MOL_SAL_Indon_UOLSE_NWorNAA,MOL_SAL_Indon_UOLSE_Tot,MOL_SAL_Indon_NS,MOL_SAL_Indon_Tot,MOL_SAL_Tagalog_SEO,MOL_SAL_Tagalog_UOLSE_VWorW,MOL_SAL_Tagalog_UOLSE_NWorNAA,MOL_SAL_Tagalog_UOLSE_Tot,MOL_SAL_Tagalog_NS,MOL_SAL_Tagalog_Tot,MOL_SAL_Oth_SEO,MOL_SAL_Oth_UOLSE_VWorW,MOL_SAL_Oth_UOLSE_NWorNAA,MOL_SAL_Oth_UOLSE_Tot,MOL_SAL_Oth_NS,MOL_SAL_Oth_Tot,MOL_SAL_Tot_SEO,MOL_SAL_Tot_UOLSE_VWorW,MOL_SAL_Tot_UOLSE_NWorNAA,MOL_SAL_Tot_UOLSE_Tot,MOL_SAL_Tot_NS,MOL_SAL_Tot_Tot,MOL_Spanish_SEO,MOL_Spanish_UOLSE_VWorW,MOL_Spanish_UOLSE_NWorNAA,MOL_Spanish_UOLSE_Tot,MOL_Spanish_NS,MOL_Spanish_Tot,MOL_Tamil_SEO,MOL_Tamil_UOLSE_VWorW,MOL_Tamil_UOLSE_NWorNAA,MOL_Tamil_UOLSE_Tot,MOL_Tamil_NS,MOL_Tamil_Tot,MOL_Thai_SEO,MOL_Thai_UOLSE_VWorW,MOL_Thai_UOLSE_NWorNAA,MOL_Thai_UOLSE_Tot,MOL_Thai_NS,MOL_Thai_Tot,MOL_Turkish_SEO,MOL_Turkish_UOLSE_VWorW,MOL_Turkish_UOLSE_NWorNAA,MOL_Turkish_UOLSE_Tot,MOL_Turkish_NS,MOL_Turkish_Tot,MOL_Vietnamese_SEO,MOL_Vietnamese_UOLSE_VWorW,MOL_Vietnamese_UOLSE_NWorNAA,MOL_Vietnamese_UOLSE_Tot,MOL_Vietnamese_NS,MOL_Vietnamese_Tot,MOL_Oth_SEO,MOL_Oth_UOLSE_VWorW,MOL_Oth_UOLSE_NWorNAA,MOL_Oth_UOLSE_Tot,MOL_Oth_NS,MOL_Oth_Tot,MOL_Tot_SEO,MOL_Tot_UOLSE_VWorW,MOL_Tot_UOLSE_NWorNAA,MOL_Tot_UOLSE_Tot,MOL_Tot_NS,MOL_Tot_Tot,M_LUatH_NS_SEO,M_LUatH_NS_UOLSE_VWorW,M_LUatH_NS_UOLSE_NWorNAA,M_LUatH_NS_UOLSE_Tot,M_LUatH_NS_NS,M_LUatH_NS_Tot,M_Tot_SEO,M_Tot_UOLSE_VWorW,M_Tot_UOLSE_NWorNAA,M_Tot_UOLSE_Tot,M_Tot_NS,M_Tot_Tot,FSEO_SEO,FSEO_UOLSE_VWorW,FSEO_UOLSE_NWorNAA,FSEO_UOLSE_Tot,FSEO_NS,FSEO_Tot,FOL_Afrikaans_SEO,FOL_Afrikaans_UOLSE_VWorW,FOL_Afrikaans_UOLSE_NWorNAA,FOL_Afrikaans_UOLSE_Tot,FOL_Afrikaans_NS,FOL_Afrikaans_Tot,FOL_Arabic_SEO,FOL_Arabic_UOLSE_VWorW,FOL_Arabic_UOLSE_NWorNAA,FOL_Arabic_UOLSE_Tot,FOL_Arabic_NS,FOL_Arabic_Tot,FOL_AIndLng_SEO,FOL_AIndLng_UOLSE_VWorW,FOL_AIndLng_UOLSE_NWorNAA,FOL_AIndLng_UOLSE_Tot,FOL_AIndLng_NS,FOL_AIndLng_Tot,FOL_CL_Canton_SEO,FOL_CL_Canton_UOLSE_VWorW,FOL_CL_Canton_UOLSE_NWorNAA,FOL_CL_Canton_UOLSE_Tot,FOL_CL_Canton_NS,FOL_CL_Canton_Tot,FOL_CL_Mandarin_SEO,FOL_CL_Mandarin_UOLSE_VWorW,FOL_CL_Mandarin_UOLSE_NWorNAA,FOL_CL_Mandarin_UOLSE_Tot,FOL_CL_Mandarin_NS,FOL_CL_Mandarin_Tot,FOL_CL_Oth_SEO,FOL_CL_Oth_UOLSE_VWorW,FOL_CL_Oth_UOLSE_NWorNAA,FOL_CL_Oth_UOLSE_Tot,FOL_CL_Oth_NS,FOL_CL_Oth_Tot,FOL_CL_Tot_SEO,FOL_CL_Tot_UOLSE_VWorW,FOL_CL_Tot_UOLSE_NWorNAA,FOL_CL_Tot_UOLSE_Tot,FOL_CL_Tot_NS,FOL_CL_Tot_Tot,FOL_Croatian_SEO,FOL_Croatian_UOLSE_VWorW,FOL_Croatian_UOLSE_NWorNAA,FOL_Croatian_UOLSE_Tot,FOL_Croatian_NS,FOL_Croatian_Tot,FOL_French_SEO,FOL_French_UOLSE_VWorW,FOL_French_UOLSE_NWorNAA,FOL_French_UOLSE_Tot,FOL_French_NS,FOL_French_Tot,FOL_German_SEO,FOL_German_UOLSE_VWorW,FOL_German_UOLSE_NWorNAA,FOL_German_UOLSE_Tot,FOL_German_NS,FOL_German_Tot,FOL_Greek_SEO,FOL_Greek_UOLSE_VWorW,FOL_Greek_UOLSE_NWorNAA,FOL_Greek_UOLSE_Tot,FOL_Greek_NS,FOL_Greek_Tot,FOL_IAL_Bengali_SEO,FOL_IAL_Bengali_UOLSE_VWorW,FOL_IAL_Bengali_UOLSE_NWorNAA,FOL_IAL_Bengali_UOLSE_Tot,FOL_IAL_Bengali_NS,FOL_IAL_Bengali_Tot,FOL_IAL_Guj_SEO,FOL_IAL_Guj_UOLSE_VWorW,FOL_IAL_Guj_UOLSE_NWorNAA,FOL_IAL_Guj_UOLSE_Tot,FOL_IAL_Guj_NS,FOL_IAL_Guj_Tot,FOL_IAL_Hindi_SEO,FOL_IAL_Hindi_UOLSE_VWorW,FOL_IAL_Hindi_UOLSE_NWorNAA,FOL_IAL_Hindi_UOLSE_Tot,FOL_IAL_Hindi_NS,FOL_IAL_Hindi_Tot,FOL_IAL_Nepali_SEO,FOL_IAL_Nepali_UOLSE_VWorW,FOL_IAL_Nepali_UOLSE_NWorNAA,FOL_IAL_Nepali_UOLSE_Tot,FOL_IAL_Nepali_NS,FOL_IAL_Nepali_Tot,FOL_IAL_Punjabi_SEO,FOL_IAL_Punjabi_UOLSE_VWorW,FOL_IAL_Punjabi_UOLSE_NWorNAA,FOL_IAL_Punjabi_UOLSE_Tot,FOL_IAL_Punjabi_NS,FOL_IAL_Punjabi_Tot,FOL_IAL_Sinhal_SEO,FOL_IAL_Sinhal_UOLSE_VWorW,FOL_IAL_Sinhal_UOLSE_NWorNAA,FOL_IAL_Sinhal_UOLSE_Tot,FOL_IAL_Sinhal_NS,FOL_IAL_Sinhal_Tot,FOL_IAL_Urdu_SEO,FOL_IAL_Urdu_UOLSE_VWorW,FOL_IAL_Urdu_UOLSE_NWorNAA,FOL_IAL_Urdu_UOLSE_Tot,FOL_IAL_Urdu_NS,FOL_IAL_Urdu_Tot,FOL_IAL_Oth_SEO,FOL_IAL_Oth_UOLSE_VWorW,FOL_IAL_Oth_UOLSE_NWorNAA,FOL_IAL_Oth_UOLSE_Tot
SOSR101,292,11117,91,11209,..,12560,1216,13770,143,13922,..,18377,578,18953,148,19102,..,3386,385,3775,35,3808,..,45154,2465,47620,421,48040,..,25373,2913,28285,294,28578,..,17373,1064,18434,210,18644,..,5611,2257,7863,72,7936,..,8906,1758,10663,86,10745,..,36954,14330,51285,391,51677,..,82254,15934,98192,2107,100293,..,774317,141742,916060,8922,924984,..,11433,2696,14129,114106,128232,1271220,785750,144434,930185,123027,2324431,1260853,..,..,..,..,1260853,..,2573,32,2609,21,2631,..,88060,18917,106976,711,107688,..,675,15,689,4,697,..,54572,21295,75870,419,76293,..,96047,40103,136148,1005,137153,..,5553,2360,7910,31,7948,..,156166,63760,219929,1457,221387,..,7696,1254,8949,58,9012,..,9139,327,9459,108,9567,..,6297,177,6478,70,6550,..,31053,6599,37656,203,37857,..,15885,1720,17599,148,17753,..,10530,1075,11603,101,11699,..,35308,1933,37241,229,37467,..,25472,1672,27140,232,27373,..,17792,1944,19733,178,19913,..,5688,272,5957,41,5994,..,17173,1727,18898,201,19102,..,7144,392,7540
SOSR102,23,617,5,626,..,448,45,494,3,500,..,832,31,864,10,873,..,263,23,284,10,294,..,2139,125,2263,29,2290,..,2255,246,2506,28,2535,..,451,5,462,3,463,..,541,145,687,10,687,..,682,132,807,6,818,..,974,266,1242,16,1254,..,6020,957,6977,214,7191,..,41824,5874,47696,591,48292,..,1675,193,1871,22805,24674,441299,43502,6068,49566,23397,514266,461761,..,..,..,..,461761,..,629,6,632,3,640,..,2136,413,2546,21,2565,..,371,3,372,9,384,..,1063,305,1366,6,1376,..,2810,902,3708,46,3755,..,148,32,188,0,188,..,4025,1237,5262,55,5316,..,724,131,852,0,855,..,899,33,936,14,954,..,1383,41,1427,22,1442,..,1682,304,1986,18,1997,..,446,47,487,3,497,..,284,20,300,0,300,..,944,65,1008,9,1013,..,938,48,983,6,992,..,936,84,1022,14,1033,..,309,21,323,0,323,..,582,68,648,9,656,..,198,10,208
SOSR111,3,115,0,120,..,26,4,36,0,36,..,189,10,198,0,199,..,45,11,52,0,52,..,374,20,397,5,402,..,185,25,213,0,216,..,50,3,56,0,56,..,72,13,92,0,92,..,11,3,15,0,15,..,94,35,135,0,137,..,1376,417,1795,51,1848,..,5626,1071,6695,108,6805,..,277,34,317,4536,4852,81995,5908,1105,7017,4644,93659,88318,..,..,..,..,88318,..,150,10,158,0,158,..,171,31,199,3,204,..,148,4,150,7,157,..,110,48,162,3,163,..,300,119,421,5,428,..,11,13,28,0,28,..,429,180,610,5,616,..,40,5,46,0,46,..,127,5,130,0,130,..,189,7,192,3,198,..,100,19,115,0,115,..,68,5,77,0,77,..,59,9,65,0,65,..,166,15,178,0,184,..,276,183,461,0,458,..,597,83,683,8,692,..,55,5,60,0,60,..,88,7,94,0,94,..,39,0,39
SOSR112,14,495,11,506,..,106,4,112,0,112,..,630,23,654,3,659,..,212,35,245,4,249,..,1431,83,1508,16,1528,..,543,60,602,11,611,..,235,22,256,0,261,..,230,82,310,0,311,..,84,31,113,0,118,..,388,134,522,3,529,..,3380,793,4174,109,4283,..,16870,2634,19503,286,19789,..,744,112,858,17953,18808,215478,17618,2742,20357,18237,254071,233250,..,..,..,..,233250,..,286,3,292,3,295,..,506,63,566,9,568,..,490,13,503,6,506,..,381,143,523,5,525,..,835,366,1202,12,1216,..,45,9,51,0,53,..,1263,519,1780,20,1799,..,130,12,139,0,142,..,383,3,387,6,393,..,522,14,531,4,535,..,285,18,306,11,317,..,297,32,321,6,332,..,484,194,676,9,682,..,418,43,460,3,464,..,1210,82,1297,18,1312,..,1029,172,1201,10,1213,..,248,5,250,5,255,..,333,43,380,5,378,..,67,4,70
SOSR113,0,141,0,141,..,44,5,42,0,42,..,177,9,184,3,193,..,45,10,53,0,53,..,400,24,427,3,426,..,364,24,384,0,383,..,36,0,36,0,36,..,106,20,125,0,125,..,29,6,32,0,32,..,104,27,136,0,137,..,873,106,985,33,1014,..,4678,545,5223,75,5293,..,363,35,396,7955,8354,100455,5046,577,5620,8029,114105,106332,..,..,..,..,106332,..,124,6,128,0,128,..,104,11,118,0,118,..,238,12,250,3,258,..,123,42,164,3,167,..,228,78,305,5,308,..,15,3,19,0,21,..,366,122,486,6,492,..,97,7,103,0,110,..,215,9,222,3,227,..,265,7,269,4,274,..,173,27,192,0,195,..,35,3,44,0,44,..,21,3,27,0,30,..,82,7,89,0,89,..,140,9,150,0,150,..,165,18,177,0,178,..,14,0,19,0,19,..,37,6,40,3,42,..,16,3,18
SOSR114,11,229,0,235,..,52,7,59,3,62,..,222,15,237,0,237,..,75,14,91,0,91,..,570,47,613,11,621,..,217,15,237,4,245,..,72,3,76,0,77,..,112,20,141,0,138,..,28,5,30,0,32,..,81,21,106,0,101,..,1164,160,1319,38,1360,..,6177,911,7093,115,7201,..,365,31,401,8327,8727,110283,6545,950,7491,8442,126221,118834,..,..,..,..,118834,..,164,3,166,0,168,..,188,30,217,0,219,..,248,3,251,3,252,..,156,59,221,0,222,..,311,159,469,5,468,..,13,4,19,0,19,..,480,226,701,6,709,..,53,10,62,0,62,..,144,6,154,0,153,..,284,8,292,8,301,..,121,12,134,0,139,..,52,8,55,0,55,..,35,0,40,0,40,..,135,3,140,0,139,..,217,9,226,3,232,..,673,158,824,5,832,..,80,6,87,0,88,..,73,5,85,0,86,..,28,0,31
SOSR115,0,97,0,97,..,64,3,69,0,69,..,133,8,146,0,146,..,68,34,99,0,101,..,366,45,408,4,417,..,426,32,455,12,461,..,53,5,57,0,59,..,85,22,106,0,106,..,42,5,46,0,46,..,119,38,158,0,157,..,1454,172,1631,32,1665,..,6174,836,7012,107,7117,..,478,41,521,12907,13426,160053,6653,876,7526,13015,180592,168095,..,..,..,..,168095,..,133,0,136,0,136,..,165,12,180,5,182,..,295,4,304,6,303,..,157,78,233,6,235,..,321,141,462,4,467,..,20,14,34,0,34,..,496,231,727,5,734,..,130,15,143,3,143,..,304,4,309,3,314,..,537,19,560,6,565,..,210,26,233,4,235,..,31,0,31,0,31,..,62,4,67,0,67,..,105,0,110,0,110,..,140,7,151,0,151,..,234,32,267,3,274,..,51,0,56,0,56,..,55,0,51,0,56,..,21,0,20
SOSR121,0,24,0,24,..,18,5,17,0,17,..,22,0,30,0,30,..,20,5,24,0,24,..,81,6,88,0,88,..,118,6,125,0,125,..,7,0,5,0,5,..,14,3,15,0,18,..,6,0,6,0,6,..,22,0,22,0,22,..,320,31,355,10,365,..,1388,132,1524,19,1538,..,120,4,122,3055,3184,44395,1508,141,1646,3073,49118,44926,..,..,..,..,44926,..,43,0,41,0,43,..,44,0,44,0,44,..,72,5,80,3,83,..,19,5,28,0,28,..,57,18,78,0,74,..,3,4,7,0,7,..,77,31,108,0,110,..,13,0,21,0,21,..,79,0,87,0,85,..,107,10,115,0,115,..,44,4,50,0,50,..,7,0,7,0,7,..,7,0,7,0,7,..,16,0,16,0,16,..,14,0,15,0,15,..,59,13,73,0,73,..,5,0,5,0,5,..,14,0,16,0,16,..,10,0,10
SOSR122,0,14,0,14,..,7,0,6,0,6,..,8,0,8,0,8,..,6,3,17,0,17,..,41,9,47,0,47,..,43,6,47,0,47,..,8,0,8,0,8,..,15,4,22,0,22,..,0,0,0,0,0,..,6,0,6,0,6,..,173,32,203,3,206,..,658,102,765,14,776,..,62,3,66,2070,2141,22299,724,109,826,2086,25218,21829,..,..,..,..,21829,..,24,0,24,0,24,..,20,3,28,0,28,..,45,5,45,0,45,..,20,0,19,0,19,..,66,13,78,0,78,..,0,0,0,0,0,..,84,17,98,0,98,..,17,0,18,0,18,..,35,4,34,0,34,..,54,4,59,0,58,..,28,4,29,0,34,..,0,0,0,0,0,..,0,0,0,0,0,..,9,3,12,0,12,..,6,0,6,0,6,..,9,0,15,0,15,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0
SOSR131,5,81,4,83,..,79,6,91,0,91,..,107,6,115,0,117,..,70,27,93,0,100,..,341,45,380,12,394,..,535,49,576,5,588,..,46,8,56,0,56,..,128,48,181,0,181,..,92,10,104,0,104,..,136,34,167,3,172,..,2564,270,2838,45,2880,..,11472,1532,13001,159,13164,..,579,48,630,25389,26015,256950,12056,1577,13632,25545,296123,242939,..,..,..,..,242939,..,322,5,330,3,336,..,1092,150,1242,9,1252,..,245,6,253,15,263,..,323,208,535,3,540,..,537,238,777,15,792,..,34,12,44,0,44,..,894,462,1356,25,1375,..,298,32,333,8,337,..,396,8,405,8,414,..,851,9,866,7,871,..,361,53,408,6,415,..,37,7,41,0,41,..,24,12,29,0,29,..,172,8,181,0,181,..,23,8,31,0,33,..,360,58,416,5,420,..,34,0,32,0,32,..,92,5,101,0,97,..,34,3,41
