SOSR_CODE_2021,R_1_74_LT_Real_estate_agent,R_1_74_LT_Ste_terr_hsg_auth,R_1_74_LT_com_hou_pro,R_1_74_LT_Psn_not_Sme_hhd,R_1_74_LT_Other_Lld_type,R_1_74_LT_Lld_type_ns,R_1_74_Tot,R_75_99_LT_Real_estate_agent,R_75_99_LT_Ste_terr_hsg_auth,R_75_99_LT_com_hou_pro,R_75_99_LT_Psn_not_Sme_hhd,R_75_99_LT_Other_Lld_type,R_75_99_LT_Lld_type_ns,R_75_99_Tot,R_100_149_LT_Real_eSte_agent,R_100_149_LT_St_ter_hsg_aut,R_100_149_LT_com_hou_pro,R_100_149_LT_Psn_not_Sme_hhd,R_100_149_LT_Other_Lld_type,R_100_149_LT_Lld_type_ns,R_100_149_Tot,R_150_199_LT_Real_eSte_agent,R_150_199_LT_Ste_ter_hsg_aut,R_150_199_LT_com_hou_pro,R_150_199_LT_Psn_not_Sme_hhd,R_150_199_LT_Other_Lld_type,R_150_199_LT_Lld_type_ns,R_150_199_Tot,R_200_224_LT_Real_eSte_agent,R_200_224_LT_Ste_ter_hsg_aut,R_200_224_LT_com_hou_pro,R_200_224_LT_Psn_not_Sme_hhd,R_200_224_LT_Other_Lld_type,R_200_224_LT_Lld_type_ns,R_200_224_Tot,R_225_274_LT_Real_eSte_agent,R_225_274_LT_Ste_ter_hsg_aut,R_225_274_LT_com_hou_pro,R_225_274_LT_Psn_not_Sme_hhd,R_225_274_LT_Other_Lld_type,R_225_274_LT_Lld_type_ns,R_225_274_Tot,R_275_349_LT_Real_eSte_agent,R_275_349_LT_Ste_ter_hsg_aut,R_275_349_LT_com_hou_pro,R_275_349_LT_Psn_not_Sme_hhd,R_275_349_LT_Other_Lld_type,R_275_349_LT_Lld_type_ns,R_275_349_Tot,R_350_449_LT_Real_eSte_agent,R_350_449_LT_Ste_ter_hsg_aut,R_350_449_LT_com_hou_pro,R_350_449_LT_Psn_not_Sme_hhd,R_350_449_LT_Other_Lld_type,R_350_449_LT_Lld_type_ns,R_350_449_Tot,R_450_549_LT_Real_eSte_agent,R_450_549_LT_Ste_ter_hsg_aut,R_450_549_LT_com_hou_pro,R_450_549_LT_Psn_not_Sme_hhd,R_450_549_LT_Other_Lld_type,R_450_549_LT_Lld_type_ns,R_450_549_Tot,R_550_649_LT_Real_eSte_agent,R_550_649_LT_Ste_ter_hsg_aut,R_550_649_LT_com_hou_pro,R_550_649_LT_Psn_not_Sme_hhd,R_550_649_LT_Other_Lld_type,R_550_649_LT_Lld_type_ns,R_550_649_Tot,R_650_749_LT_Real_eSte_agent,R_650_749_LT_Ste_ter_hsg_aut,R_650_749_LT_com_hou_pro,R_650_749_LT_Psn_not_Sme_hhd,R_650_749_LT_Other_Lld_type,R_650_749_LT_Lld_type_ns,R_650_749_Tot,R_750_849_LT_Real_eSte_agent,R_750_849_LT_Ste_ter_hsg_aut,R_750_849_LT_com_hou_pro,R_750_849_LT_Psn_not_Sme_hhd,R_750_849_LT_Other_Lld_type,R_750_849_LT_Lld_type_ns,R_750_849_Tot,R_850_949_LT_Real_estat_agent,R_850_949_LT_Ste_ter_hsg_aut,R_850_949_LT_com_hou_pro,R_850_949_LT_Psn_not_Sme_hhd,R_850_949_LT_Other_Lld_type,R_850_949_LT_Lld_type_ns,R_850_949_Tot,R_950_over_LT_Real_eSte_agent,R_950_over_LT_Ste_ter_hsg_aut,R_950_ovr_LT_com_hou_pro,R_950_over_LT_Psn_not_Sme_hhd,R_950_over_LT_Other_Lld_type,R_950_over_LT_Lld_type_ns,R_950_over_Tot,Rent_ns_LT_Real_eSte_agent,Rent_ns_LT_Ste_ter_hsg_auth,Rent_ns_LT_com_hou_pro,Rent_ns_LT_Psn_not_Sme_hhd,Rent_ns_LT_Other_Lld_type,Rent_ns_LT_Lld_type_ns,Rent_ns_Tot,Tot_LT_Real_eSte_agent,Tot_LT_Ste_ter_hsg_auth,Tot_LT_com_hou_pro,Tot_LT_Psn_not_Sme_hhd,Tot_LT_Other_Lld_type,Tot_LT_Lld_type_ns,Tot_Tot
SOSR179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR201,455,1426,182,462,88,17,2634,238,2019,239,358,95,16,2964,1070,12294,1007,2275,473,131,17251,2344,4994,1731,3597,662,101,13435,2890,2485,1052,2977,455,55,9918,12060,2488,1125,5471,1300,107,22553,67595,2245,889,14455,2097,250,87537,159812,1766,543,17973,2491,308,182900,72182,405,163,8575,754,121,82202,31283,106,48,3679,219,45,35382,15580,58,25,1876,123,24,17683,8525,43,21,1176,55,11,9835,4617,29,12,584,40,8,5292,8434,24,4,1271,156,24,9919,7210,2602,502,5378,1275,1107,18081,394316,32995,7538,70128,10287,2340,517594
SOSR203,35,288,24,54,15,3,414,27,301,35,46,16,4,419,241,2026,171,394,47,26,2904,1060,843,399,757,76,33,3164,1233,411,169,778,75,15,2676,4602,579,226,1329,118,33,6889,10696,273,182,2001,144,39,13335,11057,99,81,1240,137,13,12627,2899,17,12,309,38,7,3287,569,6,5,93,13,0,684,194,7,0,53,0,0,259,75,0,0,18,3,0,104,27,5,0,7,4,0,44,69,0,0,32,7,0,110,504,332,69,387,142,93,1520,33285,5189,1367,7512,830,263,48446
SOSR211,9,60,0,4,5,0,79,5,79,0,5,5,0,90,44,416,14,51,4,4,530,177,206,44,108,19,4,568,215,92,22,166,6,4,502,926,144,25,271,148,11,1527,3655,53,35,562,96,12,4416,3345,15,14,309,73,11,3769,285,5,0,48,13,4,347,49,0,0,12,0,0,65,20,0,0,5,4,0,26,15,0,0,0,3,0,21,5,0,0,0,0,0,3,20,0,0,8,0,0,33,176,86,19,97,31,20,431,8942,1158,181,1641,408,77,12412
SOSR212,25,140,21,46,16,0,251,14,175,22,27,8,6,251,188,1105,109,270,53,11,1742,681,583,182,442,72,27,1989,940,307,61,540,59,13,1925,2471,300,109,809,95,15,3794,4748,138,109,1188,166,34,6392,5237,56,45,814,96,19,6269,1812,13,5,291,38,5,2165,549,9,4,84,16,0,656,172,9,3,35,4,0,215,73,0,0,21,9,0,105,29,0,0,7,0,0,36,49,0,0,28,8,0,82,303,220,35,255,99,87,994,17301,3052,709,4844,740,225,26859
SOSR213,26,157,18,39,12,0,250,27,173,25,33,9,6,272,255,1241,79,287,73,33,1961,1192,524,184,536,119,12,2566,1183,254,77,597,69,13,2206,2571,295,122,837,125,20,3979,4293,121,84,1066,117,21,5700,5014,40,29,715,58,18,5881,945,15,8,132,12,0,1112,181,0,3,25,0,0,213,41,3,0,9,0,0,61,11,0,0,11,0,0,26,11,0,0,6,0,0,17,28,3,4,10,0,3,39,279,252,45,214,81,66,930,16067,3072,673,4519,677,194,25205
SOSR214,16,83,15,29,7,0,147,10,97,30,29,7,4,170,126,703,75,178,51,15,1149,573,322,121,362,82,16,1476,522,130,42,403,34,8,1140,1612,157,43,562,56,11,2439,2467,73,37,610,77,18,3283,2346,17,7,373,30,12,2785,576,15,0,98,9,4,701,87,0,0,24,6,0,121,28,0,0,6,0,0,33,0,0,0,0,3,0,4,9,0,0,0,6,0,11,17,0,0,17,4,5,42,147,131,36,146,58,35,556,8532,1730,407,2831,413,121,14046
SOSR215,16,88,18,59,26,3,206,16,112,26,53,33,5,242,179,701,155,348,118,17,1522,757,347,117,667,105,36,2018,725,156,30,674,73,9,1657,1693,90,44,818,125,12,2777,2573,42,33,843,84,9,3587,2504,14,10,550,37,8,3126,609,5,0,153,16,0,784,145,6,0,24,5,0,185,43,0,0,23,7,0,70,15,0,0,6,3,0,22,11,0,0,8,0,0,17,27,0,0,28,5,0,68,170,113,16,242,107,59,714,9484,1667,454,4500,734,151,16990
SOSR221,7,28,4,24,33,0,95,0,32,14,23,13,0,83,53,89,18,130,78,8,366,119,14,31,219,34,5,415,129,10,11,194,11,5,357,286,4,3,210,14,0,527,535,0,0,239,19,3,798,424,0,0,119,8,0,559,108,0,0,27,4,0,140,20,0,0,12,0,0,33,9,0,0,0,0,0,14,6,0,0,0,0,0,10,4,0,0,0,0,0,4,12,0,0,3,0,0,17,42,10,4,90,29,6,193,1747,189,93,1296,244,37,3601
SOSR222,0,7,0,20,18,0,50,8,10,0,7,4,0,33,39,37,8,90,29,0,197,78,4,14,136,24,5,259,51,3,5,109,14,0,177,140,0,0,99,15,6,263,158,0,0,112,19,0,290,131,0,0,61,7,0,201,32,0,0,13,0,0,44,16,0,0,8,0,0,24,3,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,3,0,0,6,7,0,0,3,11,0,20,14,6,0,50,21,5,94,670,72,32,719,163,24,1670
SOSR231,13,6,5,236,176,12,451,14,23,10,168,75,0,294,142,25,27,920,378,29,1511,305,16,19,1057,274,11,1672,347,5,3,931,271,9,1569,663,11,7,876,328,10,1895,986,10,6,949,204,12,2178,1015,3,3,657,123,5,1817,529,0,0,221,33,0,786,230,0,4,71,16,0,322,157,0,0,43,3,0,205,60,0,0,22,7,0,93,30,0,0,10,0,0,46,45,0,0,81,17,0,145,123,11,13,797,612,53,1612,4660,115,99,7041,2518,157,14585
SOSR279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR301,152,1611,75,174,64,18,2095,63,2001,93,106,39,7,2310,542,8887,462,953,319,65,11225,1382,4427,917,1874,574,76,9251,1696,1777,569,1911,440,46,6433,9648,1901,705,3437,2607,102,18406,39385,1409,676,8777,2619,196,53055,89823,518,333,13050,4554,253,108523,42721,133,79,5819,1171,80,50008,15952,36,27,2263,398,25,18699,6262,19,9,961,111,10,7373,2784,6,7,472,65,4,3344,1354,8,3,216,23,3,1611,1873,0,0,401,60,8,2344,3107,1740,260,2021,695,603,8427,216750,24477,4211,42435,13736,1495,303103
SOSR302,67,303,7,68,36,6,486,8,493,25,39,38,3,604,80,2301,112,248,89,10,2836,335,869,245,579,239,24,2290,274,405,148,678,186,22,1710,1009,319,165,1051,277,28,2852,5360,305,196,2601,684,56,9197,22215,170,176,5501,2281,108,30456,23938,41,54,4056,1509,61,29662,11262,3,27,1717,490,43,13541,4680,5,5,797,181,9,5674,2153,6,3,393,53,5,2604,1094,3,5,188,13,3,1305,1434,7,0,308,41,4,1788,1236,443,71,954,296,254,3263,75146,5671,1246,19164,6420,630,108281
SOSR303,42,400,19,40,31,3,543,28,496,55,48,25,4,649,192,1861,149,392,129,16,2748,775,1092,264,724,133,27,3011,1633,408,109,1017,168,27,3358,5843,534,188,1868,1203,43,9690,11959,289,108,3078,687,50,16168,13171,110,80,2462,530,36,16389,3800,24,13,654,109,16,4612,1050,4,0,188,22,4,1275,327,3,0,66,13,0,405,94,3,0,25,6,0,123,57,0,0,24,3,0,87,62,4,0,32,5,0,114,590,438,75,425,195,128,1855,39622,5690,1067,11033,3257,360,61032
SOSR311,17,295,18,48,17,8,402,5,325,21,37,9,0,401,94,1110,105,233,83,17,1639,417,738,241,461,167,14,2029,837,269,88,688,163,14,2063,2785,296,105,1304,189,27,4707,5518,162,116,2014,288,40,8153,6029,47,68,1203,219,19,7585,1719,15,8,269,40,4,2044,385,0,4,71,10,0,478,102,0,0,31,5,0,135,32,0,0,16,0,0,47,10,0,0,5,3,0,17,19,0,0,16,3,0,37,326,290,64,309,122,81,1195,18291,3550,845,6689,1317,237,30929
SOSR312,10,128,11,12,16,3,177,4,110,24,5,9,0,151,98,556,52,106,38,9,851,544,281,134,219,67,13,1251,511,107,70,315,76,19,1101,1333,96,68,522,76,13,2100,2374,38,41,576,53,17,3105,2086,25,12,403,49,3,2574,665,3,4,94,8,5,770,166,0,0,15,0,0,182,49,0,0,9,0,0,56,15,0,0,4,0,0,14,4,0,0,0,0,0,11,10,0,0,6,0,0,16,141,104,16,102,37,40,442,8013,1444,431,2382,420,117,12807
SOSR313,26,147,10,20,219,5,418,17,141,17,22,96,0,294,108,450,44,133,116,13,866,455,359,136,294,151,16,1401,643,134,64,422,85,5,1356,2020,133,76,734,129,20,3103,4032,60,35,995,178,14,5316,4919,18,14,747,114,7,5826,1255,0,0,232,42,0,1533,317,0,0,72,15,0,404,85,0,0,16,0,0,103,22,0,0,4,0,0,34,14,0,0,4,0,0,11,15,0,0,6,4,0,26,227,92,18,177,121,48,680,14147,1539,408,3877,1269,129,21374
SOSR314,44,149,8,27,688,0,914,19,141,15,18,201,0,395,166,513,69,205,335,15,1306,525,372,197,352,140,20,1603,732,137,87,436,94,12,1490,1826,163,102,712,147,21,2972,3245,68,39,938,168,13,4474,3320,20,11,643,69,10,4070,1057,0,0,176,20,0,1254,277,0,0,50,10,0,340,104,0,0,23,13,0,139,26,0,0,8,3,0,46,7,0,0,0,0,0,16,16,0,0,9,8,0,28,217,106,24,185,155,52,733,11580,1669,555,3774,2051,144,19774
SOSR315,56,357,57,56,1292,4,1818,18,331,58,36,191,4,630,191,1193,252,285,300,19,2244,808,648,350,605,251,37,2707,1090,168,85,699,136,26,2203,2763,175,96,1074,282,42,4440,4514,127,50,1209,199,23,6125,3484,48,16,763,116,15,4439,1200,12,3,251,55,6,1530,406,6,0,83,28,0,523,171,3,0,35,33,0,234,84,0,0,14,20,0,112,34,0,0,0,7,0,44,36,0,0,28,5,0,75,262,170,34,274,294,72,1099,15106,3242,1006,5411,3197,248,28217
SOSR321,7,198,50,25,326,0,604,6,173,65,21,73,8,341,51,583,128,143,117,11,1033,169,314,168,325,113,24,1098,201,44,19,350,67,3,690,520,52,42,441,75,4,1136,714,26,23,465,64,6,1293,719,11,5,310,41,7,1092,275,4,0,87,12,0,380,83,0,0,23,3,0,117,49,0,0,10,0,0,62,11,0,0,4,6,0,18,10,0,0,0,0,0,9,7,0,0,11,0,0,20,60,68,33,107,117,19,408,2882,1485,528,2324,1006,84,8307
SOSR322,4,115,54,22,256,3,454,3,109,44,19,57,6,230,30,427,155,133,100,16,861,121,336,129,209,114,18,921,118,23,10,198,24,4,378,288,26,6,235,39,7,606,315,14,0,224,20,0,577,218,0,0,104,11,0,334,62,0,0,20,0,0,85,9,0,0,8,5,0,22,5,0,0,3,0,0,9,4,0,0,0,0,0,4,3,0,0,0,0,0,6,4,0,0,4,3,0,9,24,41,25,63,66,15,234,1214,1089,425,1239,696,64,4732
SOSR331,23,48,19,215,279,3,583,23,41,31,118,142,0,350,75,111,81,819,300,13,1393,196,83,152,1189,366,23,1997,329,22,11,1227,249,23,1862,829,20,7,1403,267,19,2537,1470,20,9,1567,272,20,3348,1581,8,4,1162,146,19,2916,919,6,0,476,54,7,1462,475,0,0,178,23,3,687,202,3,0,68,13,0,286,112,0,0,37,7,0,155,50,0,0,15,0,0,71,57,0,0,55,20,0,131,134,27,17,941,901,82,2109,6458,379,328,9472,3039,208,19883
SOSR379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR401,55,669,102,176,22,9,1047,26,1461,218,127,37,12,1884,328,8870,1145,1077,226,108,11755,983,3786,2452,1879,259,98,9461,1323,1531,773,2029,212,43,5911,7704,1824,1099,4697,1138,129,16593,23083,1499,802,10104,1176,114,36779,26525,650,404,8054,863,82,36576,9726,108,62,2465,213,16,12582,2913,15,20,696,63,4,3722,1094,16,16,238,24,0,1385,482,20,3,135,9,0,644,258,13,0,50,3,0,336,319,0,3,126,15,4,478,906,1192,447,1277,332,358,4512,75734,21644,7553,33143,4592,991,143655
SOSR412,3,97,13,15,4,3,135,10,259,19,16,13,3,319,206,1225,45,141,69,8,1693,794,671,69,300,79,9,1925,415,237,31,279,46,6,1015,1054,189,38,398,159,5,1848,1789,93,39,473,68,7,2469,1450,15,22,248,35,3,1784,269,3,9,57,3,0,338,38,4,4,7,6,0,54,10,0,0,3,0,0,10,4,0,0,4,0,0,6,0,0,0,3,4,0,4,3,0,0,0,6,0,8,70,149,25,94,38,27,404,6120,2951,311,2033,519,82,12007
