SOSR_CODE_2021,P_15_yrs_over_M,P_15_yrs_over_F,P_15_yrs_over_P,lfs_Emplyed_wrked_full_time_M,lfs_Emplyed_wrked_full_time_F,lfs_Emplyed_wrked_full_time_P,lfs_Emplyed_wrked_part_time_M,lfs_Emplyed_wrked_part_time_F,lfs_Emplyed_wrked_part_time_P,lfs_Employed_away_from_work_M,lfs_Employed_away_from_work_F,lfs_Employed_away_from_work_P,lfs_Unmplyed_lookng_for_wrk_M,lfs_Unmplyed_lookng_for_wrk_F,lfs_Unmplyed_lookng_for_wrk_P,lfs_Tot_LF_M,lfs_Tot_LF_F,lfs_Tot_LF_P,lfs_N_the_labour_force_M,lfs_N_the_labour_force_F,lfs_N_the_labour_force_P,Percent_Unem_loyment_M,Percent_Unem_loyment_F,Percent_Unem_loyment_P,Percnt_LabForc_prticipation_M,Percnt_LabForc_prticipation_F,Percnt_LabForc_prticipation_P,Percnt_Employment_to_populn_M,Percnt_Employment_to_populn_F,Percnt_Employment_to_populn_P,non_sch_qual_PostGrad_Dgre_M,non_sch_qual_PostGrad_Dgre_F,non_sch_qual_PostGrad_Dgre_P,non_sch_qual_Gr_Dip_Gr_Crt_M,non_sch_qual_Gr_Dip_Gr_Crt_F,non_sch_qual_Gr_Dip_Gr_Crt_P,non_sch_qual_Bchelr_Degree_M,non_sch_qual_Bchelr_Degree_F,non_sch_qual_Bchelr_Degree_P,non_sch_qual_Advnd_Dip_Dip_M,non_sch_qual_Advnd_Dip_Dip_F,non_sch_qual_Advnd_Dip_Dip_P,non_sch_qual_Cert3a4_Level_M,non_sch_qual_Cert3a4_Level_F,non_sch_qual_Cert3a4_Level_P,non_sch_qual_Cert1a2_Level_M,non_sch_qual_Cert1a2_Level_F,non_sch_qual_Cert1a2_Level_P,non_sch_qual_Certnfd_Level_M,non_sch_qual_Certnfd_Level_F,non_sch_qual_Certnfd_Level_P,non_sch_qual_CertTot_Level_M,non_sch_qual_CertTot_Level_F,non_sch_qual_CertTot_Level_P,Migtn_Lvd_same_add_1_yr_ago_M,Migtn_Lvd_same_add_1_yr_ago_F,Migtn_Lvd_same_add_1_yr_ago_P,Migtn_Lvd_Diff_add_1_yr_ago_M,Migtn_Lvd_Diff_add_1_yr_ago_F,Migtn_Lvd_Diff_add_1_yr_ago_P,Migtn_Lvd_sme_add_5_yrs_ago_M,Migtn_Lvd_sme_add_5_yrs_ago_F,Migtn_Lvd_sme_add_5_yrs_ago_P,Mign_Lvd_Diff_add_5_yrs_ago_M,Mign_Lvd_Diff_add_5_yrs_ago_F,Mign_Lvd_Diff_add_5_yrs_ago_P
SOSR101,1879348,1953176,3832530,747171,547232,1294401,252826,373749,626573,136653,133317,269972,65331,53774,119104,1201977,1108073,2310052,573656,741399,1315055,5.4,4.9,5.2,64,56.7,60.3,60.5,54,57.2,191326,191754,383075,30915,51784,82702,405105,471115,876218,161992,207764,369753,273211,140479,413683,11825,21547,33371,28592,44587,73175,313622,206612,520233,1816190,1868721,3684918,361286,365195,726476,1144938,1194399,2339338,911992,926009,1838004
SOSR102,418370,451009,869377,163879,102256,266134,59176,110462,169637,20781,27190,47974,13551,10263,23810,257390,250171,507562,139412,177711,317124,5.3,4.1,4.7,61.5,55.5,58.4,58.3,53.2,55.6,19854,21551,41403,5803,11978,17786,51440,73027,124468,33411,49069,82480,113596,61626,175222,4113,7576,11691,7172,12835,20003,124878,82031,206913,411927,432562,844484,70925,75540,146464,273498,286791,560290,183881,197089,380970
SOSR111,74382,82029,156414,31936,19680,51612,10273,21471,31744,2527,3386,5911,2566,2124,4691,47299,46664,93960,23030,31157,54182,5.4,4.5,5,63.6,56.9,60.1,60.1,54.3,57.1,2158,2672,4837,961,2075,3033,6974,11452,18429,5611,8747,14360,21473,13353,34828,840,1553,2396,1170,2079,3253,23484,16986,40476,73564,79191,152757,13840,15192,29032,45567,48775,94344,36688,40632,77319
SOSR112,204668,222863,427530,80774,52985,133757,27017,52237,79260,6771,8995,15768,6436,5031,11464,120999,119250,240249,70853,89783,160635,5.3,4.2,4.8,59.1,53.5,56.2,56,51.2,53.5,8099,9266,17360,2758,5742,8505,20316,32205,52517,13820,22616,36434,53059,32075,85133,2242,4202,6441,3207,6171,9372,58508,42444,100948,193032,208544,401576,38450,41940,80388,119997,129276,249277,98157,108589,206747
SOSR113,93193,100303,193489,32072,19197,51264,12011,23035,35056,3425,4193,7619,3179,2384,5559,50684,48808,99495,36139,44864,80998,6.3,4.9,5.6,54.4,48.7,51.4,51,46.3,48.5,2265,2728,4985,1011,2179,3192,7377,11727,19102,6160,9990,16149,26453,15172,41624,1067,1933,3006,1522,2814,4333,29044,19920,48966,87755,93169,180926,16171,17340,33512,56621,59558,116181,41773,45767,87540
SOSR114,101622,111551,213174,38563,24227,62791,12599,25427,38029,3565,4479,8052,2865,2452,5324,57598,56593,114192,36858,47554,84412,5,4.3,4.7,56.7,50.7,53.6,53.9,48.5,51.1,2548,3192,5737,1140,2513,3645,8371,13871,22242,6427,11121,17550,28253,16282,44533,1010,2049,3057,1643,3039,4678,30905,21371,52274,97381,104390,201777,18041,19836,37876,61811,65742,127554,47006,52369,99370
SOSR115,147017,157150,304163,52146,31465,83606,18226,36499,54726,5767,6716,12488,3962,3226,7193,80105,77912,158009,56273,68181,124457,4.9,4.1,4.6,54.5,49.6,51.9,51.8,47.5,49.6,3815,4966,8783,1675,3827,5500,11757,19829,31585,9452,16436,25889,42492,22319,64813,1459,2910,4370,2346,4222,6571,46297,29449,75749,140117,147140,287259,24169,26066,50232,92625,96190,188820,62831,68624,131452
SOSR121,39852,40916,80771,14736,8488,23220,5245,10423,15667,1635,1790,3427,1065,844,1907,22676,21549,44222,14426,16745,31171,4.7,3.9,4.3,56.9,52.7,54.8,54.2,50.6,52.4,1131,1395,2526,508,1084,1589,3430,5653,9082,2673,4518,7195,12187,6017,18204,366,853,1214,681,1134,1817,13237,8001,21240,39310,39789,79100,5892,6217,12109,26619,26741,53364,16302,17046,33347
SOSR122,20901,20745,41640,6995,4165,11163,2589,4860,7454,865,874,1737,632,423,1054,11082,10327,21413,7925,8682,16610,5.7,4.1,4.9,53,49.8,51.4,50,47.7,48.9,501,631,1130,228,501,733,1448,2545,3992,1298,2075,3378,5926,3085,9011,184,430,616,340,527,863,6446,4047,10488,19972,19568,39536,2700,2780,5476,14227,13721,27949,7416,7702,15114
SOSR131,243500,229449,472950,101640,55781,157425,31614,60981,92599,10949,11614,22568,5144,3957,9103,149358,132337,281693,74021,79115,153135,3.4,3,3.2,61.3,57.7,59.6,59.2,56,57.6,6982,8690,15679,2559,6253,8816,22374,36061,58433,16518,26003,42518,69522,30946,100464,2280,4515,6793,4106,6847,10954,75911,42299,118212,237378,224292,461664,28979,28630,57604,174703,162975,337678,79865,79123,158990
SOSR179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,50,50,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR199,5734,4381,10112,762,470,1229,410,506,910,216,155,370,392,252,647,1775,1382,3161,1917,1722,3630,22.1,18.4,20.5,31,31.6,31.3,24.1,25.8,24.9,146,181,327,33,76,109,425,540,969,274,339,614,858,463,1326,55,72,127,74,104,176,985,636,1621,1117,690,1808,2858,2673,5527,761,424,1186,3046,2835,5882
SOSR201,1833238,1929594,3762827,845499,530629,1376124,278438,483877,762318,64341,83342,147682,68524,60800,129322,1256803,1158643,2415445,485993,680943,1166937,5.5,5.2,5.4,68.6,60,64.2,64.8,56.9,60.8,168838,176303,345136,38885,74576,113463,371483,441008,812484,167626,205774,373397,293991,153735,447726,12155,18053,30205,22639,33992,56638,328793,205775,534571,1790936,1861199,3652138,335204,343911,679110,1136091,1198194,2334286,875103,898178,1773284
SOSR203,150016,166091,316110,64884,37722,102606,22010,46238,68243,5116,7502,12614,4959,4053,9016,96965,95512,192474,44997,62209,107209,5.1,4.2,4.7,64.6,57.5,60.9,61.3,55.1,58,7635,8310,15947,3059,6543,9606,20152,28661,48808,12351,17607,29960,35680,21665,57351,1417,2350,3761,1712,2693,4406,38809,26714,65523,145212,156537,301753,28689,31314,60002,89180,96180,185358,74871,82065,156938
SOSR211,42480,44812,87292,19281,10524,29808,5351,10414,15764,1595,1978,3570,1777,1729,3506,28008,24647,52651,11740,17405,29145,6.3,7,6.7,65.9,55,60.3,61.7,51.1,56.3,1343,1611,2958,439,1164,1596,3748,5540,9287,3629,4836,8470,10663,6901,17568,477,726,1201,579,869,1450,11722,8501,20222,43253,45003,88257,8308,8728,17031,24163,25076,49237,23557,24830,48390
SOSR212,101705,112074,213775,45281,26518,71802,13148,29763,42908,3787,5181,8968,3050,2512,5565,65272,63969,129242,30276,41607,71879,4.7,3.9,4.3,64.2,57.1,60.5,61.2,54.8,57.9,3414,4333,7746,1730,4068,5796,11014,17212,28230,8188,12562,20745,26132,14447,40575,924,1548,2470,1262,1917,3177,28319,17914,46230,101823,108754,210578,16926,18542,35465,64086,68051,132141,47871,52699,100570
SOSR213,97402,106926,204331,40354,22065,62424,12148,27988,40134,3351,4511,7866,2979,2315,5298,58834,56885,115719,32921,43837,76756,5.1,4.1,4.6,60.4,53.2,56.6,57.3,51,54,2450,3344,5791,1434,3373,4812,8166,13595,21764,7416,11664,19081,27087,15515,42601,925,1635,2564,1295,1811,3111,29310,18967,48280,96168,102916,199086,15890,17407,33297,60673,64673,125351,44867,49379,94250
SOSR214,58042,63822,121867,20671,11631,32301,7228,15156,22375,2183,2814,5002,1442,1169,2614,31522,30773,62297,22670,28969,51642,4.6,3.8,4.2,54.3,48.2,51.1,51.8,46.4,49,1506,1848,3354,861,1977,2835,4621,7910,12531,4264,6892,11157,15700,8353,24054,512,1041,1554,767,1128,1896,16977,10523,27500,55533,59655,115195,8956,9729,18687,35451,37805,73252,25840,28451,54294
SOSR215,89222,95544,184765,35247,18281,53532,10822,24219,35043,3620,4534,8161,2163,1799,3970,51864,48833,100697,31286,40417,71700,4.2,3.7,3.9,58.1,51.1,54.5,55.7,49.2,52.4,2309,3126,5434,1336,3258,4591,7323,12478,19803,6268,10866,17134,25564,12931,38491,805,1502,2306,1173,1700,2870,27540,16129,43669,88001,92080,180079,12888,13736,26625,57951,60276,118233,37554,40517,78068
SOSR221,25357,25825,51183,9477,4761,14240,3209,6823,10032,1000,1280,2276,563,453,1016,14251,13320,27569,9282,10734,20013,3.9,3.4,3.7,56.2,51.6,53.9,54,49.8,51.9,665,879,1545,411,879,1289,2040,3622,5667,1825,2960,4781,7496,3531,11029,204,415,615,319,448,766,8018,4395,12409,24710,24865,49573,3424,3542,6964,16733,16693,33421,10085,10381,20471
SOSR222,13866,13745,27613,5115,2753,7868,1803,3529,5328,650,713,1362,366,284,653,7936,7275,15215,4741,5412,10149,4.6,3.9,4.3,57.2,53,55.1,54.6,50.9,52.7,314,430,740,199,452,648,1074,1880,2951,916,1576,2493,3931,1841,5775,115,238,353,181,230,415,4226,2314,6543,13276,13155,26430,1770,1815,3582,9429,9144,18576,4956,5149,10107
SOSR231,184354,171931,356286,80282,39377,119657,23698,50233,73932,7992,9141,17133,3471,2757,6227,115450,101508,216956,54461,57304,111759,3,2.7,2.9,62.6,59,60.9,60.7,57.4,59.1,4504,6218,10724,2485,6222,8712,15782,26379,42161,13377,20317,33698,52180,21546,73722,1431,2702,4133,2337,3176,5512,55945,27419,83365,180010,170168,350178,19020,18968,37989,133903,125007,258912,56914,56263,113184
SOSR279,36,6,38,7,0,8,0,0,0,0,0,0,0,0,0,7,0,15,0,0,0,0,0,0,28.6,25,28.2,28.6,25,28.2,0,0,0,0,0,0,3,0,3,4,0,4,4,0,4,0,0,0,0,0,0,4,0,4,7,0,7,0,0,0,5,0,5,7,0,9
SOSR299,4576,3373,7946,621,302,919,281,367,646,125,103,231,298,191,485,1324,961,2281,1218,1228,2447,22.6,19.6,21.3,28.9,28.4,28.7,22.4,22.9,22.6,114,129,239,35,69,98,337,365,701,161,208,372,614,336,949,54,54,112,50,41,90,715,435,1148,847,576,1426,2008,1884,3889,538,340,876,2171,2008,4180
SOSR301,896541,951062,1847605,414701,273245,687942,126046,225897,351937,42255,61904,104160,35993,30584,66577,618987,591631,1210617,232757,315910,548662,5.8,5.2,5.5,69,62.2,65.5,65,59,61.9,61201,62678,123874,17419,32642,50060,152370,197481,349846,77911,104468,182371,191581,112959,304541,10561,13892,24448,12801,19118,31919,214937,145969,360909,862743,898630,1761367,191569,202886,394462,506438,526690,1033128,487721,517885,1005602
SOSR302,350936,386454,737390,141221,89075,230295,54286,100229,154514,17795,26362,44151,12206,10755,22956,225504,226416,451917,103044,136819,239865,5.4,4.7,5.1,64.3,58.6,61.3,60.8,55.8,58.2,15678,17700,33380,5127,10576,15697,46574,67659,114229,33356,49844,83203,90781,49778,140564,3504,5371,8874,6015,9533,15546,100299,64679,164984,322438,345041,667483,78189,86496,164687,180376,192062,372432,199586,220014,419603
SOSR303,170562,181716,352278,74168,51642,125810,22864,45775,68639,5814,6985,12805,6636,5488,12122,109480,109890,219373,46399,59610,106008,6.1,5,5.5,64.2,60.5,62.3,60.3,57.5,58.8,6331,7452,13780,2298,5268,7563,17917,29999,47916,12860,18478,31345,44197,26038,70236,2409,3215,5626,2343,3316,5659,48950,32567,81520,156430,165014,321439,36233,39876,76111,93712,98106,191822,88054,96534,184584
SOSR311,99888,107048,206931,40248,26149,66400,11010,24454,35462,3323,3722,7047,3826,3006,6829,58411,57328,115735,32935,42526,75463,6.6,5.2,5.9,58.5,53.6,55.9,54.6,50.7,52.6,2146,2316,4461,1008,2160,3161,7152,13253,20404,5730,9349,15075,29481,16333,45816,1493,2076,3566,1407,2048,3451,32376,20459,52835,92923,98291,191216,19776,21777,41559,58711,60987,119698,47817,53313,101127
SOSR312,39514,42184,81697,13919,7935,21855,4361,9013,13370,1568,1811,3381,1845,1426,3269,21692,20182,41877,15240,19568,34809,8.5,7.1,7.8,54.9,47.9,51.3,50.2,44.5,47.3,749,870,1612,408,809,1212,2673,4628,7300,2724,4013,6742,12103,6780,18881,627,973,1598,610,904,1509,13340,8651,21993,36704,38633,75333,7760,8474,16236,22358,23139,45496,19855,21771,41624
SOSR313,61719,65608,127325,27838,17189,45023,6936,15882,22812,2351,2653,5006,2087,1773,3857,39208,37495,76701,17306,23969,41274,5.3,4.7,5,63.5,57.2,60.2,60.1,54.4,57.2,1234,1569,2806,688,1497,2185,4402,8427,12832,3882,6270,10157,18316,10631,28944,965,1445,2405,883,1281,2167,20161,13358,33514,58028,60883,118910,14393,15666,30064,33451,34339,67791,34171,37768,71936
SOSR314,65017,67919,132939,28147,17080,45233,7045,15766,22806,2791,3219,6014,2100,1827,3924,40081,37894,77977,18491,24668,43165,5.2,4.8,5,61.6,55.8,58.7,58.4,53.1,55.7,1191,1540,2732,544,1412,1950,4283,8012,12295,4066,6610,10679,18930,10518,29447,859,1348,2201,934,1362,2300,20721,13232,33951,60974,63136,124113,12955,13969,26922,37476,38172,75646,31925,34758,66683
SOSR315,102577,104319,206897,38200,23344,61543,10526,22769,33297,4197,4768,8958,3292,2731,6021,56213,53606,109818,36603,42482,79079,5.9,5.1,5.5,54.8,51.4,53.1,51.6,48.8,50.2,1529,2081,3615,895,2080,2979,6004,11452,17455,6040,10150,16189,29744,16175,45920,1372,2165,3536,1470,2067,3539,32586,20406,52995,93876,95899,189776,19253,20876,40130,58601,58940,117544,47859,51502,99356
SOSR321,39712,39529,79232,13818,8309,22122,4237,8644,12886,1696,1846,3548,1404,1182,2584,21157,19978,41137,15019,16332,31352,6.6,5.9,6.3,53.3,50.5,51.9,49.8,47.6,48.7,665,879,1544,344,850,1194,2259,4395,6648,2386,3919,6310,11457,6014,17471,540,782,1318,566,793,1361,12561,7588,20150,37238,37123,74358,6408,6714,13127,25031,24379,49407,16299,17279,33578
SOSR322,17986,17558,35541,6239,3691,9925,1644,3574,5214,775,747,1519,683,479,1162,9335,8490,17829,6869,7521,14390,7.3,5.6,6.5,51.9,48.4,50.2,48.1,45.6,46.9,211,343,551,108,311,417,845,1648,2493,907,1566,2469,5137,2612,7751,317,431,751,259,330,591,5721,3370,9089,16773,16250,33024,2778,3026,5809,11769,11252,23022,6652,6934,13591
SOSR331,192653,177913,370559,80721,43947,124669,20619,44254,64873,8600,9028,17620,4801,3751,8553,114738,100979,215714,58551,61814,120365,4.2,3.7,4,59.6,56.8,58.2,57.1,54.6,55.9,3582,4617,8197,1600,4044,5645,12656,23904,36557,11705,18396,30107,55560,25627,81184,2149,3344,5486,2865,3772,6636,60568,32741,93310,180169,169440,349605,25252,25625,50875,130235,120195,250438,65951,66373,132326
SOSR379,149,28,183,25,0,26,0,0,0,6,0,8,0,0,3,31,3,35,6,0,11,3.1,33.3,5.7,21.2,9.7,19.2,20.5,6.5,18.1,0,0,0,0,0,0,3,0,4,0,5,4,18,0,14,7,0,7,4,0,4,25,0,25,39,5,47,3,0,4,17,3,20,26,3,30
SOSR399,7108,6127,13234,1003,602,1610,462,658,1119,244,247,492,466,384,851,2172,1892,4069,2898,2883,5780,21.5,20.1,20.9,30.6,30.9,30.7,24,24.7,24.3,171,197,369,66,101,168,494,831,1322,384,577,959,1449,778,2225,71,114,183,96,112,208,1616,1003,2617,1455,1091,2545,4166,4209,8378,948,648,1590,4429,4444,8873
SOSR401,501480,532069,1033551,214421,130402,344825,78758,143818,222573,14191,18111,32297,20122,16018,36143,327488,308350,635843,153976,204510,358488,6.1,5.2,5.7,65.3,58,61.5,61.3,54.9,58,32240,34233,66474,9039,16379,25420,79411,101724,181133,41019,51306,92327,105576,62257,167834,5712,7638,13349,7263,10607,17871,118553,80504,199049,499551,522848,1022394,79345,82060,161409,329285,345483,674768,220132,231908,452045
SOSR412,38217,41390,79604,16860,9699,26553,4912,11052,15964,1244,1543,2792,1426,1084,2509,24438,23377,47816,11899,16038,27937,5.8,4.6,5.2,63.9,56.5,60.1,60.2,53.9,56.9,778,1028,1807,435,974,1411,2933,5146,8078,2565,3895,6465,10926,6725,17649,571,910,1480,558,842,1404,12050,8479,20533,38027,40101,78129,6474,6941,13411,24826,25938,50769,17234,18913,36148
SOSR413,36884,38749,75634,12474,7465,19943,4872,9719,14597,1239,1278,2521,1299,949,2250,19888,19417,39302,14921,17420,32351,6.5,4.9,5.7,53.9,50.1,52,50.4,47.7,49,1210,1271,2485,520,1028,1546,3259,5017,8275,2248,3428,5673,8933,5301,14231,462,750,1210,565,787,1346,9963,6832,16798,35162,37344,72510,5275,5889,11157,24262,25582,49845,14187,15702,29890
SOSR414,12713,13953,26670,4636,2544,7178,1709,3558,5270,393,480,876,323,294,621,7058,6875,13936,5049,6463,11514,4.6,4.2,4.4,55.5,49.3,52.2,52.9,47.2,49.9,221,329,549,121,317,441,933,1775,2712,964,1474,2433,3492,2102,5595,168,253,419,234,344,574,3898,2697,6589,12299,13346,25647,2001,2141,4147,7894,8471,16366,5756,6356,12110
SOSR415,47182,49369,96551,18333,9998,28330,5688,12569,18256,1644,1804,3449,1368,1028,2403,27031,25404,52432,17097,21089,38184,5.1,4.1,4.6,57.3,51.5,54.3,54.4,49.4,51.8,841,1001,1844,431,1098,1531,3077,5614,8693,2869,4778,7652,12690,7374,20069,617,912,1528,747,996,1742,14060,9282,23341,45598,47315,92913,7102,7597,14705,30939,31587,62529,19171,20777,39945
SOSR421,13143,13648,26793,5031,2559,7590,1604,3605,5210,480,562,1046,336,277,615,7459,6998,14459,4688,5676,10368,4.5,3.9,4.2,56.8,51.3,54,54.2,49.3,51.7,183,287,468,131,250,387,770,1579,2348,719,1331,2051,3621,1940,5558,156,250,404,204,294,501,3984,2478,6461,12770,13096,25864,1621,1762,3381,9252,9308,18563,4474,4889,9366
SOSR422,8278,7899,16171,2565,1335,3899,947,1888,2834,295,265,561,347,202,557,4153,3692,7852,3422,3563,6987,8.4,5.6,7.1,50.2,46.8,48.5,46,44.2,45.1,95,140,236,57,152,208,358,713,1074,383,629,1018,2152,1150,3302,111,175,279,134,147,283,2397,1472,3864,7755,7376,15127,1088,1092,2177,5712,5467,11182,2682,2596,5274
