SOSR_CODE_2021,M_0_299_DS_DS_Sept_house,M_0_299_DS_DS_sd_row_tce_hs_t,M_0_299_DS_DS_Flat_apart,M_0_299_DS_DS_Other_dwg,M_0_299_DS_ns,M_0_299_Tot,M_300_449_DS_Separate_hse,M_300_449_DS_sd_row_tc_hse_th,M_300_449_DS_Flat_apart,M_300_449_DS_Other_dwg,M_300_449_DS_ns,M_300_449_Tot,M_450_599_DS_Separate_hse,M_450_599_DS_sd_row_tce_hs_th,M_450_599_DS_Flat_apart,M_450_599_DS_Other_dwg,M_450_599_DS_ns,M_450_599_Tot,M_600_799_DS_Separate_hse,M_600_799_DS_sd_row_tc_hs_th,M_600_799_DS_Flat_apart,M_600_799_DS_Other_dwg,M_600_799_DS_ns,M_600_799_Tot,M_800_999_DS_Separate_hse,M_800_999_DS_sd_row_tc_hs_th,M_800_999_DS_Flat_apart,M_800_999_DS_Other_dwg,M_800_999_DS_ns,M_800_999_Tot,M_1000_1399_DS_Separate_hse,M_1000_1399_DS_sd_rw_tc_h_th,M_1000_1399_DS_Flat_apart,M_1000_1399_DS_Other_dwg,M_1000_1399_DS_ns,M_1000_1399_Tot,M_1400_1799_DS_Separate_hse,M_1400_1799_DS_sd_rw_tc_h_th,M_1400_1799_DS_Flat_apart,M_1400_1799_DS_Other_dwg,M_1400_1799_DS_ns,M_1400_1799_Tot,M_1800_2399_DS_Separate_hse,M_1800_2399_DS_sd_rw_tc_h_th,M_1800_2399_DS_Flat_apart,M_1800_2399_DS_Other_dwg,M_1800_2399_DS_ns,M_1800_2399_Tot,M_2400_2999_DS_Separate_hse,M_2400_2999_DS_sd_rw_tc_h_th,M_2400_2999_DS_Flat_apart,M_2400_2999_DS_Other_dwg,M_2400_2999_DS_ns,M_2400_2999_Tot,M_3000_3999_DS_Separate_hse,M_3000_3999_DS_sd_rw_tc_h_th,M_3000_3999_DS_Flt_apart,M_3000_3999_DS_Other_dwg,M_3000_3999_DS_ns,M_3000_3999_Tot,M_4000_over_DS_Separate_hse,M_4000_ov_DS_sd_rw_tce_hs_th,M_4000_over_DS_Flat_apart,M_4000_over_DS_Other_dwg,M_4000_DS_over_ns,M_4000_over_Tot,Mort_Rpmnt_ns_DS_Separat_hs,Mrt_Rpmt_ns_DS_sd_rw_tc_hs_th,Mrt_Rpmt_ns_DS_Flat_apart,Mort_Rpmnt_ns_DS_Other_dwg,Mort_Rpmnt_ns_DS_ns,Mort_Rpmnt_ns_Total,Tot_DS_Separate_hse,Tot_DS_sd_row_tce_hse_thse,Tot_DS_Flat_apartment,Tot_DS_Other_dwg,Tot_DS_ns,Tot_Tot
SOSR179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR201,23313,4002,2209,34,16,29568,7124,1231,646,7,3,9012,6126,1058,649,9,4,7843,10347,1845,1174,18,5,13386,14103,2603,2038,21,6,18774,45101,8882,8556,98,30,62666,62984,12161,11440,105,57,86738,108262,17720,13550,144,60,139737,56635,9907,5586,63,38,72229,51956,10186,4475,66,43,66719,47762,9521,3173,53,36,60534,31839,5157,2779,44,25,39841,465538,84272,56274,644,319,607042
SOSR203,1976,116,18,0,0,2109,1086,76,17,0,0,1174,941,72,9,0,0,1028,1979,171,36,4,5,2198,2846,267,53,0,3,3169,9559,665,138,10,18,10382,10193,494,76,7,15,10785,9434,336,64,6,14,9847,3130,106,12,0,5,3262,2234,71,17,0,0,2325,1363,48,14,0,3,1424,2418,124,23,4,6,2564,47162,2536,469,35,58,50264
SOSR211,582,26,0,0,0,614,276,17,0,0,0,294,265,20,3,0,0,286,477,45,0,0,0,524,833,70,12,0,0,913,2966,193,19,0,0,3181,4100,102,9,0,3,4208,3676,51,5,0,5,3733,769,6,0,0,3,777,547,11,0,0,0,558,342,6,0,0,0,355,940,34,0,0,0,975,15771,577,47,0,15,16414
SOSR212,1394,63,22,0,4,1485,731,44,16,0,0,789,648,37,11,0,0,688,1428,94,36,0,4,1569,2327,113,46,0,3,2487,6978,251,111,0,9,7348,6791,173,83,0,0,7053,6685,130,41,5,5,6861,2568,50,3,5,0,2628,1862,34,3,0,0,1898,1148,19,5,5,3,1168,2073,58,35,3,0,2167,34631,1066,404,25,25,36151
SOSR213,1344,65,9,0,4,1426,868,41,10,0,0,914,833,35,9,0,0,885,1861,68,17,4,0,1951,2595,115,35,0,0,2750,6868,218,37,7,3,7138,6730,169,17,0,3,6924,5966,87,5,5,0,6061,1883,14,0,0,0,1902,1233,16,5,0,4,1254,714,8,4,3,4,736,1889,56,9,0,0,1966,32783,891,169,22,23,33897
SOSR214,745,28,4,3,4,778,509,24,4,0,3,535,493,20,3,0,0,523,1113,44,0,6,0,1163,1584,50,9,0,6,1645,3658,112,16,6,0,3798,3145,112,3,9,3,3273,3072,64,3,4,5,3153,1058,23,0,0,0,1082,724,13,0,0,0,738,367,3,0,0,0,377,976,36,0,3,0,1018,17446,521,55,35,21,18080
SOSR215,1373,43,12,7,5,1438,955,24,7,0,0,993,945,17,4,7,0,975,1953,63,0,6,0,2025,2567,57,8,6,3,2640,5970,103,21,5,5,6114,5535,60,26,12,8,5639,5530,48,15,3,11,5610,2102,18,7,5,3,2131,1409,15,3,3,3,1439,825,11,0,0,5,847,1909,27,5,5,6,1949,31087,494,116,63,42,31803
SOSR221,416,8,0,5,0,431,381,4,0,0,0,399,377,3,0,4,0,383,643,4,3,3,0,656,779,8,0,4,0,792,1737,11,3,3,0,1761,1531,12,6,3,0,1553,1261,7,4,8,3,1278,478,3,3,0,0,482,377,7,3,0,0,381,220,0,4,0,0,225,502,4,3,0,0,515,8698,82,38,33,9,8864
SOSR222,251,0,3,0,0,251,256,0,0,0,0,259,245,0,0,0,0,249,389,8,3,3,0,405,498,0,0,3,0,505,1017,6,3,5,0,1035,780,10,0,0,0,789,609,3,0,0,0,620,208,0,0,0,0,213,162,0,0,0,0,167,107,0,0,0,0,107,286,0,0,0,0,290,4812,30,24,21,0,4885
SOSR231,3433,12,3,12,11,3465,1488,0,0,5,0,1499,1457,0,0,11,0,1471,2576,7,4,12,7,2598,3351,12,3,14,6,3387,8587,23,3,18,10,8645,8354,16,6,13,9,8397,9366,30,3,23,14,9438,4491,10,3,12,9,4516,4142,7,0,6,6,4172,3750,13,0,4,7,3781,3862,8,0,10,4,3889,54863,149,29,137,82,55254
SOSR279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR301,10424,683,839,8,3,11960,3666,340,253,0,0,4265,3083,374,317,5,0,3778,5583,776,633,8,5,7008,8498,1260,1074,4,8,10843,30239,4413,4188,9,30,38875,44466,4606,4866,15,40,53987,62471,3671,4276,20,32,70469,31030,1250,1539,5,16,33833,25191,798,1183,6,23,27200,17323,450,971,3,16,18764,13989,923,922,7,13,15854,255966,19535,21066,87,180,296833
SOSR302,3417,686,579,9,11,4696,1258,394,216,4,0,1872,962,310,190,0,0,1461,1737,548,404,11,9,2713,2437,878,717,8,9,4044,7250,3257,2116,20,20,12669,11833,3947,2308,5,32,18126,23016,3179,2046,13,31,28285,12214,980,678,7,9,13887,9273,683,593,0,18,10567,6062,434,406,0,16,6921,5676,968,708,0,9,7370,85134,16267,10974,78,157,112613
SOSR303,1932,125,120,0,10,2172,731,90,80,0,0,902,754,121,110,0,4,992,1715,254,238,4,0,2211,2836,313,319,0,4,3480,10153,671,535,13,6,11381,11519,344,303,5,13,12182,9752,177,204,4,10,10148,3182,34,72,3,0,3299,2281,34,49,0,3,2370,1383,27,41,0,4,1466,2581,104,120,5,9,2821,48830,2295,2202,42,62,53420
SOSR311,1155,59,25,0,4,1240,578,46,20,0,0,649,568,54,18,0,0,646,1238,73,40,4,0,1362,2036,108,63,3,0,2212,6675,231,89,14,3,7008,6323,139,58,0,4,6531,5112,52,46,9,4,5231,1723,24,18,5,0,1770,1070,8,15,0,3,1100,625,12,9,4,4,657,1651,45,19,0,4,1708,28756,857,421,39,33,30111
SOSR312,501,32,13,0,0,545,253,18,9,0,0,280,254,18,9,0,0,285,571,31,28,0,0,629,887,52,33,4,3,971,2146,113,40,0,3,2308,2291,94,37,3,0,2423,2182,49,16,0,4,2252,667,14,4,0,0,690,447,5,9,0,0,462,224,7,0,0,0,235,615,28,15,0,0,659,11037,463,212,16,11,11737
SOSR313,610,22,18,3,3,662,340,29,14,0,0,379,369,19,18,0,0,405,765,30,33,4,4,829,1329,46,38,0,3,1421,3825,111,82,11,7,4030,3985,83,54,6,4,4139,3530,56,38,7,11,3641,1060,20,9,4,0,1089,692,11,6,4,6,716,393,7,3,0,4,413,1067,18,21,3,4,1108,17966,446,330,45,39,18829
SOSR314,683,18,7,0,0,712,350,22,7,0,0,372,403,21,11,0,0,431,882,20,5,10,0,913,1249,22,16,5,0,1289,3537,73,28,6,0,3645,3999,34,17,0,0,4048,4345,20,8,9,3,4395,1458,6,0,9,0,1466,821,9,3,4,0,840,454,0,7,3,4,473,1163,7,13,5,6,1194,19342,252,111,50,17,19777
SOSR315,1196,31,15,8,4,1253,788,20,11,4,0,827,752,26,14,7,3,800,1492,30,29,8,0,1559,1998,39,35,3,4,2082,5278,94,54,14,8,5441,5417,71,40,5,8,5536,5713,44,12,11,12,5796,1971,21,9,9,4,2012,1147,8,7,3,3,1164,586,4,9,5,6,605,1661,20,22,4,4,1713,27996,408,239,80,57,28785
SOSR321,534,0,3,9,4,554,362,0,0,0,0,362,353,3,0,3,0,359,694,4,6,9,0,713,879,7,0,10,0,897,2240,18,5,8,3,2269,2196,12,6,11,0,2220,2063,14,0,7,5,2093,748,0,6,0,0,753,473,0,3,4,4,483,271,0,0,12,0,286,751,14,4,5,4,776,11559,73,38,72,25,11767
SOSR322,237,0,0,0,0,238,195,0,0,0,0,197,172,5,0,0,0,179,344,3,0,3,0,357,395,5,0,3,0,403,848,12,3,0,3,864,685,0,0,9,0,699,573,0,0,6,5,581,189,0,0,0,0,190,142,0,0,3,0,148,93,0,0,3,0,97,251,0,0,3,3,259,4134,31,12,31,21,4222
SOSR331,3317,32,14,34,34,3433,1259,6,0,12,3,1280,1221,8,0,17,3,1255,2197,12,8,21,4,2243,2974,17,3,29,10,3038,8258,37,5,51,20,8368,8572,56,10,34,17,8684,10417,62,23,44,18,10572,4935,25,6,22,14,5002,4145,21,8,10,7,4197,3258,15,7,19,24,3327,3880,23,7,32,18,3966,54427,321,103,330,182,55358
SOSR379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR401,7121,1011,310,13,15,8467,3198,521,164,8,0,3888,3039,502,184,4,0,3729,5838,976,416,7,6,7249,8569,1464,759,3,6,10805,27568,4017,1796,19,59,33455,30576,4004,1199,9,52,35846,28658,3590,729,9,52,33041,11114,1301,213,4,23,12663,9195,935,158,6,13,10308,6555,598,137,8,16,7310,7312,936,297,5,12,8557,148746,19847,6355,95,258,175308
SOSR412,505,78,8,0,0,588,337,116,13,0,0,462,325,102,12,0,0,436,740,229,23,0,4,994,1254,229,14,0,0,1502,3290,263,21,0,9,3579,2861,70,9,0,5,2946,2200,42,0,0,9,2250,631,11,6,3,0,641,355,4,0,0,0,368,213,3,0,0,0,219,550,52,11,0,0,614,13264,1193,114,5,17,14597
SOSR413,513,19,4,5,3,537,405,36,0,0,0,440,443,43,0,0,0,482,835,53,11,0,0,900,1192,45,4,0,4,1249,2420,42,8,5,6,2480,1765,23,0,0,5,1789,1363,12,0,0,5,1383,518,6,0,0,0,528,439,0,0,0,5,444,376,4,0,0,0,384,544,23,3,0,0,568,10811,311,45,17,19,11198
SOSR414,194,7,3,0,0,198,139,4,0,0,0,147,137,3,0,0,0,139,287,7,0,0,0,308,410,8,0,0,0,425,1111,15,0,3,3,1130,1065,6,0,0,4,1075,592,3,0,0,0,593,127,4,0,0,0,130,87,0,0,0,0,87,38,0,0,0,0,38,157,3,0,0,0,162,4332,75,6,7,18,4437
SOSR415,634,21,0,0,0,662,559,34,0,0,0,600,619,44,0,0,0,666,1287,46,7,4,0,1339,1609,31,5,5,0,1654,3416,68,0,10,8,3498,2852,31,0,0,4,2891,2267,8,5,9,10,2295,702,3,0,3,5,711,390,0,0,0,0,396,255,3,0,0,0,265,691,25,0,0,5,717,15291,317,26,31,36,15693
SOSR421,216,3,0,0,0,221,231,3,0,0,0,239,213,3,0,6,5,223,422,7,3,3,0,429,470,5,0,0,0,477,961,4,5,3,0,978,720,0,0,3,0,727,536,0,0,0,0,538,148,0,0,0,0,148,117,6,0,0,0,121,69,0,0,0,0,69,213,3,0,0,0,214,4320,40,10,19,5,4396
SOSR422,151,5,0,0,0,156,204,3,0,0,0,206,175,3,0,0,0,180,302,3,0,4,0,304,329,5,0,0,0,332,534,3,0,0,0,532,316,3,0,4,0,327,185,0,0,4,0,188,60,0,0,0,0,64,47,0,0,0,0,47,24,0,0,0,0,25,118,0,0,0,0,119,2452,24,0,15,10,2497
SOSR431,1307,9,0,6,3,1327,665,4,0,0,0,680,627,5,0,0,0,639,1153,6,0,6,0,1168,1406,4,0,6,0,1426,3254,19,3,8,4,3293,2718,12,0,10,3,2746,2789,12,0,12,4,2809,1254,4,0,7,3,1266,1050,4,0,4,0,1058,777,0,0,3,0,789,991,7,0,4,3,1006,17997,90,8,72,36,18203
SOSR479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR501,11436,1337,466,9,5,13250,3808,457,171,4,0,4433,3405,450,217,0,0,4070,6054,920,403,12,3,7391,8834,1347,658,15,3,10857,32470,4911,2215,12,18,39620,48575,5843,2279,15,27,56745,69039,5854,1940,15,45,76892,31751,2326,772,4,14,34873,25243,1969,695,5,8,27923,19960,1264,490,10,11,21735,15361,1411,507,6,14,17307,275929,28092,10814,104,157,315082
SOSR511,403,28,3,0,0,435,168,15,0,0,0,193,171,11,3,0,0,179,316,16,6,3,0,346,532,36,3,4,0,574,1977,108,9,0,0,2096,2663,63,3,3,3,2738,2470,44,8,0,4,2521,825,21,0,0,0,853,526,17,4,0,0,539,320,8,4,0,0,332,551,26,3,0,4,580,10919,399,54,12,17,11395
SOSR512,554,28,4,0,0,582,325,13,0,0,0,338,241,26,0,0,0,269,617,40,6,0,4,668,883,58,3,4,0,950,2864,160,17,8,0,3043,3273,102,11,5,3,3386,3267,92,4,4,3,3360,1059,16,0,0,0,1081,768,21,0,0,0,794,417,16,0,0,0,439,792,30,4,0,0,825,15051,609,45,18,12,15734
SOSR513,201,12,7,0,0,213,66,13,0,0,0,79,65,12,0,0,0,79,170,25,0,5,0,204,247,31,7,5,0,286,854,76,8,0,0,936,1130,52,0,0,0,1185,1583,61,5,10,0,1663,680,21,0,0,0,706,562,9,0,0,0,578,348,13,0,4,0,361,370,11,0,4,0,393,6271,329,40,32,3,6671
SOSR514,159,0,0,0,3,161,94,3,0,0,0,95,109,5,0,0,0,112,203,9,3,0,0,214,279,14,0,0,0,288,668,22,3,0,0,695,747,30,0,0,3,777,733,33,0,0,0,766,263,12,0,0,0,276,189,11,0,0,0,195,99,6,0,0,0,105,189,14,0,0,0,202,3727,155,8,0,11,3906
SOSR515,422,16,0,5,0,436,256,6,0,0,3,262,264,6,0,3,0,277,535,14,0,0,0,552,712,14,4,5,0,736,1915,24,4,7,5,1945,1788,17,6,3,0,1815,1846,13,4,8,0,1864,676,3,0,5,0,687,441,3,0,6,0,446,257,9,0,3,0,271,499,8,0,3,3,512,9603,122,16,40,13,9801
SOSR521,189,0,0,5,0,198,148,0,0,0,0,148,156,0,0,0,0,160,288,3,0,6,0,297,360,7,0,0,0,364,764,4,4,4,0,777,661,6,0,0,0,672,593,3,3,8,0,608,249,3,0,0,0,259,156,0,0,0,0,158,108,0,0,5,4,113,223,0,0,0,0,225,3903,30,9,23,0,3968
SOSR522,107,0,0,0,3,116,108,0,0,3,0,118,117,0,0,0,0,117,162,0,0,0,0,166,127,0,0,0,0,128,321,3,0,0,0,323,230,0,0,4,0,233,220,0,0,0,0,226,72,0,0,4,0,76,60,0,0,0,0,62,44,0,0,0,0,47,125,0,0,4,0,123,1698,8,8,19,3,1734
SOSR531,1242,6,4,7,11,1270,374,0,0,4,0,381,319,5,0,6,3,327,520,8,0,9,3,536,629,3,0,7,3,642,1977,16,5,20,8,2028,2116,12,4,19,10,2156,3290,22,5,19,8,3347,1919,10,0,11,5,1947,1997,17,0,13,6,2031,1445,7,3,13,21,1495,1143,5,0,18,5,1169,16966,105,25,139,99,17338
SOSR579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR603,1182,51,44,0,3,1282,590,28,25,0,0,641,519,21,36,0,0,576,1011,48,60,0,0,1117,1477,61,87,0,0,1630,4488,194,240,4,0,4922,4748,144,150,3,0,5046,4334,104,83,4,5,4536,1635,49,15,5,0,1706,1207,30,22,4,0,1268,879,24,17,4,4,919,977,29,44,0,4,1052,23045,790,834,20,13,24709
SOSR611,445,25,14,0,0,480,249,14,10,0,0,279,262,14,10,0,0,286,571,48,41,0,0,666,984,46,39,0,0,1072,2529,89,79,0,0,2701,1898,69,28,0,0,1997,1222,57,13,0,5,1293,340,9,7,0,0,361,265,4,0,0,0,278,171,13,0,0,0,179,429,24,10,0,0,461,9358,423,257,5,6,10050
SOSR612,236,9,0,0,0,249,222,7,0,0,0,231,203,6,0,0,0,207,457,15,0,0,0,480,748,14,0,0,0,756,1710,27,0,0,3,1736,885,12,0,4,0,902,476,5,0,0,0,481,143,0,0,0,0,143,81,0,0,0,0,84,67,0,0,0,0,61,235,0,0,0,0,239,5452,93,6,11,3,5564
SOSR613,80,7,0,0,0,82,50,0,0,0,0,52,51,0,0,0,0,52,124,5,0,0,0,132,182,3,0,0,0,187,441,12,0,5,0,454,274,0,0,0,0,278,168,0,0,0,0,169,30,0,0,0,0,30,32,0,0,0,0,32,10,0,0,0,0,9,66,0,0,0,0,66,1504,38,0,8,0,1548
SOSR614,116,0,0,0,0,120,94,5,0,0,0,94,93,0,0,0,0,96,174,6,0,0,0,177,279,4,0,0,0,280,674,9,0,0,0,684,481,0,3,0,0,485,277,0,0,0,0,276,58,0,0,0,0,58,33,0,0,0,0,33,32,0,0,0,0,32,104,0,0,0,0,104,2410,21,3,3,0,2440
