SOSR_CODE_2021,F_Mgnt_Com_35_44,F_Mgnt_Com_45_54,F_Mgnt_Com_55_64,F_Mgnt_Com_65_74,F_Mgnt_Com_75_84,F_Mgnt_Com_85ov,F_Mgnt_Com_Tot,F_Society_Cult_15_24,F_Society_Cult_25_34,F_Society_Cult_35_44,F_Society_Cult_45_54,F_Society_Cult_55_64,F_Society_Cult_65_74,F_Society_Cult_75_84,F_Society_Cult_85ov,F_Society_Cult_Tot,F_Creative_Arts_15_24,F_Creative_Arts_25_34,F_Creative_Arts_35_44,F_Creative_Arts_45_54,F_Creative_Arts_55_64,F_Creative_Arts_65_74,F_Creative_Arts_75_84,F_Creative_Arts_85ov,F_Creative_Arts_Tot,F_Fd_Hosp_Psnl_Svcs_15_24,F_Fd_Hosp_Psnl_Svcs_25_34,F_Fd_Hosp_Psnl_Svcs_35_44,F_Fd_Hosp_Psnl_Svcs_45_54,F_Fd_Hosp_Psnl_Svcs_55_64,F_Fd_Hosp_Psnl_Svcs_65_74,F_Fd_Hosp_Psnl_Svcs_75_84,F_Fd_Hosp_Psnl_Svcs_85ov,F_Fd_Hosp_Psnl_Svcs_Tot,F_MixFld_Prgm_15_24,F_MixFld_Prgm_25_34,F_MixFld_Prgm_35_44,F_MixFld_Prgm_45_54,F_MixFld_Prgm_55_64,F_MixFld_Prgm_65_74,F_MixFld_Prgm_75_84,F_MixFld_Prgm_85ov,F_MixFld_Prgm_Tot,F_FldStd_InadDes_15_24,F_FldStd_InadDes_25_34,F_FldStd_InadDes_35_44,F_FldStd_InadDes_45_54,F_FldStd_InadDes_55_64,F_FldStd_InadDes_65_74,F_FldStd_InadDes_75_84,F_FldStd_InadDes_85ov,F_FldStd_InadDes_Tot,F_FldStd_NS_15_24,F_FldStd_NS_25_34,F_FldStd_NS_35_44,F_FldStd_NS_45_54,F_FldStd_NS_55_64,F_FldStd_NS_65_74,F_FldStd_NS_75_84,F_FldStd_NS_85ov,F_FldStd_NS_Tot,F_Tot_15_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_NatPhyl_Scn_15_24,P_NatPhyl_Scn_25_34,P_NatPhyl_Scn_35_44,P_NatPhyl_Scn_45_54,P_NatPhyl_Scn_55_64,P_NatPhyl_Scn_65_74,P_NatPhyl_Scn_75_84,P_NatPhyl_Scn_85ov,P_NatPhyl_Scn_Tot,P_InfoTech_15_24,P_InfoTech_25_34,P_InfoTech_35_44,P_InfoTech_45_54,P_InfoTech_55_64,P_InfoTech_65_74,P_InfoTech_75_84,P_InfoTech_85ov,P_InfoTech_Tot,P_Eng_RelTec_15_24,P_Eng_RelTec_25_34,P_Eng_RelTec_35_44,P_Eng_RelTec_45_54,P_Eng_RelTec_55_64,P_Eng_RelTec_65_74,P_Eng_RelTec_75_84,P_Eng_RelTec_85ov,P_Eng_RelTec_Tot,P_ArchtBldng_15_24,P_ArchtBldng_25_34,P_ArchtBldng_35_44,P_ArchtBldng_45_54,P_ArchtBldng_55_64,P_ArchtBldng_65_74,P_ArchtBldng_75_84,P_ArchtBldng_85ov,P_ArchtBldng_Tot,P_Ag_Envir_Rltd_Sts_15_24,P_Ag_Envir_Rltd_Sts_25_34,P_Ag_Envir_Rltd_Sts_35_44,P_Ag_Envir_Rltd_Sts_45_54,P_Ag_Envir_Rltd_Sts_55_64,P_Ag_Envir_Rltd_Sts_65_74,P_Ag_Envir_Rltd_Sts_75_84,P_Ag_Envir_Rltd_Sts_85ov,P_Ag_Envir_Rltd_Sts_Tot,P_Health_15_24,P_Health_25_34,P_Health_35_44,P_Health_45_54,P_Health_55_64,P_Health_65_74,P_Health_75_84,P_Health_85ov,P_Health_Tot,P_Educ_15_24,P_Educ_25_34,P_Educ_35_44,P_Educ_45_54,P_Educ_55_64,P_Educ_65_74,P_Educ_75_84,P_Educ_85ov,P_Educ_Tot,P_Mgnt_Com_15_24,P_Mgnt_Com_25_34,P_Mgnt_Com_35_44,P_Mgnt_Com_45_54,P_Mgnt_Com_55_64,P_Mgnt_Com_65_74,P_Mgnt_Com_75_84,P_Mgnt_Com_85ov,P_Mgnt_Com_Tot,P_Society_Cult_15_24,P_Society_Cult_25_34,P_Society_Cult_35_44,P_Society_Cult_45_54,P_Society_Cult_55_64,P_Society_Cult_65_74,P_Society_Cult_75_84,P_Society_Cult_85ov,P_Society_Cult_Tot,P_Creative_Arts_15_24,P_Creative_Arts_25_34,P_Creative_Arts_35_44,P_Creative_Arts_45_54,P_Creative_Arts_55_64,P_Creative_Arts_65_74,P_Creative_Arts_75_84,P_Creative_Arts_85ov,P_Creative_Arts_Tot,P_Fd_Hosp_Psnl_Svcs_15_24,P_Fd_Hosp_Psnl_Svcs_25_34,P_Fd_Hosp_Psnl_Svcs_35_44,P_Fd_Hosp_Psnl_Svcs_45_54,P_Fd_Hosp_Psnl_Svcs_55_64,P_Fd_Hosp_Psnl_Svcs_65_74,P_Fd_Hosp_Psnl_Svcs_75_84,P_Fd_Hosp_Psnl_Svcs_85ov,P_Fd_Hosp_Psnl_Svcs_Tot,P_MixFld_Prgm_15_24,P_MixFld_Prgm_25_34,P_MixFld_Prgm_35_44,P_MixFld_Prgm_45_54,P_MixFld_Prgm_55_64,P_MixFld_Prgm_65_74,P_MixFld_Prgm_75_84,P_MixFld_Prgm_85ov,P_MixFld_Prgm_Tot,P_FldStd_InadDes_15_24,P_FldStd_InadDes_25_34,P_FldStd_InadDes_35_44,P_FldStd_InadDes_45_54,P_FldStd_InadDes_55_64,P_FldStd_InadDes_65_74,P_FldStd_InadDes_75_84,P_FldStd_InadDes_85ov,P_FldStd_InadDes_Tot,P_FldStd_NS_15_24,P_FldStd_NS_25_34,P_FldStd_NS_35_44,P_FldStd_NS_45_54,P_FldStd_NS_55_64,P_FldStd_NS_65_74,P_FldStd_NS_75_84,P_FldStd_NS_85ov,P_FldStd_NS_Tot,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54
SOSR101,96495,70780,45807,24659,9052,2861,359159,14293,49721,47547,38818,27688,15583,5308,1244,200203,8678,24906,18337,11744,6606,3284,1435,531,75514,6928,15253,13879,10926,6443,3755,1549,388,59117,401,335,229,250,342,305,250,281,2392,1362,4450,5157,4351,2786,1836,777,347,21067,15561,27546,23012,16587,13934,12591,12013,11781,133025,95709,322900,301811,226726,162967,103191,48920,23609,1285831,7333,20728,18609,15852,13147,8725,4108,1029,89537,11897,37667,51851,23815,11248,3695,621,43,140836,11868,59775,58758,51117,52102,35903,19647,6424,295599,10702,28759,24397,21328,15085,9145,4821,1547,115779,1685,5367,5089,4586,3754,2070,933,277,23755,15487,59636,44531,35419,29784,20096,9772,3584,218313,6889,34542,30585,28757,25931,23276,10530,3024,163526,35517,160323,171173,124118,82153,47133,17926,5026,643362,21098,76100,70388,59374,43591,27076,10160,2443,310218,14047,40535,30492,18959,10993,5737,2355,771,123888,10412,25303,24019,17491,10519,5929,2610,615,96903,868,747,473,442,569,520,396,382,4410,2506,8175,9400,8090,5716,3665,1684,681,39907,34287,58897,49526,35820,29595,24658,21694,17927,272410,184599,616553,589292,445171
SOSR102,13708,13027,10627,6865,2627,727,62711,3879,9564,9633,9217,7703,4248,1335,261,45833,1469,3202,2828,1946,1232,788,388,114,11968,2385,4411,3838,3371,2300,1489,605,169,18568,85,46,35,48,51,49,35,26,373,199,493,622,630,493,307,144,66,2962,3358,3954,3767,3385,3416,4219,5005,4480,31586,21212,54261,54358,49652,42743,30797,15361,7376,275744,868,2706,2503,2323,1945,1679,746,133,12911,958,3059,3537,2284,1515,767,164,16,12299,3358,13019,12706,13870,15887,13481,7549,2287,82157,3228,7485,6803,6348,5426,3843,2109,667,35896,672,1822,1863,1798,1302,763,344,79,8644,3863,13744,12101,10988,10423,6953,2908,888,61877,1905,8380,8829,8068,8060,8262,3196,851,47553,5591,17572,21318,20235,16613,11409,4628,1155,98517,5222,13417,13522,13019,10747,6643,2356,485,65408,2556,5211,4588,3109,2014,1294,603,162,19538,3381,6488,5923,5189,3539,2332,1090,264,28201,162,104,63,68,76,84,55,46,649,463,1055,1344,1427,1120,747,398,138,6682,7177,8548,7970,7583,7260,7872,8571,6800,61767,39394,102592,103072,96315
SOSR111,2427,2293,1829,1081,405,102,11121,626,1712,1741,1599,1294,730,214,36,7962,149,384,328,241,183,143,47,12,1484,516,1110,819,640,387,256,98,35,3856,28,17,3,12,6,5,0,0,83,29,97,102,91,61,55,19,4,450,665,847,784,619,655,728,875,616,5791,3805,10300,9833,8543,7338,5284,2625,1059,48785,84,320,346,318,261,252,93,29,1690,119,509,458,238,231,131,25,5,1725,766,2839,2537,2386,2531,2050,1087,271,14470,480,1122,922,791,829,627,319,109,5198,129,399,429,417,307,218,99,29,2027,713,2465,2188,1907,1792,1367,573,154,11149,366,1524,1641,1446,1376,1364,605,138,8458,955,3328,3703,3477,2793,1806,693,174,16942,807,2334,2385,2227,1702,1125,350,69,10993,260,598,538,374,276,217,78,22,2355,697,1658,1313,1010,617,400,177,54,5927,52,30,18,12,16,7,4,0,143,71,211,238,226,168,133,64,10,1122,1427,1826,1689,1410,1351,1347,1428,954,11427,6919,19165,18413,16218
SOSR112,5257,5388,4900,3528,1536,452,28130,1636,4423,4357,4209,3763,2373,817,164,21736,364,1053,989,848,688,540,247,80,4811,1237,2410,1921,1474,1011,706,295,74,9124,82,61,32,18,20,11,25,9,255,92,266,301,303,236,160,88,33,1476,2459,2576,2271,2168,2063,2367,2679,2179,18761,10465,26372,24035,22465,20960,16730,9084,4176,134289,259,1005,949,904,819,795,417,105,5255,353,1194,1160,724,622,410,74,8,4536,1642,5871,5134,5172,5811,5182,3242,940,33001,1264,2882,2526,2213,2336,1936,1021,325,14502,499,1360,1289,1316,1095,761,442,113,6874,1933,6692,5431,4691,5193,4126,1929,731,30725,876,3791,4055,4066,3978,4213,1997,625,23602,2278,8308,8130,8178,7417,5688,2590,730,43304,2154,6140,6062,6027,5382,3766,1452,346,31323,629,1718,1598,1340,1122,904,401,118,7822,1769,3824,3142,2407,1623,1181,523,134,14605,137,118,66,43,38,27,28,10,462,200,559,647,630,566,410,219,86,3314,5533,6578,5634,5095,4429,4544,4637,3293,39747,19523,50045,45812,42793
SOSR113,2273,2265,2350,1691,670,194,12316,639,1715,1826,1816,1733,1074,287,56,9151,128,479,460,294,259,203,81,27,1937,572,1131,911,738,499,365,147,39,4412,16,14,3,8,18,7,4,3,82,27,91,99,114,107,61,44,11,559,980,1232,1095,1087,1105,1349,1410,1163,9419,3916,10372,9985,9597,9702,7897,4095,1933,57492,64,302,309,306,296,337,160,49,1827,105,298,333,267,242,178,62,7,1493,829,2895,2663,2818,3394,3249,1720,472,18039,458,1191,1103,1076,1217,995,545,143,6738,169,418,441,448,404,280,142,24,2313,522,2081,1985,1981,2306,1818,858,262,11819,292,1445,1511,1494,1716,2015,845,227,9544,930,3063,3316,3262,3430,2731,1144,304,18174,791,2277,2412,2462,2331,1647,514,110,12543,232,726,682,498,398,334,134,43,3052,806,1690,1454,1191,842,614,267,46,6909,40,28,5,5,22,13,18,3,138,80,206,241,289,250,187,104,32,1396,2267,2832,2549,2434,2381,2628,2476,1718,19283,7586,19458,19017,18532
SOSR114,2635,2550,2375,1706,708,204,13278,727,2032,1992,1948,1832,1087,322,63,10010,133,408,467,324,269,186,107,42,1939,593,1198,967,733,576,412,183,51,4713,19,25,9,6,3,10,3,3,83,35,107,116,132,108,66,43,6,616,1106,1343,1223,1121,1310,1394,1610,1128,10237,4651,11797,11449,10524,10330,8405,4671,2025,63859,66,337,404,366,321,349,174,26,2040,124,394,478,298,262,193,51,3,1806,964,2979,2638,2778,3245,3029,1828,513,17981,618,1609,1336,1182,1310,1074,533,168,7830,316,769,724,691,624,475,252,84,3935,738,2357,2117,2072,2304,1965,983,315,12850,448,1918,1973,1851,1896,2162,961,261,11469,1008,3355,3862,3616,3387,2702,1199,321,19453,906,2693,2747,2686,2431,1643,553,138,13794,234,670,694,509,412,336,158,54,3071,783,1724,1500,1202,949,653,282,82,7182,40,47,8,5,8,21,14,5,153,88,232,253,283,262,215,102,33,1477,2385,2841,2660,2533,2632,2861,2821,1759,20504,8716,21927,21418,20076
SOSR115,3386,3425,3487,2660,1004,263,17852,863,2473,2794,2860,3060,1912,539,68,14562,223,635,720,623,546,414,164,46,3369,735,1491,1286,1089,828,578,217,55,6277,18,25,17,14,21,17,12,9,134,54,112,156,227,173,157,56,20,964,1584,1712,1769,1801,1944,2363,2345,1562,15075,5794,14993,15773,15654,16610,13726,6707,2748,92005,107,448,539,544,598,621,287,55,3200,146,444,495,386,370,289,81,9,2220,1293,4072,3851,4154,5121,5275,2784,695,27236,912,2172,2047,1975,2123,1786,848,235,12089,369,919,1048,1024,981,742,354,102,5528,838,3144,2836,3035,3912,3079,1357,417,18613,543,2534,2884,2797,3226,3552,1360,340,17238,1083,3924,4816,4929,5078,4238,1723,400,26194,1082,3276,3817,3930,4062,2909,942,148,20151,382,1010,1103,934,832,709,263,67,5301,1010,2155,2000,1706,1368,979,391,93,9702,46,38,34,17,29,28,19,15,237,117,267,363,466,427,407,161,57,2259,3420,3797,3780,3921,4205,4781,4245,2423,30570,11327,28189,29617,29818
SOSR121,956,1028,1125,738,226,45,5085,225,588,776,844,824,512,110,13,3894,62,184,191,204,147,95,44,3,930,194,363,372,332,246,151,57,10,1716,6,4,0,8,3,0,0,0,21,19,24,47,63,48,33,20,4,255,416,412,442,431,536,591,487,259,3571,1586,3643,4386,4752,4957,3709,1392,447,24876,33,107,161,193,239,196,63,12,1000,37,91,123,116,126,80,17,4,596,309,999,1111,1424,1615,1553,617,133,7766,265,565,622,671,717,563,191,48,3641,101,248,312,339,305,206,84,15,1611,231,754,854,1008,1171,898,262,63,5252,122,582,774,886,1005,1066,308,62,4815,324,954,1355,1524,1630,1184,379,62,7402,284,804,1061,1150,1128,799,213,27,5466,107,275,304,295,230,168,84,12,1472,259,518,549,515,398,259,110,18,2622,12,10,5,13,6,6,0,0,47,35,70,106,115,127,92,39,7,597,882,856,933,970,1108,1290,930,438,7408,2990,6836,8268,9216
SOSR122,421,545,565,320,98,16,2369,96,306,342,383,452,277,67,4,1926,31,75,100,76,120,72,28,5,505,96,172,145,172,122,81,20,0,810,5,0,0,3,4,0,0,0,16,11,12,25,29,32,23,4,0,142,263,262,271,339,350,400,251,120,2253,804,1769,1966,2329,2647,1954,689,193,12360,14,50,66,89,84,105,28,3,434,15,53,50,53,54,52,3,0,278,173,484,500,642,882,769,309,48,3810,119,254,266,294,336,335,96,21,1721,51,130,154,173,197,129,47,3,894,108,311,349,377,596,423,141,26,2345,68,292,294,366,458,429,120,24,2048,137,421,590,751,817,497,176,23,3415,118,399,471,543,610,406,120,9,2679,46,113,140,138,171,115,49,5,790,135,250,225,272,185,142,46,7,1255,3,3,0,9,7,3,4,0,26,15,39,49,75,86,67,21,3,352,573,543,557,704,814,826,519,196,4735,1579,3349,3709,4485
SOSR131,5746,7424,6659,3767,1033,156,29631,1215,2836,3617,4587,4461,2581,554,71,19919,412,962,1108,1141,1080,671,221,61,5658,948,1717,1663,1911,1362,746,223,24,8594,41,15,6,16,26,14,5,0,133,72,177,301,410,374,243,74,13,1663,2899,2521,3187,3849,4196,3581,2149,752,23141,9432,19333,25352,30993,31088,20912,7240,1592,145937,232,685,967,1453,1484,1420,468,78,6784,234,435,665,770,799,457,76,0,3449,2242,5661,6703,9193,10730,8011,3227,594,46355,1610,2949,3420,4132,4178,2798,1095,182,20370,1278,2712,3385,4101,4005,2463,881,146,18975,1272,3674,4433,5663,7156,5055,1745,320,29321,627,2697,4146,4867,5552,5395,1615,242,25134,1755,4918,7967,10618,9907,6222,1882,271,43539,1582,3742,4801,6303,6245,4275,1093,160,28205,653,1435,1600,1636,1587,1151,367,74,8497,1269,2304,2416,2835,2187,1241,425,62,12740,72,32,22,38,43,31,8,8,246,179,384,596,862,844,621,219,43,3752,6615,6171,7259,8446,9309,7976,4610,1429,51814,19612,37803,48362,60917
